"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Number of Scans","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Max Intensity","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Average m/z","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M-H]-","M-Serine","GlyceroPC_NLCH3&H2O","Glycerol-3-phosphate_NLH2O","H2PO4-","PO3-","RT_min","RT_max","Comment"
"","PS(38:3)-H",1,0,0,0,0,0,"5.44529696969697","5.74529696969697","458","","PS(38:3)-H",5.57034,0,5.57034,0,0,0,"5.44529696969697","5.74529696969697","458","","PS(38:3)-H",1,0,1,0,0,0,"5.44529696969697","5.74529696969697","458","","PS(38:3)-H",3136.697,0,880.5829,0,0,0,"5.44529696969697","5.74529696969697","458","","PS(38:3)-H",812.546,0,224.0694,0,0,0,"5.44529696969697","5.74529696969697","458","","PS(38:3)-H","812.5448","725.51278","224.06881","152.99586","96.96964","78.95852","5.44529696969697","5.74529696969697","458"
"","PS(39:0)-H",1,0,1,0,0,0,"8.2811803030303","8.5811803030303","271","","PS(39:0)-H",8.490902,0,8.364598,0,0,0,"8.2811803030303","8.5811803030303","271","","PS(39:0)-H",2,0,2,0,0,0,"8.2811803030303","8.5811803030303","271","","PS(39:0)-H",13619.73,0,4407.311,0,0,0,"8.2811803030303","8.5811803030303","271","","PS(39:0)-H",832.60875,0,224.06935,0,0,0,"8.2811803030303","8.5811803030303","271","","PS(39:0)-H","832.6074","745.57538","224.06881","152.99586","96.96964","78.95852","8.2811803030303","8.5811803030303","271"
"","PS(39:1)-H",1,0,1,0,0,0,"7.41247424242424","7.71247424242424","162","","PS(39:1)-H",7.607316,0,7.607316,7.607316,0,0,"7.41247424242424","7.71247424242424","162","","PS(39:1)-H",2,0,2,1,0,0,"7.41247424242424","7.71247424242424","162","","PS(39:1)-H",52563.86,0,13527.83,812.0924,0,0,"7.41247424242424","7.71247424242424","162","","PS(39:1)-H",830.59265,0,224.06935,152.9957,0,0,"7.41247424242424","7.71247424242424","162","","PS(39:1)-H","830.5918","743.55978","224.06881","152.99586","96.96964","78.95852","7.41247424242424","7.71247424242424","162"
"","PS(39:2)-H",1,0,1,0,0,0,"6.54269393939394","6.84269393939394","187","","PS(39:2)-H",6.64095,0,6.64095,0,0,0,"6.54269393939394","6.84269393939394","187","","PS(39:2)-H",2,0,2,0,0,0,"6.54269393939394","6.84269393939394","187","","PS(39:2)-H",20734.85,0,5768.036,0,0,0,"6.54269393939394","6.84269393939394","187","","PS(39:2)-H",828.57695,0,224.0693,0,0,0,"6.54269393939394","6.84269393939394","187","","PS(39:2)-H","828.5761","741.54408","224.06881","152.99586","96.96964","78.95852","6.54269393939394","6.84269393939394","187"
"","PS(39:2)-H",1,0,1,0,0,0,"6.33619848484848","6.63619848484848","219","","PS(39:2)-H",6.523652,0,6.523652,0,0,0,"6.33619848484848","6.63619848484848","219","","PS(39:2)-H",1,0,1,0,0,0,"6.33619848484848","6.63619848484848","219","","PS(39:2)-H",18346.02,0,5355.836,0,0,0,"6.33619848484848","6.63619848484848","219","","PS(39:2)-H",828.5771,0,224.0694,0,0,0,"6.33619848484848","6.63619848484848","219","","PS(39:2)-H","828.5761","741.54408","224.06881","152.99586","96.96964","78.95852","6.33619848484848","6.63619848484848","219"
"","PS(39:3)-H",1,0,1,0,0,0,"6.04034545454545","6.34034545454545","46","","PS(39:3)-H",6.155149,0,6.155149,6.155149,0,0,"6.04034545454545","6.34034545454545","46","","PS(39:3)-H",3,0,2,1,0,0,"6.04034545454545","6.34034545454545","46","","PS(39:3)-H",62905.66,0,29245.71,905.15,0,0,"6.04034545454545","6.34034545454545","46","","PS(39:3)-H",826.561466666667,0,224.06945,152.9958,0,0,"6.04034545454545","6.34034545454545","46","","PS(39:3)-H","826.5605","739.52848","224.06881","152.99586","96.96964","78.95852","6.04034545454545","6.34034545454545","46"
"","PS(39:3)-H",1,0,1,0,0,0,"5.38873333333333","5.68873333333333","83","","PS(39:3)-H",5.628545,0,5.628545,0,0,0,"5.38873333333333","5.68873333333333","83","","PS(39:3)-H",1,0,1,0,0,0,"5.38873333333333","5.68873333333333","83","","PS(39:3)-H",8589.773,0,2871.334,0,0,0,"5.38873333333333","5.68873333333333","83","","PS(39:3)-H",826.5615,0,224.0694,0,0,0,"5.38873333333333","5.68873333333333","83","","PS(39:3)-H","826.5605","739.52848","224.06881","152.99586","96.96964","78.95852","5.38873333333333","5.68873333333333","83"
"","PS(39:3)-H",1,0,0,0,0,0,"5.71959545454545","6.01959545454545","3405","","PS(39:3)-H",5.896158,0,0,0,0,0,"5.71959545454545","6.01959545454545","3405","","PS(39:3)-H",2,0,0,0,0,0,"5.71959545454545","6.01959545454545","3405","","PS(39:3)-H",4861.312,0,0,0,0,0,"5.71959545454545","6.01959545454545","3405","","PS(39:3)-H",826.56305,0,0,0,0,0,"5.71959545454545","6.01959545454545","3405","","PS(39:3)-H","826.5605","739.52848","224.06881","152.99586","96.96964","78.95852","5.71959545454545","6.01959545454545","3405"
"","PS(39:4)-H",1,0,1,0,0,0,"5.23841363636364","5.53841363636364","104","","PS(39:4)-H",5.362202,0,5.362202,5.362202,0,0,"5.23841363636364","5.53841363636364","104","","PS(39:4)-H",2,0,2,1,0,0,"5.23841363636364","5.53841363636364","104","","PS(39:4)-H",22206.33,0,9653.027,615.2763,0,0,"5.23841363636364","5.53841363636364","104","","PS(39:4)-H",824.54545,0,224.06935,152.996,0,0,"5.23841363636364","5.53841363636364","104","","PS(39:4)-H","824.5448","737.51278","224.06881","152.99586","96.96964","78.95852","5.23841363636364","5.53841363636364","104"
"","PS(39:4)-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","PS(39:4)-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","PS(39:4)-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","PS(39:4)-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","PS(39:4)-H",0,0,0,0,0,0,"4.93768939393939","5.23768939393939","489","","PS(39:4)-H","824.5448","737.51278","224.06881","152.99586","96.96964","78.95852","4.93768939393939","5.23768939393939","489"
