"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Number of Scans","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Max Intensity","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Average m/z","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+HCO2]-","M-CH3","(P-Cho)-CH3-H","RT_min","RT_max","Comment"
"","SM(40:2)+HCO2",1,0,1,"8.32578636363636","8.62578636363636","358","","SM(40:2)+HCO2",8.46687,0,8.46687,"8.32578636363636","8.62578636363636","358","","SM(40:2)+HCO2",1,0,2,"8.32578636363636","8.62578636363636","358","","SM(40:2)+HCO2",16325.93,0,48413.48,"8.32578636363636","8.62578636363636","358","","SM(40:2)+HCO2",829.645,0,168.0432,"8.32578636363636","8.62578636363636","358","","SM(40:2)+HCO2","829.6441","769.6183","168.0431","8.32578636363636","8.62578636363636","358"
"","SM(40:2)+HCO2",1,0,1,"8.12615303030303","8.42615303030303","401","","SM(40:2)+HCO2",8.296491,0,8.296491,"8.12615303030303","8.42615303030303","401","","SM(40:2)+HCO2",1,0,1,"8.12615303030303","8.42615303030303","401","","SM(40:2)+HCO2",6138.957,0,18925.56,"8.12615303030303","8.42615303030303","401","","SM(40:2)+HCO2",829.6455,0,168.0432,"8.12615303030303","8.42615303030303","401","","SM(40:2)+HCO2","829.6441","769.6183","168.0431","8.12615303030303","8.42615303030303","401"
"","SM(41:0)+HCO2",0,0,0,"10.1123318181818","10.4123318181818","1733","","SM(41:0)+HCO2",0,0,0,"10.1123318181818","10.4123318181818","1733","","SM(41:0)+HCO2",0,0,0,"10.1123318181818","10.4123318181818","1733","","SM(41:0)+HCO2",0,0,0,"10.1123318181818","10.4123318181818","1733","","SM(41:0)+HCO2",0,0,0,"10.1123318181818","10.4123318181818","1733","","SM(41:0)+HCO2","847.691","787.6652","168.0431","10.1123318181818","10.4123318181818","1733"
"","SM(41:1)+HCO2",1,0,1,"9.76827575757576","10.0682757575758","116","","SM(41:1)+HCO2",9.893953,0,9.893953,"9.76827575757576","10.0682757575758","116","","SM(41:1)+HCO2",1,0,2,"9.76827575757576","10.0682757575758","116","","SM(41:1)+HCO2",34293.09,0,56189.21,"9.76827575757576","10.0682757575758","116","","SM(41:1)+HCO2",845.6764,0,168.0432,"9.76827575757576","10.0682757575758","116","","SM(41:1)+HCO2","845.6753","785.6495","168.0431","9.76827575757576","10.0682757575758","116"
"","SM(41:1)+HCO2",1,0,1,"9.5807","9.8807","513","","SM(41:1)+HCO2",9.743843,0,9.743843,"9.5807","9.8807","513","","SM(41:1)+HCO2",1,0,1,"9.5807","9.8807","513","","SM(41:1)+HCO2",2434.59,0,4907.728,"9.5807","9.8807","513","","SM(41:1)+HCO2",845.6754,0,168.0432,"9.5807","9.8807","513","","SM(41:1)+HCO2","845.6753","785.6495","168.0431","9.5807","9.8807","513"
"","SM(41:2)+HCO2",1,0,1,"8.85119242424242","9.15119242424242","204","","SM(41:2)+HCO2",8.968365,0,8.968365,"8.85119242424242","9.15119242424242","204","","SM(41:2)+HCO2",2,0,2,"8.85119242424242","9.15119242424242","204","","SM(41:2)+HCO2",9540.545,0,24851.15,"8.85119242424242","9.15119242424242","204","","SM(41:2)+HCO2",843.6607,0,168.0432,"8.85119242424242","9.15119242424242","204","","SM(41:2)+HCO2","843.6597","783.6339","168.0431","8.85119242424242","9.15119242424242","204"
"","SM(41:2)+HCO2",1,0,1,"8.68075151515152","8.98075151515152","367","","SM(41:2)+HCO2",8.968365,0,8.968365,"8.68075151515152","8.98075151515152","367","","SM(41:2)+HCO2",2,0,2,"8.68075151515152","8.98075151515152","367","","SM(41:2)+HCO2",9540.545,0,24851.15,"8.68075151515152","8.98075151515152","367","","SM(41:2)+HCO2",843.6609,0,168.04315,"8.68075151515152","8.98075151515152","367","","SM(41:2)+HCO2","843.6597","783.6339","168.0431","8.68075151515152","8.98075151515152","367"
"","SM(42:0)+HCO2",0,0,0,"10.5750166666667","10.8750166666667","1231","","SM(42:0)+HCO2",0,0,0,"10.5750166666667","10.8750166666667","1231","","SM(42:0)+HCO2",0,0,0,"10.5750166666667","10.8750166666667","1231","","SM(42:0)+HCO2",0,0,0,"10.5750166666667","10.8750166666667","1231","","SM(42:0)+HCO2",0,0,0,"10.5750166666667","10.8750166666667","1231","","SM(42:0)+HCO2","861.7066","801.6808","168.0431","10.5750166666667","10.8750166666667","1231"
"","SM(42:1)+HCO2",1,0,1,"10.2335636363636","10.5335636363636","101","","SM(42:1)+HCO2",10.32325,0,10.32325,"10.2335636363636","10.5335636363636","101","","SM(42:1)+HCO2",2,0,2,"10.2335636363636","10.5335636363636","101","","SM(42:1)+HCO2",20351.26,0,40518.86,"10.2335636363636","10.5335636363636","101","","SM(42:1)+HCO2",859.692,0,168.0431,"10.2335636363636","10.5335636363636","101","","SM(42:1)+HCO2","859.691","799.6652","168.0431","10.2335636363636","10.5335636363636","101"
"","SM(42:1)+HCO2",1,0,1,"10.0621287878788","10.3621287878788","485","","SM(42:1)+HCO2",10.32325,0,10.32325,"10.0621287878788","10.3621287878788","485","","SM(42:1)+HCO2",2,0,2,"10.0621287878788","10.3621287878788","485","","SM(42:1)+HCO2",20351.26,0,40518.86,"10.0621287878788","10.3621287878788","485","","SM(42:1)+HCO2",859.692,0,168.04315,"10.0621287878788","10.3621287878788","485","","SM(42:1)+HCO2","859.691","799.6652","168.0431","10.0621287878788","10.3621287878788","485"
