"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Number of Scans","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Max Intensity","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Average m/z","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PC","[M+H]+","MH-PC","PC Head","RT_min","RT_max","Comment"
"","PC(31:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PC(31:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PC(31:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PC(31:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PC(31:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PC(31:1)+H","718.53824","535.4722","184.07332","12.7411416666667","13.0411416666667","2551"
"","PC(31:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PC(31:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PC(31:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PC(31:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PC(31:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PC(31:1)+H","718.53824","535.4722","184.07332","5.99224242424243","6.29224242424243","5695"
"","PC(31:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PC(31:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PC(31:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PC(31:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PC(31:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PC(31:1)+H","718.53824","535.4722","184.07332","5.28361363636364","5.58361363636364","12223"
"","PC(31:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PC(31:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PC(31:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PC(31:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PC(31:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PC(31:1)+H","718.53824","535.4722","184.07332","12.5310424242424","12.8310424242424","14854"
"","PC(31:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PC(31:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PC(31:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PC(31:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PC(31:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PC(31:1)+H","718.53824","535.4722","184.07332","5.78686818181818","6.08686818181818","15153"
"","PC(31:2)+H",1,0,1,"6.68251805555556","6.98251805555556","422","","PC(31:2)+H",6.856732,0,6.856732,"6.68251805555556","6.98251805555556","422","","PC(31:2)+H",1,0,1,"6.68251805555556","6.98251805555556","422","","PC(31:2)+H",20486.5,0,612662.8,"6.68251805555556","6.98251805555556","422","","PC(31:2)+H",716.5242,0,184.0737,"6.68251805555556","6.98251805555556","422","","PC(31:2)+H","716.52254","533.4565","184.07332","6.68251805555556","6.98251805555556","422"
"","PC(31:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PC(31:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PC(31:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PC(31:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PC(31:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PC(31:2)+H","716.52254","533.4565","184.07332","12.2190791666667","12.5190791666667","1321"
"","PC(31:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PC(31:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PC(31:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PC(31:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PC(31:2)+H",0,0,0,"4.85825416666667","5.15825416666667","1348","","PC(31:2)+H","716.52254","533.4565","184.07332","4.85825416666667","5.15825416666667","1348"
"","PC(31:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PC(31:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PC(31:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PC(31:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PC(31:2)+H",0,0,0,"11.5475638888889","11.8475638888889","2103","","PC(31:2)+H","716.52254","533.4565","184.07332","11.5475638888889","11.8475638888889","2103"
"","PC(31:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PC(31:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PC(31:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PC(31:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PC(31:2)+H",0,0,0,"12.8125305555556","13.1125305555556","4408","","PC(31:2)+H","716.52254","533.4565","184.07332","12.8125305555556","13.1125305555556","4408"
"","PC(31:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(31:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(31:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(31:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(31:3)+H",0,0,0,"5.54374861111111","5.84374861111111","6823","","PC(31:3)+H","714.50694","531.4409","184.07332","5.54374861111111","5.84374861111111","6823"
"","PC(31:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(31:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(31:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(31:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(31:3)+H",0,0,0,"11.6431458333333","11.9431458333333","8174","","PC(31:3)+H","714.50694","531.4409","184.07332","11.6431458333333","11.9431458333333","8174"
"","PC(31:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(31:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(31:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(31:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(31:3)+H",0,0,0,"5.81705138888889","6.11705138888889","9458","","PC(31:3)+H","714.50694","531.4409","184.07332","5.81705138888889","6.11705138888889","9458"
"","PC(31:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(31:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(31:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(31:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(31:3)+H",0,0,0,"6.02467083333333","6.32467083333333","19066","","PC(31:3)+H","714.50694","531.4409","184.07332","6.02467083333333","6.32467083333333","19066"
"","PC(31:4)+H",0,0,0,"11.34785","11.64785","4546","","PC(31:4)+H",0,0,0,"11.34785","11.64785","4546","","PC(31:4)+H",0,0,0,"11.34785","11.64785","4546","","PC(31:4)+H",0,0,0,"11.34785","11.64785","4546","","PC(31:4)+H",0,0,0,"11.34785","11.64785","4546","","PC(31:4)+H","712.49124","529.4252","184.07332","11.34785","11.64785","4546"
"","PC(31:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PC(31:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PC(31:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PC(31:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PC(31:4)+H",0,0,0,"10.6121015151515","10.9121015151515","7992","","PC(31:4)+H","712.49124","529.4252","184.07332","10.6121015151515","10.9121015151515","7992"
"","PC(32:0)+H",1,1,1,"7.24374583333333","7.54374583333333","75","","PC(32:0)+H",7.444524,7.444524,7.444524,"7.24374583333333","7.54374583333333","75","","PC(32:0)+H",2,2,2,"7.24374583333333","7.54374583333333","75","","PC(32:0)+H",3586960,27878.88,33554990,"7.24374583333333","7.54374583333333","75","","PC(32:0)+H",734.5693,551.5036,184.0732,"7.24374583333333","7.54374583333333","75","","PC(32:0)+H","734.56944","551.5034","184.07332","7.24374583333333","7.54374583333333","75"
"","PC(32:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PC(32:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PC(32:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PC(32:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PC(32:0)+H",0,0,0,"5.52323484848485","5.82323484848485","5181","","PC(32:0)+H","734.56944","551.5034","184.07332","5.52323484848485","5.82323484848485","5181"
"","PC(32:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PC(32:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PC(32:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PC(32:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PC(32:0)+H",0,0,0,"9.16413611111111","9.46413611111111","5965","","PC(32:0)+H","734.56944","551.5034","184.07332","9.16413611111111","9.46413611111111","5965"
"","PC(32:0)+H",1,1,1,"7.05414444444444","7.35414444444444","9118","","PC(32:0)+H",7.332081,7.332081,7.332081,"7.05414444444444","7.35414444444444","9118","","PC(32:0)+H",1,1,1,"7.05414444444444","7.35414444444444","9118","","PC(32:0)+H",1701472,12533.14,15914400,"7.05414444444444","7.35414444444444","9118","","PC(32:0)+H",734.5693,551.5036,184.0732,"7.05414444444444","7.35414444444444","9118","","PC(32:0)+H","734.56944","551.5034","184.07332","7.05414444444444","7.35414444444444","9118"
