"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","RT at Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Number of Scans","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Max Intensity","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Average m/z","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PI","[M+NH4]+","NL_Head","RT_min","RT_max","Comment"
"","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4",0,0,"7.08514444444444","7.38514444444444","403","","PI(38:3)+NH4","906.6067","629.5505","7.08514444444444","7.38514444444444","403"
"","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4",0,0,"7.46541805555555","7.76541805555555","1763","","PI(38:3)+NH4","906.6067","629.5505","7.46541805555555","7.76541805555555","1763"
"","PI(38:4)+NH4",0,1,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,6.79098,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,1,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,12124060,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4",0,627.5349,"6.61006388888889","6.91006388888889","123","","PI(38:4)+NH4","904.591","627.5348","6.61006388888889","6.91006388888889","123"
"","PI(38:5)+NH4",0,1,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,5.681646,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,1,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,537383,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4",0,625.5199,"5.66719861111111","5.96719861111111","1072","","PI(38:5)+NH4","902.5754","625.5192","5.66719861111111","5.96719861111111","1072"
"","PI(38:5)+NH4",0,1,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,5.681646,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,1,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,537383,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4",0,625.5199,"5.50178194444444","5.80178194444444","11283","","PI(38:5)+NH4","902.5754","625.5192","5.50178194444444","5.80178194444444","11283"
"","PI(38:6)+NH4",0,1,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,5.241697,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,1,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,859802.4,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4",0,623.5051,"5.05591944444444","5.35591944444444","1159","","PI(38:6)+NH4","900.5597","623.5035","5.05591944444444","5.35591944444444","1159"
"","PI(39:8)+NH4",0,0,"6.60226666666667","6.90226666666667","14296","","PI(39:8)+NH4",0,0,"6.60226666666667","6.90226666666667","14296","","PI(39:8)+NH4",0,0,"6.60226666666667","6.90226666666667","14296","","PI(39:8)+NH4",0,0,"6.60226666666667","6.90226666666667","14296","","PI(39:8)+NH4",0,0,"6.60226666666667","6.90226666666667","14296","","PI(39:8)+NH4","910.5441","633.4879","6.60226666666667","6.90226666666667","14296"
"","PI(40:4)+NH4",0,0,"7.4342375","7.7342375","11355","","PI(40:4)+NH4",0,0,"7.4342375","7.7342375","11355","","PI(40:4)+NH4",0,0,"7.4342375","7.7342375","11355","","PI(40:4)+NH4",0,0,"7.4342375","7.7342375","11355","","PI(40:4)+NH4",0,0,"7.4342375","7.7342375","11355","","PI(40:4)+NH4","932.6223","655.5661","7.4342375","7.7342375","11355"
"","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4",0,0,"6.6383375","6.9383375","1521","","PI(40:5)+NH4","930.6067","653.5505","6.6383375","6.9383375","1521"
"","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4",0,0,"7.08509305555555","7.38509305555555","2671","","PI(40:5)+NH4","930.6067","653.5505","7.08509305555555","7.38509305555555","2671"
