"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment"
"","Plasmanyl-PC(32:2)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmanyl-PC(32:2)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmanyl-PC(32:2)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmanyl-PC(32:2)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmanyl-PC(32:2)+H",0,0,0,"5.83862777777778","6.13862777777778","2703","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","5.83862777777778","6.13862777777778","2703"
"","Plasmanyl-PC(32:2)+H",1,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H",6.856732,0,6.856732,"6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H",1,0,1,"6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H",73595.97,0,612662.8,"6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H",716.5604,0,184.0737,"6.64093611111111","6.94093611111111","9134","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","6.64093611111111","6.94093611111111","9134"
"","Plasmanyl-PC(32:2)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmanyl-PC(32:2)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmanyl-PC(32:2)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmanyl-PC(32:2)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmanyl-PC(32:2)+H",0,0,0,"8.7356962962963","9.0356962962963","10132","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","8.7356962962963","9.0356962962963","10132"
"","Plasmanyl-PC(32:2)+H",1,0,1,"6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H",6.856732,0,6.856732,"6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H",1,0,1,"6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H",73595.97,0,612662.8,"6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H",716.5604,0,184.0737,"6.77170138888889","7.07170138888889","18325","","Plasmanyl-PC(32:2)+H","716.5589576","533.4929176","184.07332","6.77170138888889","7.07170138888889","18325"
"","Plasmanyl-PC(33:0)+H",0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(33:0)+H",0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(33:0)+H",0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(33:0)+H",0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(33:0)+H",0,0,0,"8.28353333333333","8.58353333333333","2123","","Plasmanyl-PC(33:0)+H","734.6058576","551.5398176","184.07332","8.28353333333333","8.58353333333333","2123"
"","Plasmanyl-PC(33:0)+H",0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(33:0)+H",0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(33:0)+H",0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(33:0)+H",0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(33:0)+H",0,0,0,"8.48503888888889","8.78503888888889","2416","","Plasmanyl-PC(33:0)+H","734.6058576","551.5398176","184.07332","8.48503888888889","8.78503888888889","2416"
"","Plasmanyl-PC(33:1)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(33:1)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(33:1)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(33:1)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(33:1)+H",0,0,0,"8.12406805555556","8.42406805555556","1753","","Plasmanyl-PC(33:1)+H","732.5901576","549.5241176","184.07332","8.12406805555556","8.42406805555556","1753"
"","Plasmanyl-PC(33:1)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(33:1)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(33:1)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(33:1)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(33:1)+H",0,0,0,"9.3638375","9.6638375","11656","","Plasmanyl-PC(33:1)+H","732.5901576","549.5241176","184.07332","9.3638375","9.6638375","11656"
"","Plasmanyl-PC(33:1)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(33:1)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(33:1)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(33:1)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(33:1)+H",0,0,0,"8.31044848484848","8.61044848484848","12846","","Plasmanyl-PC(33:1)+H","732.5901576","549.5241176","184.07332","8.31044848484848","8.61044848484848","12846"
"","Plasmanyl-PC(33:2)+H",1,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H",9.37348,0,9.37348,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H",1,0,1,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H",7793.215,0,2778.627,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H",730.5742,0,184.0735,"9.20176666666667","9.50176666666667","1235","","Plasmanyl-PC(33:2)+H","730.5745576","547.5085176","184.07332","9.20176666666667","9.50176666666667","1235"
"","Plasmanyl-PC(33:2)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(33:2)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(33:2)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(33:2)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(33:2)+H",0,0,0,"7.04608055555555","7.34608055555555","5546","","Plasmanyl-PC(33:2)+H","730.5745576","547.5085176","184.07332","7.04608055555555","7.34608055555555","5546"
"","Plasmanyl-PC(33:2)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PC(33:2)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PC(33:2)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PC(33:2)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PC(33:2)+H",0,0,0,"7.23081805555556","7.53081805555556","9368","","Plasmanyl-PC(33:2)+H","730.5745576","547.5085176","184.07332","7.23081805555556","7.53081805555556","9368"
"","Plasmanyl-PC(33:2)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmanyl-PC(33:2)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmanyl-PC(33:2)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmanyl-PC(33:2)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmanyl-PC(33:2)+H",0,0,0,"7.05109166666667","7.35109166666667","17349","","Plasmanyl-PC(33:2)+H","730.5745576","547.5085176","184.07332","7.05109166666667","7.35109166666667","17349"
"","Plasmanyl-PC(33:3)+H",1,0,0,"8.35855694444444","8.65855694444444","381","","Plasmanyl-PC(33:3)+H",8.539091,0,0,"8.35855694444444","8.65855694444444","381","","Plasmanyl-PC(33:3)+H",1,0,0,"8.35855694444444","8.65855694444444","381","","Plasmanyl-PC(33:3)+H",33965.3,0,0,"8.35855694444444","8.65855694444444","381","","Plasmanyl-PC(33:3)+H",728.5604,0,0,"8.35855694444444","8.65855694444444","381","","Plasmanyl-PC(33:3)+H","728.5589576","545.4929176","184.07332","8.35855694444444","8.65855694444444","381"
