"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+H]","NL_head","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Number of Scans","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Max Intensity","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Average m/z","PS","[M+H]","NL_head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+H]","NL_head","RT_min","RT_max","Comment"
"","PS(36:1)+H",0,0,"3.00620416666667","3.30620416666667","4995","","PS(36:1)+H",0,0,"3.00620416666667","3.30620416666667","4995","","PS(36:1)+H",0,0,"3.00620416666667","3.30620416666667","4995","","PS(36:1)+H",0,0,"3.00620416666667","3.30620416666667","4995","","PS(36:1)+H",0,0,"3.00620416666667","3.30620416666667","4995","","PS(36:1)+H","790.55936","605.55041","3.00620416666667","3.30620416666667","4995"
"","PS(36:3)+H",0,0,"7.05227361111111","7.35227361111111","15981","","PS(36:3)+H",0,0,"7.05227361111111","7.35227361111111","15981","","PS(36:3)+H",0,0,"7.05227361111111","7.35227361111111","15981","","PS(36:3)+H",0,0,"7.05227361111111","7.35227361111111","15981","","PS(36:3)+H",0,0,"7.05227361111111","7.35227361111111","15981","","PS(36:3)+H","786.52806","601.51911","7.05227361111111","7.35227361111111","15981"
"","PS(37:2)+H",0,0,"7.225625","7.525625","9320","","PS(37:2)+H",0,0,"7.225625","7.525625","9320","","PS(37:2)+H",0,0,"7.225625","7.525625","9320","","PS(37:2)+H",0,0,"7.225625","7.525625","9320","","PS(37:2)+H",0,0,"7.225625","7.525625","9320","","PS(37:2)+H","802.55936","617.55041","7.225625","7.525625","9320"
"","PS(37:3)+H",1,0,"8.01050416666666","8.31050416666666","2253","","PS(37:3)+H",8.161917,0,"8.01050416666666","8.31050416666666","2253","","PS(37:3)+H",1,0,"8.01050416666666","8.31050416666666","2253","","PS(37:3)+H",48811.2,0,"8.01050416666666","8.31050416666666","2253","","PS(37:3)+H",800.5413,0,"8.01050416666666","8.31050416666666","2253","","PS(37:3)+H","800.54376","615.53481","8.01050416666666","8.31050416666666","2253"
"","PS(37:6)+H",0,0,"4.95417727272727","5.25417727272727","13576","","PS(37:6)+H",0,0,"4.95417727272727","5.25417727272727","13576","","PS(37:6)+H",0,0,"4.95417727272727","5.25417727272727","13576","","PS(37:6)+H",0,0,"4.95417727272727","5.25417727272727","13576","","PS(37:6)+H",0,0,"4.95417727272727","5.25417727272727","13576","","PS(37:6)+H","794.49676","609.48781","4.95417727272727","5.25417727272727","13576"
"","PS(38:1)+H",0,0,"4.10132083333333","4.40132083333333","3848","","PS(38:1)+H",0,0,"4.10132083333333","4.40132083333333","3848","","PS(38:1)+H",0,0,"4.10132083333333","4.40132083333333","3848","","PS(38:1)+H",0,0,"4.10132083333333","4.40132083333333","3848","","PS(38:1)+H",0,0,"4.10132083333333","4.40132083333333","3848","","PS(38:1)+H","818.59066","633.58171","4.10132083333333","4.40132083333333","3848"
"","PS(38:2)+H",0,0,"4.90198055555556","5.20198055555556","4929","","PS(38:2)+H",0,0,"4.90198055555556","5.20198055555556","4929","","PS(38:2)+H",0,0,"4.90198055555556","5.20198055555556","4929","","PS(38:2)+H",0,0,"4.90198055555556","5.20198055555556","4929","","PS(38:2)+H",0,0,"4.90198055555556","5.20198055555556","4929","","PS(38:2)+H","816.57506","631.56611","4.90198055555556","5.20198055555556","4929"
"","PS(38:2)+H",0,0,"5.10691818181818","5.40691818181818","10241","","PS(38:2)+H",0,0,"5.10691818181818","5.40691818181818","10241","","PS(38:2)+H",0,0,"5.10691818181818","5.40691818181818","10241","","PS(38:2)+H",0,0,"5.10691818181818","5.40691818181818","10241","","PS(38:2)+H",0,0,"5.10691818181818","5.40691818181818","10241","","PS(38:2)+H","816.57506","631.56611","5.10691818181818","5.40691818181818","10241"
"","PS(38:3)+H",0,0,"4.12318888888889","4.42318888888889","6221","","PS(38:3)+H",0,0,"4.12318888888889","4.42318888888889","6221","","PS(38:3)+H",0,0,"4.12318888888889","4.42318888888889","6221","","PS(38:3)+H",0,0,"4.12318888888889","4.42318888888889","6221","","PS(38:3)+H",0,0,"4.12318888888889","4.42318888888889","6221","","PS(38:3)+H","814.55936","629.55041","4.12318888888889","4.42318888888889","6221"
"","PS(38:3)+H",0,0,"3.10427638888889","3.40427638888889","8057","","PS(38:3)+H",0,0,"3.10427638888889","3.40427638888889","8057","","PS(38:3)+H",0,0,"3.10427638888889","3.40427638888889","8057","","PS(38:3)+H",0,0,"3.10427638888889","3.40427638888889","8057","","PS(38:3)+H",0,0,"3.10427638888889","3.40427638888889","8057","","PS(38:3)+H","814.55936","629.55041","3.10427638888889","3.40427638888889","8057"
