"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","RT at Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Number of Scans","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Max Intensity","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Average m/z","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment"
"","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4",0,0,0,"1.17478333333333","1.47478333333333","10711","","MGDG(25:2)+NH4","646.45246","467.37316","449.36259","1.17478333333333","1.47478333333333","10711"
"","MGDG(26:1)+NH4",0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(26:1)+NH4",0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(26:1)+NH4",0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(26:1)+NH4",0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(26:1)+NH4",0,0,0,"0.472570833333333","0.772570833333333","2714","","MGDG(26:1)+NH4","662.48377","483.40447","465.3939","0.472570833333333","0.772570833333333","2714"
"","MGDG(26:1)+NH4",0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(26:1)+NH4",0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(26:1)+NH4",0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(26:1)+NH4",0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(26:1)+NH4",0,0,0,"0.668754166666667","0.968754166666667","17261","","MGDG(26:1)+NH4","662.48377","483.40447","465.3939","0.668754166666667","0.968754166666667","17261"
"","MGDG(26:2)+NH4",0,0,0,"1.35089027777778","1.65089027777778","14480","","MGDG(26:2)+NH4",0,0,0,"1.35089027777778","1.65089027777778","14480","","MGDG(26:2)+NH4",0,0,0,"1.35089027777778","1.65089027777778","14480","","MGDG(26:2)+NH4",0,0,0,"1.35089027777778","1.65089027777778","14480","","MGDG(26:2)+NH4",0,0,0,"1.35089027777778","1.65089027777778","14480","","MGDG(26:2)+NH4","660.46812","481.38882","463.37825","1.35089027777778","1.65089027777778","14480"
"","MGDG(26:3)+NH4",0,0,0,"1.10364166666667","1.40364166666667","17624","","MGDG(26:3)+NH4",0,0,0,"1.10364166666667","1.40364166666667","17624","","MGDG(26:3)+NH4",0,0,0,"1.10364166666667","1.40364166666667","17624","","MGDG(26:3)+NH4",0,0,0,"1.10364166666667","1.40364166666667","17624","","MGDG(26:3)+NH4",0,0,0,"1.10364166666667","1.40364166666667","17624","","MGDG(26:3)+NH4","658.45246","479.37316","461.36259","1.10364166666667","1.40364166666667","17624"
"","MGDG(26:4)+NH4",0,0,0,"0.49865303030303","0.79865303030303","7970","","MGDG(26:4)+NH4",0,0,0,"0.49865303030303","0.79865303030303","7970","","MGDG(26:4)+NH4",0,0,0,"0.49865303030303","0.79865303030303","7970","","MGDG(26:4)+NH4",0,0,0,"0.49865303030303","0.79865303030303","7970","","MGDG(26:4)+NH4",0,0,0,"0.49865303030303","0.79865303030303","7970","","MGDG(26:4)+NH4","656.43682","477.35752","459.34695","0.49865303030303","0.79865303030303","7970"
"","MGDG(27:2)+NH4",0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(27:2)+NH4",0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(27:2)+NH4",0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(27:2)+NH4",0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(27:2)+NH4",0,0,0,"1.41962638888889","1.71962638888889","15823","","MGDG(27:2)+NH4","674.48377","495.40447","477.3939","1.41962638888889","1.71962638888889","15823"
"","MGDG(28:2)+NH4",0,0,0,"1.6224","1.9224","7089","","MGDG(28:2)+NH4",0,0,0,"1.6224","1.9224","7089","","MGDG(28:2)+NH4",0,0,0,"1.6224","1.9224","7089","","MGDG(28:2)+NH4",0,0,0,"1.6224","1.9224","7089","","MGDG(28:2)+NH4",0,0,0,"1.6224","1.9224","7089","","MGDG(28:2)+NH4","688.49942","509.42012","491.40955","1.6224","1.9224","7089"
"","MGDG(28:3)+NH4",0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(28:3)+NH4",0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(28:3)+NH4",0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(28:3)+NH4",0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(28:3)+NH4",0,0,0,"1.37178194444444","1.67178194444444","13606","","MGDG(28:3)+NH4","686.48377","507.40447","489.3939","1.37178194444444","1.67178194444444","13606"
"","MGDG(29:1)+NH4",0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(29:1)+NH4",0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(29:1)+NH4",0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(29:1)+NH4",0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(29:1)+NH4",0,0,0,"0.437631944444444","0.737631944444444","7066","","MGDG(29:1)+NH4","704.53072","525.45142","507.44085","0.437631944444444","0.737631944444444","7066"
