"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","RT at Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Number of Scans","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Max Intensity","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Average m/z","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmanyl-PS","[M+H]+","MH-PC","RT_min","RT_max","Comment"
"","Plasmanyl-PS(36:0)+H",0,0,"9.62782916666667","9.92782916666667","14442","","Plasmanyl-PS(36:0)+H",0,0,"9.62782916666667","9.92782916666667","14442","","Plasmanyl-PS(36:0)+H",0,0,"9.62782916666667","9.92782916666667","14442","","Plasmanyl-PS(36:0)+H",0,0,"9.62782916666667","9.92782916666667","14442","","Plasmanyl-PS(36:0)+H",0,0,"9.62782916666667","9.92782916666667","14442","","Plasmanyl-PS(36:0)+H","778.59572","593.58677","9.62782916666667","9.92782916666667","14442"
"","Plasmanyl-PS(36:1)+H",1,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",6.225476,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",1,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",463349.5,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H",776.5809,0,"6.06026805555555","6.36026805555555","551","","Plasmanyl-PS(36:1)+H","776.58012","591.57117","6.06026805555555","6.36026805555555","551"
"","Plasmanyl-PS(36:1)+H",1,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",4.055396,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",1,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",1151.403,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H",776.5801,0,"3.8481","4.1481","7330","","Plasmanyl-PS(36:1)+H","776.58012","591.57117","3.8481","4.1481","7330"
"","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H",0,0,"4.86781666666667","5.16781666666667","13186","","Plasmanyl-PS(36:1)+H","776.58012","591.57117","4.86781666666667","5.16781666666667","13186"
"","Plasmanyl-PS(36:2)+H",1,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",5.172553,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",2,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",494380.4,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H",774.5666,0,"5.07425277777778","5.37425277777778","330","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","5.07425277777778","5.37425277777778","330"
"","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H",0,0,"3.15768333333333","3.45768333333333","3664","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","3.15768333333333","3.45768333333333","3664"
"","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H",0,0,"2.97523055555556","3.27523055555556","11461","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","2.97523055555556","3.27523055555556","11461"
"","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H",0,0,"5.33678333333333","5.63678333333333","17206","","Plasmanyl-PS(36:2)+H","774.56442","589.55547","5.33678333333333","5.63678333333333","17206"
"","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H",0,0,"4.90192222222222","5.20192222222222","778","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.90192222222222","5.20192222222222","778"
"","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H",0,0,"4.55881212121212","4.85881212121212","5700","","Plasmanyl-PS(36:3)+H","772.54882","587.53987","4.55881212121212","4.85881212121212","5700"
