"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Average m/z","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","RT_min","RT_max","Comment"
"","DGDG(29:1)+NH4",0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(29:1)+NH4",0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(29:1)+NH4",0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(29:1)+NH4",0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(29:1)+NH4",0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(29:1)+NH4","866.58392","525.45142","507.44085","4.93215277777778","5.23215277777778","5542"
"","DGDG(29:1)+NH4",0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(29:1)+NH4",0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(29:1)+NH4",0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(29:1)+NH4",0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(29:1)+NH4",0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(29:1)+NH4","866.58392","525.45142","507.44085","7.67033888888889","7.97033888888889","15208"
"","DGDG(29:3)+NH4",0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(29:3)+NH4",0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(29:3)+NH4",0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(29:3)+NH4",0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(29:3)+NH4",0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(29:3)+NH4","862.55262","521.42012","503.40955","5.67039583333333","5.97039583333333","18918"
"","DGDG(30:0)+NH4",0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(30:0)+NH4",0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(30:0)+NH4",0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(30:0)+NH4",0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(30:0)+NH4",0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(30:0)+NH4","882.61522","541.48272","523.47215","1.17231944444444","1.47231944444444","16662"
"","DGDG(30:2)+NH4",0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(30:2)+NH4",0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(30:2)+NH4",0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(30:2)+NH4",0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(30:2)+NH4",0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(30:2)+NH4","878.58392","537.45142","519.44085","8.52266666666667","8.82266666666667","16911"
"","DGDG(30:5)+NH4",0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(30:5)+NH4",0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(30:5)+NH4",0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(30:5)+NH4",0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(30:5)+NH4",0,0,0,"5.51560694444444","5.81560694444444","5093","","DGDG(30:5)+NH4","872.53697","531.40447","513.3939","5.51560694444444","5.81560694444444","5093"
"","DGDG(30:6)+NH4",0,0,0,"5.38028055555556","5.68028055555556","9833","","DGDG(30:6)+NH4",0,0,0,"5.38028055555556","5.68028055555556","9833","","DGDG(30:6)+NH4",0,0,0,"5.38028055555556","5.68028055555556","9833","","DGDG(30:6)+NH4",0,0,0,"5.38028055555556","5.68028055555556","9833","","DGDG(30:6)+NH4",0,0,0,"5.38028055555556","5.68028055555556","9833","","DGDG(30:6)+NH4","870.52132","529.38882","511.37825","5.38028055555556","5.68028055555556","9833"
"","DGDG(31:0)+NH4",0,0,0,"5.16965","5.46965","15016","","DGDG(31:0)+NH4",0,0,0,"5.16965","5.46965","15016","","DGDG(31:0)+NH4",0,0,0,"5.16965","5.46965","15016","","DGDG(31:0)+NH4",0,0,0,"5.16965","5.46965","15016","","DGDG(31:0)+NH4",0,0,0,"5.16965","5.46965","15016","","DGDG(31:0)+NH4","896.63082","555.49832","537.48775","5.16965","5.46965","15016"
"","DGDG(31:5)+NH4",0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(31:5)+NH4",0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(31:5)+NH4",0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(31:5)+NH4",0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(31:5)+NH4",0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(31:5)+NH4","886.55262","545.42012","527.40955","5.49449090909091","5.79449090909091","7043"
"","DGDG(32:1)+NH4",0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(32:1)+NH4",0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(32:1)+NH4",0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(32:1)+NH4",0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(32:1)+NH4",0,0,0,"10.3205424242424","10.6205424242424","3690","","DGDG(32:1)+NH4","908.63082","567.49832","549.48775","10.3205424242424","10.6205424242424","3690"
"","DGDG(32:4)+NH4",0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(32:4)+NH4",0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(32:4)+NH4",0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(32:4)+NH4",0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(32:4)+NH4",0,0,0,"7.91595694444445","8.21595694444445","14544","","DGDG(32:4)+NH4","902.58392","561.45142","543.44085","7.91595694444445","8.21595694444445","14544"
"","DGDG(34:2)+NH4",0,0,0,"1.121775","1.421775","2851","","DGDG(34:2)+NH4",0,0,0,"1.121775","1.421775","2851","","DGDG(34:2)+NH4",0,0,0,"1.121775","1.421775","2851","","DGDG(34:2)+NH4",0,0,0,"1.121775","1.421775","2851","","DGDG(34:2)+NH4",0,0,0,"1.121775","1.421775","2851","","DGDG(34:2)+NH4","934.64652","593.51402","575.50345","1.121775","1.421775","2851"
"","DGDG(36:0)+NH4",0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(36:0)+NH4",0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(36:0)+NH4",0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(36:0)+NH4",0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(36:0)+NH4",0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(36:0)+NH4","966.70912","625.57662","607.56605","12.4749909090909","12.7749909090909","11579"
