"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PS","[M+H]+","MH-head","RT_min","RT_max","Comment"
"","Plasmenyl-PS(31:2)+H",0,0,"1.38289583333333","1.68289583333333","9981","","Plasmenyl-PS(31:2)+H",0,0,"1.38289583333333","1.68289583333333","9981","","Plasmenyl-PS(31:2)+H",0,0,"1.38289583333333","1.68289583333333","9981","","Plasmenyl-PS(31:2)+H",0,0,"1.38289583333333","1.68289583333333","9981","","Plasmenyl-PS(31:2)+H",0,0,"1.38289583333333","1.68289583333333","9981","","Plasmenyl-PS(31:2)+H","702.47053","517.46158","1.38289583333333","1.68289583333333","9981"
"","Plasmenyl-PS(31:2)+H",0,0,"1.12015555555556","1.42015555555556","11791","","Plasmenyl-PS(31:2)+H",0,0,"1.12015555555556","1.42015555555556","11791","","Plasmenyl-PS(31:2)+H",0,0,"1.12015555555556","1.42015555555556","11791","","Plasmenyl-PS(31:2)+H",0,0,"1.12015555555556","1.42015555555556","11791","","Plasmenyl-PS(31:2)+H",0,0,"1.12015555555556","1.42015555555556","11791","","Plasmenyl-PS(31:2)+H","702.47053","517.46158","1.12015555555556","1.42015555555556","11791"
"","Plasmenyl-PS(32:1)+H",0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(32:1)+H",0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(32:1)+H",0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(32:1)+H",0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(32:1)+H",0,0,"1.71265833333333","2.01265833333333","6946","","Plasmenyl-PS(32:1)+H","718.50183","533.49288","1.71265833333333","2.01265833333333","6946"
"","Plasmenyl-PS(32:1)+H",0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(32:1)+H",0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(32:1)+H",0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(32:1)+H",0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(32:1)+H",0,0,"2.10559305555556","2.40559305555556","14062","","Plasmenyl-PS(32:1)+H","718.50183","533.49288","2.10559305555556","2.40559305555556","14062"
"","Plasmenyl-PS(32:2)+H",0,0,"1.76707222222222","2.06707222222222","7284","","Plasmenyl-PS(32:2)+H",0,0,"1.76707222222222","2.06707222222222","7284","","Plasmenyl-PS(32:2)+H",0,0,"1.76707222222222","2.06707222222222","7284","","Plasmenyl-PS(32:2)+H",0,0,"1.76707222222222","2.06707222222222","7284","","Plasmenyl-PS(32:2)+H",0,0,"1.76707222222222","2.06707222222222","7284","","Plasmenyl-PS(32:2)+H","716.48623","531.47728","1.76707222222222","2.06707222222222","7284"
"","Plasmenyl-PS(32:2)+H",0,0,"1.56485694444444","1.86485694444444","14724","","Plasmenyl-PS(32:2)+H",0,0,"1.56485694444444","1.86485694444444","14724","","Plasmenyl-PS(32:2)+H",0,0,"1.56485694444444","1.86485694444444","14724","","Plasmenyl-PS(32:2)+H",0,0,"1.56485694444444","1.86485694444444","14724","","Plasmenyl-PS(32:2)+H",0,0,"1.56485694444444","1.86485694444444","14724","","Plasmenyl-PS(32:2)+H","716.48623","531.47728","1.56485694444444","1.86485694444444","14724"
"","Plasmenyl-PS(32:2)+H",0,0,"1.34834166666667","1.64834166666667","16130","","Plasmenyl-PS(32:2)+H",0,0,"1.34834166666667","1.64834166666667","16130","","Plasmenyl-PS(32:2)+H",0,0,"1.34834166666667","1.64834166666667","16130","","Plasmenyl-PS(32:2)+H",0,0,"1.34834166666667","1.64834166666667","16130","","Plasmenyl-PS(32:2)+H",0,0,"1.34834166666667","1.64834166666667","16130","","Plasmenyl-PS(32:2)+H","716.48623","531.47728","1.34834166666667","1.64834166666667","16130"
"","Plasmenyl-PS(33:3)+H",0,0,"1.77506111111111","2.07506111111111","15044","","Plasmenyl-PS(33:3)+H",0,0,"1.77506111111111","2.07506111111111","15044","","Plasmenyl-PS(33:3)+H",0,0,"1.77506111111111","2.07506111111111","15044","","Plasmenyl-PS(33:3)+H",0,0,"1.77506111111111","2.07506111111111","15044","","Plasmenyl-PS(33:3)+H",0,0,"1.77506111111111","2.07506111111111","15044","","Plasmenyl-PS(33:3)+H","728.48623","543.47728","1.77506111111111","2.07506111111111","15044"
"","Plasmenyl-PS(34:0)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(34:0)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(34:0)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(34:0)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(34:0)+H",0,0,"4.89981527777778","5.19981527777778","9166","","Plasmenyl-PS(34:0)+H","748.54873","563.53978","4.89981527777778","5.19981527777778","9166"
"","Plasmenyl-PS(34:0)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(34:0)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(34:0)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(34:0)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(34:0)+H",0,0,"5.33257777777778","5.63257777777778","12455","","Plasmenyl-PS(34:0)+H","748.54873","563.53978","5.33257777777778","5.63257777777778","12455"
