"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxPE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","OxPE(20:1(KeKe))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:1(KeKe))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:1(KeKe))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:1(KeKe))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:1(KeKe))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:1(KeKe))+H","550.27762","409.25851","142.02639","0.369273611111111","0.669273611111111","4492"
"","OxPE(20:2(KeKe))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:2(KeKe))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:2(KeKe))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:2(KeKe))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:2(KeKe))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:2(KeKe))+H","548.26198","407.24287","142.02639","15.3733736111111","15.6733736111111","8143"
"","OxPE(20:2(KeKe))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:2(KeKe))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:2(KeKe))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:2(KeKe))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:2(KeKe))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:2(KeKe))+H","548.26198","407.24287","142.02639","16.4202916666667","16.7202916666667","11772"
"","OxPE(20:2(KeKe))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:2(KeKe))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:2(KeKe))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:2(KeKe))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:2(KeKe))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:2(KeKe))+H","548.26198","407.24287","142.02639","15.5114954545455","15.8114954545455","12282"
"","OxPE(20:2(KeKe))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:2(KeKe))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:2(KeKe))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:2(KeKe))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:2(KeKe))+H",0,0,0,"12.3069055555556","12.6069055555556","12626","","OxPE(20:2(KeKe))+H","548.26198","407.24287","142.02639","12.3069055555556","12.6069055555556","12626"
"","OxPE(20:2(KeKe))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:2(KeKe))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:2(KeKe))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:2(KeKe))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:2(KeKe))+H",0,0,0,"16.5243696969697","16.8243696969697","17330","","OxPE(20:2(KeKe))+H","548.26198","407.24287","142.02639","16.5243696969697","16.8243696969697","17330"
"","OxPE(20:2(KeO))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:2(KeO))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:2(KeO))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:2(KeO))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:2(KeO))+H",0,0,0,"0.369273611111111","0.669273611111111","4492","","OxPE(20:2(KeO))+H","550.27761","409.2585","142.02639","0.369273611111111","0.669273611111111","4492"
"","OxPE(20:3(KeO))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:3(KeO))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:3(KeO))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:3(KeO))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:3(KeO))+H",0,0,0,"15.3733736111111","15.6733736111111","8143","","OxPE(20:3(KeO))+H","548.26196","407.24285","142.02639","15.3733736111111","15.6733736111111","8143"
"","OxPE(20:3(KeO))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:3(KeO))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:3(KeO))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:3(KeO))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:3(KeO))+H",0,0,0,"16.4202916666667","16.7202916666667","11772","","OxPE(20:3(KeO))+H","548.26196","407.24285","142.02639","16.4202916666667","16.7202916666667","11772"
"","OxPE(20:3(KeO))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:3(KeO))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:3(KeO))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:3(KeO))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:3(KeO))+H",0,0,0,"15.5114954545455","15.8114954545455","12282","","OxPE(20:3(KeO))+H","548.26196","407.24285","142.02639","15.5114954545455","15.8114954545455","12282"
