"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","RT at Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Number of Scans","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Max Intensity","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Average m/z","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","SM","[M+H]+","MH-PC","MH-N(CH3)3","Mprev-C2H4O4P","Mprev-H2O","PC Head","CH2CHN(CH3)3","RT_min","RT_max","Comment"
"","SM(32:2)+H",0,0,0,0,0,0,0,"2.86193472222222","3.16193472222222","8005","","SM(32:2)+H",0,0,0,0,0,0,0,"2.86193472222222","3.16193472222222","8005","","SM(32:2)+H",0,0,0,0,0,0,0,"2.86193472222222","3.16193472222222","8005","","SM(32:2)+H",0,0,0,0,0,0,0,"2.86193472222222","3.16193472222222","8005","","SM(32:2)+H",0,0,0,0,0,0,0,"2.86193472222222","3.16193472222222","8005","","SM(32:2)+H","673.52787","490.46183","614.45433","490.46175","472.45117","184.07332","86.09648","2.86193472222222","3.16193472222222","8005"
"","SM(32:3)+H",0,0,0,0,0,0,0,"2.14987222222222","2.44987222222222","8873","","SM(32:3)+H",0,0,0,0,0,0,0,"2.14987222222222","2.44987222222222","8873","","SM(32:3)+H",0,0,0,0,0,0,0,"2.14987222222222","2.44987222222222","8873","","SM(32:3)+H",0,0,0,0,0,0,0,"2.14987222222222","2.44987222222222","8873","","SM(32:3)+H",0,0,0,0,0,0,0,"2.14987222222222","2.44987222222222","8873","","SM(32:3)+H","671.51227","488.44623","612.43873","488.44615","470.43557","184.07332","86.09648","2.14987222222222","2.44987222222222","8873"
"","SM(32:5)+H",0,0,0,0,0,0,0,"1.46345416666667","1.76345416666667","18247","","SM(32:5)+H",0,0,0,0,0,0,0,"1.46345416666667","1.76345416666667","18247","","SM(32:5)+H",0,0,0,0,0,0,0,"1.46345416666667","1.76345416666667","18247","","SM(32:5)+H",0,0,0,0,0,0,0,"1.46345416666667","1.76345416666667","18247","","SM(32:5)+H",0,0,0,0,0,0,0,"1.46345416666667","1.76345416666667","18247","","SM(32:5)+H","667.48097","484.41493","608.40743","484.41485","466.40427","184.07332","86.09648","1.46345416666667","1.76345416666667","18247"
"","SM(32:6)+H",0,0,0,0,0,0,0,"8.29195694444444","8.59195694444444","15347","","SM(32:6)+H",0,0,0,0,0,0,0,"8.29195694444444","8.59195694444444","15347","","SM(32:6)+H",0,0,0,0,0,0,0,"8.29195694444444","8.59195694444444","15347","","SM(32:6)+H",0,0,0,0,0,0,0,"8.29195694444444","8.59195694444444","15347","","SM(32:6)+H",0,0,0,0,0,0,0,"8.29195694444444","8.59195694444444","15347","","SM(32:6)+H","665.46527","482.39923","606.39173","482.39915","464.38857","184.07332","86.09648","8.29195694444444","8.59195694444444","15347"
"","SM(32:6)+H",0,0,0,0,0,0,0,"14.2190791666667","14.5190791666667","17909","","SM(32:6)+H",0,0,0,0,0,0,0,"14.2190791666667","14.5190791666667","17909","","SM(32:6)+H",0,0,0,0,0,0,0,"14.2190791666667","14.5190791666667","17909","","SM(32:6)+H",0,0,0,0,0,0,0,"14.2190791666667","14.5190791666667","17909","","SM(32:6)+H",0,0,0,0,0,0,0,"14.2190791666667","14.5190791666667","17909","","SM(32:6)+H","665.46527","482.39923","606.39173","482.39915","464.38857","184.07332","86.09648","14.2190791666667","14.5190791666667","17909"
"","SM(32:6)+H",0,0,0,0,0,0,0,"13.5855166666667","13.8855166666667","17944","","SM(32:6)+H",0,0,0,0,0,0,0,"13.5855166666667","13.8855166666667","17944","","SM(32:6)+H",0,0,0,0,0,0,0,"13.5855166666667","13.8855166666667","17944","","SM(32:6)+H",0,0,0,0,0,0,0,"13.5855166666667","13.8855166666667","17944","","SM(32:6)+H",0,0,0,0,0,0,0,"13.5855166666667","13.8855166666667","17944","","SM(32:6)+H","665.46527","482.39923","606.39173","482.39915","464.38857","184.07332","86.09648","13.5855166666667","13.8855166666667","17944"
"","SM(32:6)+H",0,0,0,0,0,0,0,"13.2126444444444","13.5126444444444","18004","","SM(32:6)+H",0,0,0,0,0,0,0,"13.2126444444444","13.5126444444444","18004","","SM(32:6)+H",0,0,0,0,0,0,0,"13.2126444444444","13.5126444444444","18004","","SM(32:6)+H",0,0,0,0,0,0,0,"13.2126444444444","13.5126444444444","18004","","SM(32:6)+H",0,0,0,0,0,0,0,"13.2126444444444","13.5126444444444","18004","","SM(32:6)+H","665.46527","482.39923","606.39173","482.39915","464.38857","184.07332","86.09648","13.2126444444444","13.5126444444444","18004"
"","SM(32:6)+H",0,0,0,0,0,0,0,"14.6891545454545","14.9891545454545","18088","","SM(32:6)+H",0,0,0,0,0,0,0,"14.6891545454545","14.9891545454545","18088","","SM(32:6)+H",0,0,0,0,0,0,0,"14.6891545454545","14.9891545454545","18088","","SM(32:6)+H",0,0,0,0,0,0,0,"14.6891545454545","14.9891545454545","18088","","SM(32:6)+H",0,0,0,0,0,0,0,"14.6891545454545","14.9891545454545","18088","","SM(32:6)+H","665.46527","482.39923","606.39173","482.39915","464.38857","184.07332","86.09648","14.6891545454545","14.9891545454545","18088"
"","SM(32:6)+H",0,0,0,0,0,0,0,"12.4448958333333","12.7448958333333","18112","","SM(32:6)+H",0,0,0,0,0,0,0,"12.4448958333333","12.7448958333333","18112","","SM(32:6)+H",0,0,0,0,0,0,0,"12.4448958333333","12.7448958333333","18112","","SM(32:6)+H",0,0,0,0,0,0,0,"12.4448958333333","12.7448958333333","18112","","SM(32:6)+H",0,0,0,0,0,0,0,"12.4448958333333","12.7448958333333","18112","","SM(32:6)+H","665.46527","482.39923","606.39173","482.39915","464.38857","184.07332","86.09648","12.4448958333333","12.7448958333333","18112"
"","SM(33:0)+H",0,0,0,0,0,0,0,"5.77424027777778","6.07424027777778","2106","","SM(33:0)+H",0,0,0,0,0,0,0,"5.77424027777778","6.07424027777778","2106","","SM(33:0)+H",0,0,0,0,0,0,0,"5.77424027777778","6.07424027777778","2106","","SM(33:0)+H",0,0,0,0,0,0,0,"5.77424027777778","6.07424027777778","2106","","SM(33:0)+H",0,0,0,0,0,0,0,"5.77424027777778","6.07424027777778","2106","","SM(33:0)+H","691.57487","508.50883","632.50133","508.50875","490.49817","184.07332","86.09648","5.77424027777778","6.07424027777778","2106"
