"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PC","[M+H]+","MH-PC","PC_Head","RT_min","RT_max","Comment"
"","Plasmenyl-PC(33:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PC(33:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PC(33:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PC(33:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PC(33:3)+H",0,0,0,"7.24894027777778","7.54894027777778","813","","Plasmenyl-PC(33:3)+H","726.5432976","543.4772576","184.07332","7.24894027777778","7.54894027777778","813"
"","Plasmenyl-PC(33:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PC(33:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PC(33:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PC(33:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PC(33:3)+H",0,0,0,"7.47321388888889","7.77321388888889","1207","","Plasmenyl-PC(33:3)+H","726.5432976","543.4772576","184.07332","7.47321388888889","7.77321388888889","1207"
"","Plasmenyl-PC(33:3)+H",0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PC(33:3)+H",0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PC(33:3)+H",0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PC(33:3)+H",0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PC(33:3)+H",0,0,0,"12.2246125","12.5246125","7327","","Plasmenyl-PC(33:3)+H","726.5432976","543.4772576","184.07332","12.2246125","12.5246125","7327"
"","Plasmenyl-PC(33:3)+H",0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PC(33:3)+H",0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PC(33:3)+H",0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PC(33:3)+H",0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PC(33:3)+H",0,0,0,"12.8074090909091","13.1074090909091","10619","","Plasmenyl-PC(33:3)+H","726.5432976","543.4772576","184.07332","12.8074090909091","13.1074090909091","10619"
"","Plasmenyl-PC(34:0)+H",1,1,1,"7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(34:0)+H",8.12022,8.12022,8.12022,"7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(34:0)+H",2,2,2,"7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(34:0)+H",2061740,15174.91,20057510,"7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(34:0)+H",746.6059,563.54025,184.07335,"7.97837916666667","8.27837916666667","130","","Plasmenyl-PC(34:0)+H","746.6057976","563.5397576","184.07332","7.97837916666667","8.27837916666667","130"
"","Plasmenyl-PC(34:0)+H",1,0,1,"8.86561944444444","9.16561944444444","2012","","Plasmenyl-PC(34:0)+H",8.923824,0,8.923824,"8.86561944444444","9.16561944444444","2012","","Plasmenyl-PC(34:0)+H",1,0,1,"8.86561944444444","9.16561944444444","2012","","Plasmenyl-PC(34:0)+H",5078.562,0,33444.68,"8.86561944444444","9.16561944444444","2012","","Plasmenyl-PC(34:0)+H",746.6073,0,184.0739,"8.86561944444444","9.16561944444444","2012","","Plasmenyl-PC(34:0)+H","746.6057976","563.5397576","184.07332","8.86561944444444","9.16561944444444","2012"
"","Plasmenyl-PC(34:1)+H",1,1,1,"7.08499861111111","7.38499861111111","107","","Plasmenyl-PC(34:1)+H",7.230513,7.230513,7.230513,"7.08499861111111","7.38499861111111","107","","Plasmenyl-PC(34:1)+H",2,2,2,"7.08499861111111","7.38499861111111","107","","Plasmenyl-PC(34:1)+H",3348612,22286.13,33987040,"7.08499861111111","7.38499861111111","107","","Plasmenyl-PC(34:1)+H",744.5904,561.52435,184.07335,"7.08499861111111","7.38499861111111","107","","Plasmenyl-PC(34:1)+H","744.5901976","561.5241576","184.07332","7.08499861111111","7.38499861111111","107"
"","Plasmenyl-PC(34:1)+H",1,0,1,"7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(34:1)+H",8.027212,0,8.027212,"7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(34:1)+H",4,0,4,"7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(34:1)+H",877574.1,0,7966249,"7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(34:1)+H",744.590575,0,184.073475,"7.82195138888889","8.12195138888889","162","","Plasmenyl-PC(34:1)+H","744.5901976","561.5241576","184.07332","7.82195138888889","8.12195138888889","162"
"","Plasmenyl-PC(34:2)+H",1,0,1,"6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(34:2)+H",7.097293,0,7.097293,"6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(34:2)+H",3,0,3,"6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(34:2)+H",2427263,0,23423840,"6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(34:2)+H",742.575,0,184.0734,"6.89165555555555","7.19165555555555","82","","Plasmenyl-PC(34:2)+H","742.5744976","559.5084576","184.07332","6.89165555555555","7.19165555555555","82"
"","Plasmenyl-PC(34:2)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmenyl-PC(34:2)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmenyl-PC(34:2)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmenyl-PC(34:2)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmenyl-PC(34:2)+H",0,0,0,"8.96104285714286","9.26104285714286","12399","","Plasmenyl-PC(34:2)+H","742.5744976","559.5084576","184.07332","8.96104285714286","9.26104285714286","12399"
