"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","RT at Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Number of Scans","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Max Intensity","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Average m/z","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PE","[M+H]+","NL_head","head","RT_min","RT_max","Comment"
"","PE(34:0)+H",1,0,0,"6.43381527777778","6.73381527777778","1486","","PE(34:0)+H",6.58182,0,0,"6.43381527777778","6.73381527777778","1486","","PE(34:0)+H",1,0,0,"6.43381527777778","6.73381527777778","1486","","PE(34:0)+H",89414.06,0,0,"6.43381527777778","6.73381527777778","1486","","PE(34:0)+H",720.5549,0,0,"6.43381527777778","6.73381527777778","1486","","PE(34:0)+H","720.55378","579.53467","142.02639","6.43381527777778","6.73381527777778","1486"
"","PE(34:1)+H",1,1,0,"7.62599583333333","7.92599583333333","802","","PE(34:1)+H",7.810819,7.810819,0,"7.62599583333333","7.92599583333333","802","","PE(34:1)+H",1,2,0,"7.62599583333333","7.92599583333333","802","","PE(34:1)+H",6364.684,934306.4,0,"7.62599583333333","7.92599583333333","802","","PE(34:1)+H",718.5387,577.51975,0,"7.62599583333333","7.92599583333333","802","","PE(34:1)+H","718.53818","577.51907","142.02639","7.62599583333333","7.92599583333333","802"
"","PE(34:1)+H",1,0,0,"5.51697222222222","5.81697222222222","1575","","PE(34:1)+H",5.717829,0,0,"5.51697222222222","5.81697222222222","1575","","PE(34:1)+H",1,0,0,"5.51697222222222","5.81697222222222","1575","","PE(34:1)+H",54893.42,0,0,"5.51697222222222","5.81697222222222","1575","","PE(34:1)+H",718.5396,0,0,"5.51697222222222","5.81697222222222","1575","","PE(34:1)+H","718.53818","577.51907","142.02639","5.51697222222222","5.81697222222222","1575"
"","PE(34:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PE(34:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PE(34:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PE(34:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PE(34:1)+H",0,0,0,"12.7411416666667","13.0411416666667","2551","","PE(34:1)+H","718.53818","577.51907","142.02639","12.7411416666667","13.0411416666667","2551"
"","PE(34:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PE(34:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PE(34:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PE(34:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PE(34:1)+H",0,0,0,"5.99224242424243","6.29224242424243","5695","","PE(34:1)+H","718.53818","577.51907","142.02639","5.99224242424243","6.29224242424243","5695"
"","PE(34:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PE(34:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PE(34:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PE(34:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PE(34:1)+H",0,0,0,"5.28361363636364","5.58361363636364","12223","","PE(34:1)+H","718.53818","577.51907","142.02639","5.28361363636364","5.58361363636364","12223"
"","PE(34:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PE(34:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PE(34:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PE(34:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PE(34:1)+H",0,0,0,"12.5310424242424","12.8310424242424","14854","","PE(34:1)+H","718.53818","577.51907","142.02639","12.5310424242424","12.8310424242424","14854"
"","PE(34:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PE(34:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PE(34:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PE(34:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PE(34:1)+H",0,0,0,"5.78686818181818","6.08686818181818","15153","","PE(34:1)+H","718.53818","577.51907","142.02639","5.78686818181818","6.08686818181818","15153"
"","PE(34:2)+H",1,1,0,"6.68251805555556","6.98251805555556","422","","PE(34:2)+H",6.856732,6.856732,0,"6.68251805555556","6.98251805555556","422","","PE(34:2)+H",1,1,0,"6.68251805555556","6.98251805555556","422","","PE(34:2)+H",20486.5,2198774,0,"6.68251805555556","6.98251805555556","422","","PE(34:2)+H",716.5242,575.5046,0,"6.68251805555556","6.98251805555556","422","","PE(34:2)+H","716.52248","575.50337","142.02639","6.68251805555556","6.98251805555556","422"
"","PE(34:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PE(34:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PE(34:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PE(34:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PE(34:2)+H",0,0,0,"12.2190791666667","12.5190791666667","1321","","PE(34:2)+H","716.52248","575.50337","142.02639","12.2190791666667","12.5190791666667","1321"
