"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","RT at Max Intensity","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Number of Scans","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Max Intensity","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Average m/z","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PS","[M+Na]+","Phosphoserine+Na","RT_min","RT_max","Comment"
"","PS(38:0)+Na",0,0,"5.68667916666667","5.98667916666667","10954","","PS(38:0)+Na",0,0,"5.68667916666667","5.98667916666667","10954","","PS(38:0)+Na",0,0,"5.68667916666667","5.98667916666667","10954","","PS(38:0)+Na",0,0,"5.68667916666667","5.98667916666667","10954","","PS(38:0)+Na",0,0,"5.68667916666667","5.98667916666667","10954","","PS(38:0)+Na","842.5881249","207.99872","5.68667916666667","5.98667916666667","10954"
"","PS(38:0)+Na",0,0,"4.98549305555556","5.28549305555556","12814","","PS(38:0)+Na",0,0,"4.98549305555556","5.28549305555556","12814","","PS(38:0)+Na",0,0,"4.98549305555556","5.28549305555556","12814","","PS(38:0)+Na",0,0,"4.98549305555556","5.28549305555556","12814","","PS(38:0)+Na",0,0,"4.98549305555556","5.28549305555556","12814","","PS(38:0)+Na","842.5881249","207.99872","4.98549305555556","5.28549305555556","12814"
"","PS(38:0)+Na",0,0,"4.71984242424242","5.01984242424242","13153","","PS(38:0)+Na",0,0,"4.71984242424242","5.01984242424242","13153","","PS(38:0)+Na",0,0,"4.71984242424242","5.01984242424242","13153","","PS(38:0)+Na",0,0,"4.71984242424242","5.01984242424242","13153","","PS(38:0)+Na",0,0,"4.71984242424242","5.01984242424242","13153","","PS(38:0)+Na","842.5881249","207.99872","4.71984242424242","5.01984242424242","13153"
"","PS(38:0)+Na",0,0,"5.70359444444444","6.00359444444444","13926","","PS(38:0)+Na",0,0,"5.70359444444444","6.00359444444444","13926","","PS(38:0)+Na",0,0,"5.70359444444444","6.00359444444444","13926","","PS(38:0)+Na",0,0,"5.70359444444444","6.00359444444444","13926","","PS(38:0)+Na",0,0,"5.70359444444444","6.00359444444444","13926","","PS(38:0)+Na","842.5881249","207.99872","5.70359444444444","6.00359444444444","13926"
"","PS(38:1)+Na",0,0,"4.10132083333333","4.40132083333333","8692","","PS(38:1)+Na",0,0,"4.10132083333333","4.40132083333333","8692","","PS(38:1)+Na",0,0,"4.10132083333333","4.40132083333333","8692","","PS(38:1)+Na",0,0,"4.10132083333333","4.40132083333333","8692","","PS(38:1)+Na",0,0,"4.10132083333333","4.40132083333333","8692","","PS(38:1)+Na","840.5725249","207.99872","4.10132083333333","4.40132083333333","8692"
"","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","10434","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","10434","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","10434","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","10434","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","10434","","PS(39:5)+Na","846.5256249","207.99872","5.27234242424242","5.57234242424242","10434"
"","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","15493","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","15493","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","15493","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","15493","","PS(39:5)+Na",0,0,"5.27234242424242","5.57234242424242","15493","","PS(39:5)+Na","846.5256249","207.99872","5.27234242424242","5.57234242424242","15493"
"","PS(39:6)+Na",0,0,"4.96850277777778","5.26850277777778","3486","","PS(39:6)+Na",0,0,"4.96850277777778","5.26850277777778","3486","","PS(39:6)+Na",0,0,"4.96850277777778","5.26850277777778","3486","","PS(39:6)+Na",0,0,"4.96850277777778","5.26850277777778","3486","","PS(39:6)+Na",0,0,"4.96850277777778","5.26850277777778","3486","","PS(39:6)+Na","844.5099249","207.99872","4.96850277777778","5.26850277777778","3486"
"","PS(39:6)+Na",0,0,"5.59221805555556","5.89221805555556","10244","","PS(39:6)+Na",0,0,"5.59221805555556","5.89221805555556","10244","","PS(39:6)+Na",0,0,"5.59221805555556","5.89221805555556","10244","","PS(39:6)+Na",0,0,"5.59221805555556","5.89221805555556","10244","","PS(39:6)+Na",0,0,"5.59221805555556","5.89221805555556","10244","","PS(39:6)+Na","844.5099249","207.99872","5.59221805555556","5.89221805555556","10244"
"","PS(40:2)+Na",0,0,"4.93215277777778","5.23215277777778","5542","","PS(40:2)+Na",0,0,"4.93215277777778","5.23215277777778","5542","","PS(40:2)+Na",0,0,"4.93215277777778","5.23215277777778","5542","","PS(40:2)+Na",0,0,"4.93215277777778","5.23215277777778","5542","","PS(40:2)+Na",0,0,"4.93215277777778","5.23215277777778","5542","","PS(40:2)+Na","866.5882249","207.99872","4.93215277777778","5.23215277777778","5542"
"","PS(40:2)+Na",0,0,"7.67033888888889","7.97033888888889","15208","","PS(40:2)+Na",0,0,"7.67033888888889","7.97033888888889","15208","","PS(40:2)+Na",0,0,"7.67033888888889","7.97033888888889","15208","","PS(40:2)+Na",0,0,"7.67033888888889","7.97033888888889","15208","","PS(40:2)+Na",0,0,"7.67033888888889","7.97033888888889","15208","","PS(40:2)+Na","866.5882249","207.99872","7.67033888888889","7.97033888888889","15208"
"","PS(40:4)+Na",0,0,"5.67039583333333","5.97039583333333","18918","","PS(40:4)+Na",0,0,"5.67039583333333","5.97039583333333","18918","","PS(40:4)+Na",0,0,"5.67039583333333","5.97039583333333","18918","","PS(40:4)+Na",0,0,"5.67039583333333","5.97039583333333","18918","","PS(40:4)+Na",0,0,"5.67039583333333","5.97039583333333","18918","","PS(40:4)+Na","862.5568249","207.99872","5.67039583333333","5.97039583333333","18918"
"","PS(41:3)+Na",0,0,"8.52266666666667","8.82266666666667","16911","","PS(41:3)+Na",0,0,"8.52266666666667","8.82266666666667","16911","","PS(41:3)+Na",0,0,"8.52266666666667","8.82266666666667","16911","","PS(41:3)+Na",0,0,"8.52266666666667","8.82266666666667","16911","","PS(41:3)+Na",0,0,"8.52266666666667","8.82266666666667","16911","","PS(41:3)+Na","878.5882249","207.99872","8.52266666666667","8.82266666666667","16911"
"","PS(41:4)+Na",0,0,"7.69739444444445","7.99739444444445","18846","","PS(41:4)+Na",0,0,"7.69739444444445","7.99739444444445","18846","","PS(41:4)+Na",0,0,"7.69739444444445","7.99739444444445","18846","","PS(41:4)+Na",0,0,"7.69739444444445","7.99739444444445","18846","","PS(41:4)+Na",0,0,"7.69739444444445","7.99739444444445","18846","","PS(41:4)+Na","876.5725249","207.99872","7.69739444444445","7.99739444444445","18846"
"","PS(41:6)+Na",0,0,"5.51560694444444","5.81560694444444","5093","","PS(41:6)+Na",0,0,"5.51560694444444","5.81560694444444","5093","","PS(41:6)+Na",0,0,"5.51560694444444","5.81560694444444","5093","","PS(41:6)+Na",0,0,"5.51560694444444","5.81560694444444","5093","","PS(41:6)+Na",0,0,"5.51560694444444","5.81560694444444","5093","","PS(41:6)+Na","872.5412249","207.99872","5.51560694444444","5.81560694444444","5093"
"","PS(42:6)+Na",0,0,"5.49449090909091","5.79449090909091","7043","","PS(42:6)+Na",0,0,"5.49449090909091","5.79449090909091","7043","","PS(42:6)+Na",0,0,"5.49449090909091","5.79449090909091","7043","","PS(42:6)+Na",0,0,"5.49449090909091","5.79449090909091","7043","","PS(42:6)+Na",0,0,"5.49449090909091","5.79449090909091","7043","","PS(42:6)+Na","886.5568249","207.99872","5.49449090909091","5.79449090909091","7043"
"","PS(43:2)+Na",0,0,"10.3205424242424","10.6205424242424","3690","","PS(43:2)+Na",0,0,"10.3205424242424","10.6205424242424","3690","","PS(43:2)+Na",0,0,"10.3205424242424","10.6205424242424","3690","","PS(43:2)+Na",0,0,"10.3205424242424","10.6205424242424","3690","","PS(43:2)+Na",0,0,"10.3205424242424","10.6205424242424","3690","","PS(43:2)+Na","908.6351249","207.99872","10.3205424242424","10.6205424242424","3690"
