OxPE,[M+Na]+,PreCursor -43,PreCursor -141,M+Na-43-SN1-H acyl loss,M+Na-43-SN2-H acyl loss,phosphoethanolamine+Na
OxPE(10:0_13:3(COOH))+Na,612.2908478,569.2486478,471.2717535,397.1024478,331.1282578,164.00888
OxPE(10:0_14:1(COOH))+Na,630.3377978,587.2955978,489.3187035,415.1493978,331.1282578,164.00888
OxPE(10:0_14:2(COOH))+Na,628.3221478,585.2799478,487.3030535,413.1337478,331.1282578,164.00888
OxPE(10:0_14:3(COOH))+Na,626.3064978,583.2642978,485.2874035,411.1180978,331.1282578,164.00888
OxPE(10:0_15:1(COOH))+Na,644.3534478,601.3112478,503.3343535,429.1650478,331.1282578,164.00888
OxPE(10:0_15:2(COOH))+Na,642.3377978,599.2955978,501.3187035,427.1493978,331.1282578,164.00888
OxPE(10:0_15:3(COOH))+Na,640.3221478,597.2799478,499.3030535,425.1337478,331.1282578,164.00888
OxPE(10:0_15:4(COOH))+Na,638.3064978,595.2642978,497.2874035,423.1180978,331.1282578,164.00888
OxPE(10:0_16:1(COOH))+Na,658.3690978,615.3268978,517.3500035,443.1806978,331.1282578,164.00888
OxPE(10:0_16:2(COOH))+Na,656.3534478,613.3112478,515.3343535,441.1650478,331.1282578,164.00888
OxPE(10:0_16:3(COOH))+Na,654.3377978,611.2955978,513.3187035,439.1493978,331.1282578,164.00888
OxPE(10:0_16:4(COOH))+Na,652.3221478,609.2799478,511.3030535,437.1337478,331.1282578,164.00888
OxPE(10:0_17:4(COOH))+Na,666.3377978,623.2955978,525.3187035,451.1493978,331.1282578,164.00888
OxPE(10:0_18:4(COOH))+Na,680.3534478,637.3112478,539.3343535,465.1650478,331.1282578,164.00888
OxPE(10:0_18:5(COOH))+Na,678.3377978,635.2955978,537.3187035,463.1493978,331.1282578,164.00888
OxPE(10:0_19:4(COOH))+Na,694.3690978,651.3268978,553.3500035,479.1806978,331.1282578,164.00888
