HexCer-NS,[M+H]+,[M-C6H10O5+H]+,[M-Hex-H2O+H]+,[M-Hex-2H2O+H]+,[Sph-H2O+H]+,[Sph-2H2O+H]+,[FAA+H]+,[Sph-CH4O2+H]+
HexCer-NS(d14:2/13:0)+H,600.4475,438.3947,420.3841,402.3736,224.2009,206.1903,214.2166,194.1903
HexCer-NS(d14:2/13:1)+H,598.4319,436.3791,418.3685,400.3579,224.2009,206.1903,212.2009,194.1903
HexCer-NS(d14:2/14:0)+H,614.4632,452.4103,434.3998,416.3892,224.2009,206.1903,228.2322,194.1903
HexCer-NS(d14:2/14:1)+H,612.4475,450.3947,432.3841,414.3736,224.2009,206.1903,226.2166,194.1903
HexCer-NS(d14:2/15:0)+H,628.4788,466.426,448.4154,430.4049,224.2009,206.1903,242.2478,194.1903
HexCer-NS(d14:2/15:1)+H,626.4632,464.4103,446.3998,428.3892,224.2009,206.1903,240.2322,194.1903
HexCer-NS(d14:2/16:0)+H,642.4945,480.4417,462.4311,444.4205,224.2009,206.1903,256.2635,194.1903
HexCer-NS(d14:2/16:1)+H,640.4788,478.426,460.4154,442.4049,224.2009,206.1903,254.2478,194.1903
HexCer-NS(d14:2/16:2)+H,638.4632,476.4103,458.3998,440.3892,224.2009,206.1903,252.2322,194.1903
HexCer-NS(d14:2/17:0)+H,656.5101,494.4573,476.4467,458.4362,224.2009,206.1903,270.2791,194.1903
HexCer-NS(d14:2/18:0)+H,670.5258,508.473,490.4624,472.4518,224.2009,206.1903,284.2948,194.1903
HexCer-NS(d14:2/18:1)+H,668.5101,506.4573,488.4467,470.4362,224.2009,206.1903,282.2791,194.1903
HexCer-NS(d14:2/18:2)+H,666.4945,504.4417,486.4311,468.4205,224.2009,206.1903,280.2635,194.1903
HexCer-NS(d14:2/19:0)+H,684.5414,522.4886,504.478,486.4675,224.2009,206.1903,298.3105,194.1903
HexCer-NS(d14:2/19:1)+H,682.5258,520.473,502.4624,484.4518,224.2009,206.1903,296.2948,194.1903
HexCer-NS(d14:2/20:0)+H,698.5571,536.5043,518.4937,500.4831,224.2009,206.1903,312.3261,194.1903
HexCer-NS(d14:2/20:1)+H,696.5414,534.4886,516.478,498.4675,224.2009,206.1903,310.3105,194.1903
HexCer-NS(d14:2/20:2)+H,694.5258,532.473,514.4624,496.4518,224.2009,206.1903,308.2948,194.1903
HexCer-NS(d14:2/21:0)+H,712.5728,550.5199,532.5093,514.4988,224.2009,206.1903,326.3417,194.1903
HexCer-NS(d14:2/21:1)+H,710.5571,548.5043,530.4937,512.4831,224.2009,206.1903,324.3261,194.1903
HexCer-NS(d14:2/22:0)+H,726.5884,564.5356,546.525,528.5144,224.2009,206.1903,340.3574,194.1903
HexCer-NS(d14:2/22:1)+H,724.5728,562.5199,544.5093,526.4988,224.2009,206.1903,338.3417,194.1903
HexCer-NS(d14:2/22:2)+H,722.5571,560.5043,542.4937,524.4831,224.2009,206.1903,336.3261,194.1903
HexCer-NS(d14:2/23:0)+H,740.6041,578.5512,560.5406,542.5301,224.2009,206.1903,354.373,194.1903
HexCer-NS(d14:2/23:1)+H,738.5884,576.5356,558.525,540.5144,224.2009,206.1903,352.3574,194.1903
HexCer-NS(d14:2/24:0)+H,754.6197,592.5668,574.5563,556.5457,224.2009,206.1903,368.3887,194.1903
HexCer-NS(d14:2/24:1)+H,752.6041,590.5512,572.5406,554.5301,224.2009,206.1903,366.373,194.1903
HexCer-NS(d14:2/24:2)+H,750.5884,588.5356,570.525,552.5144,224.2009,206.1903,364.3574,194.1903
HexCer-NS(d14:2/25:0)+H,768.6353,606.5825,588.572,570.5613,224.2009,206.1903,382.4044,194.1903
HexCer-NS(d14:2/25:1)+H,766.6197,604.5668,586.5563,568.5457,224.2009,206.1903,380.3887,194.1903
HexCer-NS(d14:2/26:0)+H,782.651,620.5981,602.5876,584.577,224.2009,206.1903,396.42,194.1903
HexCer-NS(d14:2/26:1)+H,780.6353,618.5825,600.572,582.5613,224.2009,206.1903,394.4044,194.1903
HexCer-NS(d14:2/26:2)+H,778.6197,616.5668,598.5563,580.5457,224.2009,206.1903,392.3887,194.1903
HexCer-NS(d14:2/27:0)+H,796.6666,634.6138,616.6032,598.5927,224.2009,206.1903,410.4356,194.1903
HexCer-NS(d14:2/27:1)+H,794.651,632.5981,614.5876,596.577,224.2009,206.1903,408.42,194.1903
HexCer-NS(d14:2/28:0)+H,810.6823,648.6295,630.6189,612.6083,224.2009,206.1903,424.4513,194.1903
HexCer-NS(d14:2/28:1)+H,808.6666,646.6138,628.6032,610.5927,224.2009,206.1903,422.4356,194.1903
HexCer-NS(d14:2/28:2)+H,806.651,644.5981,626.5876,608.577,224.2009,206.1903,420.42,194.1903
HexCer-NS(d14:2/29:0)+H,824.6979,662.6451,644.6345,626.624,224.2009,206.1903,438.4669,194.1903
HexCer-NS(d14:2/29:1)+H,822.6823,660.6295,642.6189,624.6083,224.2009,206.1903,436.4513,194.1903
HexCer-NS(d14:2/30:0)+H,838.7136,676.6608,658.6502,640.6396,224.2009,206.1903,452.4826,194.1903
HexCer-NS(d14:2/30:1)+H,836.6979,674.6451,656.6345,638.624,224.2009,206.1903,450.4669,194.1903
HexCer-NS(d14:2/30:2)+H,834.6823,672.6295,654.6189,636.6083,224.2009,206.1903,448.4513,194.1903
HexCer-NS(d14:2/31:0)+H,852.7292,690.6764,672.6658,654.6553,224.2009,206.1903,466.4983,194.1903
HexCer-NS(d14:2/31:1)+H,850.7136,688.6608,670.6502,652.6396,224.2009,206.1903,464.4826,194.1903
HexCer-NS(d14:2/32:0)+H,866.7449,704.6921,686.6815,668.6709,224.2009,206.1903,480.5139,194.1903
HexCer-NS(d14:2/32:1)+H,864.7292,702.6764,684.6658,666.6553,224.2009,206.1903,478.4983,194.1903
HexCer-NS(d14:2/32:2)+H,862.7136,700.6608,682.6502,664.6396,224.2009,206.1903,476.4826,194.1903
HexCer-NS(d14:2/33:0)+H,880.7606,718.7077,700.6971,682.6866,224.2009,206.1903,494.5295,194.1903
