CL,[M-2H]2-,Prec-SN1_monolyso2-,Prec-SN1+SN2_dilyso2-,Prec-SN3_monolyso2-,Prec-SN3+SN4_dilyso2-,SN1+C3H6PO4,SN2+C3H6PO4,SN3+C3H6PO4,SN4+C3H6PO4,SN1_FA,SN2_FA,SN3_FA,SN4_FA
CL(14:0_14:0_18:2_22:0)-2H,701.4944931,596.3959231,491.2968031,570.3802831,409.2186031,363.19408,363.19408,415.22536,475.3192,227.20153,227.20153,279.23281,339.32665
CL(14:0_14:0_18:2_22:5)-2H,696.455368,591.356798,486.257678,565.341158,409.218578,363.19408,363.19408,415.22536,465.241,227.20153,227.20153,279.23281,329.24845
CL(14:0_14:0_18:2_22:6)-2H,695.4475429,590.3489729,485.2498529,564.3333329,409.2185729,363.19408,363.19408,415.22536,463.22536,227.20153,227.20153,279.23281,327.23281
CL(14:0_14:0_18:3_18:3)-2H,669.4318929,564.3333229,459.2342029,539.3255029,409.2185629,363.19408,363.19408,413.20972,413.20972,227.20153,227.20153,277.21717,277.21717
CL(14:0_14:0_18:3_20:0)-2H,686.471018,581.372448,476.273328,556.364628,409.218588,363.19408,363.19408,413.20972,447.28792,227.20153,227.20153,277.21717,311.29537
CL(14:0_14:0_18:3_20:1)-2H,685.463193,580.364623,475.265503,555.356803,409.218583,363.19408,363.19408,413.20972,445.27228,227.20153,227.20153,277.21717,309.27973
CL(14:0_14:0_18:3_20:2)-2H,684.455368,579.356798,474.257678,554.348978,409.218578,363.19408,363.19408,413.20972,443.25664,227.20153,227.20153,277.21717,307.26409
CL(14:0_14:0_18:3_20:3)-2H,683.4475429,578.3489729,473.2498529,553.3411529,409.2185729,363.19408,363.19408,413.20972,441.241,227.20153,227.20153,277.21717,305.24845
CL(14:0_14:0_18:3_20:4)-2H,682.4397179,577.3411479,472.2420279,552.3333279,409.2185679,363.19408,363.19408,413.20972,439.22536,227.20153,227.20153,277.21717,303.23281
CL(14:0_14:0_18:3_22:0)-2H,700.4866681,595.3880981,490.2889781,570.3802781,409.2185981,363.19408,363.19408,413.20972,475.3192,227.20153,227.20153,277.21717,339.32665
CL(14:0_14:0_18:3_22:5)-2H,695.4475429,590.3489729,485.2498529,565.3411529,409.2185729,363.19408,363.19408,413.20972,465.241,227.20153,227.20153,277.21717,329.24845
CL(14:0_14:0_18:3_22:6)-2H,694.4397179,589.3411479,484.2420279,564.3333279,409.2185679,363.19408,363.19408,413.20972,463.22536,227.20153,227.20153,277.21717,327.23281
CL(14:0_14:0_20:0_20:0)-2H,703.5101432,598.4115732,493.3124532,556.3646532,409.2186132,363.19408,363.19408,447.28792,447.28792,227.20153,227.20153,311.29537,311.29537
CL(14:0_14:0_20:0_20:1)-2H,702.5023182,597.4037482,492.3046282,555.3568282,409.2186082,363.19408,363.19408,447.28792,445.27228,227.20153,227.20153,311.29537,309.27973
CL(14:0_14:0_20:0_20:2)-2H,701.4944931,596.3959231,491.2968031,554.3490031,409.2186031,363.19408,363.19408,447.28792,443.25664,227.20153,227.20153,311.29537,307.26409
CL(14:0_14:0_20:0_20:3)-2H,700.4866681,595.3880981,490.2889781,553.3411781,409.2185981,363.19408,363.19408,447.28792,441.241,227.20153,227.20153,311.29537,305.24845
CL(14:0_14:0_20:0_20:4)-2H,699.4788431,594.3802731,489.2811531,552.3333531,409.2185931,363.19408,363.19408,447.28792,439.22536,227.20153,227.20153,311.29537,303.23281
CL(14:0_14:0_20:0_22:0)-2H,717.5257933,612.4272233,507.3281033,570.3803033,409.2186233,363.19408,363.19408,447.28792,475.3192,227.20153,227.20153,311.29537,339.32665
CL(14:0_14:0_20:0_22:5)-2H,712.4866681,607.3880981,502.2889781,565.3411781,409.2185981,363.19408,363.19408,447.28792,465.241,227.20153,227.20153,311.29537,329.24845
CL(14:0_14:0_20:0_22:6)-2H,711.4788431,606.3802731,501.2811531,564.3333531,409.2185931,363.19408,363.19408,447.28792,463.22536,227.20153,227.20153,311.29537,327.23281
CL(14:0_14:0_20:1_20:1)-2H,701.4944931,596.3959231,491.2968031,555.3568231,409.2186031,363.19408,363.19408,445.27228,445.27228,227.20153,227.20153,309.27973,309.27973
CL(14:0_14:0_20:1_20:2)-2H,700.4866681,595.3880981,490.2889781,554.3489981,409.2185981,363.19408,363.19408,445.27228,443.25664,227.20153,227.20153,309.27973,307.26409
CL(14:0_14:0_20:1_20:3)-2H,699.4788431,594.3802731,489.2811531,553.3411731,409.2185931,363.19408,363.19408,445.27228,441.241,227.20153,227.20153,309.27973,305.24845
CL(14:0_14:0_20:1_20:4)-2H,698.471018,593.372448,488.273328,552.333348,409.218588,363.19408,363.19408,445.27228,439.22536,227.20153,227.20153,309.27973,303.23281
CL(14:0_14:0_20:1_22:0)-2H,716.5179682,611.4193982,506.3202782,570.3802982,409.2186182,363.19408,363.19408,445.27228,475.3192,227.20153,227.20153,309.27973,339.32665
CL(14:0_14:0_20:1_22:5)-2H,711.4788431,606.3802731,501.2811531,565.3411731,409.2185931,363.19408,363.19408,445.27228,465.241,227.20153,227.20153,309.27973,329.24845
CL(14:0_14:0_20:1_22:6)-2H,710.471018,605.372448,500.273328,564.333348,409.218588,363.19408,363.19408,445.27228,463.22536,227.20153,227.20153,309.27973,327.23281
CL(14:0_14:0_20:2_20:2)-2H,699.4788431,594.3802731,489.2811531,554.3489931,409.2185931,363.19408,363.19408,443.25664,443.25664,227.20153,227.20153,307.26409,307.26409
CL(14:0_14:0_20:2_20:3)-2H,698.471018,593.372448,488.273328,553.341168,409.218588,363.19408,363.19408,443.25664,441.241,227.20153,227.20153,307.26409,305.24845
CL(14:0_14:0_20:2_20:4)-2H,697.463193,592.364623,487.265503,552.333343,409.218583,363.19408,363.19408,443.25664,439.22536,227.20153,227.20153,307.26409,303.23281
CL(14:0_14:0_20:2_22:0)-2H,715.5101432,610.4115732,505.3124532,570.3802932,409.2186132,363.19408,363.19408,443.25664,475.3192,227.20153,227.20153,307.26409,339.32665
CL(14:0_14:0_20:2_22:5)-2H,710.471018,605.372448,500.273328,565.341168,409.218588,363.19408,363.19408,443.25664,465.241,227.20153,227.20153,307.26409,329.24845
CL(14:0_14:0_20:2_22:6)-2H,709.463193,604.364623,499.265503,564.333343,409.218583,363.19408,363.19408,443.25664,463.22536,227.20153,227.20153,307.26409,327.23281
CL(14:0_14:0_20:3_20:3)-2H,697.463193,592.364623,487.265503,553.341163,409.218583,363.19408,363.19408,441.241,441.241,227.20153,227.20153,305.24845,305.24845
CL(14:0_14:0_20:3_20:4)-2H,696.455368,591.356798,486.257678,552.333338,409.218578,363.19408,363.19408,441.241,439.22536,227.20153,227.20153,305.24845,303.23281
CL(14:0_14:0_20:3_22:0)-2H,714.5023182,609.4037482,504.3046282,570.3802882,409.2186082,363.19408,363.19408,441.241,475.3192,227.20153,227.20153,305.24845,339.32665
CL(14:0_14:0_20:3_22:5)-2H,709.463193,604.364623,499.265503,565.341163,409.218583,363.19408,363.19408,441.241,465.241,227.20153,227.20153,305.24845,329.24845
CL(14:0_14:0_20:3_22:6)-2H,708.455368,603.356798,498.257678,564.333338,409.218578,363.19408,363.19408,441.241,463.22536,227.20153,227.20153,305.24845,327.23281
CL(14:0_14:0_20:4_20:4)-2H,695.4475429,590.3489729,485.2498529,552.3333329,409.2185729,363.19408,363.19408,439.22536,439.22536,227.20153,227.20153,303.23281,303.23281
CL(14:0_14:0_20:4_22:0)-2H,713.4944931,608.3959231,503.2968031,570.3802831,409.2186031,363.19408,363.19408,439.22536,475.3192,227.20153,227.20153,303.23281,339.32665
CL(14:0_14:0_20:4_22:5)-2H,708.455368,603.356798,498.257678,565.341158,409.218578,363.19408,363.19408,439.22536,465.241,227.20153,227.20153,303.23281,329.24845
CL(14:0_14:0_20:4_22:6)-2H,707.4475429,602.3489729,497.2498529,564.3333329,409.2185729,363.19408,363.19408,439.22536,463.22536,227.20153,227.20153,303.23281,327.23281
CL(14:0_14:0_22:0_22:0)-2H,731.5414433,626.4428733,521.3437533,570.3803133,409.2186333,363.19408,363.19408,475.3192,475.3192,227.20153,227.20153,339.32665,339.32665
