OxLPC,[M+Na]+,Mna-PC,Mna-TrimethylAmine,Mna-NaPC,Mna-tail1&TrimethylAmine,PC Head
OxLPC(15:1(OH))+Na,518.2848,335.2188,459.2113,313.2368,76.866585,184.07332
OxLPC(16:1(OH))+Na,532.3005,349.2345,473.227,327.2525,76.866585,184.07332
OxLPC(17:1(OH))+Na,546.3161,363.2501,487.2426,341.2681,76.866585,184.07332
OxLPC(17:2(OH))+Na,544.3005,361.2345,485.227,339.2525,76.866585,184.07332
OxLPC(18:1(OH))+Na,560.3318,377.2658,501.2583,355.2838,76.866585,184.07332
OxLPC(18:3(OH))+Na,556.3005,373.2345,497.227,351.2525,76.866585,184.07332
OxLPC(18:4(OH))+Na,554.2848,371.2188,495.2113,349.2368,76.866585,184.07332
OxLPC(20:1(OH))+Na,588.3631,405.2971,529.2896,383.3151,76.866585,184.07332
OxLPC(20:2(OH))+Na,586.3474,403.2814,527.2739,381.2994,76.866585,184.07332
OxLPC(20:3(OH))+Na,584.3318,401.2658,525.2583,379.2838,76.866585,184.07332
OxLPC(20:5(OH))+Na,580.3005,397.2345,521.227,375.2525,76.866585,184.07332
OxLPC(22:1(OH))+Na,616.3944,433.3284,557.3209,411.3464,76.866585,184.07332
OxLPC(22:2(OH))+Na,614.3787,431.3127,555.3052,409.3307,76.866585,184.07332
OxLPC(22:3(OH))+Na,612.3631,429.2971,553.2896,407.3151,76.866585,184.07332
OxLPC(22:4(OH))+Na,610.3474,427.2814,551.2739,405.2994,76.866585,184.07332
OxLPC(22:5(OH))+Na,608.3318,425.2658,549.2583,403.2838,76.866585,184.07332
OxLPC(22:6(OH))+Na,606.3161,423.2501,547.2426,401.2681,76.866585,184.07332
OxLPC(24:1(OH))+Na,644.4257,461.3597,585.3522,439.3777,76.866585,184.07332
OxLPC(14:1(OO))+Na,520.26412,337.19812,461.19062,315.21612,76.866585,184.07332
OxLPC(15:1(OO))+Na,534.27972,351.21372,475.20622,329.23172,76.866585,184.07332
OxLPC(16:1(OO))+Na,548.29542,365.22942,489.22192,343.24742,76.866585,184.07332
OxLPC(17:1(OO))+Na,562.31102,379.24502,503.23752,357.26302,76.866585,184.07332
OxLPC(17:2(OO))+Na,560.29542,377.22942,501.22192,355.24742,76.866585,184.07332
OxLPC(18:1(OO))+Na,576.32672,393.26072,517.25322,371.27872,76.866585,184.07332
OxLPC(18:3(OO))+Na,572.29542,389.22942,513.22192,367.24742,76.866585,184.07332
OxLPC(18:4(OO))+Na,570.27972,387.21372,511.20622,365.23172,76.866585,184.07332
OxLPC(20:1(OO))+Na,604.35802,421.29202,545.28452,399.31002,76.866585,184.07332
OxLPC(20:2(OO))+Na,602.34232,419.27632,543.26882,397.29432,76.866585,184.07332
OxLPC(20:3(OO))+Na,600.32672,417.26072,541.25322,395.27872,76.866585,184.07332
OxLPC(20:5(OO))+Na,596.29542,413.22942,537.22192,391.24742,76.866585,184.07332
OxLPC(22:1(OO))+Na,632.38932,449.32332,573.31582,427.34132,76.866585,184.07332
OxLPC(22:2(OO))+Na,630.37362,447.30762,571.30012,425.32562,76.866585,184.07332
OxLPC(22:3(OO))+Na,628.35802,445.29202,569.28452,423.31002,76.866585,184.07332
OxLPC(22:4(OO))+Na,626.34232,443.27632,567.26882,421.29432,76.866585,184.07332
OxLPC(22:5(OO))+Na,624.32672,441.26072,565.25322,419.27872,76.866585,184.07332
OxLPC(22:6(OO))+Na,622.31102,439.24502,563.23752,417.26302,76.866585,184.07332
OxLPC(24:1(OO))+Na,660.42062,477.35462,601.34712,455.37262,76.866585,184.07332
OxLPC(14:1(OOO))+Na,536.25904,353.19304,477.18554,331.21104,76.866585,184.07332
OxLPC(15:1(OOO))+Na,550.27464,367.20864,491.20114,345.22664,76.866585,184.07332
OxLPC(16:1(OOO))+Na,564.29034,381.22434,505.21684,359.24234,76.866585,184.07332
OxLPC(17:1(OOO))+Na,578.30594,395.23994,519.23244,373.25794,76.866585,184.07332
OxLPC(17:2(OOO))+Na,576.29034,393.22434,517.21684,371.24234,76.866585,184.07332
OxLPC(18:1(OOO))+Na,592.32164,409.25564,533.24814,387.27364,76.866585,184.07332
OxLPC(18:2(OOO))+Na,590.30594,407.23994,531.23244,385.25794,76.866585,184.07332
OxLPC(18:3(OOO))+Na,588.29034,405.22434,529.21684,383.24234,76.866585,184.07332
OxLPC(18:4(OOO))+Na,586.27464,403.20864,527.20114,381.22664,76.866585,184.07332
OxLPC(20:1(OOO))+Na,620.35294,437.28694,561.27944,415.30494,76.866585,184.07332
OxLPC(20:2(OOO))+Na,618.33724,435.27124,559.26374,413.28924,76.866585,184.07332
OxLPC(20:3(OOO))+Na,616.32164,433.25564,557.24814,411.27364,76.866585,184.07332
OxLPC(20:4(OOO))+Na,614.30594,431.23994,555.23244,409.25794,76.866585,184.07332
OxLPC(20:5(OOO))+Na,612.29034,429.22434,553.21684,407.24234,76.866585,184.07332
OxLPC(22:1(OOO))+Na,648.38424,465.31824,589.31074,443.33624,76.866585,184.07332
OxLPC(22:2(OOO))+Na,646.36854,463.30254,587.29504,441.32054,76.866585,184.07332
OxLPC(22:3(OOO))+Na,644.35294,461.28694,585.27944,439.30494,76.866585,184.07332
OxLPC(22:4(OOO))+Na,642.33724,459.27124,583.26374,437.28924,76.866585,184.07332
OxLPC(22:5(OOO))+Na,640.32164,457.25564,581.24814,435.27364,76.866585,184.07332
OxLPC(22:6(OOO))+Na,638.30594,455.23994,579.23244,433.25794,76.866585,184.07332
OxLPC(24:1(OOO))+Na,676.41554,493.34954,617.34204,471.36754,76.866585,184.07332
OxLPC(14:1(OOOO))+Na,552.25396,369.18796,493.18046,347.20596,76.866585,184.07332
OxLPC(15:1(OOOO))+Na,566.26956,383.20356,507.19606,361.22156,76.866585,184.07332
OxLPC(16:1(OOOO))+Na,580.28526,397.21926,521.21176,375.23726,76.866585,184.07332
OxLPC(17:1(OOOO))+Na,594.30086,411.23486,535.22736,389.25286,76.866585,184.07332
OxLPC(17:2(OOOO))+Na,592.28526,409.21926,533.21176,387.23726,76.866585,184.07332
OxLPC(18:1(OOOO))+Na,608.31656,425.25056,549.24306,403.26856,76.866585,184.07332
OxLPC(18:2(OOOO))+Na,606.30086,423.23486,547.22736,401.25286,76.866585,184.07332
OxLPC(18:3(OOOO))+Na,604.28526,421.21926,545.21176,399.23726,76.866585,184.07332
OxLPC(18:4(OOOO))+Na,602.26956,419.20356,543.19606,397.22156,76.866585,184.07332
OxLPC(20:1(OOOO))+Na,636.34786,453.28186,577.27436,431.29986,76.866585,184.07332
OxLPC(20:2(OOOO))+Na,634.33216,451.26616,575.25866,429.28416,76.866585,184.07332
OxLPC(20:3(OOOO))+Na,632.31656,449.25056,573.24306,427.26856,76.866585,184.07332
OxLPC(20:4(OOOO))+Na,630.30086,447.23486,571.22736,425.25286,76.866585,184.07332
OxLPC(20:5(OOOO))+Na,628.28526,445.21926,569.21176,423.23726,76.866585,184.07332
OxLPC(22:1(OOOO))+Na,664.37916,481.31316,605.30566,459.33116,76.866585,184.07332
OxLPC(22:2(OOOO))+Na,662.36346,479.29746,603.28996,457.31546,76.866585,184.07332
OxLPC(22:3(OOOO))+Na,660.34786,477.28186,601.27436,455.29986,76.866585,184.07332
OxLPC(22:4(OOOO))+Na,658.33216,475.26616,599.25866,453.28416,76.866585,184.07332
OxLPC(22:5(OOOO))+Na,656.31656,473.25056,597.24306,451.26856,76.866585,184.07332
OxLPC(22:6(OOOO))+Na,654.30086,471.23486,595.22736,449.25286,76.866585,184.07332
OxLPC(24:1(OOOO))+Na,692.41046,509.34446,633.33696,487.36246,76.866585,184.07332
OxLPC(14:1(Ke))+Na,502.25354,319.18754,443.18004,297.20554,76.866585,184.07332
OxLPC(15:1(Ke))+Na,516.26914,333.20314,457.19564,311.22114,76.866585,184.07332
OxLPC(16:1(Ke))+Na,530.28484,347.21884,471.21134,325.23684,76.866585,184.07332
OxLPC(17:1(Ke))+Na,544.30044,361.23444,485.22694,339.25244,76.866585,184.07332
OxLPC(17:2(Ke))+Na,542.28484,359.21884,483.21134,337.23684,76.866585,184.07332
OxLPC(18:1(Ke))+Na,558.31614,375.25014,499.24264,353.26814,76.866585,184.07332
