PEG,[M+?]+,fragment 1,fragment 2
PEG(n=3_NH4+_CH2=1_DBE=5_(2-NH3)),172.108,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=3_(2=O)),173.008,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=3_(1=O)),173.045,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=0_),173.079,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=3_),173.081,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=0_(1-NH3)),173.103,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=3_(1-NH3)),173.105,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=0_(2-NH3)),173.127,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=3_(2-NH3)),173.129,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=4_(1=O)),174.040,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=4_),174.076,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=4_(1-NH3)),174.100,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=4_(2-NH3)),174.124,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=6_(1=O)),174.964,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=6_),175.000,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=2_(2=O)),175.024,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=6_(2-NH3)),175.048,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=2_(1=O)),175.060,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=2_),175.097,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=2_(1-NH3)),175.121,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=2_(2-NH3)),175.144,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=3_(1=O)),176.056,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=3_),176.092,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=3_(1-NH3)),176.116,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=3_(2-NH3)),176.140,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=5_(1=O)),176.980,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=5_),177.016,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=1_(2=O)),177.040,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=5_(2-NH3)),177.064,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=1_(1=O)),177.076,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=1_),177.113,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=1_(1-NH3)),177.136,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=1_(2-NH3)),177.160,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=2_(1=O)),178.071,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=2_),178.108,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=2_(1-NH3)),178.132,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=2_(2-NH3)),178.155,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=4_(1=O)),178.995,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=4_),179.032,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=0_(2=O)),179.055,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=4_(1-NH3)),179.056,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=4_(2-NH3)),179.079,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=0_(1=O)),179.092,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=0_),179.128,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=0_(1-NH3)),179.152,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=0_(2-NH3)),179.176,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=1_(1=O)),180.087,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=1_),180.124,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=1_(1-NH3)),180.147,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=1_(2-NH3)),180.171,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=6_(2=O)),180.977,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=3_(1=O)),181.011,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=6_(1=O)),181.013,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=3_),181.048,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=6_),181.050,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=1_(2-OH)),181.071,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=6_(1-NH3)),181.073,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=3_(2-NH3)),181.095,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=6_(2-NH3)),181.097,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=0_(1-OH)),181.108,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=0_(1=O)),182.103,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=0_),182.139,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=0_(1-NH3)),182.163,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=0_(2-NH3)),182.187,89.0602,133.0859
PEG(n=3_H+_CH2=1_DBE=5_(2=O)),182.993,89.0602,133.0859
PEG(n=3_Na+_CH2=0_DBE=2_(1=O)),183.027,89.0602,133.0859
PEG(n=3_H+_CH2=2_DBE=5_(1=O)),183.029,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=6_(1-NH3)),183.053,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=2_),183.063,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=5_),183.065,89.0602,133.0859
PEG(n=4_H+_CH2=0_DBE=6_(2-NH3)),183.077,89.0602,133.0859
PEG(n=3_H+_CH2=0_DBE=0_(2-OH)),183.087,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=5_(1-NH3)),183.089,89.0602,133.0859
PEG(n=3_Na+_CH2=1_DBE=2_(2-NH3)),183.111,89.0602,133.0859
PEG(n=3_H+_CH2=3_DBE=5_(2-NH3)),183.113,89.0602,133.0859
PEG(n=3_NH4+_CH2=0_DBE=6_(2=O)),183.988,89.0602,133.0859
PEG(n=3_NH4+_CH2=1_DBE=6_(1=O)),184.024,89.0602,133.0859
