Sulfatide,[M+H]+,So(dFA)+H-2H2O,So(dFA)+H-H2O,So(dFA)+H-H2O-CH2O,"NL[H2SO4,C6H10O5,H2O]","NL[H2SO4,C6H10O5]","NL[H2SO4,C6H10O6]","NL[H2SO4,C7H10O5,H2O]",NL[H2SO4],Amide(FA)+H
Sulfatide(d17:0_14:0)+H,740.4977029,252.26841,270.27898,240.26841,462.4668829,480.4774529,464.4825329,450.4668829,642.5303029,228.2322029
Sulfatide(d17:0_16:0)+H,768.529003,252.26841,270.27898,240.26841,490.498183,508.508753,492.513833,478.498183,670.561603,256.263503
Sulfatide(d17:0_18:0)+H,796.5603031,252.26841,270.27898,240.26841,518.5294831,536.5400531,520.5451331,506.5294831,698.5929031,284.2948031
Sulfatide(d17:0_18:1)+H,794.5446531,252.26841,270.27898,240.26841,516.5138331,534.5244031,518.5294831,504.5138331,696.5772531,282.2791531
Sulfatide(d17:0_20:0)+H,824.5916033,252.26841,270.27898,240.26841,546.5607833,564.5713533,548.5764333,534.5607833,726.6242033,312.3261033
Sulfatide(d17:0_22:0)+H,852.6229034,252.26841,270.27898,240.26841,574.5920834,592.6026534,576.6077334,562.5920834,754.6555034,340.3574034
Sulfatide(d17:0_24:0)+H,880.6542035,252.26841,270.27898,240.26841,602.6233835,620.6339535,604.6390335,590.6233835,782.6868035,368.3887035
Sulfatide(d17:0_24:1)+H,878.6385534,252.26841,270.27898,240.26841,600.6077334,618.6183034,602.6233834,588.6077334,780.6711534,366.3730534
Sulfatide(d17:0_24:4)+H,872.5916033,252.26841,270.27898,240.26841,594.5607833,612.5713533,596.5764333,582.5607833,774.6242033,360.3261033
Sulfatide(d17:0_26:0)+H,908.6855036,252.26841,270.27898,240.26841,630.6546836,648.6652536,632.6703336,618.6546836,810.7181036,396.4200036
Sulfatide(d17:0_26:1)+H,906.6698536,252.26841,270.27898,240.26841,628.6390336,646.6496036,630.6546836,616.6390336,808.7024536,394.4043536
Sulfatide(d17:1_2:0)+H,570.294252,250.25277,268.26334,238.25277,292.263432,310.274002,294.279082,280.263432,472.326852,60.04439204
Sulfatide(d17:1_10:0)+H,682.4194526,250.25277,268.26334,238.25277,404.3886326,422.3992026,406.4042826,392.3886326,584.4520526,172.1695926
Sulfatide(d17:1_12:0)+H,710.4507527,250.25277,268.26334,238.25277,432.4199327,450.4305027,434.4355827,420.4199327,612.4833527,200.2008927
Sulfatide(d17:1_14:0)+H,738.4820528,250.25277,268.26334,238.25277,460.4512328,478.4618028,462.4668828,448.4512328,640.5146528,228.2321928
Sulfatide(d17:1_16:0)+H,766.5133529,250.25277,268.26334,238.25277,488.4825329,506.4931029,490.4981829,476.4825329,668.5459529,256.2634929
Sulfatide(d17:1_18:0)+H,794.5446531,250.25277,268.26334,238.25277,516.5138331,534.5244031,518.5294831,504.5138331,696.5772531,284.2947931
Sulfatide(d17:1_18:1)+H,792.529003,250.25277,268.26334,238.25277,514.498183,532.508753,516.513833,502.498183,694.561603,282.279143
Sulfatide(d17:1_20:0)+H,822.5759532,250.25277,268.26334,238.25277,544.5451332,562.5557032,546.5607832,532.5451332,724.6085532,312.3260932
Sulfatide(d17:1_22:0)+H,850.6072533,250.25277,268.26334,238.25277,572.5764333,590.5870033,574.5920833,560.5764333,752.6398533,340.3573933
Sulfatide(d17:1_24:0)+H,878.6385534,250.25277,268.26334,238.25277,600.6077334,618.6183034,602.6233834,588.6077334,780.6711534,368.3886934
Sulfatide(d17:1_24:1)+H,876.6229034,250.25277,268.26334,238.25277,598.5920834,616.6026534,600.6077334,586.5920834,778.6555034,366.3730434
Sulfatide(d17:1_24:4)+H,870.5759532,250.25277,268.26334,238.25277,592.5451332,610.5557032,594.5607832,580.5451332,772.6085532,360.3260932
Sulfatide(d17:1_26:0)+H,906.6698536,250.25277,268.26334,238.25277,628.6390336,646.6496036,630.6546836,616.6390336,808.7024536,396.4199936
Sulfatide(d17:1_26:1)+H,904.6542035,250.25277,268.26334,238.25277,626.6233835,644.6339535,628.6390335,614.6233835,806.6868035,394.4043435
Sulfatide(d18:0_2:0)+H,586.3255522,266.28405,284.29462,254.28405,308.2947322,326.3053022,310.3103822,296.2947322,488.3581522,60.04441217
Sulfatide(d18:0_10:0)+H,698.4507527,266.28405,284.29462,254.28405,420.4199327,438.4305027,422.4355827,408.4199327,600.4833527,172.1696127
Sulfatide(d18:0_12:0)+H,726.4820528,266.28405,284.29462,254.28405,448.4512328,466.4618028,450.4668828,436.4512328,628.5146528,200.2009128
Sulfatide(d18:0_14:0)+H,754.5133529,266.28405,284.29462,254.28405,476.4825329,494.4931029,478.4981829,464.4825329,656.5459529,228.2322129
Sulfatide(d18:0_16:0)+H,782.5446531,266.28405,284.29462,254.28405,504.5138331,522.5244031,506.5294831,492.5138331,684.5772531,256.2635131
Sulfatide(d18:0_18:0)+H,810.5759532,266.28405,284.29462,254.28405,532.5451332,550.5557032,534.5607832,520.5451332,712.6085532,284.2948132
Sulfatide(d18:0_18:1)+H,808.5603031,266.28405,284.29462,254.28405,530.5294831,548.5400531,532.5451331,518.5294831,710.5929031,282.2791631
Sulfatide(d18:0_20:0)+H,838.6072533,266.28405,284.29462,254.28405,560.5764333,578.5870033,562.5920833,548.5764333,740.6398533,312.3261133
Sulfatide(d18:0_22:0)+H,866.6385534,266.28405,284.29462,254.28405,588.6077334,606.6183034,590.6233834,576.6077334,768.6711534,340.3574134
Sulfatide(d18:0_24:0)+H,894.6698536,266.28405,284.29462,254.28405,616.6390336,634.6496036,618.6546836,604.6390336,796.7024536,368.3887136
Sulfatide(d18:0_24:1)+H,892.6542035,266.28405,284.29462,254.28405,614.6233835,632.6339535,616.6390335,602.6233835,794.6868035,366.3730635
Sulfatide(d18:0_24:4)+H,886.6072533,266.28405,284.29462,254.28405,608.5764333,626.5870033,610.5920833,596.5764333,788.6398533,360.3261133
Sulfatide(d18:0_26:0)+H,922.7011537,266.28405,284.29462,254.28405,644.6703337,662.6809037,646.6859837,632.6703337,824.7337537,396.4200137
Sulfatide(d18:0_26:1)+H,920.6855036,266.28405,284.29462,254.28405,642.6546836,660.6652536,644.6703336,630.6546836,822.7181036,394.4043636
Sulfatide(d18:1_2:0)+H,584.3099021,264.26841,282.27898,252.26841,306.2790821,324.2896521,308.2947321,294.2790821,486.3425021,60.04440211
Sulfatide(d18:1_10:0)+H,696.4351026,264.26841,282.27898,252.26841,418.4042826,436.4148526,420.4199326,406.4042826,598.4677026,172.1696026
Sulfatide(d18:1_12:0)+H,724.4664027,264.26841,282.27898,252.26841,446.4355827,464.4461527,448.4512327,434.4355827,626.4990027,200.2009027
Sulfatide(d18:1_14:0)+H,752.4977029,264.26841,282.27898,252.26841,474.4668829,492.4774529,476.4825329,462.4668829,654.5303029,228.2322029
Sulfatide(d18:1_16:0)+H,780.529003,264.26841,282.27898,252.26841,502.498183,520.508753,504.513833,490.498183,682.561603,256.263503
Sulfatide(d18:1_18:0)+H,808.5603031,264.26841,282.27898,252.26841,530.5294831,548.5400531,532.5451331,518.5294831,710.5929031,284.2948031
Sulfatide(d18:1_18:1)+H,806.5446531,264.26841,282.27898,252.26841,528.5138331,546.5244031,530.5294831,516.5138331,708.5772531,282.2791531
Sulfatide(d18:1_20:0)+H,836.5916033,264.26841,282.27898,252.26841,558.5607833,576.5713533,560.5764333,546.5607833,738.6242033,312.3261033
Sulfatide(d18:1_22:0)+H,864.6229034,264.26841,282.27898,252.26841,586.5920834,604.6026534,588.6077334,574.5920834,766.6555034,340.3574034
Sulfatide(d18:1_24:0)+H,892.6542035,264.26841,282.27898,252.26841,614.6233835,632.6339535,616.6390335,602.6233835,794.6868035,368.3887035
Sulfatide(d18:1_24:1)+H,890.6385534,264.26841,282.27898,252.26841,612.6077334,630.6183034,614.6233834,600.6077334,792.6711534,366.3730534
Sulfatide(d18:1_24:4)+H,884.5916033,264.26841,282.27898,252.26841,606.5607833,624.5713533,608.5764333,594.5607833,786.6242033,360.3261033
Sulfatide(d18:1_26:0)+H,920.6855036,264.26841,282.27898,252.26841,642.6546836,660.6652536,644.6703336,630.6546836,822.7181036,396.4200036
Sulfatide(d18:1_26:1)+H,918.6698536,264.26841,282.27898,252.26841,640.6390336,658.6496036,642.6546836,628.6390336,820.7024536,394.4043536
Sulfatide(d19:0_2:0)+H,600.3412022,280.29969,298.31026,268.29969,322.3103822,340.3209522,324.3260322,310.3103822,502.3738022,60.04442223
Sulfatide(d19:0_10:0)+H,712.4664027,280.29969,298.31026,268.29969,434.4355827,452.4461527,436.4512327,422.4355827,614.4990027,172.1696227
Sulfatide(d19:0_12:0)+H,740.4977029,280.29969,298.31026,268.29969,462.4668829,480.4774529,464.4825329,450.4668829,642.5303029,200.2009229
Sulfatide(d19:0_14:0)+H,768.529003,280.29969,298.31026,268.29969,490.498183,508.508753,492.513833,478.498183,670.561603,228.232223
Sulfatide(d19:0_16:0)+H,796.5603031,280.29969,298.31026,268.29969,518.5294831,536.5400531,520.5451331,506.5294831,698.5929031,256.2635231
Sulfatide(d19:0_18:0)+H,824.5916033,280.29969,298.31026,268.29969,546.5607833,564.5713533,548.5764333,534.5607833,726.6242033,284.2948233
Sulfatide(d19:0_18:1)+H,822.5759532,280.29969,298.31026,268.29969,544.5451332,562.5557032,546.5607832,532.5451332,724.6085532,282.2791732
Sulfatide(d19:0_20:0)+H,852.6229034,280.29969,298.31026,268.29969,574.5920834,592.6026534,576.6077334,562.5920834,754.6555034,312.3261234
Sulfatide(d19:0_22:0)+H,880.6542035,280.29969,298.31026,268.29969,602.6233835,620.6339535,604.6390335,590.6233835,782.6868035,340.3574235
Sulfatide(d19:0_24:0)+H,908.6855036,280.29969,298.31026,268.29969,630.6546836,648.6652536,632.6703336,618.6546836,810.7181036,368.3887236
Sulfatide(d19:0_24:1)+H,906.6698536,280.29969,298.31026,268.29969,628.6390336,646.6496036,630.6546836,616.6390336,808.7024536,366.3730736
Sulfatide(d19:0_24:4)+H,900.6229034,280.29969,298.31026,268.29969,622.5920834,640.6026534,624.6077334,610.5920834,802.6555034,360.3261234
Sulfatide(d19:0_26:0)+H,936.7168038,280.29969,298.31026,268.29969,658.6859838,676.6965538,660.7016338,646.6859838,838.7494038,396.4200238
Sulfatide(d19:0_26:1)+H,934.7011537,280.29969,298.31026,268.29969,656.6703337,674.6809037,658.6859837,644.6703337,836.7337537,394.4043737
Sulfatide(d19:1_2:0)+H,598.3255522,278.28405,296.29462,266.28405,320.2947322,338.3053022,322.3103822,308.2947322,500.3581522,60.04441217
Sulfatide(d19:1_10:0)+H,710.4507527,278.28405,296.29462,266.28405,432.4199327,450.4305027,434.4355827,420.4199327,612.4833527,172.1696127
Sulfatide(d19:1_12:0)+H,738.4820528,278.28405,296.29462,266.28405,460.4512328,478.4618028,462.4668828,448.4512328,640.5146528,200.2009128
Sulfatide(d19:1_14:0)+H,766.5133529,278.28405,296.29462,266.28405,488.4825329,506.4931029,490.4981829,476.4825329,668.5459529,228.2322129
Sulfatide(d19:1_16:0)+H,794.5446531,278.28405,296.29462,266.28405,516.5138331,534.5244031,518.5294831,504.5138331,696.5772531,256.2635131
Sulfatide(d19:1_18:0)+H,822.5759532,278.28405,296.29462,266.28405,544.5451332,562.5557032,546.5607832,532.5451332,724.6085532,284.2948132
Sulfatide(d19:1_18:1)+H,820.5603031,278.28405,296.29462,266.28405,542.5294831,560.5400531,544.5451331,530.5294831,722.5929031,282.2791631
Sulfatide(d19:1_20:0)+H,850.6072533,278.28405,296.29462,266.28405,572.5764333,590.5870033,574.5920833,560.5764333,752.6398533,312.3261133
Sulfatide(d19:1_22:0)+H,878.6385534,278.28405,296.29462,266.28405,600.6077334,618.6183034,602.6233834,588.6077334,780.6711534,340.3574134
Sulfatide(d19:1_24:0)+H,906.6698536,278.28405,296.29462,266.28405,628.6390336,646.6496036,630.6546836,616.6390336,808.7024536,368.3887136
Sulfatide(d19:1_24:1)+H,904.6542035,278.28405,296.29462,266.28405,626.6233835,644.6339535,628.6390335,614.6233835,806.6868035,366.3730635
Sulfatide(d19:1_24:4)+H,898.6072533,278.28405,296.29462,266.28405,620.5764333,638.5870033,622.5920833,608.5764333,800.6398533,360.3261133
Sulfatide(d19:1_26:0)+H,934.7011537,278.28405,296.29462,266.28405,656.6703337,674.6809037,658.6859837,644.6703337,836.7337537,396.4200137
Sulfatide(d19:1_26:1)+H,932.6855036,278.28405,296.29462,266.28405,654.6546836,672.6652536,656.6703336,642.6546836,834.7181036,394.4043636
Sulfatide(d18:1_2:0(2OH))+H,600.3048221,264.26841,282.27898,252.26841,322.2740021,340.2845721,324.2896521,310.2740021,502.3374221,76.03932211
Sulfatide(d18:1_10:0(2OH))+H,712.4300226,264.26841,282.27898,252.26841,434.3992026,452.4097726,436.4148526,422.3992026,614.4626226,188.1645226
Sulfatide(d18:1_12:0(2OH))+H,740.4613227,264.26841,282.27898,252.26841,462.4305027,480.4410727,464.4461527,450.4305027,642.4939227,216.1958227
Sulfatide(d18:1_14:0(2OH))+H,768.4926229,264.26841,282.27898,252.26841,490.4618029,508.4723729,492.4774529,478.4618029,670.5252229,244.2271229
Sulfatide(d18:1_16:0(2OH))+H,796.523923,264.26841,282.27898,252.26841,518.493103,536.503673,520.508753,506.493103,698.556523,272.258423
Sulfatide(d18:1_18:0(2OH))+H,824.5552231,264.26841,282.27898,252.26841,546.5244031,564.5349731,548.5400531,534.5244031,726.5878231,300.2897231
Sulfatide(d18:1_18:1(2OH))+H,822.5395731,264.26841,282.27898,252.26841,544.5087531,562.5193231,546.5244031,532.5087531,724.5721731,298.2740731
Sulfatide(d18:1_20:0(2OH))+H,852.5865233,264.26841,282.27898,252.26841,574.5557033,592.5662733,576.5713533,562.5557033,754.6191233,328.3210233
Sulfatide(d18:1_22:0(2OH))+H,880.6178234,264.26841,282.27898,252.26841,602.5870034,620.5975734,604.6026534,590.5870034,782.6504234,356.3523234
Sulfatide(d18:1_24:0(2OH))+H,908.6491235,264.26841,282.27898,252.26841,630.6183035,648.6288735,632.6339535,618.6183035,810.6817235,384.3836235
