HBMP,[M-H]-,[M-FA3-H]-,[FA3+C3H6O4P-H]-,[FA2-H]-,[FA3-H]-,[FA1-H]-
HBMP(12:0_16:1_22:0)-H,985.7478,645.4137,475.3199,253.2173,339.3269,199.1704
HBMP(12:0_16:1_22:1)-H,983.7322,645.4137,473.3043,253.2173,337.3112,199.1704
HBMP(12:0_16:1_22:2)-H,981.7166,645.4137,471.2887,253.2173,335.2956,199.1704
HBMP(12:0_16:1_22:3)-H,979.7009,645.4137,469.273,253.2173,333.2799,199.1704
HBMP(12:0_16:1_22:4)-H,977.6852,645.4137,467.2574,253.2173,331.2643,199.1704
HBMP(12:0_16:1_22:5)-H,975.6696,645.4137,465.2417,253.2173,329.2486,199.1704
HBMP(12:0_16:1_22:6)-H,973.6539,645.4137,463.2261,253.2173,327.233,199.1704
HBMP(12:0_16:2_12:0)-H,843.5757,643.398,335.1635,251.2017,199.1704,199.1704
HBMP(12:0_16:2_14:0)-H,871.607,643.398,363.1948,251.2017,227.2017,199.1704
HBMP(12:0_16:2_14:1)-H,869.5913,643.398,361.1791,251.2017,225.186,199.1704
HBMP(12:0_16:2_16:0)-H,899.6382,643.398,391.2261,251.2017,255.233,199.1704
HBMP(12:0_16:2_16:1)-H,897.6226,643.398,389.2104,251.2017,253.2173,199.1704
HBMP(12:0_16:2_16:2)-H,895.607,643.398,387.1948,251.2017,251.2017,199.1704
HBMP(12:0_16:2_16:3)-H,893.5913,643.398,385.1791,251.2017,249.186,199.1704
HBMP(12:0_16:2_16:4)-H,891.5757,643.398,383.1635,251.2017,247.1704,199.1704
HBMP(12:0_16:2_18:0)-H,927.6696,643.398,419.2574,251.2017,283.2643,199.1704
HBMP(12:0_16:2_18:1)-H,925.6539,643.398,417.2417,251.2017,281.2486,199.1704
HBMP(12:0_16:2_18:2)-H,923.6382,643.398,415.2261,251.2017,279.233,199.1704
HBMP(12:0_16:2_18:3)-H,921.6226,643.398,413.2104,251.2017,277.2173,199.1704
HBMP(12:0_16:2_18:4)-H,919.607,643.398,411.1948,251.2017,275.2017,199.1704
HBMP(12:0_16:2_18:5)-H,917.5913,643.398,409.1791,251.2017,273.186,199.1704
HBMP(12:0_16:2_20:0)-H,955.7009,643.398,447.2887,251.2017,311.2956,199.1704
HBMP(12:0_16:2_20:1)-H,953.6852,643.398,445.273,251.2017,309.2799,199.1704
HBMP(12:0_16:2_20:2)-H,951.6696,643.398,443.2574,251.2017,307.2643,199.1704
