CL,[M-2H+3Na]+,SN1 acyl loss,SN2 acyl loss,SN3 acyl loss,SN4 acyl loss
CL(14:0_16:0_16:1_20:2)-2H+3Na,1441.910246,1213.701446,1185.670166,1187.685806,1133.638886
CL(14:0_16:0_16:1_20:3)-2H+3Na,1439.894596,1211.685796,1183.654516,1185.670156,1133.638876
CL(14:0_16:0_16:1_20:4)-2H+3Na,1437.878946,1209.670146,1181.638866,1183.654506,1133.638866
CL(14:0_16:0_16:1_22:0)-2H+3Na,1473.972846,1245.764046,1217.732766,1219.748406,1133.638926
CL(14:0_16:0_16:1_22:5)-2H+3Na,1463.894596,1235.685796,1207.654516,1209.670156,1133.638876
CL(14:0_16:0_16:1_22:6)-2H+3Na,1461.878946,1233.670146,1205.638866,1207.654506,1133.638866
CL(14:0_16:0_18:0_18:0)-2H+3Na,1447.957196,1219.748396,1191.717116,1163.685836,1163.685836
CL(14:0_16:0_18:0_18:1)-2H+3Na,1445.941546,1217.732746,1189.701466,1161.670186,1163.685826
CL(14:0_16:0_18:0_18:2)-2H+3Na,1443.925896,1215.717096,1187.685816,1159.654536,1163.685816
CL(14:0_16:0_18:0_18:3)-2H+3Na,1441.910246,1213.701446,1185.670166,1157.638886,1163.685806
CL(14:0_16:0_18:0_20:0)-2H+3Na,1475.988496,1247.779696,1219.748416,1191.717136,1163.685856
CL(14:0_16:0_18:0_20:1)-2H+3Na,1473.972846,1245.764046,1217.732766,1189.701486,1163.685846
CL(14:0_16:0_18:0_20:2)-2H+3Na,1471.957196,1243.748396,1215.717116,1187.685836,1163.685836
CL(14:0_16:0_18:0_20:3)-2H+3Na,1469.941546,1241.732746,1213.701466,1185.670186,1163.685826
CL(14:0_16:0_18:0_20:4)-2H+3Na,1467.925896,1239.717096,1211.685816,1183.654536,1163.685816
CL(14:0_16:0_18:0_22:0)-2H+3Na,1504.019797,1275.810997,1247.779717,1219.748437,1163.685877
CL(14:0_16:0_18:0_22:5)-2H+3Na,1493.941546,1265.732746,1237.701466,1209.670186,1163.685826
CL(14:0_16:0_18:0_22:6)-2H+3Na,1491.925896,1263.717096,1235.685816,1207.654536,1163.685816
CL(14:0_16:0_18:1_18:1)-2H+3Na,1443.925896,1215.717096,1187.685816,1161.670176,1161.670176
CL(14:0_16:0_18:1_18:2)-2H+3Na,1441.910246,1213.701446,1185.670166,1159.654526,1161.670166
CL(14:0_16:0_18:1_18:3)-2H+3Na,1439.894596,1211.685796,1183.654516,1157.638876,1161.670156
CL(14:0_16:0_18:1_20:0)-2H+3Na,1473.972846,1245.764046,1217.732766,1191.717126,1161.670206
CL(14:0_16:0_18:1_20:1)-2H+3Na,1471.957196,1243.748396,1215.717116,1189.701476,1161.670196
CL(14:0_16:0_18:1_20:2)-2H+3Na,1469.941546,1241.732746,1213.701466,1187.685826,1161.670186
CL(14:0_16:0_18:1_20:3)-2H+3Na,1467.925896,1239.717096,1211.685816,1185.670176,1161.670176
CL(14:0_16:0_18:1_20:4)-2H+3Na,1465.910246,1237.701446,1209.670166,1183.654526,1161.670166
CL(14:0_16:0_18:1_22:0)-2H+3Na,1502.004146,1273.795346,1245.764066,1219.748426,1161.670226
CL(14:0_16:0_18:1_22:5)-2H+3Na,1491.925896,1263.717096,1235.685816,1209.670176,1161.670176
CL(14:0_16:0_18:1_22:6)-2H+3Na,1489.910246,1261.701446,1233.670166,1207.654526,1161.670166
CL(14:0_16:0_18:2_18:2)-2H+3Na,1439.894596,1211.685796,1183.654516,1159.654516,1159.654516
CL(14:0_16:0_18:2_18:3)-2H+3Na,1437.878946,1209.670146,1181.638866,1157.638866,1159.654506
CL(14:0_16:0_18:2_20:0)-2H+3Na,1471.957196,1243.748396,1215.717116,1191.717116,1159.654556
CL(14:0_16:0_18:2_20:1)-2H+3Na,1469.941546,1241.732746,1213.701466,1189.701466,1159.654546
CL(14:0_16:0_18:2_20:2)-2H+3Na,1467.925896,1239.717096,1211.685816,1187.685816,1159.654536
CL(14:0_16:0_18:2_20:3)-2H+3Na,1465.910246,1237.701446,1209.670166,1185.670166,1159.654526
CL(14:0_16:0_18:2_20:4)-2H+3Na,1463.894596,1235.685796,1207.654516,1183.654516,1159.654516
CL(14:0_16:0_18:2_22:0)-2H+3Na,1499.988496,1271.779696,1243.748416,1219.748416,1159.654576
CL(14:0_16:0_18:2_22:5)-2H+3Na,1489.910246,1261.701446,1233.670166,1209.670166,1159.654526
CL(14:0_16:0_18:2_22:6)-2H+3Na,1487.894596,1259.685796,1231.654516,1207.654516,1159.654516
CL(14:0_16:0_18:3_18:3)-2H+3Na,1435.863296,1207.654496,1179.623216,1157.638856,1157.638856
CL(14:0_16:0_18:3_20:0)-2H+3Na,1469.941546,1241.732746,1213.701466,1191.717106,1157.638906
CL(14:0_16:0_18:3_20:1)-2H+3Na,1467.925896,1239.717096,1211.685816,1189.701456,1157.638896
CL(14:0_16:0_18:3_20:2)-2H+3Na,1465.910246,1237.701446,1209.670166,1187.685806,1157.638886
CL(14:0_16:0_18:3_20:3)-2H+3Na,1463.894596,1235.685796,1207.654516,1185.670156,1157.638876
CL(14:0_16:0_18:3_20:4)-2H+3Na,1461.878946,1233.670146,1205.638866,1183.654506,1157.638866
CL(14:0_16:0_18:3_22:0)-2H+3Na,1497.972846,1269.764046,1241.732766,1219.748406,1157.638926
CL(14:0_16:0_18:3_22:5)-2H+3Na,1487.894596,1259.685796,1231.654516,1209.670156,1157.638876
CL(14:0_16:0_18:3_22:6)-2H+3Na,1485.878946,1257.670146,1229.638866,1207.654506,1157.638866
CL(14:0_16:0_20:0_20:0)-2H+3Na,1504.019797,1275.810997,1247.779717,1191.717157,1191.717157
CL(14:0_16:0_20:0_20:1)-2H+3Na,1502.004146,1273.795346,1245.764066,1189.701506,1191.717146
CL(14:0_16:0_20:0_20:2)-2H+3Na,1499.988496,1271.779696,1243.748416,1187.685856,1191.717136
CL(14:0_16:0_20:0_20:3)-2H+3Na,1497.972846,1269.764046,1241.732766,1185.670206,1191.717126
CL(14:0_16:0_20:0_20:4)-2H+3Na,1495.957196,1267.748396,1239.717116,1183.654556,1191.717116
CL(14:0_16:0_20:0_22:0)-2H+3Na,1532.051097,1303.842297,1275.811017,1219.748457,1191.717177
CL(14:0_16:0_20:0_22:5)-2H+3Na,1521.972846,1293.764046,1265.732766,1209.670206,1191.717126
