MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ 
MGDG(26:6)+NH4,652.40552,473.32622,455.31565
MGDG(27:0)+NH4,678.51508,499.43578,481.42521
MGDG(27:1)+NH4,676.49942,497.42012,479.40955
MGDG(27:2)+NH4,674.48377,495.40447,477.3939
MGDG(27:3)+NH4,672.46812,493.38882,475.37825
MGDG(27:4)+NH4,670.45246,491.37316,473.36259
MGDG(27:5)+NH4,668.43682,489.35752,471.34695
MGDG(27:6)+NH4,666.42112,487.34182,469.33125
MGDG(28:0)+NH4,692.53072,513.45142,495.44085
MGDG(28:1)+NH4,690.51508,511.43578,493.42521
MGDG(28:2)+NH4,688.49942,509.42012,491.40955
MGDG(28:3)+NH4,686.48377,507.40447,489.3939
MGDG(28:4)+NH4,684.46812,505.38882,487.37825
MGDG(28:5)+NH4,682.45246,503.37316,485.36259
MGDG(28:6)+NH4,680.43682,501.35752,483.34695
MGDG(29:0)+NH4,706.54642,527.46712,509.45655
MGDG(29:1)+NH4,704.53072,525.45142,507.44085
MGDG(29:2)+NH4,702.51508,523.43578,505.42521
MGDG(29:3)+NH4,700.49942,521.42012,503.40955
MGDG(29:4)+NH4,698.48377,519.40447,501.3939
MGDG(29:5)+NH4,696.46812,517.38882,499.37825
MGDG(29:6)+NH4,694.45246,515.37316,497.36259
MGDG(30:0)+NH4,720.56202,541.48272,523.47215
MGDG(30:1)+NH4,718.54642,539.46712,521.45655
MGDG(30:2)+NH4,716.53072,537.45142,519.44085
MGDG(30:3)+NH4,714.51508,535.43578,517.42521
MGDG(30:4)+NH4,712.49942,533.42012,515.40955
MGDG(30:5)+NH4,710.48377,531.40447,513.3939
MGDG(30:6)+NH4,708.46812,529.38882,511.37825
MGDG(31:0)+NH4,734.57762,555.49832,537.48775
MGDG(31:1)+NH4,732.56202,553.48272,535.47215
MGDG(31:2)+NH4,730.54642,551.46712,533.45655
MGDG(31:3)+NH4,728.53072,549.45142,531.44085
MGDG(31:4)+NH4,726.51508,547.43578,529.42521
MGDG(31:5)+NH4,724.49942,545.42012,527.40955
MGDG(31:6)+NH4,722.48377,543.40447,525.3939
MGDG(32:0)+NH4,748.59332,569.51402,551.50345
MGDG(32:1)+NH4,746.57762,567.49832,549.48775
MGDG(32:2)+NH4,744.56202,565.48272,547.47215
MGDG(32:3)+NH4,742.54642,563.46712,545.45655
MGDG(32:4)+NH4,740.53072,561.45142,543.44085
MGDG(32:5)+NH4,738.51508,559.43578,541.42521
MGDG(32:6)+NH4,736.49942,557.42012,539.40955
MGDG(33:0)+NH4,762.60895,583.52965,565.51908
MGDG(33:1)+NH4,760.59332,581.51402,563.50345
MGDG(33:2)+NH4,758.57762,579.49832,561.48775
MGDG(33:3)+NH4,756.56202,577.48272,559.47215
MGDG(33:4)+NH4,754.54642,575.46712,557.45655
MGDG(33:5)+NH4,752.53072,573.45142,555.44085
MGDG(33:6)+NH4,750.51508,571.43578,553.42521
MGDG(34:0)+NH4,776.62462,597.54532,579.53475
MGDG(34:1)+NH4,774.60895,595.52965,577.51908
MGDG(34:2)+NH4,772.59332,593.51402,575.50345
MGDG(34:3)+NH4,770.57762,591.49832,573.48775
