Cer-EOS,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[EFA-H]-,[FAA-H]-,[Sph-C2H8NO]-
Cer-EOS(d16:1/31:0-O-21:2)-H,1038.979,734.7026,506.4943,321.2799,480.4786,209.1911
Cer-EOS(d16:1/31:1-O-21:2)-H,1036.964,732.687,504.4786,321.2799,478.463,209.1911
Cer-EOS(d16:1/32:0-O-21:2)-H,1052.995,748.7183,520.5099,321.2799,494.4943,209.1911
Cer-EOS(d16:1/32:1-O-21:2)-H,1050.979,746.7026,518.4943,321.2799,492.4786,209.1911
Cer-EOS(d16:1/32:2-O-21:2)-H,1048.964,744.687,516.4786,321.2799,490.463,209.1911
Cer-EOS(d16:1/33:0-O-21:2)-H,1067.011,762.7339,534.5256,321.2799,508.5099,209.1911
Cer-EOS(d16:1/33:1-O-21:2)-H,1064.995,760.7183,532.5099,321.2799,506.4943,209.1911
Cer-EOS(d16:1/34:0-O-21:2)-H,1081.026,776.7496,548.5412,321.2799,522.5256,209.1911
Cer-EOS(d16:1/34:1-O-21:2)-H,1079.011,774.7339,546.5256,321.2799,520.5099,209.1911
Cer-EOS(d16:1/34:2-O-21:2)-H,1076.995,772.7183,544.5099,321.2799,518.4943,209.1911
Cer-EOS(d16:1/35:0-O-21:2)-H,1095.042,790.7653,562.5569,321.2799,536.5412,209.1911
Cer-EOS(d16:1/35:1-O-21:2)-H,1093.026,788.7496,560.5412,321.2799,534.5256,209.1911
Cer-EOS(d16:1/36:0-O-21:2)-H,1109.057,804.7809,576.5725,321.2799,550.5569,209.1911
Cer-EOS(d16:1/36:1-O-21:2)-H,1107.042,802.7653,574.5569,321.2799,548.5412,209.1911
Cer-EOS(d16:1/36:2-O-21:2)-H,1105.026,800.7496,572.5412,321.2799,546.5256,209.1911
Cer-EOS(d16:1/38:0-O-21:2)-H,1137.089,832.8122,604.6038,321.2799,578.5881,209.1911
Cer-EOS(d16:1/38:1-O-21:2)-H,1135.073,830.7966,602.5881,321.2799,576.5725,209.1911
Cer-EOS(d16:1/38:2-O-21:2)-H,1133.057,828.7809,600.5725,321.2799,574.5569,209.1911
Cer-EOS(d16:1/40:0-O-21:2)-H,1165.12,860.8435,632.6351,321.2799,606.6194,209.1911
Cer-EOS(d16:1/40:1-O-21:2)-H,1163.104,858.8278,630.6194,321.2799,604.6038,209.1911
Cer-EOS(d16:1/40:2-O-21:2)-H,1161.089,856.8122,628.6038,321.2799,602.5881,209.1911
Cer-EOS(d16:1/42:0-O-21:2)-H,1193.151,888.8748,660.6664,321.2799,634.6508,209.1911
Cer-EOS(d16:1/42:1-O-21:2)-H,1191.136,886.8591,658.6508,321.2799,632.6351,209.1911
Cer-EOS(d16:1/42:2-O-21:2)-H,1189.12,884.8435,656.6351,321.2799,630.6194,209.1911
Cer-EOS(d16:1/12:0-O-22:0)-H,790.7289,468.4053,240.1969,339.3269,214.1813,209.1911
Cer-EOS(d16:1/12:1-O-22:0)-H,788.7132,466.3896,238.1813,339.3269,212.1656,209.1911
Cer-EOS(d16:1/13:0-O-22:0)-H,804.7445,482.4209,254.2126,339.3269,228.1969,209.1911
Cer-EOS(d16:1/13:1-O-22:0)-H,802.7289,480.4053,252.1969,339.3269,226.1813,209.1911
Cer-EOS(d16:1/14:0-O-22:0)-H,818.7601,496.4366,268.2282,339.3269,242.2126,209.1911
Cer-EOS(d16:1/14:1-O-22:0)-H,816.7445,494.4209,266.2126,339.3269,240.1969,209.1911
Cer-EOS(d16:1/15:0-O-22:0)-H,832.7758,510.4522,282.2439,339.3269,256.2282,209.1911
Cer-EOS(d16:1/15:1-O-22:0)-H,830.7601,508.4366,280.2282,339.3269,254.2126,209.1911
Cer-EOS(d16:1/16:0-O-22:0)-H,846.7914,524.4679,296.2595,339.3269,270.2439,209.1911
Cer-EOS(d16:1/16:1-O-22:0)-H,844.7758,522.4523,294.2439,339.3269,268.2282,209.1911
Cer-EOS(d16:1/16:2-O-22:0)-H,842.7601,520.4366,292.2282,339.3269,266.2126,209.1911
Cer-EOS(d16:1/17:0-O-22:0)-H,860.8071,538.4835,310.2751,339.3269,284.2595,209.1911
Cer-EOS(d16:1/18:0-O-22:0)-H,874.8228,552.4992,324.2908,339.3269,298.2751,209.1911
Cer-EOS(d16:1/18:1-O-22:0)-H,872.8071,550.4835,322.2751,339.3269,296.2595,209.1911
Cer-EOS(d16:1/18:2-O-22:0)-H,870.7914,548.4679,320.2595,339.3269,294.2439,209.1911
Cer-EOS(d16:1/19:0-O-22:0)-H,888.8384,566.5148,338.3065,339.3269,312.2908,209.1911
Cer-EOS(d16:1/19:1-O-22:0)-H,886.8228,564.4992,336.2908,339.3269,310.2751,209.1911
Cer-EOS(d16:1/20:0-O-22:0)-H,902.8541,580.5305,352.3221,339.3269,326.3065,209.1911
Cer-EOS(d16:1/20:1-O-22:0)-H,900.8384,578.5148,350.3065,339.3269,324.2908,209.1911
Cer-EOS(d16:1/20:2-O-22:0)-H,898.8228,576.4992,348.2908,339.3269,322.2751,209.1911
Cer-EOS(d16:1/21:0-O-22:0)-H,916.8697,594.5461,366.3378,339.3269,340.3221,209.1911
Cer-EOS(d16:1/21:1-O-22:0)-H,914.8541,592.5305,364.3221,339.3269,338.3065,209.1911
Cer-EOS(d16:1/22:0-O-22:0)-H,930.8854,608.5618,380.3534,339.3269,354.3378,209.1911
Cer-EOS(d16:1/22:1-O-22:0)-H,928.8697,606.5461,378.3378,339.3269,352.3221,209.1911
Cer-EOS(d16:1/22:2-O-22:0)-H,926.8541,604.5305,376.3221,339.3269,350.3065,209.1911
Cer-EOS(d16:1/23:0-O-22:0)-H,944.901,622.5775,394.369,339.3269,368.3534,209.1911
Cer-EOS(d16:1/23:1-O-22:0)-H,942.8854,620.5618,392.3534,339.3269,366.3378,209.1911
Cer-EOS(d16:1/24:0-O-22:0)-H,958.9167,636.5931,408.3847,339.3269,382.369,209.1911
Cer-EOS(d16:1/24:1-O-22:0)-H,956.901,634.5775,406.369,339.3269,380.3534,209.1911
Cer-EOS(d16:1/24:2-O-22:0)-H,954.8854,632.5618,404.3534,339.3269,378.3378,209.1911
Cer-EOS(d16:1/25:0-O-22:0)-H,972.9323,650.6088,422.4004,339.3269,396.3847,209.1911
Cer-EOS(d16:1/25:1-O-22:0)-H,970.9167,648.5931,420.3847,339.3269,394.369,209.1911
Cer-EOS(d16:1/26:0-O-22:0)-H,986.9479,664.6244,436.416,339.3269,410.4004,209.1911
Cer-EOS(d16:1/26:1-O-22:0)-H,984.9323,662.6088,434.4004,339.3269,408.3847,209.1911
Cer-EOS(d16:1/26:2-O-22:0)-H,982.9167,660.5931,432.3847,339.3269,406.369,209.1911
Cer-EOS(d16:1/27:0-O-22:0)-H,1000.964,678.64,450.4317,339.3269,424.416,209.1911
Cer-EOS(d16:1/27:1-O-22:0)-H,998.9479,676.6244,448.416,339.3269,422.4004,209.1911
Cer-EOS(d16:1/28:0-O-22:0)-H,1014.979,692.6557,464.4473,339.3269,438.4317,209.1911
Cer-EOS(d16:1/28:1-O-22:0)-H,1012.964,690.64,462.4317,339.3269,436.416,209.1911
Cer-EOS(d16:1/28:2-O-22:0)-H,1010.948,688.6244,460.416,339.3269,434.4004,209.1911
Cer-EOS(d16:1/29:0-O-22:0)-H,1028.995,706.6713,478.463,339.3269,452.4473,209.1911
Cer-EOS(d16:1/29:1-O-22:0)-H,1026.979,704.6557,476.4473,339.3269,450.4317,209.1911
Cer-EOS(d16:1/30:0-O-22:0)-H,1043.011,720.687,492.4786,339.3269,466.463,209.1911
Cer-EOS(d16:1/30:1-O-22:0)-H,1040.995,718.6713,490.463,339.3269,464.4473,209.1911
Cer-EOS(d16:1/30:2-O-22:0)-H,1038.979,716.6557,488.4473,339.3269,462.4317,209.1911
Cer-EOS(d16:1/31:0-O-22:0)-H,1057.026,734.7026,506.4943,339.3269,480.4786,209.1911
Cer-EOS(d16:1/31:1-O-22:0)-H,1055.011,732.687,504.4786,339.3269,478.463,209.1911
Cer-EOS(d16:1/32:0-O-22:0)-H,1071.042,748.7183,520.5099,339.3269,494.4943,209.1911
Cer-EOS(d16:1/32:1-O-22:0)-H,1069.026,746.7026,518.4943,339.3269,492.4786,209.1911
Cer-EOS(d16:1/32:2-O-22:0)-H,1067.011,744.687,516.4786,339.3269,490.463,209.1911
Cer-EOS(d16:1/33:0-O-22:0)-H,1085.057,762.7339,534.5256,339.3269,508.5099,209.1911
Cer-EOS(d16:1/33:1-O-22:0)-H,1083.042,760.7183,532.5099,339.3269,506.4943,209.1911
Cer-EOS(d16:1/34:0-O-22:0)-H,1099.073,776.7496,548.5412,339.3269,522.5256,209.1911
Cer-EOS(d16:1/34:1-O-22:0)-H,1097.057,774.7339,546.5256,339.3269,520.5099,209.1911
Cer-EOS(d16:1/34:2-O-22:0)-H,1095.042,772.7183,544.5099,339.3269,518.4943,209.1911
Cer-EOS(d16:1/35:0-O-22:0)-H,1113.089,790.7653,562.5569,339.3269,536.5412,209.1911
Cer-EOS(d16:1/35:1-O-22:0)-H,1111.073,788.7496,560.5412,339.3269,534.5256,209.1911
Cer-EOS(d16:1/36:0-O-22:0)-H,1127.104,804.7809,576.5725,339.3269,550.5569,209.1911
Cer-EOS(d16:1/36:1-O-22:0)-H,1125.089,802.7653,574.5569,339.3269,548.5412,209.1911
Cer-EOS(d16:1/36:2-O-22:0)-H,1123.073,800.7496,572.5412,339.3269,546.5256,209.1911
Cer-EOS(d16:1/38:0-O-22:0)-H,1155.136,832.8122,604.6038,339.3269,578.5881,209.1911
Cer-EOS(d16:1/38:1-O-22:0)-H,1153.12,830.7966,602.5881,339.3269,576.5725,209.1911
Cer-EOS(d16:1/38:2-O-22:0)-H,1151.104,828.7809,600.5725,339.3269,574.5569,209.1911
Cer-EOS(d16:1/40:0-O-22:0)-H,1183.167,860.8435,632.6351,339.3269,606.6194,209.1911
Cer-EOS(d16:1/40:1-O-22:0)-H,1181.151,858.8278,630.6194,339.3269,604.6038,209.1911
Cer-EOS(d16:1/40:2-O-22:0)-H,1179.136,856.8122,628.6038,339.3269,602.5881,209.1911
Cer-EOS(d16:1/42:0-O-22:0)-H,1211.198,888.8748,660.6664,339.3269,634.6508,209.1911
Cer-EOS(d16:1/42:1-O-22:0)-H,1209.183,886.8591,658.6508,339.3269,632.6351,209.1911
Cer-EOS(d16:1/42:2-O-22:0)-H,1207.167,884.8435,656.6351,339.3269,630.6194,209.1911
Cer-EOS(d16:1/12:0-O-22:1)-H,788.7132,468.4053,240.1969,337.3112,214.1813,209.1911
Cer-EOS(d16:1/12:1-O-22:1)-H,786.6976,466.3896,238.1813,337.3112,212.1656,209.1911
Cer-EOS(d16:1/13:0-O-22:1)-H,802.7289,482.4209,254.2126,337.3112,228.1969,209.1911
Cer-EOS(d16:1/13:1-O-22:1)-H,800.7132,480.4053,252.1969,337.3112,226.1813,209.1911
Cer-EOS(d16:1/14:0-O-22:1)-H,816.7445,496.4366,268.2282,337.3112,242.2126,209.1911
Cer-EOS(d16:1/14:1-O-22:1)-H,814.7289,494.4209,266.2126,337.3112,240.1969,209.1911
Cer-EOS(d16:1/15:0-O-22:1)-H,830.7601,510.4522,282.2439,337.3112,256.2282,209.1911
Cer-EOS(d16:1/15:1-O-22:1)-H,828.7445,508.4366,280.2282,337.3112,254.2126,209.1911
Cer-EOS(d16:1/16:0-O-22:1)-H,844.7758,524.4679,296.2595,337.3112,270.2439,209.1911
Cer-EOS(d16:1/16:1-O-22:1)-H,842.7601,522.4523,294.2439,337.3112,268.2282,209.1911
Cer-EOS(d16:1/16:2-O-22:1)-H,840.7445,520.4366,292.2282,337.3112,266.2126,209.1911
Cer-EOS(d16:1/17:0-O-22:1)-H,858.7914,538.4835,310.2751,337.3112,284.2595,209.1911
Cer-EOS(d16:1/18:0-O-22:1)-H,872.8071,552.4992,324.2908,337.3112,298.2751,209.1911
Cer-EOS(d16:1/18:1-O-22:1)-H,870.7914,550.4835,322.2751,337.3112,296.2595,209.1911
Cer-EOS(d16:1/18:2-O-22:1)-H,868.7758,548.4679,320.2595,337.3112,294.2439,209.1911
Cer-EOS(d16:1/19:0-O-22:1)-H,886.8228,566.5148,338.3065,337.3112,312.2908,209.1911
Cer-EOS(d16:1/19:1-O-22:1)-H,884.8071,564.4992,336.2908,337.3112,310.2751,209.1911
Cer-EOS(d16:1/20:0-O-22:1)-H,900.8384,580.5305,352.3221,337.3112,326.3065,209.1911
Cer-EOS(d16:1/20:1-O-22:1)-H,898.8228,578.5148,350.3065,337.3112,324.2908,209.1911
Cer-EOS(d16:1/20:2-O-22:1)-H,896.8071,576.4992,348.2908,337.3112,322.2751,209.1911
Cer-EOS(d16:1/21:0-O-22:1)-H,914.8541,594.5461,366.3378,337.3112,340.3221,209.1911
Cer-EOS(d16:1/21:1-O-22:1)-H,912.8384,592.5305,364.3221,337.3112,338.3065,209.1911
Cer-EOS(d16:1/22:0-O-22:1)-H,928.8697,608.5618,380.3534,337.3112,354.3378,209.1911
Cer-EOS(d16:1/22:1-O-22:1)-H,926.8541,606.5461,378.3378,337.3112,352.3221,209.1911
Cer-EOS(d16:1/22:2-O-22:1)-H,924.8384,604.5305,376.3221,337.3112,350.3065,209.1911
Cer-EOS(d16:1/23:0-O-22:1)-H,942.8854,622.5775,394.369,337.3112,368.3534,209.1911
Cer-EOS(d16:1/23:1-O-22:1)-H,940.8697,620.5618,392.3534,337.3112,366.3378,209.1911
Cer-EOS(d16:1/24:0-O-22:1)-H,956.901,636.5931,408.3847,337.3112,382.369,209.1911
Cer-EOS(d16:1/24:1-O-22:1)-H,954.8854,634.5775,406.369,337.3112,380.3534,209.1911
Cer-EOS(d16:1/24:2-O-22:1)-H,952.8697,632.5618,404.3534,337.3112,378.3378,209.1911
Cer-EOS(d16:1/25:0-O-22:1)-H,970.9167,650.6088,422.4004,337.3112,396.3847,209.1911
Cer-EOS(d16:1/25:1-O-22:1)-H,968.901,648.5931,420.3847,337.3112,394.369,209.1911
Cer-EOS(d16:1/26:0-O-22:1)-H,984.9323,664.6244,436.416,337.3112,410.4004,209.1911
Cer-EOS(d16:1/26:1-O-22:1)-H,982.9167,662.6088,434.4004,337.3112,408.3847,209.1911
Cer-EOS(d16:1/26:2-O-22:1)-H,980.901,660.5931,432.3847,337.3112,406.369,209.1911
Cer-EOS(d16:1/27:0-O-22:1)-H,998.9479,678.64,450.4317,337.3112,424.416,209.1911
Cer-EOS(d16:1/27:1-O-22:1)-H,996.9323,676.6244,448.416,337.3112,422.4004,209.1911
Cer-EOS(d16:1/28:0-O-22:1)-H,1012.964,692.6557,464.4473,337.3112,438.4317,209.1911
Cer-EOS(d16:1/28:1-O-22:1)-H,1010.948,690.64,462.4317,337.3112,436.416,209.1911
Cer-EOS(d16:1/28:2-O-22:1)-H,1008.932,688.6244,460.416,337.3112,434.4004,209.1911
Cer-EOS(d16:1/29:0-O-22:1)-H,1026.979,706.6713,478.463,337.3112,452.4473,209.1911
Cer-EOS(d16:1/29:1-O-22:1)-H,1024.964,704.6557,476.4473,337.3112,450.4317,209.1911
Cer-EOS(d16:1/30:0-O-22:1)-H,1040.995,720.687,492.4786,337.3112,466.463,209.1911
Cer-EOS(d16:1/30:1-O-22:1)-H,1038.979,718.6713,490.463,337.3112,464.4473,209.1911
Cer-EOS(d16:1/30:2-O-22:1)-H,1036.964,716.6557,488.4473,337.3112,462.4317,209.1911
Cer-EOS(d16:1/31:0-O-22:1)-H,1055.011,734.7026,506.4943,337.3112,480.4786,209.1911
Cer-EOS(d16:1/31:1-O-22:1)-H,1052.995,732.687,504.4786,337.3112,478.463,209.1911
Cer-EOS(d16:1/32:0-O-22:1)-H,1069.026,748.7183,520.5099,337.3112,494.4943,209.1911
Cer-EOS(d16:1/32:1-O-22:1)-H,1067.011,746.7026,518.4943,337.3112,492.4786,209.1911
Cer-EOS(d16:1/32:2-O-22:1)-H,1064.995,744.687,516.4786,337.3112,490.463,209.1911
Cer-EOS(d16:1/33:0-O-22:1)-H,1083.042,762.7339,534.5256,337.3112,508.5099,209.1911
Cer-EOS(d16:1/33:1-O-22:1)-H,1081.026,760.7183,532.5099,337.3112,506.4943,209.1911
Cer-EOS(d16:1/34:0-O-22:1)-H,1097.057,776.7496,548.5412,337.3112,522.5256,209.1911
Cer-EOS(d16:1/34:1-O-22:1)-H,1095.042,774.7339,546.5256,337.3112,520.5099,209.1911
Cer-EOS(d16:1/34:2-O-22:1)-H,1093.026,772.7183,544.5099,337.3112,518.4943,209.1911
Cer-EOS(d16:1/35:0-O-22:1)-H,1111.073,790.7653,562.5569,337.3112,536.5412,209.1911
Cer-EOS(d16:1/35:1-O-22:1)-H,1109.057,788.7496,560.5412,337.3112,534.5256,209.1911
Cer-EOS(d16:1/36:0-O-22:1)-H,1125.089,804.7809,576.5725,337.3112,550.5569,209.1911
Cer-EOS(d16:1/36:1-O-22:1)-H,1123.073,802.7653,574.5569,337.3112,548.5412,209.1911
Cer-EOS(d16:1/36:2-O-22:1)-H,1121.057,800.7496,572.5412,337.3112,546.5256,209.1911
Cer-EOS(d16:1/38:0-O-22:1)-H,1153.12,832.8122,604.6038,337.3112,578.5881,209.1911
Cer-EOS(d16:1/38:1-O-22:1)-H,1151.104,830.7966,602.5881,337.3112,576.5725,209.1911
Cer-EOS(d16:1/38:2-O-22:1)-H,1149.089,828.7809,600.5725,337.3112,574.5569,209.1911
Cer-EOS(d16:1/40:0-O-22:1)-H,1181.151,860.8435,632.6351,337.3112,606.6194,209.1911
Cer-EOS(d16:1/40:1-O-22:1)-H,1179.136,858.8278,630.6194,337.3112,604.6038,209.1911
Cer-EOS(d16:1/40:2-O-22:1)-H,1177.12,856.8122,628.6038,337.3112,602.5881,209.1911
Cer-EOS(d16:1/42:0-O-22:1)-H,1209.183,888.8748,660.6664,337.3112,634.6508,209.1911
Cer-EOS(d16:1/42:1-O-22:1)-H,1207.167,886.8591,658.6508,337.3112,632.6351,209.1911
Cer-EOS(d16:1/42:2-O-22:1)-H,1205.151,884.8435,656.6351,337.3112,630.6194,209.1911
Cer-EOS(d16:1/12:0-O-22:2)-H,786.6976,468.4053,240.1969,335.2956,214.1813,209.1911
Cer-EOS(d16:1/12:1-O-22:2)-H,784.6819,466.3896,238.1813,335.2956,212.1656,209.1911
Cer-EOS(d16:1/13:0-O-22:2)-H,800.7132,482.4209,254.2126,335.2956,228.1969,209.1911
Cer-EOS(d16:1/13:1-O-22:2)-H,798.6976,480.4053,252.1969,335.2956,226.1813,209.1911
Cer-EOS(d16:1/14:0-O-22:2)-H,814.7289,496.4366,268.2282,335.2956,242.2126,209.1911
Cer-EOS(d16:1/14:1-O-22:2)-H,812.7132,494.4209,266.2126,335.2956,240.1969,209.1911
Cer-EOS(d16:1/15:0-O-22:2)-H,828.7445,510.4522,282.2439,335.2956,256.2282,209.1911
Cer-EOS(d16:1/15:1-O-22:2)-H,826.7289,508.4366,280.2282,335.2956,254.2126,209.1911
Cer-EOS(d16:1/16:0-O-22:2)-H,842.7601,524.4679,296.2595,335.2956,270.2439,209.1911
Cer-EOS(d16:1/16:1-O-22:2)-H,840.7445,522.4523,294.2439,335.2956,268.2282,209.1911
Cer-EOS(d16:1/16:2-O-22:2)-H,838.7289,520.4366,292.2282,335.2956,266.2126,209.1911
Cer-EOS(d16:1/17:0-O-22:2)-H,856.7758,538.4835,310.2751,335.2956,284.2595,209.1911
Cer-EOS(d16:1/18:0-O-22:2)-H,870.7914,552.4992,324.2908,335.2956,298.2751,209.1911
Cer-EOS(d16:1/18:1-O-22:2)-H,868.7758,550.4835,322.2751,335.2956,296.2595,209.1911
Cer-EOS(d16:1/18:2-O-22:2)-H,866.7601,548.4679,320.2595,335.2956,294.2439,209.1911
Cer-EOS(d16:1/19:0-O-22:2)-H,884.8071,566.5148,338.3065,335.2956,312.2908,209.1911
Cer-EOS(d16:1/19:1-O-22:2)-H,882.7914,564.4992,336.2908,335.2956,310.2751,209.1911
Cer-EOS(d16:1/20:0-O-22:2)-H,898.8228,580.5305,352.3221,335.2956,326.3065,209.1911
Cer-EOS(d16:1/20:1-O-22:2)-H,896.8071,578.5148,350.3065,335.2956,324.2908,209.1911
Cer-EOS(d16:1/20:2-O-22:2)-H,894.7914,576.4992,348.2908,335.2956,322.2751,209.1911
Cer-EOS(d16:1/21:0-O-22:2)-H,912.8384,594.5461,366.3378,335.2956,340.3221,209.1911
Cer-EOS(d16:1/21:1-O-22:2)-H,910.8228,592.5305,364.3221,335.2956,338.3065,209.1911
Cer-EOS(d16:1/22:0-O-22:2)-H,926.8541,608.5618,380.3534,335.2956,354.3378,209.1911
Cer-EOS(d16:1/22:1-O-22:2)-H,924.8384,606.5461,378.3378,335.2956,352.3221,209.1911
Cer-EOS(d16:1/22:2-O-22:2)-H,922.8228,604.5305,376.3221,335.2956,350.3065,209.1911
Cer-EOS(d16:1/23:0-O-22:2)-H,940.8697,622.5775,394.369,335.2956,368.3534,209.1911
Cer-EOS(d16:1/23:1-O-22:2)-H,938.8541,620.5618,392.3534,335.2956,366.3378,209.1911
Cer-EOS(d16:1/24:0-O-22:2)-H,954.8854,636.5931,408.3847,335.2956,382.369,209.1911
Cer-EOS(d16:1/24:1-O-22:2)-H,952.8697,634.5775,406.369,335.2956,380.3534,209.1911
Cer-EOS(d16:1/24:2-O-22:2)-H,950.8541,632.5618,404.3534,335.2956,378.3378,209.1911
Cer-EOS(d16:1/25:0-O-22:2)-H,968.901,650.6088,422.4004,335.2956,396.3847,209.1911
Cer-EOS(d16:1/25:1-O-22:2)-H,966.8854,648.5931,420.3847,335.2956,394.369,209.1911
Cer-EOS(d16:1/26:0-O-22:2)-H,982.9167,664.6244,436.416,335.2956,410.4004,209.1911
Cer-EOS(d16:1/26:1-O-22:2)-H,980.901,662.6088,434.4004,335.2956,408.3847,209.1911
Cer-EOS(d16:1/26:2-O-22:2)-H,978.8854,660.5931,432.3847,335.2956,406.369,209.1911
Cer-EOS(d16:1/27:0-O-22:2)-H,996.9323,678.64,450.4317,335.2956,424.416,209.1911
Cer-EOS(d16:1/27:1-O-22:2)-H,994.9167,676.6244,448.416,335.2956,422.4004,209.1911
Cer-EOS(d16:1/28:0-O-22:2)-H,1010.948,692.6557,464.4473,335.2956,438.4317,209.1911
Cer-EOS(d16:1/28:1-O-22:2)-H,1008.932,690.64,462.4317,335.2956,436.416,209.1911
Cer-EOS(d16:1/28:2-O-22:2)-H,1006.917,688.6244,460.416,335.2956,434.4004,209.1911
Cer-EOS(d16:1/29:0-O-22:2)-H,1024.964,706.6713,478.463,335.2956,452.4473,209.1911
Cer-EOS(d16:1/29:1-O-22:2)-H,1022.948,704.6557,476.4473,335.2956,450.4317,209.1911
Cer-EOS(d16:1/30:0-O-22:2)-H,1038.979,720.687,492.4786,335.2956,466.463,209.1911
Cer-EOS(d16:1/30:1-O-22:2)-H,1036.964,718.6713,490.463,335.2956,464.4473,209.1911
Cer-EOS(d16:1/30:2-O-22:2)-H,1034.948,716.6557,488.4473,335.2956,462.4317,209.1911
Cer-EOS(d16:1/31:0-O-22:2)-H,1052.995,734.7026,506.4943,335.2956,480.4786,209.1911
Cer-EOS(d16:1/31:1-O-22:2)-H,1050.979,732.687,504.4786,335.2956,478.463,209.1911
Cer-EOS(d16:1/32:0-O-22:2)-H,1067.011,748.7183,520.5099,335.2956,494.4943,209.1911
Cer-EOS(d16:1/32:1-O-22:2)-H,1064.995,746.7026,518.4943,335.2956,492.4786,209.1911
Cer-EOS(d16:1/32:2-O-22:2)-H,1062.979,744.687,516.4786,335.2956,490.463,209.1911
Cer-EOS(d16:1/33:0-O-22:2)-H,1081.026,762.7339,534.5256,335.2956,508.5099,209.1911
Cer-EOS(d16:1/33:1-O-22:2)-H,1079.011,760.7183,532.5099,335.2956,506.4943,209.1911
Cer-EOS(d16:1/34:0-O-22:2)-H,1095.042,776.7496,548.5412,335.2956,522.5256,209.1911
Cer-EOS(d16:1/34:1-O-22:2)-H,1093.026,774.7339,546.5256,335.2956,520.5099,209.1911
Cer-EOS(d16:1/34:2-O-22:2)-H,1091.011,772.7183,544.5099,335.2956,518.4943,209.1911
Cer-EOS(d16:1/35:0-O-22:2)-H,1109.057,790.7653,562.5569,335.2956,536.5412,209.1911
Cer-EOS(d16:1/35:1-O-22:2)-H,1107.042,788.7496,560.5412,335.2956,534.5256,209.1911
Cer-EOS(d16:1/36:0-O-22:2)-H,1123.073,804.7809,576.5725,335.2956,550.5569,209.1911
Cer-EOS(d16:1/36:1-O-22:2)-H,1121.057,802.7653,574.5569,335.2956,548.5412,209.1911
Cer-EOS(d16:1/36:2-O-22:2)-H,1119.042,800.7496,572.5412,335.2956,546.5256,209.1911
Cer-EOS(d16:1/38:0-O-22:2)-H,1151.104,832.8122,604.6038,335.2956,578.5881,209.1911
Cer-EOS(d16:1/38:1-O-22:2)-H,1149.089,830.7966,602.5881,335.2956,576.5725,209.1911
Cer-EOS(d16:1/38:2-O-22:2)-H,1147.073,828.7809,600.5725,335.2956,574.5569,209.1911
Cer-EOS(d16:1/40:0-O-22:2)-H,1179.136,860.8435,632.6351,335.2956,606.6194,209.1911
Cer-EOS(d16:1/40:1-O-22:2)-H,1177.12,858.8278,630.6194,335.2956,604.6038,209.1911
Cer-EOS(d16:1/40:2-O-22:2)-H,1175.104,856.8122,628.6038,335.2956,602.5881,209.1911
Cer-EOS(d16:1/42:0-O-22:2)-H,1207.167,888.8748,660.6664,335.2956,634.6508,209.1911
Cer-EOS(d16:1/42:1-O-22:2)-H,1205.151,886.8591,658.6508,335.2956,632.6351,209.1911
Cer-EOS(d16:1/42:2-O-22:2)-H,1203.136,884.8435,656.6351,335.2956,630.6194,209.1911
Cer-EOS(d17:1/12:0-O-14:0)-H,692.6193,482.4209,240.1969,227.2017,214.1813,223.2067
Cer-EOS(d17:1/12:1-O-14:0)-H,690.6036,480.4053,238.1813,227.2017,212.1656,223.2067
Cer-EOS(d17:1/13:0-O-14:0)-H,706.6349,496.4366,254.2126,227.2017,228.1969,223.2067
Cer-EOS(d17:1/13:1-O-14:0)-H,704.6193,494.4209,252.1969,227.2017,226.1813,223.2067
Cer-EOS(d17:1/14:0-O-14:0)-H,720.6506,510.4522,268.2282,227.2017,242.2126,223.2067
Cer-EOS(d17:1/14:1-O-14:0)-H,718.6349,508.4366,266.2126,227.2017,240.1969,223.2067
Cer-EOS(d17:1/15:0-O-14:0)-H,734.6663,524.4679,282.2439,227.2017,256.2282,223.2067
Cer-EOS(d17:1/15:1-O-14:0)-H,732.6506,522.4522,280.2282,227.2017,254.2126,223.2067
Cer-EOS(d17:1/16:0-O-14:0)-H,748.6819,538.4835,296.2595,227.2017,270.2439,223.2067
Cer-EOS(d17:1/16:1-O-14:0)-H,746.6663,536.4679,294.2439,227.2017,268.2282,223.2067
Cer-EOS(d17:1/16:2-O-14:0)-H,744.6506,534.4522,292.2282,227.2017,266.2126,223.2067
Cer-EOS(d17:1/17:0-O-14:0)-H,762.6976,552.4992,310.2751,227.2017,284.2595,223.2067
Cer-EOS(d17:1/18:0-O-14:0)-H,776.7132,566.5148,324.2908,227.2017,298.2751,223.2067
Cer-EOS(d17:1/18:1-O-14:0)-H,774.6976,564.4992,322.2751,227.2017,296.2595,223.2067
Cer-EOS(d17:1/18:2-O-14:0)-H,772.6819,562.4835,320.2595,227.2017,294.2439,223.2067
Cer-EOS(d17:1/19:0-O-14:0)-H,790.7289,580.5305,338.3065,227.2017,312.2908,223.2067
Cer-EOS(d17:1/19:1-O-14:0)-H,788.7132,578.5148,336.2908,227.2017,310.2751,223.2067
Cer-EOS(d17:1/20:0-O-14:0)-H,804.7445,594.5461,352.3221,227.2017,326.3065,223.2067
Cer-EOS(d17:1/20:1-O-14:0)-H,802.7289,592.5305,350.3065,227.2017,324.2908,223.2067
