MGDG,[M+NH4-CO]+,M-sn1,M-sn2,sn1,sn2,M-sn1-C6H12O6,M-sn2-C6H12O6
MGDG(4:0_20:4)+NH4-CO,600.4106,512.3582,296.17052,87.04403,303.23171,332.29481,116.10713
MGDG(4:0_20:5)+NH4-CO,598.3949,510.3425,296.17046,87.04403,301.21607,330.27911,116.10707
MGDG(4:0_21:0)+NH4-CO,622.48885,534.43645,296.17057,87.04403,325.30991,354.37306,116.10718
MGDG(4:0_22:0)+NH4-CO,636.5045,548.4521,296.17058,87.04403,339.32555,368.38871,116.10719
MGDG(4:0_22:1)+NH4-CO,634.48885,546.43645,296.17057,87.04403,337.30991,366.37306,116.10718
MGDG(4:0_22:2)+NH4-CO,632.4732,544.4208,296.17056,87.04403,335.29427,364.35741,116.10717
MGDG(4:0_22:4)+NH4-CO,628.4419,540.3895,296.17054,87.04403,331.26299,360.32611,116.10715
MGDG(4:0_22:5)+NH4-CO,626.4262,538.3738,296.17048,87.04403,329.24735,358.31041,116.10709
MGDG(4:0_22:6)+NH4-CO,624.4106,536.3582,296.17052,87.04403,327.23171,356.29481,116.10713
MGDG(4:0_23:0)+NH4-CO,650.52016,562.46776,296.1706,87.04403,353.34119,382.40437,116.10721
MGDG(4:0_24:0)+NH4-CO,664.5358,576.4834,296.1706,87.04403,367.35683,396.42001,116.10721
MGDG(4:0_24:1)+NH4-CO,662.52016,574.46776,296.1706,87.04403,365.34119,394.40437,116.10721
MGDG(4:0_24:4)+NH4-CO,656.4732,568.4208,296.17056,87.04403,359.29427,388.35741,116.10717
MGDG(4:0_25:0)+NH4-CO,678.5515,590.4991,296.17066,87.04403,381.37247,410.43571,116.10727
MGDG(4:0_26:0)+NH4-CO,692.5671,604.5147,296.17062,87.04403,395.38811,424.45131,116.10723
MGDG(4:0_26:1)+NH4-CO,690.5515,602.4991,296.17066,87.04403,393.37247,422.43571,116.10727
MGDG(4:0_26:2)+NH4-CO,688.5358,600.4834,296.1706,87.04403,391.35683,420.42001,116.10721
MGDG(5:0_2:0)+NH4-CO,370.20714,268.1391,310.18602,101.05967,59.01275,88.07571,130.12263
MGDG(5:0_3:0)+NH4-CO,384.2228,282.15476,310.18604,101.05967,73.02839,102.09137,130.12265
MGDG(5:0_4:0)+NH4-CO,398.23845,296.17041,310.18605,101.05967,87.04403,116.10702,130.12266
MGDG(5:0_5:0)+NH4-CO,412.2541,310.18606,310.18606,101.05967,101.05967,130.12267,130.12267
MGDG(5:0_6:0)+NH4-CO,426.26973,324.20169,310.18605,101.05967,115.07531,144.1383,130.12266
MGDG(5:0_7:0)+NH4-CO,440.2854,338.21736,310.18608,101.05967,129.09095,158.15397,130.12269
MGDG(5:0_8:0)+NH4-CO,454.30105,352.23301,310.18609,101.05967,143.10659,172.16962,130.1227
MGDG(5:0_9:0)+NH4-CO,468.3167,366.24866,310.1861,101.05967,157.12223,186.18527,130.12271
MGDG(5:0_10:0)+NH4-CO,482.33236,380.26432,310.18612,101.05967,171.13787,200.20093,130.12273
MGDG(5:0_11:0)+NH4-CO,496.348,394.27996,310.18612,101.05967,185.15351,214.21657,130.12273
MGDG(5:0_12:0)+NH4-CO,510.36367,408.29563,310.18615,101.05967,199.16915,228.23224,130.12276
MGDG(5:0_13:0)+NH4-CO,524.3793,422.31126,310.18614,101.05967,213.18479,242.24787,130.12275
MGDG(5:0_14:0)+NH4-CO,538.3949,436.32686,310.1861,101.05967,227.20043,256.26347,130.12271
