Cer-EODS,[M+C2H3O2]-,[M-H]-,NL of EFA,[FAA+C2H2-H]-,[EFA-H]-,[FAA-H]-,[Sph-C2H8NO]-
Cer-EODS(d19:0/19:1-O-16:1)+C2H3O2,904.7969,844.7758,608.5618,336.2908,253.2173,310.2751,253.2537
Cer-EODS(d19:0/20:0-O-16:1)+C2H3O2,920.8282,860.8071,624.5931,352.3221,253.2173,326.3065,253.2537
Cer-EODS(d19:0/20:1-O-16:1)+C2H3O2,918.8126,858.7914,622.5775,350.3065,253.2173,324.2908,253.2537
Cer-EODS(d19:0/20:2-O-16:1)+C2H3O2,916.7969,856.7758,620.5618,348.2908,253.2173,322.2751,253.2537
Cer-EODS(d19:0/21:0-O-16:1)+C2H3O2,934.8439,874.8228,638.6088,366.3378,253.2173,340.3221,253.2537
Cer-EODS(d19:0/21:1-O-16:1)+C2H3O2,932.8282,872.8071,636.5931,364.3221,253.2173,338.3065,253.2537
Cer-EODS(d19:0/22:0-O-16:1)+C2H3O2,948.8596,888.8384,652.6244,380.3534,253.2173,354.3378,253.2537
Cer-EODS(d19:0/22:1-O-16:1)+C2H3O2,946.8439,886.8228,650.6088,378.3378,253.2173,352.3221,253.2537
Cer-EODS(d19:0/22:2-O-16:1)+C2H3O2,944.8282,884.8071,648.5931,376.3221,253.2173,350.3065,253.2537
Cer-EODS(d19:0/23:0-O-16:1)+C2H3O2,962.8752,902.8541,666.64,394.369,253.2173,368.3534,253.2537
Cer-EODS(d19:0/23:1-O-16:1)+C2H3O2,960.8596,900.8384,664.6244,392.3534,253.2173,366.3378,253.2537
Cer-EODS(d19:0/24:0-O-16:1)+C2H3O2,976.8909,916.8697,680.6557,408.3847,253.2173,382.369,253.2537
Cer-EODS(d19:0/24:1-O-16:1)+C2H3O2,974.8752,914.8541,678.64,406.369,253.2173,380.3534,253.2537
Cer-EODS(d19:0/24:2-O-16:1)+C2H3O2,972.8596,912.8384,676.6244,404.3534,253.2173,378.3378,253.2537
Cer-EODS(d19:0/25:0-O-16:1)+C2H3O2,990.9065,930.8854,694.6713,422.4004,253.2173,396.3847,253.2537
Cer-EODS(d19:0/25:1-O-16:1)+C2H3O2,988.8909,928.8697,692.6557,420.3847,253.2173,394.369,253.2537
Cer-EODS(d19:0/26:0-O-16:1)+C2H3O2,1004.922,944.901,708.687,436.416,253.2173,410.4004,253.2537
Cer-EODS(d19:0/26:1-O-16:1)+C2H3O2,1002.906,942.8854,706.6713,434.4004,253.2173,408.3847,253.2537
Cer-EODS(d19:0/26:2-O-16:1)+C2H3O2,1000.891,940.8697,704.6557,432.3847,253.2173,406.369,253.2537
Cer-EODS(d19:0/27:0-O-16:1)+C2H3O2,1018.938,958.9167,722.7026,450.4317,253.2173,424.416,253.2537
Cer-EODS(d19:0/27:1-O-16:1)+C2H3O2,1016.922,956.901,720.687,448.416,253.2173,422.4004,253.2537
Cer-EODS(d19:0/28:0-O-16:1)+C2H3O2,1032.953,972.9323,736.7183,464.4473,253.2173,438.4317,253.2537
Cer-EODS(d19:0/28:1-O-16:1)+C2H3O2,1030.938,970.9167,734.7026,462.4317,253.2173,436.416,253.2537
Cer-EODS(d19:0/28:2-O-16:1)+C2H3O2,1028.922,968.901,732.687,460.416,253.2173,434.4004,253.2537
Cer-EODS(d19:0/29:0-O-16:1)+C2H3O2,1046.969,986.9479,750.7339,478.463,253.2173,452.4473,253.2537
Cer-EODS(d19:0/29:1-O-16:1)+C2H3O2,1044.953,984.9323,748.7183,476.4473,253.2173,450.4317,253.2537
Cer-EODS(d19:0/30:0-O-16:1)+C2H3O2,1060.985,1000.964,764.7496,492.4786,253.2173,466.463,253.2537
Cer-EODS(d19:0/30:1-O-16:1)+C2H3O2,1058.969,998.9479,762.7339,490.463,253.2173,464.4473,253.2537
Cer-EODS(d19:0/30:2-O-16:1)+C2H3O2,1056.953,996.9323,760.7183,488.4473,253.2173,462.4317,253.2537
Cer-EODS(d19:0/31:0-O-16:1)+C2H3O2,1075,1014.979,778.7653,506.4943,253.2173,480.4786,253.2537
Cer-EODS(d19:0/31:1-O-16:1)+C2H3O2,1072.985,1012.964,776.7496,504.4786,253.2173,478.463,253.2537
Cer-EODS(d19:0/32:0-O-16:1)+C2H3O2,1089.016,1028.995,792.7809,520.5099,253.2173,494.4943,253.2537
Cer-EODS(d19:0/32:1-O-16:1)+C2H3O2,1087,1026.979,790.7653,518.4943,253.2173,492.4786,253.2537
Cer-EODS(d19:0/32:2-O-16:1)+C2H3O2,1084.985,1024.964,788.7496,516.4786,253.2173,490.463,253.2537
Cer-EODS(d19:0/33:0-O-16:1)+C2H3O2,1103.032,1043.011,806.7966,534.5256,253.2173,508.5099,253.2537
Cer-EODS(d19:0/33:1-O-16:1)+C2H3O2,1101.016,1040.995,804.7809,532.5099,253.2173,506.4943,253.2537
Cer-EODS(d19:0/34:0-O-16:1)+C2H3O2,1117.047,1057.026,820.8122,548.5412,253.2173,522.5256,253.2537
Cer-EODS(d19:0/34:1-O-16:1)+C2H3O2,1115.032,1055.011,818.7966,546.5256,253.2173,520.5099,253.2537
Cer-EODS(d19:0/34:2-O-16:1)+C2H3O2,1113.016,1052.995,816.7809,544.5099,253.2173,518.4943,253.2537
Cer-EODS(d19:0/35:0-O-16:1)+C2H3O2,1131.063,1071.042,834.8278,562.5569,253.2173,536.5412,253.2537
Cer-EODS(d19:0/35:1-O-16:1)+C2H3O2,1129.047,1069.026,832.8122,560.5412,253.2173,534.5256,253.2537
Cer-EODS(d19:0/36:0-O-16:1)+C2H3O2,1145.079,1085.057,848.8435,576.5725,253.2173,550.5569,253.2537
Cer-EODS(d19:0/36:1-O-16:1)+C2H3O2,1143.063,1083.042,846.8278,574.5569,253.2173,548.5412,253.2537
Cer-EODS(d19:0/36:2-O-16:1)+C2H3O2,1141.047,1081.026,844.8122,572.5412,253.2173,546.5256,253.2537
Cer-EODS(d19:0/38:0-O-16:1)+C2H3O2,1173.11,1113.089,876.8748,604.6038,253.2173,578.5881,253.2537
Cer-EODS(d19:0/38:1-O-16:1)+C2H3O2,1171.094,1111.073,874.8591,602.5881,253.2173,576.5725,253.2537
Cer-EODS(d19:0/38:2-O-16:1)+C2H3O2,1169.079,1109.057,872.8435,600.5725,253.2173,574.5569,253.2537
Cer-EODS(d19:0/40:0-O-16:1)+C2H3O2,1201.141,1141.12,904.9061,632.6351,253.2173,606.6194,253.2537
Cer-EODS(d19:0/40:1-O-16:1)+C2H3O2,1199.126,1139.104,902.8904,630.6194,253.2173,604.6038,253.2537
Cer-EODS(d19:0/40:2-O-16:1)+C2H3O2,1197.11,1137.089,900.8748,628.6038,253.2173,602.5881,253.2537
Cer-EODS(d19:0/42:0-O-16:1)+C2H3O2,1229.172,1169.151,932.9374,660.6664,253.2173,634.6508,253.2537
Cer-EODS(d19:0/42:1-O-16:1)+C2H3O2,1227.157,1167.136,930.9218,658.6508,253.2173,632.6351,253.2537
Cer-EODS(d19:0/42:2-O-16:1)+C2H3O2,1225.141,1165.12,928.9061,656.6351,253.2173,630.6194,253.2537
Cer-EODS(d19:0/12:0-O-16:2)+C2H3O2,806.6874,746.6663,512.4679,240.1969,251.2017,214.1813,253.2537
Cer-EODS(d19:0/12:1-O-16:2)+C2H3O2,804.6718,744.6506,510.4522,238.1813,251.2017,212.1656,253.2537
Cer-EODS(d19:0/13:0-O-16:2)+C2H3O2,820.7031,760.6819,526.4835,254.2126,251.2017,228.1969,253.2537
Cer-EODS(d19:0/13:1-O-16:2)+C2H3O2,818.6874,758.6663,524.4679,252.1969,251.2017,226.1813,253.2537
Cer-EODS(d19:0/14:0-O-16:2)+C2H3O2,834.7187,774.6976,540.4992,268.2282,251.2017,242.2126,253.2537
Cer-EODS(d19:0/14:1-O-16:2)+C2H3O2,832.7031,772.6819,538.4835,266.2126,251.2017,240.1969,253.2537
Cer-EODS(d19:0/15:0-O-16:2)+C2H3O2,848.7343,788.7132,554.5148,282.2439,251.2017,256.2282,253.2537
Cer-EODS(d19:0/15:1-O-16:2)+C2H3O2,846.7187,786.6976,552.4992,280.2282,251.2017,254.2126,253.2537
Cer-EODS(d19:0/16:0-O-16:2)+C2H3O2,862.75,802.7289,568.5305,296.2595,251.2017,270.2439,253.2537
Cer-EODS(d19:0/16:1-O-16:2)+C2H3O2,860.7343,800.7132,566.5148,294.2439,251.2017,268.2282,253.2537
Cer-EODS(d19:0/16:2-O-16:2)+C2H3O2,858.7187,798.6976,564.4992,292.2282,251.2017,266.2126,253.2537
Cer-EODS(d19:0/17:0-O-16:2)+C2H3O2,876.7656,816.7445,582.5461,310.2751,251.2017,284.2595,253.2537
Cer-EODS(d19:0/18:0-O-16:2)+C2H3O2,890.7813,830.7601,596.5618,324.2908,251.2017,298.2751,253.2537
Cer-EODS(d19:0/18:1-O-16:2)+C2H3O2,888.7656,828.7445,594.5461,322.2751,251.2017,296.2595,253.2537
Cer-EODS(d19:0/18:2-O-16:2)+C2H3O2,886.75,826.7289,592.5305,320.2595,251.2017,294.2439,253.2537
Cer-EODS(d19:0/19:0-O-16:2)+C2H3O2,904.7969,844.7758,610.5775,338.3065,251.2017,312.2908,253.2537
Cer-EODS(d19:0/19:1-O-16:2)+C2H3O2,902.7813,842.7601,608.5618,336.2908,251.2017,310.2751,253.2537
Cer-EODS(d19:0/20:0-O-16:2)+C2H3O2,918.8126,858.7914,624.5931,352.3221,251.2017,326.3065,253.2537
Cer-EODS(d19:0/20:1-O-16:2)+C2H3O2,916.7969,856.7758,622.5775,350.3065,251.2017,324.2908,253.2537
Cer-EODS(d19:0/20:2-O-16:2)+C2H3O2,914.7813,854.7601,620.5618,348.2908,251.2017,322.2751,253.2537
Cer-EODS(d19:0/21:0-O-16:2)+C2H3O2,932.8282,872.8071,638.6088,366.3378,251.2017,340.3221,253.2537
Cer-EODS(d19:0/21:1-O-16:2)+C2H3O2,930.8126,870.7914,636.5931,364.3221,251.2017,338.3065,253.2537
Cer-EODS(d19:0/22:0-O-16:2)+C2H3O2,946.8439,886.8228,652.6244,380.3534,251.2017,354.3378,253.2537
Cer-EODS(d19:0/22:1-O-16:2)+C2H3O2,944.8282,884.8071,650.6088,378.3378,251.2017,352.3221,253.2537
Cer-EODS(d19:0/22:2-O-16:2)+C2H3O2,942.8126,882.7914,648.5931,376.3221,251.2017,350.3065,253.2537
Cer-EODS(d19:0/23:0-O-16:2)+C2H3O2,960.8596,900.8384,666.64,394.369,251.2017,368.3534,253.2537
Cer-EODS(d19:0/23:1-O-16:2)+C2H3O2,958.8439,898.8228,664.6244,392.3534,251.2017,366.3378,253.2537
Cer-EODS(d19:0/24:0-O-16:2)+C2H3O2,974.8752,914.8541,680.6557,408.3847,251.2017,382.369,253.2537
Cer-EODS(d19:0/24:1-O-16:2)+C2H3O2,972.8596,912.8384,678.64,406.369,251.2017,380.3534,253.2537
Cer-EODS(d19:0/24:2-O-16:2)+C2H3O2,970.8439,910.8228,676.6244,404.3534,251.2017,378.3378,253.2537
Cer-EODS(d19:0/25:0-O-16:2)+C2H3O2,988.8909,928.8697,694.6713,422.4004,251.2017,396.3847,253.2537
Cer-EODS(d19:0/25:1-O-16:2)+C2H3O2,986.8752,926.8541,692.6557,420.3847,251.2017,394.369,253.2537
Cer-EODS(d19:0/26:0-O-16:2)+C2H3O2,1002.906,942.8854,708.687,436.416,251.2017,410.4004,253.2537
Cer-EODS(d19:0/26:1-O-16:2)+C2H3O2,1000.891,940.8697,706.6713,434.4004,251.2017,408.3847,253.2537
Cer-EODS(d19:0/26:2-O-16:2)+C2H3O2,998.8752,938.8541,704.6557,432.3847,251.2017,406.369,253.2537
Cer-EODS(d19:0/27:0-O-16:2)+C2H3O2,1016.922,956.901,722.7026,450.4317,251.2017,424.416,253.2537
Cer-EODS(d19:0/27:1-O-16:2)+C2H3O2,1014.906,954.8854,720.687,448.416,251.2017,422.4004,253.2537
Cer-EODS(d19:0/28:0-O-16:2)+C2H3O2,1030.938,970.9167,736.7183,464.4473,251.2017,438.4317,253.2537
Cer-EODS(d19:0/28:1-O-16:2)+C2H3O2,1028.922,968.901,734.7026,462.4317,251.2017,436.416,253.2537
Cer-EODS(d19:0/28:2-O-16:2)+C2H3O2,1026.906,966.8854,732.687,460.416,251.2017,434.4004,253.2537
Cer-EODS(d19:0/29:0-O-16:2)+C2H3O2,1044.953,984.9323,750.7339,478.463,251.2017,452.4473,253.2537
Cer-EODS(d19:0/29:1-O-16:2)+C2H3O2,1042.938,982.9167,748.7183,476.4473,251.2017,450.4317,253.2537
Cer-EODS(d19:0/30:0-O-16:2)+C2H3O2,1058.969,998.9479,764.7496,492.4786,251.2017,466.463,253.2537
Cer-EODS(d19:0/30:1-O-16:2)+C2H3O2,1056.953,996.9323,762.7339,490.463,251.2017,464.4473,253.2537
Cer-EODS(d19:0/30:2-O-16:2)+C2H3O2,1054.938,994.9167,760.7183,488.4473,251.2017,462.4317,253.2537
Cer-EODS(d19:0/31:0-O-16:2)+C2H3O2,1072.985,1012.964,778.7653,506.4943,251.2017,480.4786,253.2537
Cer-EODS(d19:0/31:1-O-16:2)+C2H3O2,1070.969,1010.948,776.7496,504.4786,251.2017,478.463,253.2537
Cer-EODS(d19:0/32:0-O-16:2)+C2H3O2,1087,1026.979,792.7809,520.5099,251.2017,494.4943,253.2537
Cer-EODS(d19:0/32:1-O-16:2)+C2H3O2,1084.985,1024.964,790.7653,518.4943,251.2017,492.4786,253.2537
Cer-EODS(d19:0/32:2-O-16:2)+C2H3O2,1082.969,1022.948,788.7496,516.4786,251.2017,490.463,253.2537
Cer-EODS(d19:0/33:0-O-16:2)+C2H3O2,1101.016,1040.995,806.7966,534.5256,251.2017,508.5099,253.2537
Cer-EODS(d19:0/33:1-O-16:2)+C2H3O2,1099,1038.979,804.7809,532.5099,251.2017,506.4943,253.2537
Cer-EODS(d19:0/34:0-O-16:2)+C2H3O2,1115.032,1055.011,820.8122,548.5412,251.2017,522.5256,253.2537
Cer-EODS(d19:0/34:1-O-16:2)+C2H3O2,1113.016,1052.995,818.7966,546.5256,251.2017,520.5099,253.2537
Cer-EODS(d19:0/34:2-O-16:2)+C2H3O2,1111,1050.979,816.7809,544.5099,251.2017,518.4943,253.2537
Cer-EODS(d19:0/35:0-O-16:2)+C2H3O2,1129.047,1069.026,834.8278,562.5569,251.2017,536.5412,253.2537
Cer-EODS(d19:0/35:1-O-16:2)+C2H3O2,1127.032,1067.011,832.8122,560.5412,251.2017,534.5256,253.2537
Cer-EODS(d19:0/36:0-O-16:2)+C2H3O2,1143.063,1083.042,848.8435,576.5725,251.2017,550.5569,253.2537
Cer-EODS(d19:0/36:1-O-16:2)+C2H3O2,1141.047,1081.026,846.8278,574.5569,251.2017,548.5412,253.2537
Cer-EODS(d19:0/36:2-O-16:2)+C2H3O2,1139.032,1079.011,844.8122,572.5412,251.2017,546.5256,253.2537
Cer-EODS(d19:0/38:0-O-16:2)+C2H3O2,1171.094,1111.073,876.8748,604.6038,251.2017,578.5881,253.2537
Cer-EODS(d19:0/38:1-O-16:2)+C2H3O2,1169.079,1109.057,874.8591,602.5881,251.2017,576.5725,253.2537
Cer-EODS(d19:0/38:2-O-16:2)+C2H3O2,1167.063,1107.042,872.8435,600.5725,251.2017,574.5569,253.2537
Cer-EODS(d19:0/40:0-O-16:2)+C2H3O2,1199.126,1139.104,904.9061,632.6351,251.2017,606.6194,253.2537
Cer-EODS(d19:0/40:1-O-16:2)+C2H3O2,1197.11,1137.089,902.8904,630.6194,251.2017,604.6038,253.2537
Cer-EODS(d19:0/40:2-O-16:2)+C2H3O2,1195.094,1135.073,900.8748,628.6038,251.2017,602.5881,253.2537
Cer-EODS(d19:0/42:0-O-16:2)+C2H3O2,1227.157,1167.136,932.9374,660.6664,251.2017,634.6508,253.2537
Cer-EODS(d19:0/42:1-O-16:2)+C2H3O2,1225.141,1165.12,930.9218,658.6508,251.2017,632.6351,253.2537
Cer-EODS(d19:0/42:2-O-16:2)+C2H3O2,1223.126,1163.104,928.9061,656.6351,251.2017,630.6194,253.2537
Cer-EODS(d19:0/12:0-O-17:0)+C2H3O2,824.7343,764.7132,512.4679,240.1969,269.2486,214.1813,253.2537
Cer-EODS(d19:0/12:1-O-17:0)+C2H3O2,822.7187,762.6976,510.4522,238.1813,269.2486,212.1656,253.2537
Cer-EODS(d19:0/13:0-O-17:0)+C2H3O2,838.75,778.7289,526.4835,254.2126,269.2486,228.1969,253.2537
Cer-EODS(d19:0/13:1-O-17:0)+C2H3O2,836.7343,776.7132,524.4679,252.1969,269.2486,226.1813,253.2537
Cer-EODS(d19:0/14:0-O-17:0)+C2H3O2,852.7656,792.7445,540.4992,268.2282,269.2486,242.2126,253.2537
Cer-EODS(d19:0/14:1-O-17:0)+C2H3O2,850.75,790.7289,538.4835,266.2126,269.2486,240.1969,253.2537
Cer-EODS(d19:0/15:0-O-17:0)+C2H3O2,866.7813,806.7601,554.5148,282.2439,269.2486,256.2282,253.2537
Cer-EODS(d19:0/15:1-O-17:0)+C2H3O2,864.7656,804.7445,552.4992,280.2282,269.2486,254.2126,253.2537
Cer-EODS(d19:0/16:0-O-17:0)+C2H3O2,880.7969,820.7758,568.5305,296.2595,269.2486,270.2439,253.2537
Cer-EODS(d19:0/16:1-O-17:0)+C2H3O2,878.7813,818.7601,566.5148,294.2439,269.2486,268.2282,253.2537
Cer-EODS(d19:0/16:2-O-17:0)+C2H3O2,876.7656,816.7445,564.4992,292.2282,269.2486,266.2126,253.2537
Cer-EODS(d19:0/17:0-O-17:0)+C2H3O2,894.8126,834.7914,582.5461,310.2751,269.2486,284.2595,253.2537
Cer-EODS(d19:0/18:0-O-17:0)+C2H3O2,908.8282,848.8071,596.5618,324.2908,269.2486,298.2751,253.2537
Cer-EODS(d19:0/18:1-O-17:0)+C2H3O2,906.8126,846.7914,594.5461,322.2751,269.2486,296.2595,253.2537
Cer-EODS(d19:0/18:2-O-17:0)+C2H3O2,904.7969,844.7758,592.5305,320.2595,269.2486,294.2439,253.2537
Cer-EODS(d19:0/19:0-O-17:0)+C2H3O2,922.8439,862.8228,610.5775,338.3065,269.2486,312.2908,253.2537
Cer-EODS(d19:0/19:1-O-17:0)+C2H3O2,920.8282,860.8071,608.5618,336.2908,269.2486,310.2751,253.2537
Cer-EODS(d19:0/20:0-O-17:0)+C2H3O2,936.8596,876.8384,624.5931,352.3221,269.2486,326.3065,253.2537
Cer-EODS(d19:0/20:1-O-17:0)+C2H3O2,934.8439,874.8228,622.5775,350.3065,269.2486,324.2908,253.2537
Cer-EODS(d19:0/20:2-O-17:0)+C2H3O2,932.8282,872.8071,620.5618,348.2908,269.2486,322.2751,253.2537
Cer-EODS(d19:0/21:0-O-17:0)+C2H3O2,950.8752,890.8541,638.6088,366.3378,269.2486,340.3221,253.2537
Cer-EODS(d19:0/21:1-O-17:0)+C2H3O2,948.8596,888.8384,636.5931,364.3221,269.2486,338.3065,253.2537
Cer-EODS(d19:0/22:0-O-17:0)+C2H3O2,964.8909,904.8697,652.6244,380.3534,269.2486,354.3378,253.2537
Cer-EODS(d19:0/22:1-O-17:0)+C2H3O2,962.8752,902.8541,650.6088,378.3378,269.2486,352.3221,253.2537
Cer-EODS(d19:0/22:2-O-17:0)+C2H3O2,960.8596,900.8384,648.5931,376.3221,269.2486,350.3065,253.2537
Cer-EODS(d19:0/23:0-O-17:0)+C2H3O2,978.9065,918.8854,666.64,394.369,269.2486,368.3534,253.2537
Cer-EODS(d19:0/23:1-O-17:0)+C2H3O2,976.8909,916.8697,664.6244,392.3534,269.2486,366.3378,253.2537
Cer-EODS(d19:0/24:0-O-17:0)+C2H3O2,992.9221,932.901,680.6557,408.3847,269.2486,382.369,253.2537
Cer-EODS(d19:0/24:1-O-17:0)+C2H3O2,990.9065,930.8854,678.64,406.369,269.2486,380.3534,253.2537
Cer-EODS(d19:0/24:2-O-17:0)+C2H3O2,988.8909,928.8697,676.6244,404.3534,269.2486,378.3378,253.2537
Cer-EODS(d19:0/25:0-O-17:0)+C2H3O2,1006.938,946.9167,694.6713,422.4004,269.2486,396.3847,253.2537
Cer-EODS(d19:0/25:1-O-17:0)+C2H3O2,1004.922,944.901,692.6557,420.3847,269.2486,394.369,253.2537
Cer-EODS(d19:0/26:0-O-17:0)+C2H3O2,1020.953,960.9323,708.687,436.416,269.2486,410.4004,253.2537
Cer-EODS(d19:0/26:1-O-17:0)+C2H3O2,1018.938,958.9167,706.6713,434.4004,269.2486,408.3847,253.2537
Cer-EODS(d19:0/26:2-O-17:0)+C2H3O2,1016.922,956.901,704.6557,432.3847,269.2486,406.369,253.2537
Cer-EODS(d19:0/27:0-O-17:0)+C2H3O2,1034.969,974.9479,722.7026,450.4317,269.2486,424.416,253.2537
Cer-EODS(d19:0/27:1-O-17:0)+C2H3O2,1032.953,972.9323,720.687,448.416,269.2486,422.4004,253.2537
Cer-EODS(d19:0/28:0-O-17:0)+C2H3O2,1048.985,988.9636,736.7183,464.4473,269.2486,438.4317,253.2537
Cer-EODS(d19:0/28:1-O-17:0)+C2H3O2,1046.969,986.9479,734.7026,462.4317,269.2486,436.416,253.2537
Cer-EODS(d19:0/28:2-O-17:0)+C2H3O2,1044.953,984.9323,732.687,460.416,269.2486,434.4004,253.2537
Cer-EODS(d19:0/29:0-O-17:0)+C2H3O2,1063,1002.979,750.7339,478.463,269.2486,452.4473,253.2537
Cer-EODS(d19:0/29:1-O-17:0)+C2H3O2,1060.985,1000.964,748.7183,476.4473,269.2486,450.4317,253.2537
Cer-EODS(d19:0/30:0-O-17:0)+C2H3O2,1077.016,1016.995,764.7496,492.4786,269.2486,466.463,253.2537
Cer-EODS(d19:0/30:1-O-17:0)+C2H3O2,1075,1014.979,762.7339,490.463,269.2486,464.4473,253.2537
Cer-EODS(d19:0/30:2-O-17:0)+C2H3O2,1072.985,1012.964,760.7183,488.4473,269.2486,462.4317,253.2537
Cer-EODS(d19:0/31:0-O-17:0)+C2H3O2,1091.032,1031.011,778.7653,506.4943,269.2486,480.4786,253.2537
Cer-EODS(d19:0/31:1-O-17:0)+C2H3O2,1089.016,1028.995,776.7496,504.4786,269.2486,478.463,253.2537
Cer-EODS(d19:0/32:0-O-17:0)+C2H3O2,1105.047,1045.026,792.7809,520.5099,269.2486,494.4943,253.2537
Cer-EODS(d19:0/32:1-O-17:0)+C2H3O2,1103.032,1043.011,790.7653,518.4943,269.2486,492.4786,253.2537
Cer-EODS(d19:0/32:2-O-17:0)+C2H3O2,1101.016,1040.995,788.7496,516.4786,269.2486,490.463,253.2537
Cer-EODS(d19:0/33:0-O-17:0)+C2H3O2,1119.063,1059.042,806.7966,534.5256,269.2486,508.5099,253.2537
Cer-EODS(d19:0/33:1-O-17:0)+C2H3O2,1117.047,1057.026,804.7809,532.5099,269.2486,506.4943,253.2537
Cer-EODS(d19:0/34:0-O-17:0)+C2H3O2,1133.079,1073.057,820.8122,548.5412,269.2486,522.5256,253.2537
Cer-EODS(d19:0/34:1-O-17:0)+C2H3O2,1131.063,1071.042,818.7966,546.5256,269.2486,520.5099,253.2537
Cer-EODS(d19:0/34:2-O-17:0)+C2H3O2,1129.047,1069.026,816.7809,544.5099,269.2486,518.4943,253.2537
Cer-EODS(d19:0/35:0-O-17:0)+C2H3O2,1147.094,1087.073,834.8278,562.5569,269.2486,536.5412,253.2537
Cer-EODS(d19:0/35:1-O-17:0)+C2H3O2,1145.079,1085.057,832.8122,560.5412,269.2486,534.5256,253.2537
Cer-EODS(d19:0/36:0-O-17:0)+C2H3O2,1161.11,1101.089,848.8435,576.5725,269.2486,550.5569,253.2537
Cer-EODS(d19:0/36:1-O-17:0)+C2H3O2,1159.094,1099.073,846.8278,574.5569,269.2486,548.5412,253.2537
Cer-EODS(d19:0/36:2-O-17:0)+C2H3O2,1157.079,1097.057,844.8122,572.5412,269.2486,546.5256,253.2537
Cer-EODS(d19:0/38:0-O-17:0)+C2H3O2,1189.141,1129.12,876.8748,604.6038,269.2486,578.5881,253.2537
Cer-EODS(d19:0/38:1-O-17:0)+C2H3O2,1187.126,1127.104,874.8591,602.5881,269.2486,576.5725,253.2537
Cer-EODS(d19:0/38:2-O-17:0)+C2H3O2,1185.11,1125.089,872.8435,600.5725,269.2486,574.5569,253.2537
Cer-EODS(d19:0/40:0-O-17:0)+C2H3O2,1217.172,1157.151,904.9061,632.6351,269.2486,606.6194,253.2537
Cer-EODS(d19:0/40:1-O-17:0)+C2H3O2,1215.157,1155.136,902.8904,630.6194,269.2486,604.6038,253.2537
Cer-EODS(d19:0/40:2-O-17:0)+C2H3O2,1213.141,1153.12,900.8748,628.6038,269.2486,602.5881,253.2537
Cer-EODS(d19:0/42:0-O-17:0)+C2H3O2,1245.204,1185.183,932.9374,660.6664,269.2486,634.6508,253.2537
Cer-EODS(d19:0/42:1-O-17:0)+C2H3O2,1243.188,1183.167,930.9218,658.6508,269.2486,632.6351,253.2537
Cer-EODS(d19:0/42:2-O-17:0)+C2H3O2,1241.172,1181.151,928.9061,656.6351,269.2486,630.6194,253.2537
Cer-EODS(d19:0/12:0-O-17:1)+C2H3O2,822.7187,762.6976,512.4679,240.1969,267.233,214.1813,253.2537
Cer-EODS(d19:0/12:1-O-17:1)+C2H3O2,820.7031,760.6819,510.4522,238.1813,267.233,212.1656,253.2537
Cer-EODS(d19:0/13:0-O-17:1)+C2H3O2,836.7343,776.7132,526.4835,254.2126,267.233,228.1969,253.2537
Cer-EODS(d19:0/13:1-O-17:1)+C2H3O2,834.7187,774.6976,524.4679,252.1969,267.233,226.1813,253.2537
Cer-EODS(d19:0/14:0-O-17:1)+C2H3O2,850.75,790.7289,540.4992,268.2282,267.233,242.2126,253.2537
Cer-EODS(d19:0/14:1-O-17:1)+C2H3O2,848.7343,788.7132,538.4835,266.2126,267.233,240.1969,253.2537
Cer-EODS(d19:0/15:0-O-17:1)+C2H3O2,864.7656,804.7445,554.5148,282.2439,267.233,256.2282,253.2537
Cer-EODS(d19:0/15:1-O-17:1)+C2H3O2,862.75,802.7289,552.4992,280.2282,267.233,254.2126,253.2537
Cer-EODS(d19:0/16:0-O-17:1)+C2H3O2,878.7813,818.7601,568.5305,296.2595,267.233,270.2439,253.2537
Cer-EODS(d19:0/16:1-O-17:1)+C2H3O2,876.7656,816.7445,566.5148,294.2439,267.233,268.2282,253.2537
Cer-EODS(d19:0/16:2-O-17:1)+C2H3O2,874.75,814.7289,564.4992,292.2282,267.233,266.2126,253.2537
Cer-EODS(d19:0/17:0-O-17:1)+C2H3O2,892.7969,832.7758,582.5461,310.2751,267.233,284.2595,253.2537
Cer-EODS(d19:0/18:0-O-17:1)+C2H3O2,906.8126,846.7914,596.5618,324.2908,267.233,298.2751,253.2537
Cer-EODS(d19:0/18:1-O-17:1)+C2H3O2,904.7969,844.7758,594.5461,322.2751,267.233,296.2595,253.2537
Cer-EODS(d19:0/18:2-O-17:1)+C2H3O2,902.7813,842.7601,592.5305,320.2595,267.233,294.2439,253.2537
Cer-EODS(d19:0/19:0-O-17:1)+C2H3O2,920.8282,860.8071,610.5775,338.3065,267.233,312.2908,253.2537
Cer-EODS(d19:0/19:1-O-17:1)+C2H3O2,918.8126,858.7914,608.5618,336.2908,267.233,310.2751,253.2537
Cer-EODS(d19:0/20:0-O-17:1)+C2H3O2,934.8439,874.8228,624.5931,352.3221,267.233,326.3065,253.2537
Cer-EODS(d19:0/20:1-O-17:1)+C2H3O2,932.8282,872.8071,622.5775,350.3065,267.233,324.2908,253.2537
Cer-EODS(d19:0/20:2-O-17:1)+C2H3O2,930.8126,870.7914,620.5618,348.2908,267.233,322.2751,253.2537
Cer-EODS(d19:0/21:0-O-17:1)+C2H3O2,948.8596,888.8384,638.6088,366.3378,267.233,340.3221,253.2537
