HexCer-NDS,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[Sph-C2H7NO-H]-,[FAA-OH-H]-,[C6H11O6]-
HexCer-NDS(d17:0/42:0)-H,1050.964,888.9112,644.671,225.2224,601.6531,179.0556
HexCer-NDS(d17:0/42:1)-H,1048.948,886.8955,642.6553,225.2224,599.6375,179.0556
HexCer-NDS(d17:0/42:2)-H,1046.933,884.8799,640.6396,225.2224,597.6218,179.0556
HexCer-NDS(d18:0/12:0)-H,644.5101,482.4573,224.2014,239.238,181.1836,179.0556
HexCer-NDS(d18:0/12:1)-H,642.4945,480.4417,222.1858,239.238,179.168,179.0556
HexCer-NDS(d18:0/13:0)-H,658.5258,496.473,238.2171,239.238,195.1992,179.0556
HexCer-NDS(d18:0/13:1)-H,656.5101,494.4573,236.2014,239.238,193.1836,179.0556
HexCer-NDS(d18:0/14:0)-H,672.5414,510.4886,252.2328,239.238,209.2149,179.0556
HexCer-NDS(d18:0/14:1)-H,670.5258,508.473,250.2171,239.238,207.1992,179.0556
HexCer-NDS(d18:0/15:0)-H,686.5571,524.5043,266.2484,239.238,223.2305,179.0556
HexCer-NDS(d18:0/15:1)-H,684.5414,522.4886,264.2328,239.238,221.2149,179.0556
HexCer-NDS(d18:0/16:0)-H,700.5728,538.5199,280.264,239.238,237.2462,179.0556
HexCer-NDS(d18:0/16:1)-H,698.5571,536.5043,278.2484,239.238,235.2305,179.0556
HexCer-NDS(d18:0/16:2)-H,696.5414,534.4886,276.2328,239.238,233.2149,179.0556
HexCer-NDS(d18:0/17:0)-H,714.5884,552.5356,294.2797,239.238,251.2619,179.0556
HexCer-NDS(d18:0/18:0)-H,728.6041,566.5512,308.2953,239.238,265.2775,179.0556
HexCer-NDS(d18:0/18:1)-H,726.5884,564.5356,306.2797,239.238,263.2618,179.0556
HexCer-NDS(d18:0/18:2)-H,724.5728,562.5199,304.264,239.238,261.2462,179.0556
HexCer-NDS(d18:0/19:0)-H,742.6197,580.5669,322.311,239.238,279.2932,179.0556
HexCer-NDS(d18:0/19:1)-H,740.6041,578.5512,320.2953,239.238,277.2775,179.0556
HexCer-NDS(d18:0/20:0)-H,756.6354,594.5825,336.3267,239.238,293.3088,179.0556
HexCer-NDS(d18:0/20:1)-H,754.6197,592.5669,334.311,239.238,291.2932,179.0556
HexCer-NDS(d18:0/20:2)-H,752.6041,590.5512,332.2953,239.238,289.2775,179.0556
HexCer-NDS(d18:0/21:0)-H,770.651,608.5981,350.3423,239.238,307.3245,179.0556
HexCer-NDS(d18:0/21:1)-H,768.6354,606.5825,348.3267,239.238,305.3088,179.0556
HexCer-NDS(d18:0/22:0)-H,784.6666,622.6138,364.3579,239.238,321.3401,179.0556
HexCer-NDS(d18:0/22:1)-H,782.651,620.5981,362.3423,239.238,319.3245,179.0556
HexCer-NDS(d18:0/22:2)-H,780.6354,618.5825,360.3267,239.238,317.3088,179.0556
HexCer-NDS(d18:0/23:0)-H,798.6823,636.6295,378.3736,239.238,335.3557,179.0556
HexCer-NDS(d18:0/23:1)-H,796.6666,634.6138,376.3579,239.238,333.3401,179.0556
HexCer-NDS(d18:0/24:0)-H,812.6979,650.6451,392.3893,239.238,349.3714,179.0556
HexCer-NDS(d18:0/24:1)-H,810.6823,648.6295,390.3736,239.238,347.3557,179.0556
HexCer-NDS(d18:0/24:2)-H,808.6666,646.6138,388.3579,239.238,345.3401,179.0556
HexCer-NDS(d18:0/25:0)-H,826.7136,664.6608,406.4049,239.238,363.3871,179.0556
HexCer-NDS(d18:0/25:1)-H,824.6979,662.6451,404.3893,239.238,361.3714,179.0556
HexCer-NDS(d18:0/26:0)-H,840.7292,678.6764,420.4206,239.238,377.4027,179.0556
HexCer-NDS(d18:0/26:1)-H,838.7136,676.6608,418.4049,239.238,375.3871,179.0556
HexCer-NDS(d18:0/26:2)-H,836.6979,674.6451,416.3893,239.238,373.3714,179.0556
HexCer-NDS(d18:0/27:0)-H,854.7449,692.6921,434.4362,239.238,391.4183,179.0556
HexCer-NDS(d18:0/27:1)-H,852.7292,690.6764,432.4206,239.238,389.4027,179.0556
HexCer-NDS(d18:0/28:0)-H,868.7606,706.7077,448.4518,239.238,405.434,179.0556
HexCer-NDS(d18:0/28:1)-H,866.7449,704.6921,446.4362,239.238,403.4183,179.0556
HexCer-NDS(d18:0/28:2)-H,864.7292,702.6764,444.4206,239.238,401.4027,179.0556
HexCer-NDS(d18:0/29:0)-H,882.7762,720.7234,462.4675,239.238,419.4496,179.0556
HexCer-NDS(d18:0/29:1)-H,880.7606,718.7077,460.4518,239.238,417.434,179.0556
HexCer-NDS(d18:0/30:0)-H,896.7919,734.739,476.4832,239.238,433.4653,179.0556
HexCer-NDS(d18:0/30:1)-H,894.7762,732.7234,474.4675,239.238,431.4496,179.0556
HexCer-NDS(d18:0/30:2)-H,892.7606,730.7077,472.4518,239.238,429.434,179.0556
HexCer-NDS(d18:0/31:0)-H,910.8075,748.7547,490.4988,239.238,447.481,179.0556
HexCer-NDS(d18:0/31:1)-H,908.7919,746.739,488.4832,239.238,445.4653,179.0556
HexCer-NDS(d18:0/32:0)-H,924.8231,762.7703,504.5144,239.238,461.4966,179.0556
HexCer-NDS(d18:0/32:1)-H,922.8075,760.7547,502.4988,239.238,459.481,179.0556
HexCer-NDS(d18:0/32:2)-H,920.7919,758.739,500.4832,239.238,457.4653,179.0556
HexCer-NDS(d18:0/33:0)-H,938.8388,776.7859,518.5301,239.238,475.5122,179.0556
HexCer-NDS(d18:0/33:1)-H,936.8231,774.7703,516.5145,239.238,473.4966,179.0556
HexCer-NDS(d18:0/34:0)-H,952.8544,790.8016,532.5458,239.238,489.5279,179.0556
HexCer-NDS(d18:0/34:1)-H,950.8388,788.7859,530.5301,239.238,487.5122,179.0556
HexCer-NDS(d18:0/34:2)-H,948.8231,786.7703,528.5145,239.238,485.4966,179.0556
HexCer-NDS(d18:0/35:0)-H,966.8701,804.8173,546.5614,239.238,503.5435,179.0556
HexCer-NDS(d18:0/35:1)-H,964.8544,802.8016,544.5458,239.238,501.5279,179.0556
HexCer-NDS(d18:0/36:0)-H,980.8857,818.8329,560.577,239.238,517.5592,179.0556
HexCer-NDS(d18:0/36:1)-H,978.8701,816.8173,558.5614,239.238,515.5436,179.0556
HexCer-NDS(d18:0/36:2)-H,976.8544,814.8016,556.5458,239.238,513.5279,179.0556
HexCer-NDS(d18:0/38:0)-H,1008.917,846.8642,588.6083,239.238,545.5905,179.0556
HexCer-NDS(d18:0/38:1)-H,1006.901,844.8486,586.5927,239.238,543.5748,179.0556
HexCer-NDS(d18:0/38:2)-H,1004.886,842.8329,584.577,239.238,541.5592,179.0556
HexCer-NDS(d18:0/40:0)-H,1036.948,874.8955,616.6396,239.238,573.6218,179.0556
HexCer-NDS(d18:0/40:1)-H,1034.933,872.8799,614.624,239.238,571.6061,179.0556
HexCer-NDS(d18:0/40:2)-H,1032.917,870.8642,612.6083,239.238,569.5905,179.0556
HexCer-NDS(d18:0/42:0)-H,1064.98,902.9268,644.671,239.238,601.6531,179.0556
HexCer-NDS(d18:0/42:1)-H,1062.964,900.9112,642.6553,239.238,599.6375,179.0556
HexCer-NDS(d18:0/42:2)-H,1060.948,898.8955,640.6396,239.238,597.6218,179.0556
HexCer-NDS(d19:0/12:0)-H,658.5258,496.473,224.2014,253.2537,181.1836,179.0556
HexCer-NDS(d19:0/12:1)-H,656.5101,494.4573,222.1858,253.2537,179.168,179.0556
HexCer-NDS(d19:0/13:0)-H,672.5414,510.4886,238.2171,253.2537,195.1992,179.0556
HexCer-NDS(d19:0/13:1)-H,670.5258,508.473,236.2014,253.2537,193.1836,179.0556
HexCer-NDS(d19:0/14:0)-H,686.5571,524.5043,252.2328,253.2537,209.2149,179.0556
HexCer-NDS(d19:0/14:1)-H,684.5414,522.4886,250.2171,253.2537,207.1992,179.0556
HexCer-NDS(d19:0/15:0)-H,700.5728,538.5199,266.2484,253.2537,223.2305,179.0556
HexCer-NDS(d19:0/15:1)-H,698.5571,536.5043,264.2328,253.2537,221.2149,179.0556
HexCer-NDS(d19:0/16:0)-H,714.5884,552.5356,280.264,253.2537,237.2462,179.0556
HexCer-NDS(d19:0/16:1)-H,712.5728,550.5199,278.2484,253.2537,235.2305,179.0556
HexCer-NDS(d19:0/16:2)-H,710.5571,548.5043,276.2328,253.2537,233.2149,179.0556
HexCer-NDS(d19:0/17:0)-H,728.6041,566.5512,294.2797,253.2537,251.2619,179.0556
HexCer-NDS(d19:0/18:0)-H,742.6197,580.5669,308.2953,253.2537,265.2775,179.0556
HexCer-NDS(d19:0/18:1)-H,740.6041,578.5512,306.2797,253.2537,263.2618,179.0556
HexCer-NDS(d19:0/18:2)-H,738.5884,576.5356,304.264,253.2537,261.2462,179.0556
HexCer-NDS(d19:0/19:0)-H,756.6354,594.5825,322.311,253.2537,279.2932,179.0556
HexCer-NDS(d19:0/19:1)-H,754.6197,592.5669,320.2953,253.2537,277.2775,179.0556
HexCer-NDS(d19:0/20:0)-H,770.651,608.5981,336.3267,253.2537,293.3088,179.0556
HexCer-NDS(d19:0/20:1)-H,768.6354,606.5825,334.311,253.2537,291.2932,179.0556
HexCer-NDS(d19:0/20:2)-H,766.6197,604.5669,332.2953,253.2537,289.2775,179.0556
HexCer-NDS(d19:0/21:0)-H,784.6666,622.6138,350.3423,253.2537,307.3245,179.0556
HexCer-NDS(d19:0/21:1)-H,782.651,620.5981,348.3267,253.2537,305.3088,179.0556
HexCer-NDS(d19:0/22:0)-H,798.6823,636.6295,364.3579,253.2537,321.3401,179.0556
HexCer-NDS(d19:0/22:1)-H,796.6666,634.6138,362.3423,253.2537,319.3245,179.0556
HexCer-NDS(d19:0/22:2)-H,794.651,632.5981,360.3267,253.2537,317.3088,179.0556
HexCer-NDS(d19:0/23:0)-H,812.6979,650.6451,378.3736,253.2537,335.3557,179.0556
HexCer-NDS(d19:0/23:1)-H,810.6823,648.6295,376.3579,253.2537,333.3401,179.0556
HexCer-NDS(d19:0/24:0)-H,826.7136,664.6608,392.3893,253.2537,349.3714,179.0556
HexCer-NDS(d19:0/24:1)-H,824.6979,662.6451,390.3736,253.2537,347.3557,179.0556
HexCer-NDS(d19:0/24:2)-H,822.6823,660.6295,388.3579,253.2537,345.3401,179.0556
HexCer-NDS(d19:0/25:0)-H,840.7292,678.6764,406.4049,253.2537,363.3871,179.0556
HexCer-NDS(d19:0/25:1)-H,838.7136,676.6608,404.3893,253.2537,361.3714,179.0556
HexCer-NDS(d19:0/26:0)-H,854.7449,692.6921,420.4206,253.2537,377.4027,179.0556
HexCer-NDS(d19:0/26:1)-H,852.7292,690.6764,418.4049,253.2537,375.3871,179.0556
HexCer-NDS(d19:0/26:2)-H,850.7136,688.6608,416.3893,253.2537,373.3714,179.0556
HexCer-NDS(d19:0/27:0)-H,868.7606,706.7077,434.4362,253.2537,391.4183,179.0556
HexCer-NDS(d19:0/27:1)-H,866.7449,704.6921,432.4206,253.2537,389.4027,179.0556
HexCer-NDS(d19:0/28:0)-H,882.7762,720.7234,448.4518,253.2537,405.434,179.0556
HexCer-NDS(d19:0/28:1)-H,880.7606,718.7077,446.4362,253.2537,403.4183,179.0556
HexCer-NDS(d19:0/28:2)-H,878.7449,716.6921,444.4206,253.2537,401.4027,179.0556
HexCer-NDS(d19:0/29:0)-H,896.7919,734.739,462.4675,253.2537,419.4496,179.0556
HexCer-NDS(d19:0/29:1)-H,894.7762,732.7234,460.4518,253.2537,417.434,179.0556
HexCer-NDS(d19:0/30:0)-H,910.8075,748.7547,476.4832,253.2537,433.4653,179.0556
HexCer-NDS(d19:0/30:1)-H,908.7919,746.739,474.4675,253.2537,431.4496,179.0556
HexCer-NDS(d19:0/30:2)-H,906.7762,744.7234,472.4518,253.2537,429.434,179.0556
HexCer-NDS(d19:0/31:0)-H,924.8231,762.7703,490.4988,253.2537,447.481,179.0556
HexCer-NDS(d19:0/31:1)-H,922.8075,760.7547,488.4832,253.2537,445.4653,179.0556
HexCer-NDS(d19:0/32:0)-H,938.8388,776.7859,504.5144,253.2537,461.4966,179.0556
HexCer-NDS(d19:0/32:1)-H,936.8231,774.7703,502.4988,253.2537,459.481,179.0556
HexCer-NDS(d19:0/32:2)-H,934.8075,772.7547,500.4832,253.2537,457.4653,179.0556
HexCer-NDS(d19:0/33:0)-H,952.8544,790.8016,518.5301,253.2537,475.5122,179.0556
HexCer-NDS(d19:0/33:1)-H,950.8388,788.7859,516.5145,253.2537,473.4966,179.0556
HexCer-NDS(d19:0/34:0)-H,966.8701,804.8173,532.5458,253.2537,489.5279,179.0556
HexCer-NDS(d19:0/34:1)-H,964.8544,802.8016,530.5301,253.2537,487.5122,179.0556
HexCer-NDS(d19:0/34:2)-H,962.8388,800.7859,528.5145,253.2537,485.4966,179.0556
HexCer-NDS(d19:0/35:0)-H,980.8857,818.8329,546.5614,253.2537,503.5435,179.0556
HexCer-NDS(d19:0/35:1)-H,978.8701,816.8173,544.5458,253.2537,501.5279,179.0556
HexCer-NDS(d19:0/36:0)-H,994.9014,832.8486,560.577,253.2537,517.5592,179.0556
HexCer-NDS(d19:0/36:1)-H,992.8857,830.8329,558.5614,253.2537,515.5436,179.0556
HexCer-NDS(d19:0/36:2)-H,990.8701,828.8173,556.5458,253.2537,513.5279,179.0556
HexCer-NDS(d19:0/38:0)-H,1022.933,860.8799,588.6083,253.2537,545.5905,179.0556
HexCer-NDS(d19:0/38:1)-H,1020.917,858.8642,586.5927,253.2537,543.5748,179.0556
HexCer-NDS(d19:0/38:2)-H,1018.901,856.8486,584.577,253.2537,541.5592,179.0556
HexCer-NDS(d19:0/40:0)-H,1050.964,888.9112,616.6396,253.2537,573.6218,179.0556
HexCer-NDS(d19:0/40:1)-H,1048.948,886.8955,614.624,253.2537,571.6061,179.0556
HexCer-NDS(d19:0/40:2)-H,1046.933,884.8799,612.6083,253.2537,569.5905,179.0556
HexCer-NDS(d19:0/42:0)-H,1078.995,916.9424,644.671,253.2537,601.6531,179.0556
HexCer-NDS(d19:0/42:1)-H,1076.98,914.9268,642.6553,253.2537,599.6375,179.0556
HexCer-NDS(d19:0/42:2)-H,1074.964,912.9112,640.6396,253.2537,597.6218,179.0556
HexCer-NDS(d20:0/12:0)-H,672.5414,510.4886,224.2014,267.2693,181.1836,179.0556
HexCer-NDS(d20:0/12:1)-H,670.5258,508.473,222.1858,267.2693,179.168,179.0556
HexCer-NDS(d20:0/13:0)-H,686.5571,524.5043,238.2171,267.2693,195.1992,179.0556
HexCer-NDS(d20:0/13:1)-H,684.5414,522.4886,236.2014,267.2693,193.1836,179.0556
HexCer-NDS(d20:0/14:0)-H,700.5728,538.5199,252.2328,267.2693,209.2149,179.0556
HexCer-NDS(d20:0/14:1)-H,698.5571,536.5043,250.2171,267.2693,207.1992,179.0556
HexCer-NDS(d20:0/15:0)-H,714.5884,552.5356,266.2484,267.2693,223.2305,179.0556
HexCer-NDS(d20:0/15:1)-H,712.5728,550.5199,264.2328,267.2693,221.2149,179.0556
HexCer-NDS(d20:0/16:0)-H,728.6041,566.5512,280.264,267.2693,237.2462,179.0556
HexCer-NDS(d20:0/16:1)-H,726.5884,564.5356,278.2484,267.2693,235.2305,179.0556
HexCer-NDS(d20:0/16:2)-H,724.5728,562.5199,276.2328,267.2693,233.2149,179.0556
HexCer-NDS(d20:0/17:0)-H,742.6197,580.5669,294.2797,267.2693,251.2619,179.0556
HexCer-NDS(d20:0/18:0)-H,756.6354,594.5825,308.2953,267.2693,265.2775,179.0556
HexCer-NDS(d20:0/18:1)-H,754.6197,592.5669,306.2797,267.2693,263.2618,179.0556
HexCer-NDS(d20:0/18:2)-H,752.6041,590.5512,304.264,267.2693,261.2462,179.0556
HexCer-NDS(d20:0/19:0)-H,770.651,608.5981,322.311,267.2693,279.2932,179.0556
HexCer-NDS(d20:0/19:1)-H,768.6354,606.5825,320.2953,267.2693,277.2775,179.0556
HexCer-NDS(d20:0/20:0)-H,784.6666,622.6138,336.3267,267.2693,293.3088,179.0556
HexCer-NDS(d20:0/20:1)-H,782.651,620.5981,334.311,267.2693,291.2932,179.0556
HexCer-NDS(d20:0/20:2)-H,780.6354,618.5825,332.2953,267.2693,289.2775,179.0556
HexCer-NDS(d20:0/21:0)-H,798.6823,636.6295,350.3423,267.2693,307.3245,179.0556
HexCer-NDS(d20:0/21:1)-H,796.6666,634.6138,348.3267,267.2693,305.3088,179.0556
HexCer-NDS(d20:0/22:0)-H,812.6979,650.6451,364.3579,267.2693,321.3401,179.0556
HexCer-NDS(d20:0/22:1)-H,810.6823,648.6295,362.3423,267.2693,319.3245,179.0556
HexCer-NDS(d20:0/22:2)-H,808.6666,646.6138,360.3267,267.2693,317.3088,179.0556
HexCer-NDS(d20:0/23:0)-H,826.7136,664.6608,378.3736,267.2693,335.3557,179.0556
HexCer-NDS(d20:0/23:1)-H,824.6979,662.6451,376.3579,267.2693,333.3401,179.0556
HexCer-NDS(d20:0/24:0)-H,840.7292,678.6764,392.3893,267.2693,349.3714,179.0556
HexCer-NDS(d20:0/24:1)-H,838.7136,676.6608,390.3736,267.2693,347.3557,179.0556
HexCer-NDS(d20:0/24:2)-H,836.6979,674.6451,388.3579,267.2693,345.3401,179.0556
HexCer-NDS(d20:0/25:0)-H,854.7449,692.6921,406.4049,267.2693,363.3871,179.0556
HexCer-NDS(d20:0/25:1)-H,852.7292,690.6764,404.3893,267.2693,361.3714,179.0556
HexCer-NDS(d20:0/26:0)-H,868.7606,706.7077,420.4206,267.2693,377.4027,179.0556
HexCer-NDS(d20:0/26:1)-H,866.7449,704.6921,418.4049,267.2693,375.3871,179.0556
HexCer-NDS(d20:0/26:2)-H,864.7292,702.6764,416.3893,267.2693,373.3714,179.0556
HexCer-NDS(d20:0/27:0)-H,882.7762,720.7234,434.4362,267.2693,391.4183,179.0556
HexCer-NDS(d20:0/27:1)-H,880.7606,718.7077,432.4206,267.2693,389.4027,179.0556
HexCer-NDS(d20:0/28:0)-H,896.7919,734.739,448.4518,267.2693,405.434,179.0556
HexCer-NDS(d20:0/28:1)-H,894.7762,732.7234,446.4362,267.2693,403.4183,179.0556
HexCer-NDS(d20:0/28:2)-H,892.7606,730.7077,444.4206,267.2693,401.4027,179.0556
HexCer-NDS(d20:0/29:0)-H,910.8075,748.7547,462.4675,267.2693,419.4496,179.0556
HexCer-NDS(d20:0/29:1)-H,908.7919,746.739,460.4518,267.2693,417.434,179.0556
HexCer-NDS(d20:0/30:0)-H,924.8231,762.7703,476.4832,267.2693,433.4653,179.0556
HexCer-NDS(d20:0/30:1)-H,922.8075,760.7547,474.4675,267.2693,431.4496,179.0556
HexCer-NDS(d20:0/30:2)-H,920.7919,758.739,472.4518,267.2693,429.434,179.0556
HexCer-NDS(d20:0/31:0)-H,938.8388,776.7859,490.4988,267.2693,447.481,179.0556
HexCer-NDS(d20:0/31:1)-H,936.8231,774.7703,488.4832,267.2693,445.4653,179.0556
HexCer-NDS(d20:0/32:0)-H,952.8544,790.8016,504.5144,267.2693,461.4966,179.0556
HexCer-NDS(d20:0/32:1)-H,950.8388,788.7859,502.4988,267.2693,459.481,179.0556
HexCer-NDS(d20:0/32:2)-H,948.8231,786.7703,500.4832,267.2693,457.4653,179.0556
HexCer-NDS(d20:0/33:0)-H,966.8701,804.8173,518.5301,267.2693,475.5122,179.0556
HexCer-NDS(d20:0/33:1)-H,964.8544,802.8016,516.5145,267.2693,473.4966,179.0556
HexCer-NDS(d20:0/34:0)-H,980.8857,818.8329,532.5458,267.2693,489.5279,179.0556
HexCer-NDS(d20:0/34:1)-H,978.8701,816.8173,530.5301,267.2693,487.5122,179.0556
HexCer-NDS(d20:0/34:2)-H,976.8544,814.8016,528.5145,267.2693,485.4966,179.0556
HexCer-NDS(d20:0/35:0)-H,994.9014,832.8486,546.5614,267.2693,503.5435,179.0556
HexCer-NDS(d20:0/35:1)-H,992.8857,830.8329,544.5458,267.2693,501.5279,179.0556
HexCer-NDS(d20:0/36:0)-H,1008.917,846.8642,560.577,267.2693,517.5592,179.0556
HexCer-NDS(d20:0/36:1)-H,1006.901,844.8486,558.5614,267.2693,515.5436,179.0556
HexCer-NDS(d20:0/36:2)-H,1004.886,842.8329,556.5458,267.2693,513.5279,179.0556
HexCer-NDS(d20:0/38:0)-H,1036.948,874.8955,588.6083,267.2693,545.5905,179.0556
HexCer-NDS(d20:0/38:1)-H,1034.933,872.8799,586.5927,267.2693,543.5748,179.0556
HexCer-NDS(d20:0/38:2)-H,1032.917,870.8642,584.577,267.2693,541.5592,179.0556
HexCer-NDS(d20:0/40:0)-H,1064.98,902.9268,616.6396,267.2693,573.6218,179.0556
HexCer-NDS(d20:0/40:1)-H,1062.964,900.9112,614.624,267.2693,571.6061,179.0556
HexCer-NDS(d20:0/40:2)-H,1060.948,898.8955,612.6083,267.2693,569.5905,179.0556
HexCer-NDS(d20:0/42:0)-H,1093.011,930.9581,644.671,267.2693,601.6531,179.0556
HexCer-NDS(d20:0/42:1)-H,1090.995,928.9424,642.6553,267.2693,599.6375,179.0556
HexCer-NDS(d20:0/42:2)-H,1088.98,926.9268,640.6396,267.2693,597.6218,179.0556
HexCer-NDS(d21:0/12:0)-H,686.5571,524.5043,224.2014,281.285,181.1836,179.0556
HexCer-NDS(d21:0/12:1)-H,684.5414,522.4886,222.1858,281.285,179.168,179.0556
HexCer-NDS(d21:0/13:0)-H,700.5728,538.5199,238.2171,281.285,195.1992,179.0556
HexCer-NDS(d21:0/13:1)-H,698.5571,536.5043,236.2014,281.285,193.1836,179.0556
HexCer-NDS(d21:0/14:0)-H,714.5884,552.5356,252.2328,281.285,209.2149,179.0556
HexCer-NDS(d21:0/14:1)-H,712.5728,550.5199,250.2171,281.285,207.1992,179.0556
HexCer-NDS(d21:0/15:0)-H,728.6041,566.5512,266.2484,281.285,223.2305,179.0556
HexCer-NDS(d21:0/15:1)-H,726.5884,564.5356,264.2328,281.285,221.2149,179.0556
HexCer-NDS(d21:0/16:0)-H,742.6197,580.5669,280.264,281.285,237.2462,179.0556
HexCer-NDS(d21:0/16:1)-H,740.6041,578.5512,278.2484,281.285,235.2305,179.0556
HexCer-NDS(d21:0/16:2)-H,738.5884,576.5356,276.2328,281.285,233.2149,179.0556
HexCer-NDS(d21:0/17:0)-H,756.6354,594.5825,294.2797,281.285,251.2619,179.0556
HexCer-NDS(d21:0/18:0)-H,770.651,608.5981,308.2953,281.285,265.2775,179.0556
HexCer-NDS(d21:0/18:1)-H,768.6354,606.5825,306.2797,281.285,263.2618,179.0556
HexCer-NDS(d21:0/18:2)-H,766.6197,604.5669,304.264,281.285,261.2462,179.0556
HexCer-NDS(d21:0/19:0)-H,784.6666,622.6138,322.311,281.285,279.2932,179.0556
HexCer-NDS(d21:0/19:1)-H,782.651,620.5981,320.2953,281.285,277.2775,179.0556
HexCer-NDS(d21:0/20:0)-H,798.6823,636.6295,336.3267,281.285,293.3088,179.0556
HexCer-NDS(d21:0/20:1)-H,796.6666,634.6138,334.311,281.285,291.2932,179.0556
HexCer-NDS(d21:0/20:2)-H,794.651,632.5981,332.2953,281.285,289.2775,179.0556
HexCer-NDS(d21:0/21:0)-H,812.6979,650.6451,350.3423,281.285,307.3245,179.0556
HexCer-NDS(d21:0/21:1)-H,810.6823,648.6295,348.3267,281.285,305.3088,179.0556
HexCer-NDS(d21:0/22:0)-H,826.7136,664.6608,364.3579,281.285,321.3401,179.0556
HexCer-NDS(d21:0/22:1)-H,824.6979,662.6451,362.3423,281.285,319.3245,179.0556
HexCer-NDS(d21:0/22:2)-H,822.6823,660.6295,360.3267,281.285,317.3088,179.0556
HexCer-NDS(d21:0/23:0)-H,840.7292,678.6764,378.3736,281.285,335.3557,179.0556
HexCer-NDS(d21:0/23:1)-H,838.7136,676.6608,376.3579,281.285,333.3401,179.0556
HexCer-NDS(d21:0/24:0)-H,854.7449,692.6921,392.3893,281.285,349.3714,179.0556
HexCer-NDS(d21:0/24:1)-H,852.7292,690.6764,390.3736,281.285,347.3557,179.0556
HexCer-NDS(d21:0/24:2)-H,850.7136,688.6608,388.3579,281.285,345.3401,179.0556
HexCer-NDS(d21:0/25:0)-H,868.7606,706.7077,406.4049,281.285,363.3871,179.0556
HexCer-NDS(d21:0/25:1)-H,866.7449,704.6921,404.3893,281.285,361.3714,179.0556
HexCer-NDS(d21:0/26:0)-H,882.7762,720.7234,420.4206,281.285,377.4027,179.0556
HexCer-NDS(d21:0/26:1)-H,880.7606,718.7077,418.4049,281.285,375.3871,179.0556
HexCer-NDS(d21:0/26:2)-H,878.7449,716.6921,416.3893,281.285,373.3714,179.0556
HexCer-NDS(d21:0/27:0)-H,896.7919,734.739,434.4362,281.285,391.4183,179.0556
HexCer-NDS(d21:0/27:1)-H,894.7762,732.7234,432.4206,281.285,389.4027,179.0556
HexCer-NDS(d21:0/28:0)-H,910.8075,748.7547,448.4518,281.285,405.434,179.0556
HexCer-NDS(d21:0/28:1)-H,908.7919,746.739,446.4362,281.285,403.4183,179.0556
HexCer-NDS(d21:0/28:2)-H,906.7762,744.7234,444.4206,281.285,401.4027,179.0556
HexCer-NDS(d21:0/29:0)-H,924.8231,762.7703,462.4675,281.285,419.4496,179.0556
HexCer-NDS(d21:0/29:1)-H,922.8075,760.7547,460.4518,281.285,417.434,179.0556
HexCer-NDS(d21:0/30:0)-H,938.8388,776.7859,476.4832,281.285,433.4653,179.0556
HexCer-NDS(d21:0/30:1)-H,936.8231,774.7703,474.4675,281.285,431.4496,179.0556
HexCer-NDS(d21:0/30:2)-H,934.8075,772.7547,472.4518,281.285,429.434,179.0556
HexCer-NDS(d21:0/31:0)-H,952.8544,790.8016,490.4988,281.285,447.481,179.0556
HexCer-NDS(d21:0/31:1)-H,950.8388,788.7859,488.4832,281.285,445.4653,179.0556
HexCer-NDS(d21:0/32:0)-H,966.8701,804.8173,504.5144,281.285,461.4966,179.0556
HexCer-NDS(d21:0/32:1)-H,964.8544,802.8016,502.4988,281.285,459.481,179.0556
HexCer-NDS(d21:0/32:2)-H,962.8388,800.7859,500.4832,281.285,457.4653,179.0556
HexCer-NDS(d21:0/33:0)-H,980.8857,818.8329,518.5301,281.285,475.5122,179.0556
HexCer-NDS(d21:0/33:1)-H,978.8701,816.8173,516.5145,281.285,473.4966,179.0556
HexCer-NDS(d21:0/34:0)-H,994.9014,832.8486,532.5458,281.285,489.5279,179.0556
HexCer-NDS(d21:0/34:1)-H,992.8857,830.8329,530.5301,281.285,487.5122,179.0556
HexCer-NDS(d21:0/34:2)-H,990.8701,828.8173,528.5145,281.285,485.4966,179.0556
HexCer-NDS(d21:0/35:0)-H,1008.917,846.8642,546.5614,281.285,503.5435,179.0556
HexCer-NDS(d21:0/35:1)-H,1006.901,844.8486,544.5458,281.285,501.5279,179.0556
HexCer-NDS(d21:0/36:0)-H,1022.933,860.8799,560.577,281.285,517.5592,179.0556
HexCer-NDS(d21:0/36:1)-H,1020.917,858.8642,558.5614,281.285,515.5436,179.0556
HexCer-NDS(d21:0/36:2)-H,1018.901,856.8486,556.5458,281.285,513.5279,179.0556
HexCer-NDS(d21:0/38:0)-H,1050.964,888.9112,588.6083,281.285,545.5905,179.0556
HexCer-NDS(d21:0/38:1)-H,1048.948,886.8955,586.5927,281.285,543.5748,179.0556
HexCer-NDS(d21:0/38:2)-H,1046.933,884.8799,584.577,281.285,541.5592,179.0556
HexCer-NDS(d21:0/40:0)-H,1078.995,916.9424,616.6396,281.285,573.6218,179.0556
HexCer-NDS(d21:0/40:1)-H,1076.98,914.9268,614.624,281.285,571.6061,179.0556
HexCer-NDS(d21:0/40:2)-H,1074.964,912.9112,612.6083,281.285,569.5905,179.0556
HexCer-NDS(d21:0/42:0)-H,1107.027,944.9738,644.671,281.285,601.6531,179.0556
