OxLPC,[M+HCO2]-,NL_CH3&HCO2,NL_choline&HCO2,NL_R1C2HO,NL_R1COOH&CH3&HCO2,Phosphocholine_NL_CH3,Glycerol-3-phosphate_NL_H2O,R1COO-,H2PO4-,PO3-
OxLPC(10:2(COOH))+HCO2,482.179705,422.158605,351.085105,242.0799,224.0693,168.0431,152.9958,197.08196,96.9696,78.9591
OxLPC(11:1(COOH))+HCO2,498.211005,438.189905,367.116405,242.0799,224.0693,168.0431,152.9958,213.11326,96.9696,78.9591
OxLPC(11:2(COOH))+HCO2,496.195355,436.174255,365.100755,242.0799,224.0693,168.0431,152.9958,211.09761,96.9696,78.9591
OxLPC(12:1(COOH))+HCO2,512.226655,452.205555,381.132055,242.0799,224.0693,168.0431,152.9958,227.12891,96.9696,78.9591
OxLPC(12:2(COOH))+HCO2,510.211005,450.189905,379.116405,242.0799,224.0693,168.0431,152.9958,225.11326,96.9696,78.9591
OxLPC(12:3(COOH))+HCO2,508.195355,448.174255,377.100755,242.0799,224.0693,168.0431,152.9958,223.09761,96.9696,78.9591
OxLPC(13:1(COOH))+HCO2,526.242305,466.221205,395.147705,242.0799,224.0693,168.0431,152.9958,241.14456,96.9696,78.9591
OxLPC(13:2(COOH))+HCO2,524.226655,464.205555,393.132055,242.0799,224.0693,168.0431,152.9958,239.12891,96.9696,78.9591
OxLPC(13:3(COOH))+HCO2,522.211005,462.189905,391.116405,242.0799,224.0693,168.0431,152.9958,237.11326,96.9696,78.9591
OxLPC(14:1(COOH))+HCO2,540.257955,480.236855,409.163355,242.0799,224.0693,168.0431,152.9958,255.16021,96.9696,78.9591
OxLPC(14:2(COOH))+HCO2,538.242305,478.221205,407.147705,242.0799,224.0693,168.0431,152.9958,253.14456,96.9696,78.9591
OxLPC(14:3(COOH))+HCO2,536.226655,476.205555,405.132055,242.0799,224.0693,168.0431,152.9958,251.12891,96.9696,78.9591
OxLPC(15:1(COOH))+HCO2,554.273605,494.252505,423.179005,242.0799,224.0693,168.0431,152.9958,269.17586,96.9696,78.9591
OxLPC(15:2(COOH))+HCO2,552.257955,492.236855,421.163355,242.0799,224.0693,168.0431,152.9958,267.16021,96.9696,78.9591
OxLPC(15:3(COOH))+HCO2,550.242305,490.221205,419.147705,242.0799,224.0693,168.0431,152.9958,265.14456,96.9696,78.9591
OxLPC(15:4(COOH))+HCO2,548.226655,488.205555,417.132055,242.0799,224.0693,168.0431,152.9958,263.12891,96.9696,78.9591
OxLPC(16:1(COOH))+HCO2,568.289255,508.268155,437.194655,242.0799,224.0693,168.0431,152.9958,283.19151,96.9696,78.9591
OxLPC(16:2(COOH))+HCO2,566.273605,506.252505,435.179005,242.0799,224.0693,168.0431,152.9958,281.17586,96.9696,78.9591
OxLPC(16:3(COOH))+HCO2,564.257955,504.236855,433.163355,242.0799,224.0693,168.0431,152.9958,279.16021,96.9696,78.9591
OxLPC(16:4(COOH))+HCO2,562.242305,502.221205,431.147705,242.0799,224.0693,168.0431,152.9958,277.14456,96.9696,78.9591
OxLPC(17:4(COOH))+HCO2,576.257955,516.236855,445.163355,242.0799,224.0693,168.0431,152.9958,291.16021,96.9696,78.9591
OxLPC(18:4(COOH))+HCO2,590.273605,530.252505,459.179005,242.0799,224.0693,168.0431,152.9958,305.17586,96.9696,78.9591
OxLPC(18:5(COOH))+HCO2,588.257955,528.236855,457.163355,242.0799,224.0693,168.0431,152.9958,303.16021,96.9696,78.9591
OxLPC(19:4(COOH))+HCO2,604.289255,544.268155,473.194655,242.0799,224.0693,168.0431,152.9958,319.19151,96.9696,78.9591
OxLPC(19:5(COOH))+HCO2,602.273605,542.252505,471.179005,242.0799,224.0693,168.0431,152.9958,317.17586,96.9696,78.9591
OxLPC(20:4(Ke))+HCO2,602.309975,542.288875,471.215375,242.0799,224.0693,168.0431,152.9958,317.21223,96.9696,78.9591
OxLPC(20:4(OOH))+HCO2,620.320555,560.299455,489.225955,242.0799,224.0693,168.0431,152.9958,335.22281,96.9696,78.9591
OxLPC(20:4(OH))+HCO2,604.325635,544.304535,473.231035,242.0799,224.0693,168.0431,152.9958,319.22789,96.9696,78.9591
OxLPC(18:2(OOH))+HCO2,596.320555,536.299455,465.225955,242.0799,224.0693,168.0431,152.9958,311.22281,96.9696,78.9591
OxLPC(18:2(OH))+HCO2,580.325635,520.304535,449.231035,242.0799,224.0693,168.0431,152.9958,295.22789,96.9696,78.9591
