MGDG,[M+H]+,SN1_acyl_loss,SN1-H2O,SN2_acyl_loss,SN2-H2O
MGDG(15:0_18:3)+H,739.53547,514.31377,496.30321,478.31377,460.30321
MGDG(15:0_18:4)+H,737.51987,512.29817,494.28761,478.31381,460.30325
MGDG(15:0_19:0)+H,759.59807,534.37637,516.36581,478.31381,460.30325
MGDG(15:0_20:0)+H,773.61372,548.39202,530.38146,478.31382,460.30326
MGDG(15:0_20:1)+H,771.59807,546.37637,528.36581,478.31381,460.30325
MGDG(15:0_20:2)+H,769.5824,544.3607,526.35014,478.31378,460.30322
MGDG(15:0_20:3)+H,767.56677,542.34507,524.33451,478.31379,460.30323
MGDG(15:0_20:4)+H,765.55107,540.32937,522.31881,478.31373,460.30317
MGDG(15:0_20:5)+H,763.53547,538.31377,520.30321,478.31377,460.30321
MGDG(15:0_21:0)+H,787.62937,562.40767,544.39711,478.31383,460.30327
MGDG(15:0_22:0)+H,801.64503,576.42333,558.41277,478.31385,460.30329
MGDG(15:0_22:1)+H,799.62937,574.40767,556.39711,478.31383,460.30327
MGDG(15:0_22:2)+H,797.61372,572.39202,554.38146,478.31382,460.30326
MGDG(15:0_22:4)+H,793.5824,568.3607,550.35014,478.31378,460.30322
MGDG(15:0_22:5)+H,791.56677,566.34507,548.33451,478.31379,460.30323
MGDG(15:0_22:6)+H,789.55107,564.32937,546.31881,478.31373,460.30317
MGDG(15:0_23:0)+H,815.66067,590.43897,572.42841,478.31385,460.30329
MGDG(15:0_24:0)+H,829.67634,604.45464,586.44408,478.31388,460.30332
MGDG(15:0_24:1)+H,827.66067,602.43897,584.42841,478.31385,460.30329
MGDG(15:0_24:4)+H,821.61372,596.39202,578.38146,478.31382,460.30326
MGDG(15:0_25:0)+H,843.69197,618.47027,600.45971,478.31387,460.30331
MGDG(15:0_26:0)+H,857.70767,632.48597,614.47541,478.31393,460.30337
MGDG(15:0_26:1)+H,855.69197,630.47027,612.45971,478.31387,460.30331
MGDG(15:0_26:2)+H,853.67634,628.45464,610.44408,478.31388,460.30332
MGDG(15:1_2:0)+H,519.31637,296.11031,278.09975,476.29799,458.28743
MGDG(15:1_3:0)+H,533.33204,310.12598,292.11542,476.29802,458.28746
MGDG(15:1_4:0)+H,547.34767,324.14161,306.13105,476.29801,458.28745
MGDG(15:1_5:0)+H,561.36327,338.15721,320.14665,476.29797,458.28741
