LDGTS,[M+H]+,[M-H20]+,FA acyl loss,[M-H20]-FA,C7H14NO2
LDGTS(36:1/0:0),752.67626,734.6656954,236.1495842,218.1390242,144.1024
LDGTS(36:2/0:0),750.66061,732.6500453,236.1495741,218.1390141,144.1024
LDGTS(36:3/0:0),748.644959,730.6343953,236.1495641,218.1390041,144.1024
LDGTS(36:4/0:0),746.629309,728.6187452,236.149554,218.138994,144.1024
LDGTS(36:5/0:0),744.613659,726.6030951,236.1495439,218.1389839,144.1024
LDGTS(36:6/0:0),742.598009,724.5874451,236.1495339,218.1389739,144.1024
LDGTS(36:7/0:0),740.582359,722.571795,236.1495238,218.1389638,144.1024
LDGTS(36:8/0:0),738.566709,720.5561449,236.1495137,218.1389537,144.1024
LDGTS(37:0/0:0),768.70756,750.6969955,236.1496043,218.1390443,144.1024
LDGTS(37:1/0:0),766.69191,748.6813454,236.1495943,218.1390343,144.1024
LDGTS(37:2/0:0),764.67626,746.6656954,236.1495842,218.1390242,144.1024
LDGTS(37:3/0:0),762.66061,744.6500453,236.1495741,218.1390141,144.1024
LDGTS(37:4/0:0),760.644959,742.6343953,236.1495641,218.1390041,144.1024
LDGTS(37:5/0:0),758.629309,740.6187452,236.149554,218.138994,144.1024
LDGTS(38:0/0:0),782.72321,764.7126456,236.1496144,218.1390544,144.1024
LDGTS(38:1/0:0),780.70756,762.6969955,236.1496043,218.1390443,144.1024
LDGTS(38:2/0:0),778.69191,760.6813454,236.1495943,218.1390343,144.1024
LDGTS(38:3/0:0),776.67626,758.6656954,236.1495842,218.1390242,144.1024
LDGTS(38:4/0:0),774.66061,756.6500453,236.1495741,218.1390141,144.1024
LDGTS(38:5/0:0),772.644959,754.6343953,236.1495641,218.1390041,144.1024
LDGTS(38:6/0:0),770.629309,752.6187452,236.149554,218.138994,144.1024
LDGTS(38:7/0:0),768.613659,750.6030951,236.1495439,218.1389839,144.1024
LDGTS(38:8/0:0),766.598009,748.5874451,236.1495339,218.1389739,144.1024
LDGTS(39:0/0:0),796.73886,778.7282956,236.1496244,218.1390644,144.1024
LDGTS(39:1/0:0),794.72321,776.7126456,236.1496144,218.1390544,144.1024
LDGTS(39:2/0:0),792.70756,774.6969955,236.1496043,218.1390443,144.1024
LDGTS(39:3/0:0),790.69191,772.6813454,236.1495943,218.1390343,144.1024
LDGTS(39:4/0:0),788.67626,770.6656954,236.1495842,218.1390242,144.1024
LDGTS(39:5/0:0),786.66061,768.6500453,236.1495741,218.1390141,144.1024
LDGTS(40:0/0:0),810.75451,792.7439457,236.1496345,218.1390745,144.1024
LDGTS(40:1/0:0),808.73886,790.7282956,236.1496244,218.1390644,144.1024
LDGTS(40:2/0:0),806.72321,788.7126456,236.1496144,218.1390544,144.1024
LDGTS(40:3/0:0),804.70756,786.6969955,236.1496043,218.1390443,144.1024
LDGTS(40:4/0:0),802.69191,784.6813454,236.1495943,218.1390343,144.1024
LDGTS(40:5/0:0),800.67626,782.6656954,236.1495842,218.1390242,144.1024
LDGTS(40:6/0:0),798.66061,780.6500453,236.1495741,218.1390141,144.1024
LDGTS(40:7/0:0),796.644959,778.6343953,236.1495641,218.1390041,144.1024
LDGTS(40:8/0:0),794.629309,776.6187452,236.149554,218.138994,144.1024
LDGTS(41:0/0:0),824.77016,806.7595958,236.1496446,218.1390846,144.1024
