ether-PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T2Ketene&CH3&HCO3,NL_T2RCOOH&CH3&HCO3,NL_T2RCOOH_Choline_HCO3*,GlyceroPC_NLCH3&H2O,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
Plasmanyl-PC(O-16:1/17:2)+HCO2,772.54992,712.52878,641.45528,464.31471,446.30415,375.23066,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/18:0)+HCO2,790.59682,730.57568,659.50218,464.31471,446.30415,375.23066,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/18:1)+HCO2,788.58122,728.56008,657.48658,464.31471,446.30415,375.23066,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/18:2)+HCO2,786.56552,726.54438,655.47088,464.31471,446.30415,375.23066,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/18:3)+HCO2,784.54992,724.52878,653.45528,464.31471,446.30415,375.23066,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/18:4)+HCO2,782.53422,722.51308,651.43958,464.31471,446.30415,375.23066,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/19:0)+HCO2,804.61252,744.59138,673.51788,464.31471,446.30415,375.23066,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/20:0)+HCO2,818.62812,758.60698,687.53348,464.31471,446.30415,375.23066,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/20:1)+HCO2,816.61252,756.59138,685.51788,464.31471,446.30415,375.23066,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/20:2)+HCO2,814.59682,754.57568,683.50218,464.31471,446.30415,375.23066,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/20:3)+HCO2,812.58122,752.56008,681.48658,464.31471,446.30415,375.23066,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/20:4)+HCO2,810.56552,750.54438,679.47088,464.31471,446.30415,375.23066,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/20:5)+HCO2,808.54992,748.52878,677.45528,464.31471,446.30415,375.23066,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/21:0)+HCO2,832.64382,772.62268,701.54918,464.31471,446.30415,375.23066,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/22:0)+HCO2,846.65942,786.63828,715.56478,464.31471,446.30415,375.23066,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/22:1)+HCO2,844.64382,784.62268,713.54918,464.31471,446.30415,375.23066,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/22:2)+HCO2,842.62812,782.60698,711.53348,464.31471,446.30415,375.23066,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/22:3)+HCO2,840.61252,780.59138,709.51788,464.31471,446.30415,375.23066,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/22:4)+HCO2,838.59682,778.57568,707.50218,464.31471,446.30415,375.23066,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/22:5)+HCO2,836.58122,776.56008,705.48658,464.31471,446.30415,375.23066,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/22:6)+HCO2,834.56552,774.54438,703.47088,464.31471,446.30415,375.23066,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/23:0)+HCO2,860.67512,800.65398,729.58048,464.31471,446.30415,375.23066,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/24:0)+HCO2,874.69072,814.66958,743.59608,464.31471,446.30415,375.23066,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/24:1)+HCO2,872.67512,812.65398,741.58048,464.31471,446.30415,375.23066,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/25:0)+HCO2,888.70642,828.68528,757.61178,464.31471,446.30415,375.23066,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/26:0)+HCO2,902.72202,842.70088,771.62738,464.31471,446.30415,375.23066,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-16:1/8:0)+HCO2,650.44032,590.41918,519.34568,464.31471,446.30415,375.23066,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/10:0)+HCO2,708.51852,648.49738,577.42388,494.36161,476.35105,405.27756,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/12:0)+HCO2,736.54982,676.52868,605.45518,494.36161,476.35105,405.27756,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/13:0)+HCO2,750.56552,690.54438,619.47088,494.36161,476.35105,405.27756,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/14:0)+HCO2,764.58112,704.55998,633.48648,494.36161,476.35105,405.27756,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/14:1)+HCO2,762.56552,702.54438,631.47088,494.36161,476.35105,405.27756,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/15:0)+HCO2,778.59682,718.57568,647.50218,494.36161,476.35105,405.27756,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/15:1)+HCO2,776.58112,716.55998,645.48648,494.36161,476.35105,405.27756,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/16:0)+HCO2,792.61242,732.59128,661.51778,494.36161,476.35105,405.27756,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/16:1)+HCO2,790.59682,730.57568,659.50218,494.36161,476.35105,405.27756,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/17:0)+HCO2,806.62812,746.60698,675.53348,494.36161,476.35105,405.27756,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/17:1)+HCO2,804.61242,744.59128,673.51778,494.36161,476.35105,405.27756,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/17:2)+HCO2,802.59682,742.57568,671.50218,494.36161,476.35105,405.27756,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/18:0)+HCO2,820.64372,760.62258,689.54908,494.36161,476.35105,405.27756,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/18:1)+HCO2,818.62812,758.60698,687.53348,494.36161,476.35105,405.27756,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/18:2)+HCO2,816.61242,756.59128,685.51778,494.36161,476.35105,405.27756,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/18:3)+HCO2,814.59682,754.57568,683.50218,494.36161,476.35105,405.27756,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/18:4)+HCO2,812.58112,752.55998,681.48648,494.36161,476.35105,405.27756,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/19:0)+HCO2,834.65942,774.63828,703.56478,494.36161,476.35105,405.27756,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/20:0)+HCO2,848.67502,788.65388,717.58038,494.36161,476.35105,405.27756,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/20:1)+HCO2,846.65942,786.63828,715.56478,494.36161,476.35105,405.27756,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/20:2)+HCO2,844.64372,784.62258,713.54908,494.36161,476.35105,405.27756,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/20:3)+HCO2,842.62812,782.60698,711.53348,494.36161,476.35105,405.27756,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/20:4)+HCO2,840.61242,780.59128,709.51778,494.36161,476.35105,405.27756,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/20:5)+HCO2,838.59682,778.57568,707.50218,494.36161,476.35105,405.27756,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/21:0)+HCO2,862.69072,802.66958,731.59608,494.36161,476.35105,405.27756,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/22:0)+HCO2,876.70632,816.68518,745.61168,494.36161,476.35105,405.27756,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/22:1)+HCO2,874.69072,814.66958,743.59608,494.36161,476.35105,405.27756,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/22:2)+HCO2,872.67502,812.65388,741.58038,494.36161,476.35105,405.27756,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/22:3)+HCO2,870.65942,810.63828,739.56478,494.36161,476.35105,405.27756,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/22:4)+HCO2,868.64372,808.62258,737.54908,494.36161,476.35105,405.27756,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/22:5)+HCO2,866.62812,806.60698,735.53348,494.36161,476.35105,405.27756,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/22:6)+HCO2,864.61242,804.59128,733.51778,494.36161,476.35105,405.27756,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/23:0)+HCO2,890.72202,830.70088,759.62738,494.36161,476.35105,405.27756,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/24:0)+HCO2,904.73762,844.71648,773.64298,494.36161,476.35105,405.27756,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/24:1)+HCO2,902.72202,842.70088,771.62738,494.36161,476.35105,405.27756,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/25:0)+HCO2,918.75332,858.73218,787.65868,494.36161,476.35105,405.27756,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/26:0)+HCO2,932.76892,872.74778,801.67428,494.36161,476.35105,405.27756,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:0/8:0)+HCO2,680.48722,620.46608,549.39258,494.36161,476.35105,405.27756,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/10:0)+HCO2,706.50292,646.48178,575.40828,492.34601,474.33545,403.26196,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/12:0)+HCO2,734.53422,674.51308,603.43958,492.34601,474.33545,403.26196,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/13:0)+HCO2,748.54992,688.52878,617.45528,492.34601,474.33545,403.26196,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/14:0)+HCO2,762.56552,702.54438,631.47088,492.34601,474.33545,403.26196,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/14:1)+HCO2,760.54992,700.52878,629.45528,492.34601,474.33545,403.26196,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/15:0)+HCO2,776.58122,716.56008,645.48658,492.34601,474.33545,403.26196,224.06881,241.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/15:1)+HCO2,774.56552,714.54438,643.47088,492.34601,474.33545,403.26196,224.06881,239.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/16:0)+HCO2,790.59682,730.57568,659.50218,492.34601,474.33545,403.26196,224.06881,255.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/16:1)+HCO2,788.58122,728.56008,657.48658,492.34601,474.33545,403.26196,224.06881,253.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/17:0)+HCO2,804.61252,744.59138,673.51788,492.34601,474.33545,403.26196,224.06881,269.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/17:1)+HCO2,802.59682,742.57568,671.50218,492.34601,474.33545,403.26196,224.06881,267.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/17:2)+HCO2,800.58122,740.56008,669.48658,492.34601,474.33545,403.26196,224.06881,265.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/18:0)+HCO2,818.62812,758.60698,687.53348,492.34601,474.33545,403.26196,224.06881,283.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/18:1)+HCO2,816.61252,756.59138,685.51788,492.34601,474.33545,403.26196,224.06881,281.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/18:2)+HCO2,814.59682,754.57568,683.50218,492.34601,474.33545,403.26196,224.06881,279.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/18:3)+HCO2,812.58122,752.56008,681.48658,492.34601,474.33545,403.26196,224.06881,277.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/18:4)+HCO2,810.56552,750.54438,679.47088,492.34601,474.33545,403.26196,224.06881,275.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/19:0)+HCO2,832.64382,772.62268,701.54918,492.34601,474.33545,403.26196,224.06881,297.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/20:0)+HCO2,846.65942,786.63828,715.56478,492.34601,474.33545,403.26196,224.06881,311.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/20:1)+HCO2,844.64382,784.62268,713.54918,492.34601,474.33545,403.26196,224.06881,309.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/20:2)+HCO2,842.62812,782.60698,711.53348,492.34601,474.33545,403.26196,224.06881,307.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/20:3)+HCO2,840.61252,780.59138,709.51788,492.34601,474.33545,403.26196,224.06881,305.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/20:4)+HCO2,838.59682,778.57568,707.50218,492.34601,474.33545,403.26196,224.06881,303.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/20:5)+HCO2,836.58122,776.56008,705.48658,492.34601,474.33545,403.26196,224.06881,301.21735,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/21:0)+HCO2,860.67512,800.65398,729.58048,492.34601,474.33545,403.26196,224.06881,325.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/22:0)+HCO2,874.69072,814.66958,743.59608,492.34601,474.33545,403.26196,224.06881,339.32685,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/22:1)+HCO2,872.67512,812.65398,741.58048,492.34601,474.33545,403.26196,224.06881,337.31125,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/22:2)+HCO2,870.65942,810.63828,739.56478,492.34601,474.33545,403.26196,224.06881,335.29555,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/22:3)+HCO2,868.64382,808.62268,737.54918,492.34601,474.33545,403.26196,224.06881,333.27995,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/22:4)+HCO2,866.62812,806.60698,735.53348,492.34601,474.33545,403.26196,224.06881,331.26425,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/22:5)+HCO2,864.61252,804.59138,733.51788,492.34601,474.33545,403.26196,224.06881,329.24865,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/22:6)+HCO2,862.59682,802.57568,731.50218,492.34601,474.33545,403.26196,224.06881,327.23295,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/23:0)+HCO2,888.70642,828.68528,757.61178,492.34601,474.33545,403.26196,224.06881,353.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/24:0)+HCO2,902.72202,842.70088,771.62738,492.34601,474.33545,403.26196,224.06881,367.35815,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/24:1)+HCO2,900.70642,840.68528,769.61178,492.34601,474.33545,403.26196,224.06881,365.34255,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/25:0)+HCO2,916.73772,856.71658,785.64308,492.34601,474.33545,403.26196,224.06881,381.37385,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/26:0)+HCO2,930.75332,870.73218,799.65868,492.34601,474.33545,403.26196,224.06881,395.38945,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-18:1/8:0)+HCO2,678.47162,618.45048,547.37698,492.34601,474.33545,403.26196,224.06881,143.10775,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-20:0/10:0)+HCO2,736.54982,676.52868,605.45518,522.39291,504.38235,433.30886,224.06881,171.13905,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-20:0/12:0)+HCO2,764.58112,704.55998,633.48648,522.39291,504.38235,433.30886,224.06881,199.17035,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-20:0/13:0)+HCO2,778.59682,718.57568,647.50218,522.39291,504.38235,433.30886,224.06881,213.18605,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-20:0/14:0)+HCO2,792.61242,732.59128,661.51778,522.39291,504.38235,433.30886,224.06881,227.20165,168.04314,152.99586,96.96964,78.95852
Plasmanyl-PC(O-20:0/14:1)+HCO2,790.59682,730.57568,659.50218,522.39291,504.38235,433.30886,224.06881,225.18605,168.04314,152.99586,96.96964,78.95852
