Cer,[M+HCO2]-,NL_H2CO2,M-H-H2CO,NL_H2O&SN1,NL_H2O&SN2amide,SN2amide
Cer(d16:0/20:1)+HCO2,610.5415,564.53601,534.5255,334.3116,237.2221,308.2959
Cer(d16:0/20:2)+HCO2,608.5258,562.52031,532.5098,332.2959,237.2221,306.2802
Cer(d16:0/20:3)+HCO2,606.5102,560.50471,530.4942,330.2803,237.2221,304.2646
Cer(d16:0/20:4)+HCO2,604.4945,558.48901,528.4785,328.2646,237.2221,302.2489
Cer(d16:0/20:5)+HCO2,602.4789,556.47341,526.4629,326.249,237.2221,300.2333
Cer(d16:0/21:0)+HCO2,626.5728,580.56731,550.5568,350.3429,237.2221,324.3272
Cer(d16:0/22:0)+HCO2,640.5884,594.58291,564.5724,364.3585,237.2221,338.3428
Cer(d16:0/22:1)+HCO2,638.5728,592.56731,562.5568,362.3429,237.2221,336.3272
Cer(d16:0/22:2)+HCO2,636.5571,590.55161,560.5411,360.3272,237.2221,334.3115
Cer(d16:0/22:3)+HCO2,634.5415,588.53601,558.5255,358.3116,237.2221,332.2959
Cer(d16:0/22:4)+HCO2,632.5258,586.52031,556.5098,356.2959,237.2221,330.2802
Cer(d16:0/22:5)+HCO2,630.5102,584.50471,554.4942,354.2803,237.2221,328.2646
Cer(d16:0/22:6)+HCO2,628.4945,582.48901,552.4785,352.2646,237.2221,326.2489
Cer(d16:0/23:0)+HCO2,654.6041,608.59861,578.5881,378.3742,237.2221,352.3585
Cer(d16:0/24:0)+HCO2,668.6197,622.61421,592.6037,392.3898,237.2221,366.3741
Cer(d16:0/24:1)+HCO2,666.6041,620.59861,590.5881,390.3742,237.2221,364.3585
Cer(d16:0/25:0)+HCO2,682.6354,636.62991,606.6194,406.4055,237.2221,380.3898
Cer(d16:0/26:0)+HCO2,696.651,650.64551,620.635,420.4211,237.2221,394.4054
Cer(d16:0/8:0)+HCO2,444.3693,398.36381,368.3533,168.1394,237.2221,142.1237
Cer(d16:1/10:0)+HCO2,470.385,424.37951,394.369,196.1707,235.2065,170.155
Cer(d16:1/12:0)+HCO2,498.4163,452.41081,422.4003,224.202,235.2065,198.1863
Cer(d16:1/13:0)+HCO2,512.432,466.42651,436.416,238.2177,235.2065,212.202
Cer(d16:1/14:0)+HCO2,526.4476,480.44211,450.4316,252.2333,235.2065,226.2176
Cer(d16:1/14:1)+HCO2,524.432,478.42651,448.416,250.2177,235.2065,224.202
Cer(d16:1/15:0)+HCO2,540.4633,494.45781,464.4473,266.249,235.2065,240.2333
Cer(d16:1/15:1)+HCO2,538.4476,492.44211,462.4316,264.2333,235.2065,238.2176
Cer(d16:1/16:0)+HCO2,554.4789,508.47341,478.4629,280.2646,235.2065,254.2489
Cer(d16:1/16:1)+HCO2,552.4633,506.45781,476.4473,278.249,235.2065,252.2333
Cer(d16:1/17:0)+HCO2,568.4946,522.48911,492.4786,294.2803,235.2065,268.2646
Cer(d16:1/17:1)+HCO2,566.4789,520.47341,490.4629,292.2646,235.2065,266.2489
Cer(d16:1/17:2)+HCO2,564.4633,518.45781,488.4473,290.249,235.2065,264.2333
Cer(d16:1/18:0)+HCO2,582.5102,536.50471,506.4942,308.2959,235.2065,282.2802
Cer(d16:1/18:1)+HCO2,580.4946,534.48911,504.4786,306.2803,235.2065,280.2646
Cer(d16:1/18:2)+HCO2,578.4789,532.47341,502.4629,304.2646,235.2065,278.2489
Cer(d16:1/18:3)+HCO2,576.4633,530.45781,500.4473,302.249,235.2065,276.2333
Cer(d16:1/18:4)+HCO2,574.4476,528.44211,498.4316,300.2333,235.2065,274.2176
Cer(d16:1/19:0)+HCO2,596.5259,550.52041,520.5099,322.3116,235.2065,296.2959
Cer(d16:1/20:0)+HCO2,610.5415,564.53601,534.5255,336.3272,235.2065,310.3115
Cer(d16:1/20:1)+HCO2,608.5259,562.52041,532.5099,334.3116,235.2065,308.2959
Cer(d16:1/20:2)+HCO2,606.5102,560.50471,530.4942,332.2959,235.2065,306.2802
Cer(d16:1/20:3)+HCO2,604.4946,558.48911,528.4786,330.2803,235.2065,304.2646
Cer(d16:1/20:4)+HCO2,602.4789,556.47341,526.4629,328.2646,235.2065,302.2489
Cer(d16:1/20:5)+HCO2,600.4633,554.45781,524.4473,326.249,235.2065,300.2333
Cer(d16:1/21:0)+HCO2,624.5572,578.55171,548.5412,350.3429,235.2065,324.3272
Cer(d16:1/22:0)+HCO2,638.5728,592.56731,562.5568,364.3585,235.2065,338.3428
Cer(d16:1/22:1)+HCO2,636.5572,590.55171,560.5412,362.3429,235.2065,336.3272
Cer(d16:1/22:2)+HCO2,634.5415,588.53601,558.5255,360.3272,235.2065,334.3115
Cer(d16:1/22:3)+HCO2,632.5259,586.52041,556.5099,358.3116,235.2065,332.2959
Cer(d16:1/22:4)+HCO2,630.5102,584.50471,554.4942,356.2959,235.2065,330.2802
Cer(d16:1/22:5)+HCO2,628.4946,582.48911,552.4786,354.2803,235.2065,328.2646
Cer(d16:1/22:6)+HCO2,626.4789,580.47341,550.4629,352.2646,235.2065,326.2489
Cer(d16:1/23:0)+HCO2,652.5885,606.58301,576.5725,378.3742,235.2065,352.3585
Cer(d16:1/24:0)+HCO2,666.6041,620.59861,590.5881,392.3898,235.2065,366.3741
Cer(d16:1/24:1)+HCO2,664.5885,618.58301,588.5725,390.3742,235.2065,364.3585
Cer(d16:1/25:0)+HCO2,680.6198,634.61431,604.6038,406.4055,235.2065,380.3898
Cer(d16:1/26:0)+HCO2,694.6354,648.62991,618.6194,420.4211,235.2065,394.4054
Cer(d16:1/8:0)+HCO2,442.3537,396.34821,366.3377,168.1394,235.2065,142.1237
Cer(d17:0/10:0)+HCO2,486.4163,440.41081,410.4003,196.1707,251.2378,170.155
Cer(d17:0/12:0)+HCO2,514.4476,468.44211,438.4316,224.202,251.2378,198.1863
Cer(d17:0/13:0)+HCO2,528.4633,482.45781,452.4473,238.2177,251.2378,212.202
Cer(d17:0/14:0)+HCO2,542.4789,496.47341,466.4629,252.2333,251.2378,226.2176
Cer(d17:0/14:1)+HCO2,540.4633,494.45781,464.4473,250.2177,251.2378,224.202
Cer(d17:0/15:0)+HCO2,556.4946,510.48911,480.4786,266.249,251.2378,240.2333
Cer(d17:0/15:1)+HCO2,554.4789,508.47341,478.4629,264.2333,251.2378,238.2176
Cer(d17:0/16:0)+HCO2,570.5102,524.50471,494.4942,280.2646,251.2378,254.2489
Cer(d17:0/16:1)+HCO2,568.4946,522.48911,492.4786,278.249,251.2378,252.2333
Cer(d17:0/17:0)+HCO2,584.5259,538.52041,508.5099,294.2803,251.2378,268.2646
Cer(d17:0/17:1)+HCO2,582.5102,536.50471,506.4942,292.2646,251.2378,266.2489
Cer(d17:0/17:2)+HCO2,580.4946,534.48911,504.4786,290.249,251.2378,264.2333
Cer(d17:0/18:0)+HCO2,598.5415,552.53601,522.5255,308.2959,251.2378,282.2802
Cer(d17:0/18:1)+HCO2,596.5259,550.52041,520.5099,306.2803,251.2378,280.2646
Cer(d17:0/18:2)+HCO2,594.5102,548.50471,518.4942,304.2646,251.2378,278.2489
Cer(d17:0/18:3)+HCO2,592.4946,546.48911,516.4786,302.249,251.2378,276.2333
Cer(d17:0/18:4)+HCO2,590.4789,544.47341,514.4629,300.2333,251.2378,274.2176
Cer(d17:0/19:0)+HCO2,612.5572,566.55171,536.5412,322.3116,251.2378,296.2959
Cer(d17:0/20:0)+HCO2,626.5728,580.56731,550.5568,336.3272,251.2378,310.3115
Cer(d17:0/20:1)+HCO2,624.5572,578.55171,548.5412,334.3116,251.2378,308.2959
Cer(d17:0/20:2)+HCO2,622.5415,576.53601,546.5255,332.2959,251.2378,306.2802
Cer(d17:0/20:3)+HCO2,620.5259,574.52041,544.5099,330.2803,251.2378,304.2646
Cer(d17:0/20:4)+HCO2,618.5102,572.50471,542.4942,328.2646,251.2378,302.2489
Cer(d17:0/20:5)+HCO2,616.4946,570.48911,540.4786,326.249,251.2378,300.2333
Cer(d17:0/21:0)+HCO2,640.5885,594.58301,564.5725,350.3429,251.2378,324.3272
Cer(d17:0/22:0)+HCO2,654.6041,608.59861,578.5881,364.3585,251.2378,338.3428
Cer(d17:0/22:1)+HCO2,652.5885,606.58301,576.5725,362.3429,251.2378,336.3272
Cer(d17:0/22:2)+HCO2,650.5728,604.56731,574.5568,360.3272,251.2378,334.3115
Cer(d17:0/22:3)+HCO2,648.5572,602.55171,572.5412,358.3116,251.2378,332.2959
Cer(d17:0/22:4)+HCO2,646.5415,600.53601,570.5255,356.2959,251.2378,330.2802
Cer(d17:0/22:5)+HCO2,644.5259,598.52041,568.5099,354.2803,251.2378,328.2646
Cer(d17:0/22:6)+HCO2,642.5102,596.50471,566.4942,352.2646,251.2378,326.2489
Cer(d17:0/23:0)+HCO2,668.6198,622.61431,592.6038,378.3742,251.2378,352.3585
Cer(d17:0/24:0)+HCO2,682.6354,636.62991,606.6194,392.3898,251.2378,366.3741
Cer(d17:0/24:1)+HCO2,680.6198,634.61431,604.6038,390.3742,251.2378,364.3585
Cer(d17:0/25:0)+HCO2,696.6511,650.64561,620.6351,406.4055,251.2378,380.3898
Cer(d17:0/26:0)+HCO2,710.6667,664.66121,634.6507,420.4211,251.2378,394.4054
Cer(d17:0/8:0)+HCO2,458.385,412.37951,382.369,168.1394,251.2378,142.1237
Cer(d17:1/10:0)+HCO2,484.4006,438.39511,408.3846,196.1707,249.2221,170.155
Cer(d17:1/12:0)+HCO2,512.4319,466.42641,436.4159,224.202,249.2221,198.1863
Cer(d17:1/13:0)+HCO2,526.4476,480.44211,450.4316,238.2177,249.2221,212.202
Cer(d17:1/14:0)+HCO2,540.4632,494.45771,464.4472,252.2333,249.2221,226.2176
Cer(d17:1/14:1)+HCO2,538.4476,492.44211,462.4316,250.2177,249.2221,224.202
Cer(d17:1/15:0)+HCO2,554.4789,508.47341,478.4629,266.249,249.2221,240.2333
Cer(d17:1/15:1)+HCO2,552.4632,506.45771,476.4472,264.2333,249.2221,238.2176
Cer(d17:1/16:0)+HCO2,568.4945,522.48901,492.4785,280.2646,249.2221,254.2489
Cer(d17:1/16:1)+HCO2,566.4789,520.47341,490.4629,278.249,249.2221,252.2333
Cer(d17:1/17:0)+HCO2,582.5102,536.50471,506.4942,294.2803,249.2221,268.2646
Cer(d17:1/17:1)+HCO2,580.4945,534.48901,504.4785,292.2646,249.2221,266.2489
Cer(d17:1/17:2)+HCO2,578.4789,532.47341,502.4629,290.249,249.2221,264.2333
Cer(d17:1/18:0)+HCO2,596.5258,550.52031,520.5098,308.2959,249.2221,282.2802
Cer(d17:1/18:1)+HCO2,594.5102,548.50471,518.4942,306.2803,249.2221,280.2646
Cer(d17:1/18:2)+HCO2,592.4945,546.48901,516.4785,304.2646,249.2221,278.2489
Cer(d17:1/18:3)+HCO2,590.4789,544.47341,514.4629,302.249,249.2221,276.2333
Cer(d17:1/18:4)+HCO2,588.4632,542.45771,512.4472,300.2333,249.2221,274.2176
Cer(d17:1/19:0)+HCO2,610.5415,564.53601,534.5255,322.3116,249.2221,296.2959
Cer(d17:1/20:0)+HCO2,624.5571,578.55161,548.5411,336.3272,249.2221,310.3115
Cer(d17:1/20:1)+HCO2,622.5415,576.53601,546.5255,334.3116,249.2221,308.2959
Cer(d17:1/20:2)+HCO2,620.5258,574.52031,544.5098,332.2959,249.2221,306.2802
Cer(d17:1/20:3)+HCO2,618.5102,572.50471,542.4942,330.2803,249.2221,304.2646
Cer(d17:1/20:4)+HCO2,616.4945,570.48901,540.4785,328.2646,249.2221,302.2489
Cer(d17:1/20:5)+HCO2,614.4789,568.47341,538.4629,326.249,249.2221,300.2333
Cer(d17:1/21:0)+HCO2,638.5728,592.56731,562.5568,350.3429,249.2221,324.3272
Cer(d17:1/22:0)+HCO2,652.5884,606.58291,576.5724,364.3585,249.2221,338.3428
Cer(d17:1/22:1)+HCO2,650.5728,604.56731,574.5568,362.3429,249.2221,336.3272
Cer(d17:1/22:2)+HCO2,648.5571,602.55161,572.5411,360.3272,249.2221,334.3115
Cer(d17:1/22:3)+HCO2,646.5415,600.53601,570.5255,358.3116,249.2221,332.2959
Cer(d17:1/22:4)+HCO2,644.5258,598.52031,568.5098,356.2959,249.2221,330.2802
Cer(d17:1/22:5)+HCO2,642.5102,596.50471,566.4942,354.2803,249.2221,328.2646
Cer(d17:1/22:6)+HCO2,640.4945,594.48901,564.4785,352.2646,249.2221,326.2489
Cer(d17:1/23:0)+HCO2,666.6041,620.59861,590.5881,378.3742,249.2221,352.3585
Cer(d17:1/24:0)+HCO2,680.6197,634.61421,604.6037,392.3898,249.2221,366.3741
Cer(d17:1/24:1)+HCO2,678.6041,632.59861,602.5881,390.3742,249.2221,364.3585
Cer(d17:1/25:0)+HCO2,694.6354,648.62991,618.6194,406.4055,249.2221,380.3898
Cer(d17:1/26:0)+HCO2,708.651,662.64551,632.635,420.4211,249.2221,394.4054
Cer(d17:1/8:0)+HCO2,456.3693,410.36381,380.3533,168.1394,249.2221,142.1237
Cer(d17:2/10:0)+HCO2,482.385,436.37951,406.369,196.1707,247.2065,170.155
Cer(d17:2/12:0)+HCO2,510.4163,464.41081,434.4003,224.202,247.2065,198.1863
Cer(d17:2/13:0)+HCO2,524.432,478.42651,448.416,238.2177,247.2065,212.202
Cer(d17:2/14:0)+HCO2,538.4476,492.44211,462.4316,252.2333,247.2065,226.2176
Cer(d17:2/14:1)+HCO2,536.432,490.42651,460.416,250.2177,247.2065,224.202
Cer(d17:2/15:0)+HCO2,552.4633,506.45781,476.4473,266.249,247.2065,240.2333
Cer(d17:2/15:1)+HCO2,550.4476,504.44211,474.4316,264.2333,247.2065,238.2176
Cer(d17:2/16:0)+HCO2,566.4789,520.47341,490.4629,280.2646,247.2065,254.2489
Cer(d17:2/16:1)+HCO2,564.4633,518.45781,488.4473,278.249,247.2065,252.2333
Cer(d17:2/17:0)+HCO2,580.4946,534.48911,504.4786,294.2803,247.2065,268.2646
Cer(d17:2/17:1)+HCO2,578.4789,532.47341,502.4629,292.2646,247.2065,266.2489
Cer(d17:2/17:2)+HCO2,576.4633,530.45781,500.4473,290.249,247.2065,264.2333
Cer(d17:2/18:0)+HCO2,594.5102,548.50471,518.4942,308.2959,247.2065,282.2802
Cer(d17:2/18:1)+HCO2,592.4946,546.48911,516.4786,306.2803,247.2065,280.2646
Cer(d17:2/18:2)+HCO2,590.4789,544.47341,514.4629,304.2646,247.2065,278.2489
Cer(d17:2/18:3)+HCO2,588.4633,542.45781,512.4473,302.249,247.2065,276.2333
Cer(d17:2/18:4)+HCO2,586.4476,540.44211,510.4316,300.2333,247.2065,274.2176
Cer(d17:2/19:0)+HCO2,608.5259,562.52041,532.5099,322.3116,247.2065,296.2959
Cer(d17:2/20:0)+HCO2,622.5415,576.53601,546.5255,336.3272,247.2065,310.3115
Cer(d17:2/20:1)+HCO2,620.5259,574.52041,544.5099,334.3116,247.2065,308.2959
Cer(d17:2/20:2)+HCO2,618.5102,572.50471,542.4942,332.2959,247.2065,306.2802
Cer(d17:2/20:3)+HCO2,616.4946,570.48911,540.4786,330.2803,247.2065,304.2646
Cer(d17:2/20:4)+HCO2,614.4789,568.47341,538.4629,328.2646,247.2065,302.2489
Cer(d17:2/20:5)+HCO2,612.4633,566.45781,536.4473,326.249,247.2065,300.2333
Cer(d17:2/21:0)+HCO2,636.5572,590.55171,560.5412,350.3429,247.2065,324.3272
Cer(d17:2/22:0)+HCO2,650.5728,604.56731,574.5568,364.3585,247.2065,338.3428
Cer(d17:2/22:1)+HCO2,648.5572,602.55171,572.5412,362.3429,247.2065,336.3272
Cer(d17:2/22:2)+HCO2,646.5415,600.53601,570.5255,360.3272,247.2065,334.3115
Cer(d17:2/22:3)+HCO2,644.5259,598.52041,568.5099,358.3116,247.2065,332.2959
Cer(d17:2/22:4)+HCO2,642.5102,596.50471,566.4942,356.2959,247.2065,330.2802
Cer(d17:2/22:5)+HCO2,640.4946,594.48911,564.4786,354.2803,247.2065,328.2646
Cer(d17:2/22:6)+HCO2,638.4789,592.47341,562.4629,352.2646,247.2065,326.2489
Cer(d17:2/23:0)+HCO2,664.5885,618.58301,588.5725,378.3742,247.2065,352.3585
Cer(d17:2/24:0)+HCO2,678.6041,632.59861,602.5881,392.3898,247.2065,366.3741
Cer(d17:2/24:1)+HCO2,676.5885,630.58301,600.5725,390.3742,247.2065,364.3585
Cer(d17:2/25:0)+HCO2,692.6198,646.61431,616.6038,406.4055,247.2065,380.3898
Cer(d17:2/26:0)+HCO2,706.6354,660.62991,630.6194,420.4211,247.2065,394.4054
Cer(d17:2/8:0)+HCO2,454.3537,408.34821,378.3377,168.1394,247.2065,142.1237
Cer(d18:0/10:0)+HCO2,500.4319,454.42641,424.4159,196.1707,265.2534,170.155
Cer(d18:0/12:0)+HCO2,528.4632,482.45771,452.4472,224.202,265.2534,198.1863
Cer(d18:0/13:0)+HCO2,542.4789,496.47341,466.4629,238.2177,265.2534,212.202
Cer(d18:0/14:0)+HCO2,556.4945,510.48901,480.4785,252.2333,265.2534,226.2176
Cer(d18:0/14:1)+HCO2,554.4789,508.47341,478.4629,250.2177,265.2534,224.202
Cer(d18:0/15:0)+HCO2,570.5102,524.50471,494.4942,266.249,265.2534,240.2333
Cer(d18:0/15:1)+HCO2,568.4945,522.48901,492.4785,264.2333,265.2534,238.2176
Cer(d18:0/16:0)+HCO2,584.5258,538.52031,508.5098,280.2646,265.2534,254.2489
Cer(d18:0/16:1)+HCO2,582.5102,536.50471,506.4942,278.249,265.2534,252.2333
Cer(d18:0/17:0)+HCO2,598.5415,552.53601,522.5255,294.2803,265.2534,268.2646
Cer(d18:0/17:1)+HCO2,596.5258,550.52031,520.5098,292.2646,265.2534,266.2489
Cer(d18:0/17:2)+HCO2,594.5102,548.50471,518.4942,290.249,265.2534,264.2333
Cer(d18:0/18:0)+HCO2,612.5571,566.55161,536.5411,308.2959,265.2534,282.2802
Cer(d18:0/18:1)+HCO2,610.5415,564.53601,534.5255,306.2803,265.2534,280.2646
Cer(d18:0/18:2)+HCO2,608.5258,562.52031,532.5098,304.2646,265.2534,278.2489
Cer(d18:0/18:3)+HCO2,606.5102,560.50471,530.4942,302.249,265.2534,276.2333
Cer(d18:0/18:4)+HCO2,604.4945,558.48901,528.4785,300.2333,265.2534,274.2176
Cer(d18:0/19:0)+HCO2,626.5728,580.56731,550.5568,322.3116,265.2534,296.2959
Cer(d18:0/20:0)+HCO2,640.5884,594.58291,564.5724,336.3272,265.2534,310.3115
Cer(d18:0/20:1)+HCO2,638.5728,592.56731,562.5568,334.3116,265.2534,308.2959
Cer(d18:0/20:2)+HCO2,636.5571,590.55161,560.5411,332.2959,265.2534,306.2802
Cer(d18:0/20:3)+HCO2,634.5415,588.53601,558.5255,330.2803,265.2534,304.2646
Cer(d18:0/20:4)+HCO2,632.5258,586.52031,556.5098,328.2646,265.2534,302.2489
Cer(d18:0/20:5)+HCO2,630.5102,584.50471,554.4942,326.249,265.2534,300.2333
Cer(d18:0/21:0)+HCO2,654.6041,608.59861,578.5881,350.3429,265.2534,324.3272
Cer(d18:0/22:0)+HCO2,668.6197,622.61421,592.6037,364.3585,265.2534,338.3428
Cer(d18:0/22:1)+HCO2,666.6041,620.59861,590.5881,362.3429,265.2534,336.3272
Cer(d18:0/22:2)+HCO2,664.5884,618.58291,588.5724,360.3272,265.2534,334.3115
Cer(d18:0/22:3)+HCO2,662.5728,616.56731,586.5568,358.3116,265.2534,332.2959
Cer(d18:0/22:4)+HCO2,660.5571,614.55161,584.5411,356.2959,265.2534,330.2802
Cer(d18:0/22:5)+HCO2,658.5415,612.53601,582.5255,354.2803,265.2534,328.2646
Cer(d18:0/22:6)+HCO2,656.5258,610.52031,580.5098,352.2646,265.2534,326.2489
Cer(d18:0/23:0)+HCO2,682.6354,636.62991,606.6194,378.3742,265.2534,352.3585
Cer(d18:0/24:0)+HCO2,696.651,650.64551,620.635,392.3898,265.2534,366.3741
Cer(d18:0/24:1)+HCO2,694.6354,648.62991,618.6194,390.3742,265.2534,364.3585
Cer(d18:0/25:0)+HCO2,710.6667,664.66121,634.6507,406.4055,265.2534,380.3898
Cer(d18:0/26:0)+HCO2,724.6823,678.67681,648.6663,420.4211,265.2534,394.4054
Cer(d18:0/8:0)+HCO2,472.4006,426.39511,396.3846,168.1394,265.2534,142.1237
Cer(d18:1/10:0)+HCO2,498.4163,452.41081,422.4003,196.1707,263.2378,170.155
Cer(d18:1/12:0)+HCO2,526.4476,480.44211,450.4316,224.202,263.2378,198.1863
Cer(d18:1/13:0)+HCO2,540.4633,494.45781,464.4473,238.2177,263.2378,212.202
Cer(d18:1/14:0)+HCO2,554.4789,508.47341,478.4629,252.2333,263.2378,226.2176
Cer(d18:1/14:1)+HCO2,552.4633,506.45781,476.4473,250.2177,263.2378,224.202
Cer(d18:1/15:0)+HCO2,568.4946,522.48911,492.4786,266.249,263.2378,240.2333
Cer(d18:1/15:1)+HCO2,566.4789,520.47341,490.4629,264.2333,263.2378,238.2176
Cer(d18:1/16:0)+HCO2,582.5102,536.50471,506.4942,280.2646,263.2378,254.2489
Cer(d18:1/16:1)+HCO2,580.4946,534.48911,504.4786,278.249,263.2378,252.2333
Cer(d18:1/17:0)+HCO2,596.5259,550.52041,520.5099,294.2803,263.2378,268.2646
Cer(d18:1/17:1)+HCO2,594.5102,548.50471,518.4942,292.2646,263.2378,266.2489
Cer(d18:1/17:2)+HCO2,592.4946,546.48911,516.4786,290.249,263.2378,264.2333
Cer(d18:1/18:0)+HCO2,610.5415,564.53601,534.5255,308.2959,263.2378,282.2802
Cer(d18:1/18:1)+HCO2,608.5259,562.52041,532.5099,306.2803,263.2378,280.2646
Cer(d18:1/18:2)+HCO2,606.5102,560.50471,530.4942,304.2646,263.2378,278.2489
Cer(d18:1/18:3)+HCO2,604.4946,558.48911,528.4786,302.249,263.2378,276.2333
Cer(d18:1/18:4)+HCO2,602.4789,556.47341,526.4629,300.2333,263.2378,274.2176
Cer(d18:1/19:0)+HCO2,624.5572,578.55171,548.5412,322.3116,263.2378,296.2959
Cer(d18:1/20:0)+HCO2,638.5728,592.56731,562.5568,336.3272,263.2378,310.3115
Cer(d18:1/20:1)+HCO2,636.5572,590.55171,560.5412,334.3116,263.2378,308.2959
Cer(d18:1/20:2)+HCO2,634.5415,588.53601,558.5255,332.2959,263.2378,306.2802
Cer(d18:1/20:3)+HCO2,632.5259,586.52041,556.5099,330.2803,263.2378,304.2646
Cer(d18:1/20:4)+HCO2,630.5102,584.50471,554.4942,328.2646,263.2378,302.2489
Cer(d18:1/20:5)+HCO2,628.4946,582.48911,552.4786,326.249,263.2378,300.2333
Cer(d18:1/21:0)+HCO2,652.5885,606.58301,576.5725,350.3429,263.2378,324.3272
Cer(d18:1/22:0)+HCO2,666.6041,620.59861,590.5881,364.3585,263.2378,338.3428
Cer(d18:1/22:1)+HCO2,664.5885,618.58301,588.5725,362.3429,263.2378,336.3272
Cer(d18:1/22:2)+HCO2,662.5728,616.56731,586.5568,360.3272,263.2378,334.3115
Cer(d18:1/22:3)+HCO2,660.5572,614.55171,584.5412,358.3116,263.2378,332.2959
Cer(d18:1/22:4)+HCO2,658.5415,612.53601,582.5255,356.2959,263.2378,330.2802
Cer(d18:1/22:5)+HCO2,656.5259,610.52041,580.5099,354.2803,263.2378,328.2646
Cer(d18:1/22:6)+HCO2,654.5102,608.50471,578.4942,352.2646,263.2378,326.2489
Cer(d18:1/23:0)+HCO2,680.6198,634.61431,604.6038,378.3742,263.2378,352.3585
Cer(d18:1/24:0)+HCO2,694.6354,648.62991,618.6194,392.3898,263.2378,366.3741
Cer(d18:1/24:1)+HCO2,692.6198,646.61431,616.6038,390.3742,263.2378,364.3585
Cer(d18:1/25:0)+HCO2,708.6511,662.64561,632.6351,406.4055,263.2378,380.3898
Cer(d18:1/26:0)+HCO2,722.6667,676.66121,646.6507,420.4211,263.2378,394.4054
Cer(d18:1/8:0)+HCO2,470.385,424.37951,394.369,168.1394,263.2378,142.1237
Cer(d18:2/10:0)+HCO2,496.4006,450.39511,420.3846,196.1707,261.2221,170.155
Cer(d18:2/12:0)+HCO2,524.4319,478.42641,448.4159,224.202,261.2221,198.1863
Cer(d18:2/13:0)+HCO2,538.4476,492.44211,462.4316,238.2177,261.2221,212.202
Cer(d18:2/14:0)+HCO2,552.4632,506.45771,476.4472,252.2333,261.2221,226.2176
Cer(d18:2/14:1)+HCO2,550.4476,504.44211,474.4316,250.2177,261.2221,224.202
Cer(d18:2/15:0)+HCO2,566.4789,520.47341,490.4629,266.249,261.2221,240.2333
Cer(d18:2/15:1)+HCO2,564.4632,518.45771,488.4472,264.2333,261.2221,238.2176
Cer(d18:2/16:0)+HCO2,580.4945,534.48901,504.4785,280.2646,261.2221,254.2489
Cer(d18:2/16:1)+HCO2,578.4789,532.47341,502.4629,278.249,261.2221,252.2333
Cer(d18:2/17:0)+HCO2,594.5102,548.50471,518.4942,294.2803,261.2221,268.2646
Cer(d18:2/17:1)+HCO2,592.4945,546.48901,516.4785,292.2646,261.2221,266.2489
Cer(d18:2/17:2)+HCO2,590.4789,544.47341,514.4629,290.249,261.2221,264.2333
Cer(d18:2/18:0)+HCO2,608.5258,562.52031,532.5098,308.2959,261.2221,282.2802
Cer(d18:2/18:1)+HCO2,606.5102,560.50471,530.4942,306.2803,261.2221,280.2646
Cer(d18:2/18:2)+HCO2,604.4945,558.48901,528.4785,304.2646,261.2221,278.2489
Cer(d18:2/18:3)+HCO2,602.4789,556.47341,526.4629,302.249,261.2221,276.2333
Cer(d18:2/18:4)+HCO2,600.4632,554.45771,524.4472,300.2333,261.2221,274.2176
Cer(d18:2/19:0)+HCO2,622.5415,576.53601,546.5255,322.3116,261.2221,296.2959
Cer(d18:2/20:0)+HCO2,636.5571,590.55161,560.5411,336.3272,261.2221,310.3115
Cer(d18:2/20:1)+HCO2,634.5415,588.53601,558.5255,334.3116,261.2221,308.2959
Cer(d18:2/20:2)+HCO2,632.5258,586.52031,556.5098,332.2959,261.2221,306.2802
Cer(d18:2/20:3)+HCO2,630.5102,584.50471,554.4942,330.2803,261.2221,304.2646
Cer(d18:2/20:4)+HCO2,628.4945,582.48901,552.4785,328.2646,261.2221,302.2489
Cer(d18:2/20:5)+HCO2,626.4789,580.47341,550.4629,326.249,261.2221,300.2333
Cer(d18:2/21:0)+HCO2,650.5728,604.56731,574.5568,350.3429,261.2221,324.3272
Cer(d18:2/22:0)+HCO2,664.5884,618.58291,588.5724,364.3585,261.2221,338.3428
Cer(d18:2/22:1)+HCO2,662.5728,616.56731,586.5568,362.3429,261.2221,336.3272
Cer(d18:2/22:2)+HCO2,660.5571,614.55161,584.5411,360.3272,261.2221,334.3115
Cer(d18:2/22:3)+HCO2,658.5415,612.53601,582.5255,358.3116,261.2221,332.2959
Cer(d18:2/22:4)+HCO2,656.5258,610.52031,580.5098,356.2959,261.2221,330.2802
Cer(d18:2/22:5)+HCO2,654.5102,608.50471,578.4942,354.2803,261.2221,328.2646
Cer(d18:2/22:6)+HCO2,652.4945,606.48901,576.4785,352.2646,261.2221,326.2489
Cer(d18:2/23:0)+HCO2,678.6041,632.59861,602.5881,378.3742,261.2221,352.3585
Cer(d18:2/24:0)+HCO2,692.6197,646.61421,616.6037,392.3898,261.2221,366.3741
Cer(d18:2/24:1)+HCO2,690.6041,644.59861,614.5881,390.3742,261.2221,364.3585
Cer(d18:2/25:0)+HCO2,706.6354,660.62991,630.6194,406.4055,261.2221,380.3898
Cer(d18:2/26:0)+HCO2,720.651,674.64551,644.635,420.4211,261.2221,394.4054
Cer(d18:2/8:0)+HCO2,468.3693,422.36381,392.3533,168.1394,261.2221,142.1237
Cer(d18:3/10:0)+HCO2,494.385,448.37951,418.369,196.1707,259.2065,170.155
