Cer-BS,[M-H]-,[M-H2O-H]-,[Sph+C2H2O-H]-,[Sph+C-H]-,[Sph-H5NO-H]-,[Sph-C2H7NO-H]-
Cer-BS(d14:3/40:2)-H,824.7496,806.739,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/42:0)-H,856.8122,838.8016,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/42:1)-H,854.7966,836.7859,280.1918,250.1813,203.1441,177.1285
Cer-BS(d14:3/42:2)-H,852.7809,834.7703,280.1918,250.1813,203.1441,177.1285
Cer-BS(d15:1/12:0)-H,454.3896,436.3791,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/12:1)-H,452.374,434.3634,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/13:0)-H,468.4053,450.3947,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/13:1)-H,466.3896,448.3791,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/14:0)-H,482.4209,464.4104,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/14:1)-H,480.4053,462.3947,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/15:0)-H,496.4366,478.426,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/15:1)-H,494.4209,476.4104,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/16:0)-H,510.4522,492.4417,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/16:1)-H,508.4366,490.426,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/16:2)-H,506.4209,488.4104,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/17:0)-H,524.4679,506.4573,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/18:0)-H,538.4835,520.473,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/18:1)-H,536.4679,518.4573,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/18:2)-H,534.4523,516.4417,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/19:0)-H,552.4992,534.4886,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/19:1)-H,550.4835,532.473,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/20:0)-H,566.5148,548.5043,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/20:1)-H,564.4992,546.4886,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/20:2)-H,562.4835,544.473,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/21:0)-H,580.5305,562.5199,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/21:1)-H,578.5148,560.5043,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/22:0)-H,594.5461,576.5356,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/22:1)-H,592.5305,574.5199,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/22:2)-H,590.5148,572.5043,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/23:0)-H,608.5618,590.5512,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/23:1)-H,606.5461,588.5356,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/24:0)-H,622.5775,604.5669,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/24:1)-H,620.5618,602.5512,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/24:2)-H,618.5461,600.5356,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/25:0)-H,636.5931,618.5825,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/25:1)-H,634.5775,616.5669,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/26:0)-H,650.6088,632.5981,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/26:1)-H,648.5931,630.5825,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/26:2)-H,646.5775,628.5669,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/27:0)-H,664.6244,646.6138,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/27:1)-H,662.6088,644.5981,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/28:0)-H,678.64,660.6295,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/28:1)-H,676.6244,658.6138,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/28:2)-H,674.6088,656.5981,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/29:0)-H,692.6557,674.6451,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/29:1)-H,690.64,672.6295,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/30:0)-H,706.6713,688.6608,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/30:1)-H,704.6557,686.6451,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/30:2)-H,702.64,684.6295,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/31:0)-H,720.687,702.6764,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/31:1)-H,718.6713,700.6608,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/32:0)-H,734.7026,716.6921,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/32:1)-H,732.687,714.6764,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/32:2)-H,730.6713,712.6608,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/33:0)-H,748.7183,730.7077,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/33:1)-H,746.7026,728.6921,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/34:0)-H,762.7339,744.7234,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/34:1)-H,760.7183,742.7077,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/34:2)-H,758.7026,740.6921,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/35:0)-H,776.7496,758.739,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/35:1)-H,774.7339,756.7234,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/36:0)-H,790.7653,772.7547,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/36:1)-H,788.7496,770.739,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/36:2)-H,786.7339,768.7234,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/38:0)-H,818.7966,800.7859,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/38:1)-H,816.7809,798.7703,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/38:2)-H,814.7653,796.7547,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/40:0)-H,846.8278,828.8173,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/40:1)-H,844.8122,826.8016,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/40:2)-H,842.7966,824.7859,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/42:0)-H,874.8591,856.8486,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/42:1)-H,872.8435,854.8329,298.2388,268.2282,221.1911,195.1754
Cer-BS(d15:1/42:2)-H,870.8278,852.8173,298.2388,268.2282,221.1911,195.1754
