GlcADG,[M-H]-,M-sn1,M-sn2,[M-H-sn1+H20]-,[M-H-sn2+H20]-,[M-H-sn1-H20]-,[M-H-sn2-H20]-,SN1,SN2
GlcADG(11:0_24:1)-H,783.5622434,597.4003634,417.2126834,615.4109276,435.2232476,579.3897992,399.2021192,185.15406,365.34174
GlcADG(11:0_24:4)-H,777.5152932,591.3534132,417.2126532,609.3639774,435.2232174,573.342849,399.202089,185.15406,359.29482
GlcADG(11:0_25:0)-H,799.5935435,613.4316635,417.2127035,631.4422277,435.2232677,595.4210993,399.2021393,185.15406,381.37302
GlcADG(11:0_26:0)-H,813.6091936,627.4473136,417.2127136,645.4578778,435.2232778,609.4367494,399.2021494,185.15406,395.38866
GlcADG(11:0_26:1)-H,811.5935435,625.4316635,417.2127035,643.4422277,435.2232677,607.4210993,399.2021393,185.15406,393.37302
GlcADG(11:0_26:2)-H,809.5778935,623.4160135,417.2126935,641.4265777,435.2232577,605.4054493,399.2021293,185.15406,391.35738
GlcADG(11:0_3:0)-H,491.2492421,305.0873621,417.2124821,323.0979263,435.2230463,287.0767979,399.2019179,185.15406,73.02894
GlcADG(11:0_4:0)-H,505.2648922,319.1030122,417.2124922,337.1135764,435.2230564,301.092448,399.201928,185.15406,87.04458
GlcADG(11:0_5:0)-H,519.2805423,333.1186623,417.2125023,351.1292265,435.2230665,315.1080981,399.2019381,185.15406,101.06022
GlcADG(11:0_6:0)-H,533.2961923,347.1343123,417.2125123,365.1448765,435.2230765,329.1237481,399.2019481,185.15406,115.07586
GlcADG(11:0_7:0)-H,547.3118424,361.1499624,417.2125224,379.1605266,435.2230866,343.1393982,399.2019582,185.15406,129.0915
GlcADG(11:0_8:0)-H,561.3274924,375.1656124,417.2125324,393.1761766,435.2230966,357.1550482,399.2019682,185.15406,143.10714
GlcADG(11:0_9:0)-H,575.3431425,389.1812625,417.2125425,407.1918267,435.2231067,371.1706983,399.2019783,185.15406,157.12278
GlcADG(12:0_12:0)-H,631.4057428,431.2282228,431.2282228,449.238787,449.238787,413.2176586,413.2176586,199.1697,199.1697
GlcADG(12:0_13:0)-H,645.4213928,445.2438728,431.2282328,463.254437,449.238797,427.2333086,413.2176686,199.1697,213.18534
GlcADG(12:0_14:0)-H,659.4370429,459.2595229,431.2282429,477.2700871,449.2388071,441.2489587,413.2176787,199.1697,227.20098
GlcADG(12:0_14:1)-H,657.4213928,457.2438728,431.2282328,475.254437,449.238797,439.2333086,413.2176686,199.1697,225.18534
GlcADG(12:0_15:0)-H,673.452693,473.275173,431.228253,491.2857372,449.2388172,455.2646088,413.2176888,199.1697,241.21662
GlcADG(12:0_15:1)-H,671.4370429,471.2595229,431.2282429,489.2700871,449.2388071,453.2489587,413.2176787,199.1697,239.20098
GlcADG(12:0_16:0)-H,687.468343,487.290823,431.228263,505.3013872,449.2388272,469.2802588,413.2176988,199.1697,255.23226
GlcADG(12:0_16:1)-H,685.452693,485.275173,431.228253,503.2857372,449.2388172,467.2646088,413.2176888,199.1697,253.21662
GlcADG(12:0_17:0)-H,701.4839931,501.3064731,431.2282731,519.3170373,449.2388373,483.2959089,413.2177089,199.1697,269.2479
GlcADG(12:0_17:1)-H,699.468343,499.290823,431.228263,517.3013872,449.2388272,481.2802588,413.2176988,199.1697,267.23226
GlcADG(12:0_17:2)-H,697.452693,497.275173,431.228253,515.2857372,449.2388172,479.2646088,413.2176888,199.1697,265.21662
GlcADG(12:0_18:0)-H,715.4996431,515.3221231,431.2282831,533.3326873,449.2388473,497.3115589,413.2177189,199.1697,283.26354
GlcADG(12:0_18:1)-H,713.4839931,513.3064731,431.2282731,531.3170373,449.2388373,495.2959089,413.2177089,199.1697,281.2479
GlcADG(12:0_18:2)-H,711.468343,511.290823,431.228263,529.3013872,449.2388272,493.2802588,413.2176988,199.1697,279.23226
GlcADG(12:0_18:3)-H,709.452693,509.275173,431.228253,527.2857372,449.2388172,491.2646088,413.2176888,199.1697,277.21662
GlcADG(12:0_18:4)-H,707.4370429,507.2595229,431.2282429,525.2700871,449.2388071,489.2489587,413.2176787,199.1697,275.20098
GlcADG(12:0_19:0)-H,729.5152932,529.3377732,431.2282932,547.3483374,449.2388574,511.327209,413.217729,199.1697,297.27918
GlcADG(12:0_2:0)-H,491.2492421,291.0717221,431.2281221,309.0822863,449.2386863,273.0611579,413.2175579,199.1697,59.0133
GlcADG(12:0_20:0)-H,743.5309433,543.3534233,431.2283033,561.3639875,449.2388675,525.3428591,413.2177391,199.1697,311.29482
GlcADG(12:0_20:1)-H,741.5152932,541.3377732,431.2282932,559.3483374,449.2388574,523.327209,413.217729,199.1697,309.27918
GlcADG(12:0_20:2)-H,739.4996431,539.3221231,431.2282831,557.3326873,449.2388473,521.3115589,413.2177189,199.1697,307.26354
GlcADG(12:0_20:3)-H,737.4839931,537.3064731,431.2282731,555.3170373,449.2388373,519.2959089,413.2177089,199.1697,305.2479
GlcADG(12:0_20:4)-H,735.468343,535.290823,431.228263,553.3013872,449.2388272,517.2802588,413.2176988,199.1697,303.23226
GlcADG(12:0_20:5)-H,733.452693,533.275173,431.228253,551.2857372,449.2388172,515.2646088,413.2176888,199.1697,301.21662
GlcADG(12:0_21:0)-H,757.5465933,557.3690733,431.2283133,575.3796375,449.2388775,539.3585091,413.2177491,199.1697,325.31046
GlcADG(12:0_22:0)-H,771.5622434,571.3847234,431.2283234,589.3952876,449.2388876,553.3741592,413.2177592,199.1697,339.3261
GlcADG(12:0_22:1)-H,769.5465933,569.3690733,431.2283133,587.3796375,449.2388775,551.3585091,413.2177491,199.1697,337.31046
GlcADG(12:0_22:2)-H,767.5309433,567.3534233,431.2283033,585.3639875,449.2388675,549.3428591,413.2177391,199.1697,335.29482
GlcADG(12:0_22:4)-H,763.4996431,563.3221231,431.2282831,581.3326873,449.2388473,545.3115589,413.2177189,199.1697,331.26354
GlcADG(12:0_22:5)-H,761.4839931,561.3064731,431.2282731,579.3170373,449.2388373,543.2959089,413.2177089,199.1697,329.2479
GlcADG(12:0_22:6)-H,759.468343,559.290823,431.228263,577.3013872,449.2388272,541.2802588,413.2176988,199.1697,327.23226
GlcADG(12:0_23:0)-H,785.5778935,585.4003735,431.2283335,603.4109377,449.2388977,567.3898093,413.2177693,199.1697,353.34174
GlcADG(12:0_24:0)-H,799.5935435,599.4160235,431.2283435,617.4265877,449.2389077,581.4054593,413.2177793,199.1697,367.35738
GlcADG(12:0_24:1)-H,797.5778935,597.4003735,431.2283335,615.4109377,449.2388977,579.3898093,413.2177693,199.1697,365.34174
GlcADG(12:0_24:4)-H,791.5309433,591.3534233,431.2283033,609.3639875,449.2388675,573.3428591,413.2177391,199.1697,359.29482
GlcADG(12:0_25:0)-H,813.6091936,613.4316736,431.2283536,631.4422378,449.2389178,595.4211094,413.2177894,199.1697,381.37302
GlcADG(12:0_26:0)-H,827.6248437,627.4473237,431.2283637,645.4578879,449.2389279,609.4367595,413.2177995,199.1697,395.38866
GlcADG(12:0_26:1)-H,825.6091936,625.4316736,431.2283536,643.4422378,449.2389178,607.4211094,413.2177894,199.1697,393.37302
GlcADG(12:0_26:2)-H,823.5935435,623.4160235,431.2283435,641.4265877,449.2389077,605.4054593,413.2177793,199.1697,391.35738
GlcADG(12:0_3:0)-H,505.2648922,305.0873722,431.2281322,323.0979364,449.2386964,287.076808,413.217568,199.1697,73.02894
GlcADG(12:0_4:0)-H,519.2805423,319.1030223,431.2281423,337.1135865,449.2387065,301.0924581,413.2175781,199.1697,87.04458
GlcADG(12:0_5:0)-H,533.2961923,333.1186723,431.2281523,351.1292365,449.2387165,315.1081081,413.2175881,199.1697,101.06022
GlcADG(12:0_6:0)-H,547.3118424,347.1343224,431.2281624,365.1448866,449.2387266,329.1237582,413.2175982,199.1697,115.07586
GlcADG(12:0_7:0)-H,561.3274924,361.1499724,431.2281724,379.1605366,449.2387366,343.1394082,413.2176082,199.1697,129.0915
GlcADG(12:0_8:0)-H,575.3431425,375.1656225,431.2281825,393.1761867,449.2387467,357.1550583,413.2176183,199.1697,143.10714
GlcADG(12:0_9:0)-H,589.3587926,389.1812726,431.2281926,407.1918368,449.2387568,371.1707084,413.2176284,199.1697,157.12278
GlcADG(13:0_13:0)-H,659.4370429,445.2438829,445.2438829,463.2544471,463.2544471,427.2333187,427.2333187,213.18534,213.18534
GlcADG(13:0_14:0)-H,673.452693,459.259533,445.243893,477.2700972,463.2544572,441.2489688,427.2333288,213.18534,227.20098
GlcADG(13:0_14:1)-H,671.4370429,457.2438829,445.2438829,475.2544471,463.2544471,439.2333187,427.2333187,213.18534,225.18534
GlcADG(13:0_15:0)-H,687.468343,473.275183,445.243903,491.2857472,463.2544672,455.2646188,427.2333388,213.18534,241.21662
GlcADG(13:0_15:1)-H,685.452693,471.259533,445.243893,489.2700972,463.2544572,453.2489688,427.2333288,213.18534,239.20098
GlcADG(13:0_16:0)-H,701.4839931,487.2908331,445.2439131,505.3013973,463.2544773,469.2802689,427.2333489,213.18534,255.23226
GlcADG(13:0_16:1)-H,699.468343,485.275183,445.243903,503.2857472,463.2544672,467.2646188,427.2333388,213.18534,253.21662
GlcADG(13:0_17:0)-H,715.4996431,501.3064831,445.2439231,519.3170473,463.2544873,483.2959189,427.2333589,213.18534,269.2479
GlcADG(13:0_17:1)-H,713.4839931,499.2908331,445.2439131,517.3013973,463.2544773,481.2802689,427.2333489,213.18534,267.23226
GlcADG(13:0_17:2)-H,711.468343,497.275183,445.243903,515.2857472,463.2544672,479.2646188,427.2333388,213.18534,265.21662
GlcADG(13:0_18:0)-H,729.5152932,515.3221332,445.2439332,533.3326974,463.2544974,497.311569,427.233369,213.18534,283.26354
GlcADG(13:0_18:1)-H,727.4996431,513.3064831,445.2439231,531.3170473,463.2544873,495.2959189,427.2333589,213.18534,281.2479
GlcADG(13:0_18:2)-H,725.4839931,511.2908331,445.2439131,529.3013973,463.2544773,493.2802689,427.2333489,213.18534,279.23226
GlcADG(13:0_18:3)-H,723.468343,509.275183,445.243903,527.2857472,463.2544672,491.2646188,427.2333388,213.18534,277.21662
GlcADG(13:0_18:4)-H,721.452693,507.259533,445.243893,525.2700972,463.2544572,489.2489688,427.2333288,213.18534,275.20098
GlcADG(13:0_19:0)-H,743.5309433,529.3377833,445.2439433,547.3483475,463.2545075,511.3272191,427.2333791,213.18534,297.27918
