PEtOH,[M+NH4]+,[M-C2H7O4P+H]+,NL of SN1+H2O,NL of SN2+H2O,[M-SN1-126+H]+,[M-SN2-126+H]+,SN2-H2O,SN1-H2O,[C5H11O5P+H]+
PEtOH(13:1_19:1)+NH4,690.50687,547.4721,461.3028,377.2089,353.3051,269.2113,279.2681,195.1742,183.0417
PEtOH(13:1_19:2)+NH4,688.49117,545.4564,459.287,377.2089,351.2894,269.2112,277.2524,195.1742,183.0417
PEtOH(20:0_13:1)+NH4,706.53817,563.5034,377.2089,477.334,269.2113,369.3364,195.1742,295.2993,183.0417
PEtOH(13:1_20:1)+NH4,704.52247,561.4877,475.3184,377.2089,367.3207,269.2112,293.2837,195.1742,183.0417
PEtOH(13:1_20:2)+NH4,702.50687,559.4721,473.3028,377.2089,365.3051,269.2113,291.2681,195.1742,183.0417
PEtOH(13:1_20:3)+NH4,700.49117,557.4564,471.287,377.2089,363.2894,269.2112,289.2524,195.1742,183.0417
PEtOH(13:1_20:4)+NH4,698.47557,555.4408,469.2715,377.2089,361.2738,269.2113,287.2368,195.1742,183.0417
PEtOH(13:1_20:5)+NH4,696.45997,553.4252,467.2559,377.2089,359.2582,269.2113,285.2212,195.1742,183.0417
PEtOH(21:0_13:1)+NH4,720.55387,577.5191,377.209,491.3498,269.2114,383.3521,195.1742,309.315,183.0417
PEtOH(13:1_21:1)+NH4,718.53817,575.5034,489.334,377.2089,381.3364,269.2113,307.2993,195.1742,183.0417
PEtOH(13:1_21:2)+NH4,716.52247,573.4877,487.3184,377.2089,379.3207,269.2112,305.2837,195.1742,183.0417
PEtOH(22:0_13:1)+NH4,734.56947,591.5347,377.209,505.3654,269.2113,397.3677,195.1742,323.3306,183.0417
PEtOH(13:1_22:1)+NH4,732.55387,589.5191,503.3498,377.209,395.3521,269.2114,321.315,195.1742,183.0417
PEtOH(13:1_22:2)+NH4,730.53817,587.5034,501.334,377.2089,393.3364,269.2113,319.2993,195.1742,183.0417
PEtOH(13:1_22:3)+NH4,728.52247,585.4877,499.3184,377.2089,391.3207,269.2112,317.2837,195.1742,183.0417
PEtOH(13:1_22:4)+NH4,726.50687,583.4721,497.3028,377.2089,389.3051,269.2113,315.2681,195.1742,183.0417
