Cer-AP,[M+HCO2]-,[M-H]-,[FA+NC(C)CO-H]-,[FA+O-H]-,[FA-CO-3H]-,[Sph-NC(CO)CO-H]-
Cer-AP(t14:2/20:2)+HCO2,608.4526,562.4471,378.3003,323.2592,277.2537,165.1274
Cer-AP(t14:2/21:0)+HCO2,626.4996,580.4941,396.3472,341.3061,295.3006,165.1274
Cer-AP(t14:2/21:1)+HCO2,624.4839,578.4785,394.3316,339.2905,293.285,165.1274
Cer-AP(t14:2/22:0)+HCO2,640.5153,594.5098,410.3629,355.3218,309.3163,165.1274
Cer-AP(t14:2/22:1)+HCO2,638.4996,592.4941,408.3472,353.3061,307.3006,165.1274
Cer-AP(t14:2/22:2)+HCO2,636.4839,590.4785,406.3316,351.2905,305.285,165.1274
Cer-AP(t14:2/23:0)+HCO2,654.5309,608.5254,424.3785,369.3374,323.3319,165.1274
Cer-AP(t14:2/23:1)+HCO2,652.5153,606.5098,422.3629,367.3218,321.3163,165.1274
Cer-AP(t14:2/24:0)+HCO2,668.5465,622.5411,438.3942,383.3531,337.3476,165.1274
Cer-AP(t14:2/24:1)+HCO2,666.5309,620.5254,436.3785,381.3374,335.3319,165.1274
Cer-AP(t14:2/24:2)+HCO2,664.5153,618.5098,434.3629,379.3218,333.3163,165.1274
Cer-AP(t14:2/25:0)+HCO2,682.5622,636.5567,452.4099,397.3687,351.3633,165.1274
Cer-AP(t14:2/25:1)+HCO2,680.5465,634.5411,450.3942,395.3531,349.3476,165.1274
Cer-AP(t14:2/26:0)+HCO2,696.5778,650.5723,466.4255,411.3844,365.3789,165.1274
Cer-AP(t14:2/26:1)+HCO2,694.5622,648.5567,464.4099,409.3687,363.3633,165.1274
Cer-AP(t14:2/26:2)+HCO2,692.5465,646.5411,462.3942,407.3531,361.3476,165.1274
Cer-AP(t14:2/27:0)+HCO2,710.5935,664.588,480.4411,425.4,379.3945,165.1274
Cer-AP(t14:2/27:1)+HCO2,708.5778,662.5723,478.4255,423.3844,377.3789,165.1274
Cer-AP(t14:2/28:0)+HCO2,724.6091,678.6036,494.4568,439.4157,393.4102,165.1274
Cer-AP(t14:2/28:1)+HCO2,722.5935,676.588,492.4411,437.4,391.3945,165.1274
Cer-AP(t14:2/28:2)+HCO2,720.5778,674.5723,490.4255,435.3844,389.3789,165.1274
Cer-AP(t14:2/29:0)+HCO2,738.6248,692.6193,508.4724,453.4313,407.4258,165.1274
Cer-AP(t14:2/29:1)+HCO2,736.6091,690.6036,506.4568,451.4157,405.4102,165.1274
Cer-AP(t14:2/30:0)+HCO2,752.6404,706.6349,522.4881,467.447,421.4415,165.1274
Cer-AP(t14:2/30:1)+HCO2,750.6248,704.6193,520.4724,465.4313,419.4258,165.1274
Cer-AP(t14:2/30:2)+HCO2,748.6091,702.6036,518.4568,463.4157,417.4102,165.1274
Cer-AP(t14:2/31:0)+HCO2,766.6561,720.6506,536.5037,481.4626,435.4572,165.1274
Cer-AP(t14:2/31:1)+HCO2,764.6404,718.6349,534.4881,479.447,433.4415,165.1274
Cer-AP(t14:2/32:0)+HCO2,780.6718,734.6663,550.5194,495.4783,449.4728,165.1274
Cer-AP(t14:2/32:1)+HCO2,778.6561,732.6506,548.5037,493.4626,447.4572,165.1274
Cer-AP(t14:2/32:2)+HCO2,776.6404,730.6349,546.4881,491.447,445.4415,165.1274
Cer-AP(t14:2/33:0)+HCO2,794.6874,748.6819,564.535,509.4939,463.4884,165.1274
Cer-AP(t14:2/33:1)+HCO2,792.6718,746.6663,562.5194,507.4783,461.4728,165.1274
Cer-AP(t14:2/34:0)+HCO2,808.703,762.6976,578.5507,523.5096,477.5041,165.1274
Cer-AP(t14:2/34:1)+HCO2,806.6874,760.6819,576.535,521.494,475.4884,165.1274
Cer-AP(t14:2/34:2)+HCO2,804.6718,758.6663,574.5194,519.4783,473.4728,165.1274
Cer-AP(t14:2/35:0)+HCO2,822.7187,776.7132,592.5663,537.5252,491.5197,165.1274
Cer-AP(t14:2/35:1)+HCO2,820.703,774.6976,590.5507,535.5096,489.5041,165.1274
Cer-AP(t14:2/36:0)+HCO2,836.7343,790.7289,606.582,551.5409,505.5354,165.1274
Cer-AP(t14:2/36:1)+HCO2,834.7187,788.7132,604.5663,549.5252,503.5197,165.1274
Cer-AP(t14:2/36:2)+HCO2,832.703,786.6976,602.5507,547.5096,501.5041,165.1274
Cer-AP(t14:2/38:0)+HCO2,864.7656,818.7601,634.6133,579.5722,533.5667,165.1274
Cer-AP(t14:2/38:1)+HCO2,862.75,816.7445,632.5977,577.5565,531.551,165.1274
Cer-AP(t14:2/38:2)+HCO2,860.7343,814.7289,630.582,575.5409,529.5354,165.1274
Cer-AP(t14:2/40:0)+HCO2,892.7969,846.7914,662.6446,607.6035,561.598,165.1274
Cer-AP(t14:2/40:1)+HCO2,890.7813,844.7758,660.629,605.5878,559.5823,165.1274
Cer-AP(t14:2/40:2)+HCO2,888.7656,842.7601,658.6133,603.5722,557.5667,165.1274
Cer-AP(t14:2/42:0)+HCO2,920.8282,874.8228,690.6759,635.6348,589.6293,165.1274
Cer-AP(t14:2/42:1)+HCO2,918.8126,872.8071,688.6602,633.6191,587.6136,165.1274
Cer-AP(t14:2/42:2)+HCO2,916.7969,870.7914,686.6446,631.6035,585.598,165.1274
Cer-AP(t15:0/12:0)+HCO2,518.4057,472.4002,270.2064,215.1653,169.1598,183.1743
Cer-AP(t15:0/12:1)+HCO2,516.39,470.3846,268.1907,213.1496,167.1441,183.1743
Cer-AP(t15:0/13:0)+HCO2,532.4213,486.4159,284.222,229.1809,183.1754,183.1743
Cer-AP(t15:0/13:1)+HCO2,530.4057,484.4002,282.2064,227.1653,181.1598,183.1743
Cer-AP(t15:0/14:0)+HCO2,546.437,500.4315,298.2377,243.1966,197.1911,183.1743
Cer-AP(t15:0/14:1)+HCO2,544.4213,498.4159,296.222,241.1809,195.1754,183.1743
Cer-AP(t15:0/15:0)+HCO2,560.4526,514.4471,312.2533,257.2122,211.2067,183.1743
Cer-AP(t15:0/15:1)+HCO2,558.437,512.4315,310.2377,255.1966,209.1911,183.1743
Cer-AP(t15:0/16:0)+HCO2,574.4683,528.4628,326.269,271.2279,225.2224,183.1743
Cer-AP(t15:0/16:1)+HCO2,572.4526,526.4471,324.2533,269.2122,223.2067,183.1743
Cer-AP(t15:0/16:2)+HCO2,570.437,524.4315,322.2377,267.1966,221.1911,183.1743
Cer-AP(t15:0/17:0)+HCO2,588.4839,542.4785,340.2846,285.2435,239.238,183.1743
Cer-AP(t15:0/18:0)+HCO2,602.4996,556.4941,354.3003,299.2592,253.2537,183.1743
Cer-AP(t15:0/18:1)+HCO2,600.4839,554.4785,352.2846,297.2435,251.238,183.1743
Cer-AP(t15:0/18:2)+HCO2,598.4683,552.4628,350.269,295.2279,249.2224,183.1743
Cer-AP(t15:0/19:0)+HCO2,616.5153,570.5098,368.3159,313.2748,267.2693,183.1743
Cer-AP(t15:0/19:1)+HCO2,614.4996,568.4941,366.3003,311.2592,265.2537,183.1743
Cer-AP(t15:0/20:0)+HCO2,630.5309,584.5254,382.3316,327.2905,281.285,183.1743
Cer-AP(t15:0/20:1)+HCO2,628.5153,582.5098,380.3159,325.2748,279.2693,183.1743
Cer-AP(t15:0/20:2)+HCO2,626.4996,580.4941,378.3003,323.2592,277.2537,183.1743
Cer-AP(t15:0/21:0)+HCO2,644.5465,598.5411,396.3472,341.3061,295.3006,183.1743
Cer-AP(t15:0/21:1)+HCO2,642.5309,596.5254,394.3316,339.2905,293.285,183.1743
