DGTS,[M+H]+,[M-H20]+,[M-(C3H9N-CHCOOH-CH2)]+,[M-(C3H9N-CHCOOH)]+,SN1 acyl loss,SN2 acyl loss,M-H2O SN1 loss ,M-H2O SN2 loss ,C10H21NO5H (236.14),C3H9N-CHCOOH-CH2-CH (144.1),C3H9N+ (59)
DGTS(10:0_22:5)+H,702.53037,684.51981,571.43575,585.4514,548.39467,390.28507,530.38411,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_22:6)+H,700.51467,682.50411,569.42005,583.4357,546.37897,390.28507,528.36841,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_23:0)+H,726.62427,708.61371,595.52965,609.5453,572.48857,390.28507,554.47801,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_24:0)+H,740.63987,722.62931,609.54525,623.5609,586.50417,390.28507,568.49361,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_24:1)+H,738.62427,720.61371,607.52965,621.5453,584.48857,390.28507,566.47801,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_25:0)+H,754.65557,736.64501,623.56095,637.5766,600.51987,390.28507,582.50931,372.27451,236.1492402,144.1018984,59.0729454
DGTS(10:0_26:0)+H,768.67117,750.66061,637.57655,651.5922,614.53547,390.28507,596.52491,372.27451,236.1492402,144.1018984,59.0729454
DGTS(12:0_12:0)+H,600.48337,582.47281,469.38875,483.4044,418.31637,418.31637,400.30581,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_13:0)+H,614.49907,596.48851,483.40445,497.4201,432.33207,418.31637,414.32151,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_14:0)+H,628.51467,610.50411,497.42005,511.4357,446.34767,418.31637,428.33711,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_14:1)+H,626.49907,608.48851,495.40445,509.4201,444.33207,418.31637,426.32151,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_15:0)+H,642.53037,624.51981,511.43575,525.4514,460.36337,418.31637,442.35281,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_15:1)+H,640.51467,622.50411,509.42005,523.4357,458.34767,418.31637,440.33711,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_16:0)+H,656.54597,638.53541,525.45135,539.467,474.37897,418.31637,456.36841,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_16:1)+H,654.53037,636.51981,523.43575,537.4514,472.36337,418.31637,454.35281,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_17:0)+H,670.56167,652.55111,539.46705,553.4827,488.39467,418.31637,470.38411,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_17:1)+H,668.54597,650.53541,537.45135,551.467,486.37897,418.31637,468.36841,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_17:2)+H,666.53037,648.51981,535.43575,549.4514,484.36337,418.31637,466.35281,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_18:0)+H,684.57727,666.56671,553.48265,567.4983,502.41027,418.31637,484.39971,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_18:1)+H,682.56167,664.55111,551.46705,565.4827,500.39467,418.31637,482.38411,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_18:2)+H,680.54597,662.53541,549.45135,563.467,498.37897,418.31637,480.36841,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_18:3)+H,678.53037,660.51981,547.43575,561.4514,496.36337,418.31637,478.35281,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_18:4)+H,676.51467,658.50411,545.42005,559.4357,494.34767,418.31637,476.33711,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_19:0)+H,698.59297,680.58241,567.49835,581.514,516.42597,418.31637,498.41541,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_20:0)+H,712.60857,694.59801,581.51395,595.5296,530.44157,418.31637,512.43101,400.30581,236.1492402,144.1018984,59.0729454
DGTS(12:0_20:1)+H,710.59297,692.58241,579.49835,593.514,528.42597,418.31637,510.41541,400.30581,236.1492402,144.1018984,59.0729454
