HexHexCer-NS,[M+C2H3O2]-,[M-H]-,[M-C6H10O5-H]-,[FAA+C2H3-H]-,[FAA-OH-H]-,[Sph-C2H7NO-H]-,[C6H11O6]-
HexCer-NS(d16:3/24:1)+C2H3O2,836.6252,776.6041,614.5512,390.3736,347.3557,205.1598,179.0556
HexCer-NS(d16:3/24:2)+C2H3O2,834.6096,774.5884,612.5356,388.3579,345.3401,205.1598,179.0556
HexCer-NS(d16:3/25:0)+C2H3O2,852.6565,792.6354,630.5825,406.4049,363.3871,205.1598,179.0556
HexCer-NS(d16:3/25:1)+C2H3O2,850.6408,790.6197,628.5669,404.3893,361.3714,205.1598,179.0556
HexCer-NS(d16:3/26:0)+C2H3O2,866.6721,806.651,644.5981,420.4206,377.4027,205.1598,179.0556
HexCer-NS(d16:3/26:1)+C2H3O2,864.6565,804.6354,642.5825,418.4049,375.3871,205.1598,179.0556
HexCer-NS(d16:3/26:2)+C2H3O2,862.6408,802.6197,640.5669,416.3893,373.3714,205.1598,179.0556
HexCer-NS(d16:3/27:0)+C2H3O2,880.6878,820.6666,658.6138,434.4362,391.4183,205.1598,179.0556
HexCer-NS(d16:3/27:1)+C2H3O2,878.6721,818.651,656.5981,432.4206,389.4027,205.1598,179.0556
HexCer-NS(d16:3/28:0)+C2H3O2,894.7034,834.6823,672.6295,448.4518,405.434,205.1598,179.0556
HexCer-NS(d16:3/28:1)+C2H3O2,892.6878,832.6666,670.6138,446.4362,403.4183,205.1598,179.0556
HexCer-NS(d16:3/28:2)+C2H3O2,890.6721,830.651,668.5981,444.4206,401.4027,205.1598,179.0556
HexCer-NS(d16:3/29:0)+C2H3O2,908.7191,848.6979,686.6451,462.4675,419.4496,205.1598,179.0556
HexCer-NS(d16:3/29:1)+C2H3O2,906.7034,846.6823,684.6295,460.4518,417.434,205.1598,179.0556
HexCer-NS(d16:3/30:0)+C2H3O2,922.7347,862.7136,700.6608,476.4832,433.4653,205.1598,179.0556
HexCer-NS(d16:3/30:1)+C2H3O2,920.7191,860.6979,698.6451,474.4675,431.4496,205.1598,179.0556
HexCer-NS(d16:3/30:2)+C2H3O2,918.7034,858.6823,696.6295,472.4518,429.434,205.1598,179.0556
HexCer-NS(d16:3/31:0)+C2H3O2,936.7504,876.7292,714.6764,490.4988,447.481,205.1598,179.0556
HexCer-NS(d16:3/31:1)+C2H3O2,934.7347,874.7136,712.6608,488.4832,445.4653,205.1598,179.0556
HexCer-NS(d16:3/32:0)+C2H3O2,950.7661,890.7449,728.6921,504.5144,461.4966,205.1598,179.0556
HexCer-NS(d16:3/32:1)+C2H3O2,948.7504,888.7292,726.6764,502.4988,459.481,205.1598,179.0556
HexCer-NS(d16:3/32:2)+C2H3O2,946.7347,886.7136,724.6608,500.4832,457.4653,205.1598,179.0556
HexCer-NS(d16:3/33:0)+C2H3O2,964.7817,904.7606,742.7077,518.5301,475.5122,205.1598,179.0556
HexCer-NS(d16:3/33:1)+C2H3O2,962.7661,902.7449,740.6921,516.5145,473.4966,205.1598,179.0556
HexCer-NS(d16:3/34:0)+C2H3O2,978.7973,918.7762,756.7234,532.5458,489.5279,205.1598,179.0556
HexCer-NS(d16:3/34:1)+C2H3O2,976.7817,916.7606,754.7077,530.5301,487.5122,205.1598,179.0556
HexCer-NS(d16:3/34:2)+C2H3O2,974.7661,914.7449,752.6921,528.5145,485.4966,205.1598,179.0556
HexCer-NS(d16:3/35:0)+C2H3O2,992.813,932.7919,770.739,546.5614,503.5435,205.1598,179.0556
HexCer-NS(d16:3/35:1)+C2H3O2,990.7973,930.7762,768.7234,544.5458,501.5279,205.1598,179.0556
HexCer-NS(d16:3/36:0)+C2H3O2,1006.829,946.8075,784.7547,560.577,517.5592,205.1598,179.0556
HexCer-NS(d16:3/36:1)+C2H3O2,1004.813,944.7919,782.739,558.5614,515.5436,205.1598,179.0556
HexCer-NS(d16:3/36:2)+C2H3O2,1002.797,942.7762,780.7234,556.5458,513.5279,205.1598,179.0556
HexCer-NS(d16:3/38:0)+C2H3O2,1034.86,974.8388,812.7859,588.6083,545.5905,205.1598,179.0556
HexCer-NS(d16:3/38:1)+C2H3O2,1032.844,972.8231,810.7703,586.5927,543.5748,205.1598,179.0556
HexCer-NS(d16:3/38:2)+C2H3O2,1030.829,970.8075,808.7547,584.577,541.5592,205.1598,179.0556
HexCer-NS(d16:3/40:0)+C2H3O2,1062.891,1002.87,840.8173,616.6396,573.6218,205.1598,179.0556
HexCer-NS(d16:3/40:1)+C2H3O2,1060.876,1000.854,838.8016,614.624,571.6061,205.1598,179.0556
HexCer-NS(d16:3/40:2)+C2H3O2,1058.86,998.8388,836.7859,612.6083,569.5905,205.1598,179.0556
HexCer-NS(d16:3/42:0)+C2H3O2,1090.922,1030.901,868.8486,644.671,601.6531,205.1598,179.0556
HexCer-NS(d16:3/42:1)+C2H3O2,1088.907,1028.886,866.8329,642.6553,599.6375,205.1598,179.0556
HexCer-NS(d16:3/42:2)+C2H3O2,1086.891,1026.87,864.8173,640.6396,597.6218,205.1598,179.0556
HexCer-NS(d17:1/12:0)+C2H3O2,688.5,628.4788,466.426,224.2014,181.1836,223.2067,179.0556
HexCer-NS(d17:1/12:1)+C2H3O2,686.4843,626.4632,464.4104,222.1858,179.168,223.2067,179.0556
HexCer-NS(d17:1/13:0)+C2H3O2,702.5156,642.4945,480.4417,238.2171,195.1992,223.2067,179.0556
HexCer-NS(d17:1/13:1)+C2H3O2,700.5,640.4788,478.426,236.2014,193.1836,223.2067,179.0556
HexCer-NS(d17:1/14:0)+C2H3O2,716.5313,656.5101,494.4573,252.2328,209.2149,223.2067,179.0556
HexCer-NS(d17:1/14:1)+C2H3O2,714.5156,654.4945,492.4417,250.2171,207.1992,223.2067,179.0556
HexCer-NS(d17:1/15:0)+C2H3O2,730.5469,670.5258,508.473,266.2484,223.2305,223.2067,179.0556
HexCer-NS(d17:1/15:1)+C2H3O2,728.5313,668.5101,506.4573,264.2328,221.2149,223.2067,179.0556
HexCer-NS(d17:1/16:0)+C2H3O2,744.5626,684.5414,522.4886,280.264,237.2462,223.2067,179.0556
HexCer-NS(d17:1/16:1)+C2H3O2,742.5469,682.5258,520.473,278.2484,235.2305,223.2067,179.0556
HexCer-NS(d17:1/16:2)+C2H3O2,740.5313,680.5101,518.4573,276.2328,233.2149,223.2067,179.0556
HexCer-NS(d17:1/17:0)+C2H3O2,758.5782,698.5571,536.5043,294.2797,251.2619,223.2067,179.0556
HexCer-NS(d17:1/18:0)+C2H3O2,772.5939,712.5728,550.5199,308.2953,265.2775,223.2067,179.0556
HexCer-NS(d17:1/18:1)+C2H3O2,770.5782,710.5571,548.5043,306.2797,263.2618,223.2067,179.0556
HexCer-NS(d17:1/18:2)+C2H3O2,768.5626,708.5414,546.4886,304.264,261.2462,223.2067,179.0556
HexCer-NS(d17:1/19:0)+C2H3O2,786.6096,726.5884,564.5356,322.311,279.2932,223.2067,179.0556
HexCer-NS(d17:1/19:1)+C2H3O2,784.5939,724.5728,562.5199,320.2953,277.2775,223.2067,179.0556
HexCer-NS(d17:1/20:0)+C2H3O2,800.6252,740.6041,578.5512,336.3267,293.3088,223.2067,179.0556
HexCer-NS(d17:1/20:1)+C2H3O2,798.6096,738.5884,576.5356,334.311,291.2932,223.2067,179.0556
HexCer-NS(d17:1/20:2)+C2H3O2,796.5939,736.5728,574.5199,332.2953,289.2775,223.2067,179.0556
HexCer-NS(d17:1/21:0)+C2H3O2,814.6408,754.6197,592.5669,350.3423,307.3245,223.2067,179.0556
HexCer-NS(d17:1/21:1)+C2H3O2,812.6252,752.6041,590.5512,348.3267,305.3088,223.2067,179.0556
HexCer-NS(d17:1/22:0)+C2H3O2,828.6565,768.6354,606.5825,364.3579,321.3401,223.2067,179.0556
HexCer-NS(d17:1/22:1)+C2H3O2,826.6408,766.6197,604.5669,362.3423,319.3245,223.2067,179.0556
HexCer-NS(d17:1/22:2)+C2H3O2,824.6252,764.6041,602.5512,360.3267,317.3088,223.2067,179.0556
HexCer-NS(d17:1/23:0)+C2H3O2,842.6721,782.651,620.5981,378.3736,335.3557,223.2067,179.0556
HexCer-NS(d17:1/23:1)+C2H3O2,840.6565,780.6354,618.5825,376.3579,333.3401,223.2067,179.0556
HexCer-NS(d17:1/24:0)+C2H3O2,856.6878,796.6666,634.6138,392.3893,349.3714,223.2067,179.0556
HexCer-NS(d17:1/24:1)+C2H3O2,854.6721,794.651,632.5981,390.3736,347.3557,223.2067,179.0556
HexCer-NS(d17:1/24:2)+C2H3O2,852.6565,792.6354,630.5825,388.3579,345.3401,223.2067,179.0556
HexCer-NS(d17:1/25:0)+C2H3O2,870.7034,810.6823,648.6295,406.4049,363.3871,223.2067,179.0556
HexCer-NS(d17:1/25:1)+C2H3O2,868.6878,808.6666,646.6138,404.3893,361.3714,223.2067,179.0556
HexCer-NS(d17:1/26:0)+C2H3O2,884.7191,824.6979,662.6451,420.4206,377.4027,223.2067,179.0556
HexCer-NS(d17:1/26:1)+C2H3O2,882.7034,822.6823,660.6295,418.4049,375.3871,223.2067,179.0556
HexCer-NS(d17:1/26:2)+C2H3O2,880.6878,820.6666,658.6138,416.3893,373.3714,223.2067,179.0556
HexCer-NS(d17:1/27:0)+C2H3O2,898.7347,838.7136,676.6608,434.4362,391.4183,223.2067,179.0556
HexCer-NS(d17:1/27:1)+C2H3O2,896.7191,836.6979,674.6451,432.4206,389.4027,223.2067,179.0556
HexCer-NS(d17:1/28:0)+C2H3O2,912.7504,852.7292,690.6764,448.4518,405.434,223.2067,179.0556
HexCer-NS(d17:1/28:1)+C2H3O2,910.7347,850.7136,688.6608,446.4362,403.4183,223.2067,179.0556
HexCer-NS(d17:1/28:2)+C2H3O2,908.7191,848.6979,686.6451,444.4206,401.4027,223.2067,179.0556
HexCer-NS(d17:1/29:0)+C2H3O2,926.7661,866.7449,704.6921,462.4675,419.4496,223.2067,179.0556
HexCer-NS(d17:1/29:1)+C2H3O2,924.7504,864.7292,702.6764,460.4518,417.434,223.2067,179.0556
HexCer-NS(d17:1/30:0)+C2H3O2,940.7817,880.7606,718.7077,476.4832,433.4653,223.2067,179.0556
HexCer-NS(d17:1/30:1)+C2H3O2,938.7661,878.7449,716.6921,474.4675,431.4496,223.2067,179.0556
HexCer-NS(d17:1/30:2)+C2H3O2,936.7504,876.7292,714.6764,472.4518,429.434,223.2067,179.0556
HexCer-NS(d17:1/31:0)+C2H3O2,954.7973,894.7762,732.7234,490.4988,447.481,223.2067,179.0556
HexCer-NS(d17:1/31:1)+C2H3O2,952.7817,892.7606,730.7077,488.4832,445.4653,223.2067,179.0556
HexCer-NS(d17:1/32:0)+C2H3O2,968.813,908.7919,746.739,504.5144,461.4966,223.2067,179.0556
HexCer-NS(d17:1/32:1)+C2H3O2,966.7973,906.7762,744.7234,502.4988,459.481,223.2067,179.0556
HexCer-NS(d17:1/32:2)+C2H3O2,964.7817,904.7606,742.7077,500.4832,457.4653,223.2067,179.0556
HexCer-NS(d17:1/33:0)+C2H3O2,982.8286,922.8075,760.7547,518.5301,475.5122,223.2067,179.0556
HexCer-NS(d17:1/33:1)+C2H3O2,980.813,920.7919,758.739,516.5145,473.4966,223.2067,179.0556
HexCer-NS(d17:1/34:0)+C2H3O2,996.8443,936.8231,774.7703,532.5458,489.5279,223.2067,179.0556
HexCer-NS(d17:1/34:1)+C2H3O2,994.8286,934.8075,772.7547,530.5301,487.5122,223.2067,179.0556
HexCer-NS(d17:1/34:2)+C2H3O2,992.813,932.7919,770.739,528.5145,485.4966,223.2067,179.0556
HexCer-NS(d17:1/35:0)+C2H3O2,1010.86,950.8388,788.7859,546.5614,503.5435,223.2067,179.0556
HexCer-NS(d17:1/35:1)+C2H3O2,1008.844,948.8231,786.7703,544.5458,501.5279,223.2067,179.0556
HexCer-NS(d17:1/36:0)+C2H3O2,1024.876,964.8544,802.8016,560.577,517.5592,223.2067,179.0556
HexCer-NS(d17:1/36:1)+C2H3O2,1022.86,962.8388,800.7859,558.5614,515.5436,223.2067,179.0556
HexCer-NS(d17:1/36:2)+C2H3O2,1020.844,960.8231,798.7703,556.5458,513.5279,223.2067,179.0556
HexCer-NS(d17:1/38:0)+C2H3O2,1052.907,992.8857,830.8329,588.6083,545.5905,223.2067,179.0556
HexCer-NS(d17:1/38:1)+C2H3O2,1050.891,990.8701,828.8173,586.5927,543.5748,223.2067,179.0556
HexCer-NS(d17:1/38:2)+C2H3O2,1048.876,988.8544,826.8016,584.577,541.5592,223.2067,179.0556
HexCer-NS(d17:1/40:0)+C2H3O2,1080.938,1020.917,858.8642,616.6396,573.6218,223.2067,179.0556
HexCer-NS(d17:1/40:1)+C2H3O2,1078.922,1018.901,856.8486,614.624,571.6061,223.2067,179.0556
HexCer-NS(d17:1/40:2)+C2H3O2,1076.907,1016.886,854.8329,612.6083,569.5905,223.2067,179.0556
HexCer-NS(d17:1/42:0)+C2H3O2,1108.969,1048.948,886.8955,644.671,601.6531,223.2067,179.0556
HexCer-NS(d17:1/42:1)+C2H3O2,1106.954,1046.933,884.8799,642.6553,599.6375,223.2067,179.0556
HexCer-NS(d17:1/42:2)+C2H3O2,1104.938,1044.917,882.8642,640.6396,597.6218,223.2067,179.0556
HexCer-NS(d17:2/12:0)+C2H3O2,686.4843,626.4632,464.4104,224.2014,181.1836,221.1911,179.0556
HexCer-NS(d17:2/12:1)+C2H3O2,684.4687,624.4476,462.3947,222.1858,179.168,221.1911,179.0556
HexCer-NS(d17:2/13:0)+C2H3O2,700.5,640.4788,478.426,238.2171,195.1992,221.1911,179.0556
HexCer-NS(d17:2/13:1)+C2H3O2,698.4843,638.4632,476.4104,236.2014,193.1836,221.1911,179.0556
HexCer-NS(d17:2/14:0)+C2H3O2,714.5156,654.4945,492.4417,252.2328,209.2149,221.1911,179.0556
HexCer-NS(d17:2/14:1)+C2H3O2,712.5,652.4788,490.426,250.2171,207.1992,221.1911,179.0556
HexCer-NS(d17:2/15:0)+C2H3O2,728.5313,668.5101,506.4573,266.2484,223.2305,221.1911,179.0556
HexCer-NS(d17:2/15:1)+C2H3O2,726.5156,666.4945,504.4417,264.2328,221.2149,221.1911,179.0556
HexCer-NS(d17:2/16:0)+C2H3O2,742.5469,682.5258,520.473,280.264,237.2462,221.1911,179.0556
HexCer-NS(d17:2/16:1)+C2H3O2,740.5313,680.5101,518.4573,278.2484,235.2305,221.1911,179.0556
HexCer-NS(d17:2/16:2)+C2H3O2,738.5156,678.4945,516.4417,276.2328,233.2149,221.1911,179.0556
HexCer-NS(d17:2/17:0)+C2H3O2,756.5626,696.5414,534.4886,294.2797,251.2619,221.1911,179.0556
HexCer-NS(d17:2/18:0)+C2H3O2,770.5782,710.5571,548.5043,308.2953,265.2775,221.1911,179.0556
HexCer-NS(d17:2/18:1)+C2H3O2,768.5626,708.5414,546.4886,306.2797,263.2618,221.1911,179.0556
HexCer-NS(d17:2/18:2)+C2H3O2,766.5469,706.5258,544.473,304.264,261.2462,221.1911,179.0556
HexCer-NS(d17:2/19:0)+C2H3O2,784.5939,724.5728,562.5199,322.311,279.2932,221.1911,179.0556
HexCer-NS(d17:2/19:1)+C2H3O2,782.5782,722.5571,560.5043,320.2953,277.2775,221.1911,179.0556
HexCer-NS(d17:2/20:0)+C2H3O2,798.6096,738.5884,576.5356,336.3267,293.3088,221.1911,179.0556
HexCer-NS(d17:2/20:1)+C2H3O2,796.5939,736.5728,574.5199,334.311,291.2932,221.1911,179.0556
HexCer-NS(d17:2/20:2)+C2H3O2,794.5782,734.5571,572.5043,332.2953,289.2775,221.1911,179.0556
HexCer-NS(d17:2/21:0)+C2H3O2,812.6252,752.6041,590.5512,350.3423,307.3245,221.1911,179.0556
HexCer-NS(d17:2/21:1)+C2H3O2,810.6096,750.5884,588.5356,348.3267,305.3088,221.1911,179.0556
HexCer-NS(d17:2/22:0)+C2H3O2,826.6408,766.6197,604.5669,364.3579,321.3401,221.1911,179.0556
HexCer-NS(d17:2/22:1)+C2H3O2,824.6252,764.6041,602.5512,362.3423,319.3245,221.1911,179.0556
HexCer-NS(d17:2/22:2)+C2H3O2,822.6096,762.5884,600.5356,360.3267,317.3088,221.1911,179.0556
HexCer-NS(d17:2/23:0)+C2H3O2,840.6565,780.6354,618.5825,378.3736,335.3557,221.1911,179.0556
HexCer-NS(d17:2/23:1)+C2H3O2,838.6408,778.6197,616.5669,376.3579,333.3401,221.1911,179.0556
HexCer-NS(d17:2/24:0)+C2H3O2,854.6721,794.651,632.5981,392.3893,349.3714,221.1911,179.0556
HexCer-NS(d17:2/24:1)+C2H3O2,852.6565,792.6354,630.5825,390.3736,347.3557,221.1911,179.0556
HexCer-NS(d17:2/24:2)+C2H3O2,850.6408,790.6197,628.5669,388.3579,345.3401,221.1911,179.0556
HexCer-NS(d17:2/25:0)+C2H3O2,868.6878,808.6666,646.6138,406.4049,363.3871,221.1911,179.0556
HexCer-NS(d17:2/25:1)+C2H3O2,866.6721,806.651,644.5981,404.3893,361.3714,221.1911,179.0556
HexCer-NS(d17:2/26:0)+C2H3O2,882.7034,822.6823,660.6295,420.4206,377.4027,221.1911,179.0556
HexCer-NS(d17:2/26:1)+C2H3O2,880.6878,820.6666,658.6138,418.4049,375.3871,221.1911,179.0556
HexCer-NS(d17:2/26:2)+C2H3O2,878.6721,818.651,656.5981,416.3893,373.3714,221.1911,179.0556
HexCer-NS(d17:2/27:0)+C2H3O2,896.7191,836.6979,674.6451,434.4362,391.4183,221.1911,179.0556
HexCer-NS(d17:2/27:1)+C2H3O2,894.7034,834.6823,672.6295,432.4206,389.4027,221.1911,179.0556
HexCer-NS(d17:2/28:0)+C2H3O2,910.7347,850.7136,688.6608,448.4518,405.434,221.1911,179.0556
HexCer-NS(d17:2/28:1)+C2H3O2,908.7191,848.6979,686.6451,446.4362,403.4183,221.1911,179.0556
HexCer-NS(d17:2/28:2)+C2H3O2,906.7034,846.6823,684.6295,444.4206,401.4027,221.1911,179.0556
HexCer-NS(d17:2/29:0)+C2H3O2,924.7504,864.7292,702.6764,462.4675,419.4496,221.1911,179.0556
HexCer-NS(d17:2/29:1)+C2H3O2,922.7347,862.7136,700.6608,460.4518,417.434,221.1911,179.0556
HexCer-NS(d17:2/30:0)+C2H3O2,938.7661,878.7449,716.6921,476.4832,433.4653,221.1911,179.0556
HexCer-NS(d17:2/30:1)+C2H3O2,936.7504,876.7292,714.6764,474.4675,431.4496,221.1911,179.0556
HexCer-NS(d17:2/30:2)+C2H3O2,934.7347,874.7136,712.6608,472.4518,429.434,221.1911,179.0556
HexCer-NS(d17:2/31:0)+C2H3O2,952.7817,892.7606,730.7077,490.4988,447.481,221.1911,179.0556
HexCer-NS(d17:2/31:1)+C2H3O2,950.7661,890.7449,728.6921,488.4832,445.4653,221.1911,179.0556
HexCer-NS(d17:2/32:0)+C2H3O2,966.7973,906.7762,744.7234,504.5144,461.4966,221.1911,179.0556
HexCer-NS(d17:2/32:1)+C2H3O2,964.7817,904.7606,742.7077,502.4988,459.481,221.1911,179.0556
HexCer-NS(d17:2/32:2)+C2H3O2,962.7661,902.7449,740.6921,500.4832,457.4653,221.1911,179.0556
HexCer-NS(d17:2/33:0)+C2H3O2,980.813,920.7919,758.739,518.5301,475.5122,221.1911,179.0556
HexCer-NS(d17:2/33:1)+C2H3O2,978.7973,918.7762,756.7234,516.5145,473.4966,221.1911,179.0556
HexCer-NS(d17:2/34:0)+C2H3O2,994.8286,934.8075,772.7547,532.5458,489.5279,221.1911,179.0556
HexCer-NS(d17:2/34:1)+C2H3O2,992.813,932.7919,770.739,530.5301,487.5122,221.1911,179.0556
HexCer-NS(d17:2/34:2)+C2H3O2,990.7973,930.7762,768.7234,528.5145,485.4966,221.1911,179.0556
HexCer-NS(d17:2/35:0)+C2H3O2,1008.844,948.8231,786.7703,546.5614,503.5435,221.1911,179.0556
HexCer-NS(d17:2/35:1)+C2H3O2,1006.829,946.8075,784.7547,544.5458,501.5279,221.1911,179.0556
HexCer-NS(d17:2/36:0)+C2H3O2,1022.86,962.8388,800.7859,560.577,517.5592,221.1911,179.0556
HexCer-NS(d17:2/36:1)+C2H3O2,1020.844,960.8231,798.7703,558.5614,515.5436,221.1911,179.0556
HexCer-NS(d17:2/36:2)+C2H3O2,1018.829,958.8075,796.7547,556.5458,513.5279,221.1911,179.0556
HexCer-NS(d17:2/38:0)+C2H3O2,1050.891,990.8701,828.8173,588.6083,545.5905,221.1911,179.0556
HexCer-NS(d17:2/38:1)+C2H3O2,1048.876,988.8544,826.8016,586.5927,543.5748,221.1911,179.0556
HexCer-NS(d17:2/38:2)+C2H3O2,1046.86,986.8388,824.7859,584.577,541.5592,221.1911,179.0556
HexCer-NS(d17:2/40:0)+C2H3O2,1078.922,1018.901,856.8486,616.6396,573.6218,221.1911,179.0556
HexCer-NS(d17:2/40:1)+C2H3O2,1076.907,1016.886,854.8329,614.624,571.6061,221.1911,179.0556
HexCer-NS(d17:2/40:2)+C2H3O2,1074.891,1014.87,852.8173,612.6083,569.5905,221.1911,179.0556
HexCer-NS(d17:2/42:0)+C2H3O2,1106.954,1046.933,884.8799,644.671,601.6531,221.1911,179.0556
HexCer-NS(d17:2/42:1)+C2H3O2,1104.938,1044.917,882.8642,642.6553,599.6375,221.1911,179.0556
HexCer-NS(d17:2/42:2)+C2H3O2,1102.922,1042.901,880.8486,640.6396,597.6218,221.1911,179.0556
HexCer-NS(d17:3/12:0)+C2H3O2,684.4687,624.4476,462.3947,224.2014,181.1836,219.1754,179.0556
HexCer-NS(d17:3/12:1)+C2H3O2,682.453,622.4319,460.3791,222.1858,179.168,219.1754,179.0556
HexCer-NS(d17:3/13:0)+C2H3O2,698.4843,638.4632,476.4104,238.2171,195.1992,219.1754,179.0556
HexCer-NS(d17:3/13:1)+C2H3O2,696.4687,636.4476,474.3947,236.2014,193.1836,219.1754,179.0556
HexCer-NS(d17:3/14:0)+C2H3O2,712.5,652.4788,490.426,252.2328,209.2149,219.1754,179.0556
HexCer-NS(d17:3/14:1)+C2H3O2,710.4843,650.4632,488.4104,250.2171,207.1992,219.1754,179.0556
HexCer-NS(d17:3/15:0)+C2H3O2,726.5156,666.4945,504.4417,266.2484,223.2305,219.1754,179.0556
HexCer-NS(d17:3/15:1)+C2H3O2,724.5,664.4788,502.426,264.2328,221.2149,219.1754,179.0556
HexCer-NS(d17:3/16:0)+C2H3O2,740.5313,680.5101,518.4573,280.264,237.2462,219.1754,179.0556
HexCer-NS(d17:3/16:1)+C2H3O2,738.5156,678.4945,516.4417,278.2484,235.2305,219.1754,179.0556
HexCer-NS(d17:3/16:2)+C2H3O2,736.5,676.4788,514.426,276.2328,233.2149,219.1754,179.0556
HexCer-NS(d17:3/17:0)+C2H3O2,754.5469,694.5258,532.473,294.2797,251.2619,219.1754,179.0556
HexCer-NS(d17:3/18:0)+C2H3O2,768.5626,708.5414,546.4886,308.2953,265.2775,219.1754,179.0556
HexCer-NS(d17:3/18:1)+C2H3O2,766.5469,706.5258,544.473,306.2797,263.2618,219.1754,179.0556
HexCer-NS(d17:3/18:2)+C2H3O2,764.5313,704.5101,542.4573,304.264,261.2462,219.1754,179.0556
HexCer-NS(d17:3/19:0)+C2H3O2,782.5782,722.5571,560.5043,322.311,279.2932,219.1754,179.0556
HexCer-NS(d17:3/19:1)+C2H3O2,780.5626,720.5414,558.4886,320.2953,277.2775,219.1754,179.0556
HexCer-NS(d17:3/20:0)+C2H3O2,796.5939,736.5728,574.5199,336.3267,293.3088,219.1754,179.0556
HexCer-NS(d17:3/20:1)+C2H3O2,794.5782,734.5571,572.5043,334.311,291.2932,219.1754,179.0556
HexCer-NS(d17:3/20:2)+C2H3O2,792.5626,732.5414,570.4886,332.2953,289.2775,219.1754,179.0556
HexCer-NS(d17:3/21:0)+C2H3O2,810.6096,750.5884,588.5356,350.3423,307.3245,219.1754,179.0556
HexCer-NS(d17:3/21:1)+C2H3O2,808.5939,748.5728,586.5199,348.3267,305.3088,219.1754,179.0556
HexCer-NS(d17:3/22:0)+C2H3O2,824.6252,764.6041,602.5512,364.3579,321.3401,219.1754,179.0556
HexCer-NS(d17:3/22:1)+C2H3O2,822.6096,762.5884,600.5356,362.3423,319.3245,219.1754,179.0556
HexCer-NS(d17:3/22:2)+C2H3O2,820.5939,760.5728,598.5199,360.3267,317.3088,219.1754,179.0556
HexCer-NS(d17:3/23:0)+C2H3O2,838.6408,778.6197,616.5669,378.3736,335.3557,219.1754,179.0556
HexCer-NS(d17:3/23:1)+C2H3O2,836.6252,776.6041,614.5512,376.3579,333.3401,219.1754,179.0556
HexCer-NS(d17:3/24:0)+C2H3O2,852.6565,792.6354,630.5825,392.3893,349.3714,219.1754,179.0556
HexCer-NS(d17:3/24:1)+C2H3O2,850.6408,790.6197,628.5669,390.3736,347.3557,219.1754,179.0556
HexCer-NS(d17:3/24:2)+C2H3O2,848.6252,788.6041,626.5512,388.3579,345.3401,219.1754,179.0556
HexCer-NS(d17:3/25:0)+C2H3O2,866.6721,806.651,644.5981,406.4049,363.3871,219.1754,179.0556
HexCer-NS(d17:3/25:1)+C2H3O2,864.6565,804.6354,642.5825,404.3893,361.3714,219.1754,179.0556
HexCer-NS(d17:3/26:0)+C2H3O2,880.6878,820.6666,658.6138,420.4206,377.4027,219.1754,179.0556
HexCer-NS(d17:3/26:1)+C2H3O2,878.6721,818.651,656.5981,418.4049,375.3871,219.1754,179.0556
HexCer-NS(d17:3/26:2)+C2H3O2,876.6565,816.6354,654.5825,416.3893,373.3714,219.1754,179.0556
HexCer-NS(d17:3/27:0)+C2H3O2,894.7034,834.6823,672.6295,434.4362,391.4183,219.1754,179.0556
HexCer-NS(d17:3/27:1)+C2H3O2,892.6878,832.6666,670.6138,432.4206,389.4027,219.1754,179.0556
HexCer-NS(d17:3/28:0)+C2H3O2,908.7191,848.6979,686.6451,448.4518,405.434,219.1754,179.0556
HexCer-NS(d17:3/28:1)+C2H3O2,906.7034,846.6823,684.6295,446.4362,403.4183,219.1754,179.0556
HexCer-NS(d17:3/28:2)+C2H3O2,904.6878,844.6666,682.6138,444.4206,401.4027,219.1754,179.0556
HexCer-NS(d17:3/29:0)+C2H3O2,922.7347,862.7136,700.6608,462.4675,419.4496,219.1754,179.0556
HexCer-NS(d17:3/29:1)+C2H3O2,920.7191,860.6979,698.6451,460.4518,417.434,219.1754,179.0556
HexCer-NS(d17:3/30:0)+C2H3O2,936.7504,876.7292,714.6764,476.4832,433.4653,219.1754,179.0556
HexCer-NS(d17:3/30:1)+C2H3O2,934.7347,874.7136,712.6608,474.4675,431.4496,219.1754,179.0556
HexCer-NS(d17:3/30:2)+C2H3O2,932.7191,872.6979,710.6451,472.4518,429.434,219.1754,179.0556
HexCer-NS(d17:3/31:0)+C2H3O2,950.7661,890.7449,728.6921,490.4988,447.481,219.1754,179.0556
HexCer-NS(d17:3/31:1)+C2H3O2,948.7504,888.7292,726.6764,488.4832,445.4653,219.1754,179.0556
HexCer-NS(d17:3/32:0)+C2H3O2,964.7817,904.7606,742.7077,504.5144,461.4966,219.1754,179.0556
HexCer-NS(d17:3/32:1)+C2H3O2,962.7661,902.7449,740.6921,502.4988,459.481,219.1754,179.0556
HexCer-NS(d17:3/32:2)+C2H3O2,960.7504,900.7292,738.6764,500.4832,457.4653,219.1754,179.0556
HexCer-NS(d17:3/33:0)+C2H3O2,978.7973,918.7762,756.7234,518.5301,475.5122,219.1754,179.0556
HexCer-NS(d17:3/33:1)+C2H3O2,976.7817,916.7606,754.7077,516.5145,473.4966,219.1754,179.0556
HexCer-NS(d17:3/34:0)+C2H3O2,992.813,932.7919,770.739,532.5458,489.5279,219.1754,179.0556
HexCer-NS(d17:3/34:1)+C2H3O2,990.7973,930.7762,768.7234,530.5301,487.5122,219.1754,179.0556
