OxLPC,[M+H]+,MH-PC,MH-Tail1+H2O,PC Head,exp1,exp2,exp3
OxLPC(13:2(COOH))+H,480.23576,297.16976,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(13:3(COOH))+H,478.22011,295.15411,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:1(COOH))+H,496.26706,313.20106,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:2(COOH))+H,494.25141,311.18541,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:3(COOH))+H,492.23576,309.16976,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:1(COOH))+H,510.28271,327.21671,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:2(COOH))+H,508.26706,325.20106,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:3(COOH))+H,506.25141,323.18541,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:4(COOH))+H,504.23576,321.16976,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:1(COOH))+H,524.29836,341.23236,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:2(COOH))+H,522.28271,339.21671,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:3(COOH))+H,520.26706,337.20106,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:4(COOH))+H,518.25141,335.18541,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:4(COOH))+H,532.26706,349.20106,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:4(COOH))+H,546.28271,363.21671,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:5(COOH))+H,544.26706,361.20106,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(19:4(COOH))+H,560.29836,377.23236,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(19:5(COOH))+H,558.28271,375.21671,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:4(Ke))+H,558.31908,375.25308,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:4(OOH))+H,576.32966,393.26366,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(20:4(OH))+H,560.33474,377.26874,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:2(OOH))+H,552.32966,369.26366,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:2(OH))+H,536.33474,353.26874,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(14:1(OH))+H,482.28782,299.22182,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(15:1(OH))+H,496.30342,313.23742,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(16:1(OH))+H,510.31912,327.25312,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:1(OH))+H,524.33472,341.26872,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(17:2(OH))+H,522.31912,339.25312,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:1(OH))+H,538.35042,355.28442,258.11015,184.07332,124.9994,104.1069,86.0963
OxLPC(18:3(OH))+H,534.31912,351.25312,258.11015,184.07332,124.9994,104.1069,86.0963
