DGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ 
DGDG(33:0)+NH4,924.66215,583.52965,565.51908
DGDG(33:1)+NH4,922.64652,581.51402,563.50345
DGDG(33:2)+NH4,920.63082,579.49832,561.48775
DGDG(33:3)+NH4,918.61522,577.48272,559.47215
DGDG(33:4)+NH4,916.59962,575.46712,557.45655
DGDG(33:5)+NH4,914.58392,573.45142,555.44085
DGDG(33:6)+NH4,912.56828,571.43578,553.42521
DGDG(34:0)+NH4,938.67782,597.54532,579.53475
DGDG(34:1)+NH4,936.66215,595.52965,577.51908
DGDG(34:2)+NH4,934.64652,593.51402,575.50345
DGDG(34:3)+NH4,932.63082,591.49832,573.48775
DGDG(34:4)+NH4,930.61522,589.48272,571.47215
DGDG(34:5)+NH4,928.59962,587.46712,569.45655
DGDG(34:6)+NH4,926.58392,585.45142,567.44085
DGDG(35:0)+NH4,952.69347,611.56097,593.5504
DGDG(35:1)+NH4,950.67782,609.54532,591.53475
DGDG(35:2)+NH4,948.66215,607.52965,589.51908
DGDG(35:3)+NH4,946.64652,605.51402,587.50345
DGDG(35:4)+NH4,944.63082,603.49832,585.48775
DGDG(35:5)+NH4,942.61522,601.48272,583.47215
DGDG(35:6)+NH4,940.59962,599.46712,581.45655
DGDG(36:0)+NH4,966.70912,625.57662,607.56605
DGDG(36:1)+NH4,964.69347,623.56097,605.5504
DGDG(36:2)+NH4,962.67782,621.54532,603.53475
DGDG(36:3)+NH4,960.66215,619.52965,601.51908
DGDG(36:4)+NH4,958.64652,617.51402,599.50345
DGDG(36:5)+NH4,956.63082,615.49832,597.48775
DGDG(36:6)+NH4,954.61522,613.48272,595.47215
DGDG(36:7)+NH4,952.59962,611.46712,593.45655
DGDG(36:8)+NH4,950.58392,609.45142,591.44085
DGDG(37:0)+NH4,980.72478,639.59228,621.58171
DGDG(37:1)+NH4,978.70912,637.57662,619.56605
DGDG(37:2)+NH4,976.69347,635.56097,617.5504
DGDG(37:3)+NH4,974.67782,633.54532,615.53475
DGDG(37:4)+NH4,972.66215,631.52965,613.51908
DGDG(37:5)+NH4,970.64652,629.51402,611.50345
DGDG(37:6)+NH4,968.63082,627.49832,609.48775
DGDG(37:7)+NH4,966.61522,625.48272,607.47215
DGDG(38:0)+NH4,994.74042,653.60792,635.59735
DGDG(38:1)+NH4,992.72478,651.59228,633.58171
DGDG(38:2)+NH4,990.70912,649.57662,631.56605
DGDG(38:3)+NH4,988.69347,647.56097,629.5504
DGDG(38:4)+NH4,986.67782,645.54532,627.53475
DGDG(38:5)+NH4,984.66215,643.52965,625.51908
DGDG(38:6)+NH4,982.64652,641.51402,623.50345
DGDG(38:7)+NH4,980.63082,639.49832,621.48775
DGDG(38:8)+NH4,978.61522,637.48272,619.47215
DGDG(38:9)+NH4,976.59962,635.46712,617.45655
DGDG(39:0)+NH4,1008.75609,667.62359,649.61302
DGDG(39:1)+NH4,1006.74042,665.60792,647.59735
DGDG(39:2)+NH4,1004.72478,663.59228,645.58171
DGDG(39:3)+NH4,1002.70912,661.57662,643.56605
DGDG(39:4)+NH4,1000.69347,659.56097,641.5504
DGDG(39:5)+NH4,998.67782,657.54532,639.53475
DGDG(39:6)+NH4,996.66215,655.52965,637.51908
DGDG(39:7)+NH4,994.64652,653.51402,635.50345
DGDG(39:8)+NH4,992.63082,651.49832,633.48775
DGDG(4:0)+NH4,518.20832,177.07582,159.06525
DGDG(40:0)+NH4,1022.77172,681.63922,663.62865
DGDG(40:1)+NH4,1020.75609,679.62359,661.61302
DGDG(40:10)+NH4,1002.61522,661.48272,643.47215
DGDG(40:2)+NH4,1018.74042,677.60792,659.59735
DGDG(40:3)+NH4,1016.72478,675.59228,657.58171
DGDG(40:4)+NH4,1014.70912,673.57662,655.56605
DGDG(40:5)+NH4,1012.69347,671.56097,653.5504
DGDG(40:6)+NH4,1010.67782,669.54532,651.53475
DGDG(40:7)+NH4,1008.66215,667.52965,649.51908
DGDG(40:8)+NH4,1006.64652,665.51402,647.50345
DGDG(40:9)+NH4,1004.63082,663.49832,645.48775
DGDG(41:0)+NH4,1036.78742,695.65492,677.64435
DGDG(41:1)+NH4,1034.77172,693.63922,675.62865
DGDG(41:2)+NH4,1032.75609,691.62359,673.61302
DGDG(41:3)+NH4,1030.74042,689.60792,671.59735
DGDG(41:4)+NH4,1028.72478,687.59228,669.58171
DGDG(41:5)+NH4,1026.70912,685.57662,667.56605
DGDG(41:6)+NH4,1024.69347,683.56097,665.5504
DGDG(42:0)+NH4,1050.80302,709.67052,691.65995
DGDG(42:1)+NH4,1048.78742,707.65492,689.64435
DGDG(42:10)+NH4,1030.64652,689.51402,671.50345
DGDG(42:11)+NH4,1028.63082,687.49832,669.48775
DGDG(42:2)+NH4,1046.77172,705.63922,687.62865
DGDG(42:3)+NH4,1044.75609,703.62359,685.61302
DGDG(42:4)+NH4,1042.74042,701.60792,683.59735
DGDG(42:5)+NH4,1040.72478,699.59228,681.58171
DGDG(42:6)+NH4,1038.70912,697.57662,679.56605
DGDG(42:7)+NH4,1036.69347,695.56097,677.5504
DGDG(42:8)+NH4,1034.67782,693.54532,675.53475
DGDG(42:9)+NH4,1032.66215,691.52965,673.51908
DGDG(43:0)+NH4,1064.81862,723.68612,705.67555
DGDG(43:1)+NH4,1062.80302,721.67052,703.65995
DGDG(43:2)+NH4,1060.78742,719.65492,701.64435
DGDG(43:3)+NH4,1058.77172,717.63922,699.62865
DGDG(43:4)+NH4,1056.75609,715.62359,697.61302
DGDG(43:5)+NH4,1054.74042,713.60792,695.59735
DGDG(43:6)+NH4,1052.72478,711.59228,693.58171
DGDG(44:0)+NH4,1078.83432,737.70182,719.69125
DGDG(44:1)+NH4,1076.81862,735.68612,717.67555
DGDG(44:10)+NH4,1058.67782,717.54532,699.53475
DGDG(44:11)+NH4,1056.66215,715.52965,697.51908
DGDG(44:12)+NH4,1054.64652,713.51402,695.50345
DGDG(44:2)+NH4,1074.80302,733.67052,715.65995
DGDG(44:3)+NH4,1072.78742,731.65492,713.64435
DGDG(44:4)+NH4,1070.77172,729.63922,711.62865
DGDG(44:5)+NH4,1068.75609,727.62359,709.61302
DGDG(44:6)+NH4,1066.74042,725.60792,707.59735
DGDG(44:7)+NH4,1064.72478,723.59228,705.58171
DGDG(44:8)+NH4,1062.70912,721.57662,703.56605
DGDG(44:9)+NH4,1060.69347,719.56097,701.5504
DGDG(45:0)+NH4,1092.84996,751.71746,733.70689
DGDG(45:1)+NH4,1090.83432,749.70182,731.69125
DGDG(45:2)+NH4,1088.81862,747.68612,729.67555
DGDG(45:3)+NH4,1086.80302,745.67052,727.65995
DGDG(45:4)+NH4,1084.78742,743.65492,725.64435
DGDG(45:5)+NH4,1082.77172,741.63922,723.62865
DGDG(45:6)+NH4,1080.75609,739.62359,721.61302
DGDG(46:0)+NH4,1106.86562,765.73312,747.72255
DGDG(46:1)+NH4,1104.84996,763.71746,745.70689
DGDG(46:10)+NH4,1086.70912,745.57662,727.56605
DGDG(46:2)+NH4,1102.83432,761.70182,743.69125
DGDG(46:3)+NH4,1100.81862,759.68612,741.67555
