MMPE,[M-H]-,T1_RCOO-,T2_RCOO-
MMPE(13:0_18:0)-H,690.50797,213.18605,283.26425
MMPE(13:0_18:1)-H,688.49237,213.18605,281.24865
MMPE(13:0_18:2)-H,686.47667,213.18605,279.23295
MMPE(13:0_18:3)-H,684.46107,213.18605,277.21735
MMPE(13:0_18:4)-H,682.44537,213.18605,275.20165
MMPE(13:0_19:0)-H,704.52367,213.18605,297.27995
MMPE(13:0_20:0)-H,718.53927,213.18605,311.29555
MMPE(13:0_20:1)-H,716.52367,213.18605,309.27995
MMPE(13:0_20:2)-H,714.50797,213.18605,307.26425
MMPE(13:0_20:3)-H,712.49237,213.18605,305.24865
MMPE(13:0_20:4)-H,710.47667,213.18605,303.23295
MMPE(13:0_20:5)-H,708.46107,213.18605,301.21735
MMPE(13:0_21:0)-H,732.55497,213.18605,325.31125
MMPE(13:0_22:0)-H,746.57057,213.18605,339.32685
MMPE(13:0_22:1)-H,744.55497,213.18605,337.31125
MMPE(13:0_22:2)-H,742.53927,213.18605,335.29555
MMPE(13:0_22:3)-H,740.52367,213.18605,333.27995
MMPE(13:0_22:4)-H,738.50797,213.18605,331.26425
MMPE(13:0_22:5)-H,736.49237,213.18605,329.24865
MMPE(13:0_22:6)-H,734.47667,213.18605,327.23295
MMPE(13:0_23:0)-H,760.58627,213.18605,353.34255
MMPE(13:0_24:0)-H,774.60187,213.18605,367.35815
MMPE(13:0_24:1)-H,772.58627,213.18605,365.34255
MMPE(13:0_25:0)-H,788.61757,213.18605,381.37385
MMPE(13:0_26:0)-H,802.63317,213.18605,395.38945
MMPE(14:0_14:0)-H,648.46097,227.20165,227.20165
MMPE(14:0_14:1)-H,646.44537,227.20165,225.18605
MMPE(14:0_15:0)-H,662.47667,227.20165,241.21735
MMPE(14:0_15:1)-H,660.46097,227.20165,239.20165
MMPE(14:0_16:0)-H,676.49227,227.20165,255.23295
MMPE(14:0_16:1)-H,674.47667,227.20165,253.21735
MMPE(14:0_17:0)-H,690.50797,227.20165,269.24865
MMPE(14:0_17:1)-H,688.49227,227.20165,267.23295
MMPE(14:0_17:2)-H,686.47667,227.20165,265.21735
MMPE(14:0_18:0)-H,704.52357,227.20165,283.26425
