MGDG,[M+NH4]+,DG [M+H]+,DG [M+H-H2O]+ ,sn1_NL,sn2_NL,sn1_acylChain([RC=O]+),sn2_acylChain([RC=O]+)
MGDG(12:0_12:0)+NH4,636.46812,457.38882,439.37825,257.2113,257.2113,183.17438,183.17438
MGDG(12:0_13:0)+NH4,650.48377,471.40447,453.3939,271.22695,257.21131,183.17438,197.19002
MGDG(12:0_14:0)+NH4,664.49942,485.42012,467.40955,285.2426,257.21132,183.17438,211.20566
MGDG(12:0_14:1)+NH4,662.48377,483.40447,465.3939,283.22695,257.21131,183.17438,209.19002
MGDG(12:0_15:0)+NH4,678.51508,499.43578,481.42521,299.25826,257.21134,183.17438,225.2213
MGDG(12:0_15:1)+NH4,676.49942,497.42012,479.40955,297.2426,257.21132,183.17438,223.20566
MGDG(12:0_16:0)+NH4,692.53072,513.45142,495.44085,313.2739,257.21134,183.17438,239.23694
MGDG(12:0_16:1)+NH4,690.51508,511.43578,493.42521,311.25826,257.21134,183.17438,237.2213
MGDG(12:0_17:0)+NH4,706.54642,527.46712,509.45655,327.2896,257.2114,183.17438,253.25258
MGDG(12:0_17:1)+NH4,704.53072,525.45142,507.44085,325.2739,257.21134,183.17438,251.23694
MGDG(12:0_17:2)+NH4,702.51508,523.43578,505.42521,323.25826,257.21134,183.17438,249.2213
MGDG(12:0_18:0)+NH4,720.56202,541.48272,523.47215,341.3052,257.21136,183.17438,267.26822
MGDG(12:0_18:1)+NH4,718.54642,539.46712,521.45655,339.2896,257.2114,183.17438,265.25258
MGDG(12:0_18:2)+NH4,716.53072,537.45142,519.44085,337.2739,257.21134,183.17438,263.23694
MGDG(12:0_18:3)+NH4,714.51508,535.43578,517.42521,335.25826,257.21134,183.17438,261.2213
MGDG(12:0_18:4)+NH4,712.49942,533.42012,515.40955,333.2426,257.21132,183.17438,259.20566
MGDG(12:0_19:0)+NH4,734.57762,555.49832,537.48775,355.3208,257.21132,183.17438,281.28386
MGDG(12:0_20:0)+NH4,748.59332,569.51402,551.50345,369.3365,257.21138,183.17438,295.2995
MGDG(12:0_20:1)+NH4,746.57762,567.49832,549.48775,367.3208,257.21132,183.17438,293.28386
MGDG(12:0_20:2)+NH4,744.56202,565.48272,547.47215,365.3052,257.21136,183.17438,291.26822
MGDG(12:0_20:3)+NH4,742.54642,563.46712,545.45655,363.2896,257.2114,183.17438,289.25258
MGDG(12:0_20:4)+NH4,740.53072,561.45142,543.44085,361.2739,257.21134,183.17438,287.23694
MGDG(12:0_20:5)+NH4,738.51508,559.43578,541.42521,359.25826,257.21134,183.17438,285.2213
MGDG(12:0_21:0)+NH4,762.60895,583.52965,565.51908,383.35213,257.21137,183.17438,309.31514
MGDG(12:0_22:0)+NH4,776.62462,597.54532,579.53475,397.3678,257.2114,183.17438,323.33078
MGDG(12:0_22:1)+NH4,774.60895,595.52965,577.51908,395.35213,257.21137,183.17438,321.31514
MGDG(12:0_22:2)+NH4,772.59332,593.51402,575.50345,393.3365,257.21138,183.17438,319.2995
MGDG(12:0_22:4)+NH4,768.56202,589.48272,571.47215,389.3052,257.21136,183.17438,315.26822
MGDG(12:0_22:5)+NH4,766.54642,587.46712,569.45655,387.2896,257.2114,183.17438,313.25258
MGDG(12:0_22:6)+NH4,764.53072,585.45142,567.44085,385.2739,257.21134,183.17438,311.23694
MGDG(12:0_23:0)+NH4,790.64027,611.56097,593.5504,411.38345,257.21141,183.17438,337.34642
MGDG(12:0_24:0)+NH4,804.65592,625.57662,607.56605,425.3991,257.21142,183.17438,351.36206
MGDG(12:0_24:1)+NH4,802.64027,623.56097,605.5504,423.38345,257.21141,183.17438,349.34642
MGDG(12:0_24:4)+NH4,796.59332,617.51402,599.50345,417.3365,257.21138,183.17438,343.2995
MGDG(12:0_25:0)+NH4,818.67158,639.59228,621.58171,439.41476,257.21144,183.17438,365.3777
MGDG(12:0_26:0)+NH4,832.68722,653.60792,635.59735,453.4304,257.21144,183.17438,379.39334
MGDG(12:0_26:1)+NH4,830.67158,651.59228,633.58171,451.41476,257.21144,183.17438,377.3777
MGDG(12:0_26:2)+NH4,828.65592,649.57662,631.56605,449.3991,257.21142,183.17438,375.36206
MGDG(13:0_13:0)+NH4,664.49942,485.42012,467.40955,271.22696,271.22696,197.19002,197.19002
MGDG(13:0_14:0)+NH4,678.51508,499.43578,481.42521,285.24262,271.22698,197.19002,211.20566
MGDG(13:0_14:1)+NH4,676.49942,497.42012,479.40955,283.22696,271.22696,197.19002,209.19002
MGDG(13:0_15:0)+NH4,692.53072,513.45142,495.44085,299.25826,271.22698,197.19002,225.2213
MGDG(13:0_15:1)+NH4,690.51508,511.43578,493.42521,297.24262,271.22698,197.19002,223.20566
MGDG(13:0_16:0)+NH4,706.54642,527.46712,509.45655,313.27396,271.22704,197.19002,239.23694
MGDG(13:0_16:1)+NH4,704.53072,525.45142,507.44085,311.25826,271.22698,197.19002,237.2213
MGDG(13:0_17:0)+NH4,720.56202,541.48272,523.47215,327.28956,271.227,197.19002,253.25258
MGDG(13:0_17:1)+NH4,718.54642,539.46712,521.45655,325.27396,271.22704,197.19002,251.23694
MGDG(13:0_17:2)+NH4,716.53072,537.45142,519.44085,323.25826,271.22698,197.19002,249.2213
MGDG(13:0_18:0)+NH4,734.57762,555.49832,537.48775,341.30516,271.22696,197.19002,267.26822
MGDG(13:0_18:1)+NH4,732.56202,553.48272,535.47215,339.28956,271.227,197.19002,265.25258
MGDG(13:0_18:2)+NH4,730.54642,551.46712,533.45655,337.27396,271.22704,197.19002,263.23694
MGDG(13:0_18:3)+NH4,728.53072,549.45142,531.44085,335.25826,271.22698,197.19002,261.2213
MGDG(13:0_18:4)+NH4,726.51508,547.43578,529.42521,333.24262,271.22698,197.19002,259.20566
MGDG(13:0_19:0)+NH4,748.59332,569.51402,551.50345,355.32086,271.22702,197.19002,281.28386
MGDG(13:0_20:0)+NH4,762.60895,583.52965,565.51908,369.33649,271.22701,197.19002,295.2995
MGDG(13:0_20:1)+NH4,760.59332,581.51402,563.50345,367.32086,271.22702,197.19002,293.28386
MGDG(13:0_20:2)+NH4,758.57762,579.49832,561.48775,365.30516,271.22696,197.19002,291.26822
MGDG(13:0_20:3)+NH4,756.56202,577.48272,559.47215,363.28956,271.227,197.19002,289.25258
MGDG(13:0_20:4)+NH4,754.54642,575.46712,557.45655,361.27396,271.22704,197.19002,287.23694
MGDG(13:0_20:5)+NH4,752.53072,573.45142,555.44085,359.25826,271.22698,197.19002,285.2213
MGDG(13:0_21:0)+NH4,776.62462,597.54532,579.53475,383.35216,271.22704,197.19002,309.31514
MGDG(13:0_22:0)+NH4,790.64027,611.56097,593.5504,397.36781,271.22705,197.19002,323.33078
MGDG(13:0_22:1)+NH4,788.62462,609.54532,591.53475,395.35216,271.22704,197.19002,321.31514
MGDG(13:0_22:2)+NH4,786.60895,607.52965,589.51908,393.33649,271.22701,197.19002,319.2995
MGDG(13:0_22:4)+NH4,782.57762,603.49832,585.48775,389.30516,271.22696,197.19002,315.26822
MGDG(13:0_22:5)+NH4,780.56202,601.48272,583.47215,387.28956,271.227,197.19002,313.25258
MGDG(13:0_22:6)+NH4,778.54642,599.46712,581.45655,385.27396,271.22704,197.19002,311.23694
MGDG(13:0_23:0)+NH4,804.65592,625.57662,607.56605,411.38346,271.22706,197.19002,337.34642
MGDG(13:0_24:0)+NH4,818.67158,639.59228,621.58171,425.39912,271.22708,197.19002,351.36206
MGDG(13:0_24:1)+NH4,816.65592,637.57662,619.56605,423.38346,271.22706,197.19002,349.34642
MGDG(13:0_24:4)+NH4,810.60895,631.52965,613.51908,417.33649,271.22701,197.19002,343.2995
MGDG(13:0_25:0)+NH4,832.68722,653.60792,635.59735,439.41476,271.22708,197.19002,365.3777
MGDG(13:0_26:0)+NH4,846.70289,667.62359,649.61302,453.43043,271.22711,197.19002,379.39334
MGDG(13:0_26:1)+NH4,844.68722,665.60792,647.59735,451.41476,271.22708,197.19002,377.3777
MGDG(13:0_26:2)+NH4,842.67158,663.59228,645.58171,449.39912,271.22708,197.19002,375.36206
MGDG(14:0_14:0)+NH4,692.53072,513.45142,495.44085,285.24262,285.24262,211.20566,211.20566
MGDG(14:0_14:1)+NH4,690.51508,511.43578,493.42521,283.22698,285.24262,211.20566,209.19002
MGDG(14:0_15:0)+NH4,706.54642,527.46712,509.45655,299.25832,285.24268,211.20566,225.2213
MGDG(14:0_15:1)+NH4,704.53072,525.45142,507.44085,297.24262,285.24262,211.20566,223.20566
MGDG(14:0_16:0)+NH4,720.56202,541.48272,523.47215,313.27392,285.24264,211.20566,239.23694
MGDG(14:0_16:1)+NH4,718.54642,539.46712,521.45655,311.25832,285.24268,211.20566,237.2213
MGDG(14:0_17:0)+NH4,734.57762,555.49832,537.48775,327.28952,285.2426,211.20566,253.25258
MGDG(14:0_17:1)+NH4,732.56202,553.48272,535.47215,325.27392,285.24264,211.20566,251.23694
MGDG(14:0_17:2)+NH4,730.54642,551.46712,533.45655,323.25832,285.24268,211.20566,249.2213
MGDG(14:0_18:0)+NH4,748.59332,569.51402,551.50345,341.30522,285.24266,211.20566,267.26822
MGDG(14:0_18:1)+NH4,746.57762,567.49832,549.48775,339.28952,285.2426,211.20566,265.25258
MGDG(14:0_18:2)+NH4,744.56202,565.48272,547.47215,337.27392,285.24264,211.20566,263.23694
MGDG(14:0_18:3)+NH4,742.54642,563.46712,545.45655,335.25832,285.24268,211.20566,261.2213
MGDG(14:0_18:4)+NH4,740.53072,561.45142,543.44085,333.24262,285.24262,211.20566,259.20566
MGDG(14:0_19:0)+NH4,762.60895,583.52965,565.51908,355.32085,285.24265,211.20566,281.28386
MGDG(14:0_20:0)+NH4,776.62462,597.54532,579.53475,369.33652,285.24268,211.20566,295.2995
MGDG(14:0_20:1)+NH4,774.60895,595.52965,577.51908,367.32085,285.24265,211.20566,293.28386
MGDG(14:0_20:2)+NH4,772.59332,593.51402,575.50345,365.30522,285.24266,211.20566,291.26822
MGDG(14:0_20:3)+NH4,770.57762,591.49832,573.48775,363.28952,285.2426,211.20566,289.25258
MGDG(14:0_20:4)+NH4,768.56202,589.48272,571.47215,361.27392,285.24264,211.20566,287.23694
MGDG(14:0_20:5)+NH4,766.54642,587.46712,569.45655,359.25832,285.24268,211.20566,285.2213
MGDG(14:0_21:0)+NH4,790.64027,611.56097,593.5504,383.35217,285.24269,211.20566,309.31514
MGDG(14:0_22:0)+NH4,804.65592,625.57662,607.56605,397.36782,285.2427,211.20566,323.33078
