BMP,[M+NH4]+,[M-C3H8O6P]+,[SN2+C3H5O]+,[SN1+C3H5O]+
BMP(14:0_24:1)+NH4,822.6219,633.5827,423.3833,285.2424
BMP(14:0_24:2)+NH4,820.6062,631.5671,421.3676,285.2424
BMP(14:0_24:4)+NH4,816.5749,627.5358,417.3363,285.2424
BMP(14:0_25:0)+NH4,838.6531,649.614,439.4146,285.2424
BMP(14:0_26:0)+NH4,852.6688,663.6297,453.4302,285.2424
BMP(14:0_26:1)+NH4,850.6531,661.614,451.4146,285.2424
BMP(14:0_26:2)+NH4,848.6375,659.5984,449.3989,285.2424
BMP(14:0_26:4)+NH4,844.6062,655.5671,445.3676,285.2424
BMP(14:0_27:0)+NH4,866.6844,677.6453,467.4459,285.2424
BMP(14:1_14:1)+NH4,680.4497,491.4106,283.2268,283.2268
BMP(15:0_14:1)+NH4,696.481,507.4419,283.2268,299.2581
BMP(14:1_15:1)+NH4,694.4653,505.4262,297.2424,283.2268
BMP(16:0_14:1)+NH4,710.4966,521.4575,283.2268,313.2737
BMP(14:1_16:1)+NH4,708.481,519.4419,311.2581,283.2268
BMP(14:1_16:2)+NH4,706.4653,517.4262,309.2424,283.2268
BMP(14:1_16:3)+NH4,704.4497,515.4106,307.2268,283.2268
BMP(14:1_16:4)+NH4,702.4341,513.395,305.2111,283.2268
BMP(17:0_14:1)+NH4,724.5123,535.4732,283.2268,327.2894
BMP(14:1_17:1)+NH4,722.4966,533.4575,325.2737,283.2268
BMP(14:1_17:2)+NH4,720.481,531.4419,323.2581,283.2268
BMP(18:0_14:1)+NH4,738.528,549.4888,283.2268,341.305
BMP(14:1_18:1)+NH4,736.5123,547.4732,339.2894,283.2268
BMP(14:1_18:2)+NH4,734.4966,545.4575,337.2737,283.2268
BMP(14:1_18:3)+NH4,732.481,543.4419,335.2581,283.2268
BMP(14:1_18:4)+NH4,730.4653,541.4262,333.2424,283.2268
BMP(14:1_18:5)+NH4,728.4497,539.4106,331.2268,283.2268
BMP(19:0_14:1)+NH4,752.5436,563.5045,283.2268,355.3207
BMP(14:1_19:1)+NH4,750.528,561.4888,353.305,283.2268
BMP(14:1_19:2)+NH4,748.5123,559.4732,351.2894,283.2268
BMP(20:0_14:1)+NH4,766.5593,577.5201,283.2268,369.3363
BMP(14:1_20:1)+NH4,764.5436,575.5045,367.3207,283.2268
BMP(14:1_20:2)+NH4,762.528,573.4888,365.305,283.2268
BMP(14:1_20:3)+NH4,760.5123,571.4732,363.2894,283.2268
BMP(14:1_20:4)+NH4,758.4966,569.4575,361.2737,283.2268
BMP(14:1_20:5)+NH4,756.481,567.4419,359.2581,283.2268
BMP(21:0_14:1)+NH4,780.5749,591.5358,283.2268,383.352
BMP(14:1_21:1)+NH4,778.5593,589.5201,381.3363,283.2268
BMP(14:1_21:2)+NH4,776.5436,587.5045,379.3207,283.2268
BMP(22:0_14:1)+NH4,794.5906,605.5515,283.2268,397.3676
BMP(14:1_22:1)+NH4,792.5749,603.5358,395.352,283.2268
BMP(14:1_22:2)+NH4,790.5593,601.5201,393.3363,283.2268
BMP(14:1_22:3)+NH4,788.5436,599.5045,391.3207,283.2268
BMP(14:1_22:4)+NH4,786.528,597.4888,389.305,283.2268
BMP(14:1_22:5)+NH4,784.5123,595.4732,387.2894,283.2268
BMP(14:1_22:6)+NH4,782.4966,593.4575,385.2737,283.2268
BMP(23:0_14:1)+NH4,808.6062,619.5671,283.2268,411.3833
BMP(24:0_14:1)+NH4,822.6219,633.5827,283.2268,425.3989
BMP(14:1_24:1)+NH4,820.6062,631.5671,423.3833,283.2268
BMP(14:1_24:2)+NH4,818.5906,629.5515,421.3676,283.2268
BMP(14:1_24:4)+NH4,814.5593,625.5201,417.3363,283.2268
BMP(25:0_14:1)+NH4,836.6375,647.5984,283.2268,439.4146
BMP(26:0_14:1)+NH4,850.6531,661.614,283.2268,453.4302
BMP(14:1_26:1)+NH4,848.6375,659.5984,451.4146,283.2268
BMP(14:1_26:2)+NH4,846.6219,657.5827,449.3989,283.2268
BMP(14:1_26:4)+NH4,842.5906,653.5515,445.3676,283.2268
BMP(27:0_14:1)+NH4,864.6688,675.6297,283.2268,467.4459
BMP(15:0_15:0)+NH4,712.5123,523.4732,299.2581,299.2581
BMP(15:0_15:1)+NH4,710.4966,521.4575,297.2424,299.2581
BMP(15:0_16:0)+NH4,726.528,537.4888,313.2737,299.2581
BMP(15:0_16:1)+NH4,724.5123,535.4732,311.2581,299.2581
BMP(15:0_16:2)+NH4,722.4966,533.4575,309.2424,299.2581
BMP(15:0_16:3)+NH4,720.481,531.4419,307.2268,299.2581
BMP(15:0_16:4)+NH4,718.4653,529.4262,305.2111,299.2581
BMP(15:0_17:0)+NH4,740.5436,551.5045,327.2894,299.2581
BMP(15:0_17:1)+NH4,738.528,549.4888,325.2737,299.2581
BMP(15:0_17:2)+NH4,736.5123,547.4732,323.2581,299.2581
BMP(15:0_18:0)+NH4,754.5593,565.5201,341.305,299.2581
BMP(15:0_18:1)+NH4,752.5436,563.5045,339.2894,299.2581
BMP(15:0_18:2)+NH4,750.528,561.4888,337.2737,299.2581
BMP(15:0_18:3)+NH4,748.5123,559.4732,335.2581,299.2581
BMP(15:0_18:4)+NH4,746.4966,557.4575,333.2424,299.2581
BMP(15:0_18:5)+NH4,744.481,555.4419,331.2268,299.2581
BMP(15:0_19:0)+NH4,768.5749,579.5358,355.3207,299.2581
BMP(15:0_19:1)+NH4,766.5593,577.5201,353.305,299.2581
BMP(15:0_19:2)+NH4,764.5436,575.5045,351.2894,299.2581
BMP(15:0_20:0)+NH4,782.5906,593.5515,369.3363,299.2581
BMP(15:0_20:1)+NH4,780.5749,591.5358,367.3207,299.2581
BMP(15:0_20:2)+NH4,778.5593,589.5201,365.305,299.2581
BMP(15:0_20:3)+NH4,776.5436,587.5045,363.2894,299.2581
BMP(15:0_20:4)+NH4,774.528,585.4888,361.2737,299.2581
BMP(15:0_20:5)+NH4,772.5123,583.4732,359.2581,299.2581
BMP(15:0_21:0)+NH4,796.6062,607.5671,383.352,299.2581
BMP(15:0_21:1)+NH4,794.5906,605.5515,381.3363,299.2581
BMP(15:0_21:2)+NH4,792.5749,603.5358,379.3207,299.2581
BMP(15:0_22:0)+NH4,810.6219,621.5827,397.3676,299.2581
BMP(15:0_22:1)+NH4,808.6062,619.5671,395.352,299.2581
BMP(15:0_22:2)+NH4,806.5906,617.5515,393.3363,299.2581
BMP(15:0_22:3)+NH4,804.5749,615.5358,391.3207,299.2581
BMP(15:0_22:4)+NH4,802.5593,613.5201,389.305,299.2581
BMP(15:0_22:5)+NH4,800.5436,611.5045,387.2894,299.2581
BMP(15:0_22:6)+NH4,798.528,609.4888,385.2737,299.2581
BMP(15:0_23:0)+NH4,824.6375,635.5984,411.3833,299.2581
BMP(15:0_24:0)+NH4,838.6531,649.614,425.3989,299.2581
BMP(15:0_24:1)+NH4,836.6375,647.5984,423.3833,299.2581
BMP(15:0_24:2)+NH4,834.6219,645.5827,421.3676,299.2581
BMP(15:0_24:4)+NH4,830.5906,641.5515,417.3363,299.2581
BMP(15:0_25:0)+NH4,852.6688,663.6297,439.4146,299.2581
BMP(15:0_26:0)+NH4,866.6844,677.6453,453.4302,299.2581
BMP(15:0_26:1)+NH4,864.6688,675.6297,451.4146,299.2581
BMP(15:0_26:2)+NH4,862.6531,673.614,449.3989,299.2581
BMP(15:0_26:4)+NH4,858.6219,669.5827,445.3676,299.2581
BMP(15:0_27:0)+NH4,880.7001,691.6609,467.4459,299.2581
BMP(15:1_15:1)+NH4,708.481,519.4419,297.2424,297.2424
BMP(16:0_15:1)+NH4,724.5123,535.4732,297.2424,313.2737
BMP(15:1_16:1)+NH4,722.4966,533.4575,311.2581,297.2424
BMP(15:1_16:2)+NH4,720.481,531.4419,309.2424,297.2424
BMP(15:1_16:3)+NH4,718.4653,529.4262,307.2268,297.2424
BMP(15:1_16:4)+NH4,716.4497,527.4106,305.2111,297.2424
BMP(17:0_15:1)+NH4,738.528,549.4888,297.2424,327.2894
BMP(15:1_17:1)+NH4,736.5123,547.4732,325.2737,297.2424
BMP(15:1_17:2)+NH4,734.4966,545.4575,323.2581,297.2424
BMP(18:0_15:1)+NH4,752.5436,563.5045,297.2424,341.305
BMP(15:1_18:1)+NH4,750.528,561.4888,339.2894,297.2424
BMP(15:1_18:2)+NH4,748.5123,559.4732,337.2737,297.2424
BMP(15:1_18:3)+NH4,746.4966,557.4575,335.2581,297.2424
BMP(15:1_18:4)+NH4,744.481,555.4419,333.2424,297.2424
BMP(15:1_18:5)+NH4,742.4653,553.4262,331.2268,297.2424
BMP(19:0_15:1)+NH4,766.5593,577.5201,297.2424,355.3207
BMP(15:1_19:1)+NH4,764.5436,575.5045,353.305,297.2424
BMP(15:1_19:2)+NH4,762.528,573.4888,351.2894,297.2424
BMP(20:0_15:1)+NH4,780.5749,591.5358,297.2424,369.3363
BMP(15:1_20:1)+NH4,778.5593,589.5201,367.3207,297.2424
BMP(15:1_20:2)+NH4,776.5436,587.5045,365.305,297.2424
BMP(15:1_20:3)+NH4,774.528,585.4888,363.2894,297.2424
BMP(15:1_20:4)+NH4,772.5123,583.4732,361.2737,297.2424
BMP(15:1_20:5)+NH4,770.4966,581.4575,359.2581,297.2424
BMP(21:0_15:1)+NH4,794.5906,605.5515,297.2424,383.352
BMP(15:1_21:1)+NH4,792.5749,603.5358,381.3363,297.2424
BMP(15:1_21:2)+NH4,790.5593,601.5201,379.3207,297.2424
BMP(22:0_15:1)+NH4,808.6062,619.5671,297.2424,397.3676
BMP(15:1_22:1)+NH4,806.5906,617.5515,395.352,297.2424
BMP(15:1_22:2)+NH4,804.5749,615.5358,393.3363,297.2424
BMP(15:1_22:3)+NH4,802.5593,613.5201,391.3207,297.2424
BMP(15:1_22:4)+NH4,800.5436,611.5045,389.305,297.2424
BMP(15:1_22:5)+NH4,798.528,609.4888,387.2894,297.2424
BMP(15:1_22:6)+NH4,796.5123,607.4732,385.2737,297.2424
BMP(23:0_15:1)+NH4,822.6219,633.5827,297.2424,411.3833
BMP(24:0_15:1)+NH4,836.6375,647.5984,297.2424,425.3989
BMP(15:1_24:1)+NH4,834.6219,645.5827,423.3833,297.2424
BMP(15:1_24:2)+NH4,832.6062,643.5671,421.3676,297.2424
BMP(15:1_24:4)+NH4,828.5749,639.5358,417.3363,297.2424
BMP(25:0_15:1)+NH4,850.6531,661.614,297.2424,439.4146
BMP(26:0_15:1)+NH4,864.6688,675.6297,297.2424,453.4302
BMP(15:1_26:1)+NH4,862.6531,673.614,451.4146,297.2424
BMP(15:1_26:2)+NH4,860.6375,671.5984,449.3989,297.2424
BMP(15:1_26:4)+NH4,856.6062,667.5671,445.3676,297.2424
BMP(27:0_15:1)+NH4,878.6844,689.6453,297.2424,467.4459
BMP(16:0_16:0)+NH4,740.5436,551.5045,313.2737,313.2737
BMP(16:0_16:1)+NH4,738.528,549.4888,311.2581,313.2737
BMP(16:0_16:2)+NH4,736.5123,547.4732,309.2424,313.2737
BMP(16:0_16:3)+NH4,734.4966,545.4575,307.2268,313.2737
BMP(16:0_16:4)+NH4,732.481,543.4419,305.2111,313.2737
BMP(16:0_17:0)+NH4,754.5593,565.5201,327.2894,313.2737
BMP(16:0_17:1)+NH4,752.5436,563.5045,325.2737,313.2737
BMP(16:0_17:2)+NH4,750.528,561.4888,323.2581,313.2737
BMP(16:0_18:0)+NH4,768.5749,579.5358,341.305,313.2737
BMP(16:0_18:1)+NH4,766.5593,577.5201,339.2894,313.2737
BMP(16:0_18:2)+NH4,764.5436,575.5045,337.2737,313.2737
BMP(16:0_18:3)+NH4,762.528,573.4888,335.2581,313.2737
BMP(16:0_18:4)+NH4,760.5123,571.4732,333.2424,313.2737
BMP(16:0_18:5)+NH4,758.4966,569.4575,331.2268,313.2737
BMP(16:0_19:0)+NH4,782.5906,593.5515,355.3207,313.2737
BMP(16:0_19:1)+NH4,780.5749,591.5358,353.305,313.2737
BMP(16:0_19:2)+NH4,778.5593,589.5201,351.2894,313.2737
BMP(16:0_20:0)+NH4,796.6062,607.5671,369.3363,313.2737
BMP(16:0_20:1)+NH4,794.5906,605.5515,367.3207,313.2737
BMP(16:0_20:2)+NH4,792.5749,603.5358,365.305,313.2737
BMP(16:0_20:3)+NH4,790.5593,601.5201,363.2894,313.2737
BMP(16:0_20:4)+NH4,788.5436,599.5045,361.2737,313.2737
BMP(16:0_20:5)+NH4,786.528,597.4888,359.2581,313.2737
BMP(16:0_21:0)+NH4,810.6219,621.5827,383.352,313.2737
BMP(16:0_21:1)+NH4,808.6062,619.5671,381.3363,313.2737
BMP(16:0_21:2)+NH4,806.5906,617.5515,379.3207,313.2737
BMP(16:0_22:0)+NH4,824.6375,635.5984,397.3676,313.2737
BMP(16:0_22:1)+NH4,822.6219,633.5827,395.352,313.2737
BMP(16:0_22:2)+NH4,820.6062,631.5671,393.3363,313.2737
BMP(16:0_22:3)+NH4,818.5906,629.5515,391.3207,313.2737
BMP(16:0_22:4)+NH4,816.5749,627.5358,389.305,313.2737
BMP(16:0_22:5)+NH4,814.5593,625.5201,387.2894,313.2737
BMP(16:0_22:6)+NH4,812.5436,623.5045,385.2737,313.2737
BMP(16:0_23:0)+NH4,838.6531,649.614,411.3833,313.2737
BMP(16:0_24:0)+NH4,852.6688,663.6297,425.3989,313.2737
BMP(16:0_24:1)+NH4,850.6531,661.614,423.3833,313.2737
BMP(16:0_24:2)+NH4,848.6375,659.5984,421.3676,313.2737
BMP(16:0_24:4)+NH4,844.6062,655.5671,417.3363,313.2737
BMP(16:0_25:0)+NH4,866.6844,677.6453,439.4146,313.2737
BMP(16:0_26:0)+NH4,880.7001,691.6609,453.4302,313.2737
BMP(16:0_26:1)+NH4,878.6844,689.6453,451.4146,313.2737
BMP(16:0_26:2)+NH4,876.6688,687.6297,449.3989,313.2737
BMP(16:0_26:4)+NH4,872.6375,683.5984,445.3676,313.2737
BMP(16:0_27:0)+NH4,894.7158,705.6766,467.4459,313.2737
BMP(16:1_16:1)+NH4,736.5123,547.4732,311.2581,311.2581
BMP(16:1_16:2)+NH4,734.4966,545.4575,309.2424,311.2581
BMP(16:1_16:3)+NH4,732.481,543.4419,307.2268,311.2581
BMP(16:1_16:4)+NH4,730.4653,541.4262,305.2111,311.2581
BMP(17:0_16:1)+NH4,752.5436,563.5045,311.2581,327.2894
BMP(16:1_17:1)+NH4,750.528,561.4888,325.2737,311.2581
BMP(16:1_17:2)+NH4,748.5123,559.4732,323.2581,311.2581
BMP(18:0_16:1)+NH4,766.5593,577.5201,311.2581,341.305
BMP(16:1_18:1)+NH4,764.5436,575.5045,339.2894,311.2581
BMP(16:1_18:2)+NH4,762.528,573.4888,337.2737,311.2581
BMP(16:1_18:3)+NH4,760.5123,571.4732,335.2581,311.2581
BMP(16:1_18:4)+NH4,758.4966,569.4575,333.2424,311.2581
BMP(16:1_18:5)+NH4,756.481,567.4419,331.2268,311.2581
BMP(19:0_16:1)+NH4,780.5749,591.5358,311.2581,355.3207
BMP(16:1_19:1)+NH4,778.5593,589.5201,353.305,311.2581
BMP(16:1_19:2)+NH4,776.5436,587.5045,351.2894,311.2581
BMP(20:0_16:1)+NH4,794.5906,605.5515,311.2581,369.3363
BMP(16:1_20:1)+NH4,792.5749,603.5358,367.3207,311.2581
BMP(16:1_20:2)+NH4,790.5593,601.5201,365.305,311.2581
BMP(16:1_20:3)+NH4,788.5436,599.5045,363.2894,311.2581
BMP(16:1_20:4)+NH4,786.528,597.4888,361.2737,311.2581
BMP(16:1_20:5)+NH4,784.5123,595.4732,359.2581,311.2581
BMP(21:0_16:1)+NH4,808.6062,619.5671,311.2581,383.352
BMP(16:1_21:1)+NH4,806.5906,617.5515,381.3363,311.2581
BMP(16:1_21:2)+NH4,804.5749,615.5358,379.3207,311.2581
BMP(22:0_16:1)+NH4,822.6219,633.5827,311.2581,397.3676
BMP(16:1_22:1)+NH4,820.6062,631.5671,395.352,311.2581
BMP(16:1_22:2)+NH4,818.5906,629.5515,393.3363,311.2581
BMP(16:1_22:3)+NH4,816.5749,627.5358,391.3207,311.2581
BMP(16:1_22:4)+NH4,814.5593,625.5201,389.305,311.2581
BMP(16:1_22:5)+NH4,812.5436,623.5045,387.2894,311.2581
BMP(16:1_22:6)+NH4,810.528,621.4888,385.2737,311.2581
BMP(23:0_16:1)+NH4,836.6375,647.5984,311.2581,411.3833
BMP(24:0_16:1)+NH4,850.6531,661.614,311.2581,425.3989
BMP(16:1_24:1)+NH4,848.6375,659.5984,423.3833,311.2581
BMP(16:1_24:2)+NH4,846.6219,657.5827,421.3676,311.2581
BMP(16:1_24:4)+NH4,842.5906,653.5515,417.3363,311.2581
BMP(25:0_16:1)+NH4,864.6688,675.6297,311.2581,439.4146
BMP(26:0_16:1)+NH4,878.6844,689.6453,311.2581,453.4302
BMP(16:1_26:1)+NH4,876.6688,687.6297,451.4146,311.2581
BMP(16:1_26:2)+NH4,874.6531,685.614,449.3989,311.2581
BMP(16:1_26:4)+NH4,870.6219,681.5827,445.3676,311.2581
BMP(27:0_16:1)+NH4,892.7001,703.6609,311.2581,467.4459
BMP(16:2_16:2)+NH4,732.481,543.4419,309.2424,309.2424
BMP(16:2_16:3)+NH4,730.4653,541.4262,307.2268,309.2424
BMP(16:2_16:4)+NH4,728.4497,539.4106,305.2111,309.2424
BMP(17:0_16:2)+NH4,750.528,561.4888,309.2424,327.2894
BMP(17:1_16:2)+NH4,748.5123,559.4732,309.2424,325.2737
BMP(16:2_17:2)+NH4,746.4966,557.4575,323.2581,309.2424
BMP(18:0_16:2)+NH4,764.5436,575.5045,309.2424,341.305
BMP(18:1_16:2)+NH4,762.528,573.4888,309.2424,339.2894
BMP(16:2_18:2)+NH4,760.5123,571.4732,337.2737,309.2424
BMP(16:2_18:3)+NH4,758.4966,569.4575,335.2581,309.2424
BMP(16:2_18:4)+NH4,756.481,567.4419,333.2424,309.2424
BMP(16:2_18:5)+NH4,754.4653,565.4262,331.2268,309.2424
BMP(19:0_16:2)+NH4,778.5593,589.5201,309.2424,355.3207
BMP(19:1_16:2)+NH4,776.5436,587.5045,309.2424,353.305
BMP(16:2_19:2)+NH4,774.528,585.4888,351.2894,309.2424
BMP(20:0_16:2)+NH4,792.5749,603.5358,309.2424,369.3363
BMP(20:1_16:2)+NH4,790.5593,601.5201,309.2424,367.3207
BMP(16:2_20:2)+NH4,788.5436,599.5045,365.305,309.2424
BMP(16:2_20:3)+NH4,786.528,597.4888,363.2894,309.2424
BMP(16:2_20:4)+NH4,784.5123,595.4732,361.2737,309.2424
BMP(16:2_20:5)+NH4,782.4966,593.4575,359.2581,309.2424
BMP(21:0_16:2)+NH4,806.5906,617.5515,309.2424,383.352
BMP(21:1_16:2)+NH4,804.5749,615.5358,309.2424,381.3363
BMP(16:2_21:2)+NH4,802.5593,613.5201,379.3207,309.2424
BMP(22:0_16:2)+NH4,820.6062,631.5671,309.2424,397.3676
BMP(22:1_16:2)+NH4,818.5906,629.5515,309.2424,395.352
BMP(16:2_22:2)+NH4,816.5749,627.5358,393.3363,309.2424
BMP(16:2_22:3)+NH4,814.5593,625.5201,391.3207,309.2424
BMP(16:2_22:4)+NH4,812.5436,623.5045,389.305,309.2424
BMP(16:2_22:5)+NH4,810.528,621.4888,387.2894,309.2424
BMP(16:2_22:6)+NH4,808.5123,619.4732,385.2737,309.2424
BMP(23:0_16:2)+NH4,834.6219,645.5827,309.2424,411.3833
BMP(24:0_16:2)+NH4,848.6375,659.5984,309.2424,425.3989
BMP(24:1_16:2)+NH4,846.6219,657.5827,309.2424,423.3833
BMP(16:2_24:2)+NH4,844.6062,655.5671,421.3676,309.2424
BMP(16:2_24:4)+NH4,840.5749,651.5358,417.3363,309.2424
BMP(25:0_16:2)+NH4,862.6531,673.614,309.2424,439.4146
BMP(26:0_16:2)+NH4,876.6688,687.6297,309.2424,453.4302
BMP(26:1_16:2)+NH4,874.6531,685.614,309.2424,451.4146
BMP(16:2_26:2)+NH4,872.6375,683.5984,449.3989,309.2424
BMP(16:2_26:4)+NH4,868.6062,679.5671,445.3676,309.2424
BMP(27:0_16:2)+NH4,890.6844,701.6453,309.2424,467.4459
BMP(16:3_16:3)+NH4,728.4497,539.4106,307.2268,307.2268
BMP(16:3_16:4)+NH4,726.4341,537.395,305.2111,307.2268
BMP(17:0_16:3)+NH4,748.5123,559.4732,307.2268,327.2894
BMP(17:1_16:3)+NH4,746.4966,557.4575,307.2268,325.2737
BMP(17:2_16:3)+NH4,744.481,555.4419,307.2268,323.2581
BMP(18:0_16:3)+NH4,762.528,573.4888,307.2268,341.305
BMP(18:1_16:3)+NH4,760.5123,571.4732,307.2268,339.2894
BMP(18:2_16:3)+NH4,758.4966,569.4575,307.2268,337.2737
BMP(16:3_18:3)+NH4,756.481,567.4419,335.2581,307.2268
BMP(16:3_18:4)+NH4,754.4653,565.4262,333.2424,307.2268
BMP(16:3_18:5)+NH4,752.4497,563.4106,331.2268,307.2268
BMP(19:0_16:3)+NH4,776.5436,587.5045,307.2268,355.3207
BMP(19:1_16:3)+NH4,774.528,585.4888,307.2268,353.305
BMP(19:2_16:3)+NH4,772.5123,583.4732,307.2268,351.2894
BMP(20:0_16:3)+NH4,790.5593,601.5201,307.2268,369.3363
BMP(20:1_16:3)+NH4,788.5436,599.5045,307.2268,367.3207
BMP(20:2_16:3)+NH4,786.528,597.4888,307.2268,365.305
BMP(16:3_20:3)+NH4,784.5123,595.4732,363.2894,307.2268
BMP(16:3_20:4)+NH4,782.4966,593.4575,361.2737,307.2268
BMP(16:3_20:5)+NH4,780.481,591.4419,359.2581,307.2268
BMP(21:0_16:3)+NH4,804.5749,615.5358,307.2268,383.352
BMP(21:1_16:3)+NH4,802.5593,613.5201,307.2268,381.3363
BMP(21:2_16:3)+NH4,800.5436,611.5045,307.2268,379.3207
BMP(22:0_16:3)+NH4,818.5906,629.5515,307.2268,397.3676
BMP(22:1_16:3)+NH4,816.5749,627.5358,307.2268,395.352
BMP(22:2_16:3)+NH4,814.5593,625.5201,307.2268,393.3363
BMP(16:3_22:3)+NH4,812.5436,623.5045,391.3207,307.2268
BMP(16:3_22:4)+NH4,810.528,621.4888,389.305,307.2268
BMP(16:3_22:5)+NH4,808.5123,619.4732,387.2894,307.2268
BMP(16:3_22:6)+NH4,806.4966,617.4575,385.2737,307.2268
BMP(23:0_16:3)+NH4,832.6062,643.5671,307.2268,411.3833
BMP(24:0_16:3)+NH4,846.6219,657.5827,307.2268,425.3989
BMP(24:1_16:3)+NH4,844.6062,655.5671,307.2268,423.3833
BMP(24:2_16:3)+NH4,842.5906,653.5515,307.2268,421.3676
BMP(16:3_24:4)+NH4,838.5593,649.5201,417.3363,307.2268
BMP(25:0_16:3)+NH4,860.6375,671.5984,307.2268,439.4146
BMP(26:0_16:3)+NH4,874.6531,685.614,307.2268,453.4302
BMP(26:1_16:3)+NH4,872.6375,683.5984,307.2268,451.4146
BMP(26:2_16:3)+NH4,870.6219,681.5827,307.2268,449.3989
BMP(16:3_26:4)+NH4,866.5906,677.5515,445.3676,307.2268
BMP(27:0_16:3)+NH4,888.6688,699.6297,307.2268,467.4459
BMP(16:4_16:4)+NH4,724.4184,535.3793,305.2111,305.2111
BMP(17:0_16:4)+NH4,746.4966,557.4575,305.2111,327.2894
BMP(17:1_16:4)+NH4,744.481,555.4419,305.2111,325.2737
BMP(17:2_16:4)+NH4,742.4653,553.4262,305.2111,323.2581
BMP(18:0_16:4)+NH4,760.5123,571.4732,305.2111,341.305
BMP(18:1_16:4)+NH4,758.4966,569.4575,305.2111,339.2894
BMP(18:2_16:4)+NH4,756.481,567.4419,305.2111,337.2737
BMP(18:3_16:4)+NH4,754.4653,565.4262,305.2111,335.2581
BMP(16:4_18:4)+NH4,752.4497,563.4106,333.2424,305.2111
BMP(16:4_18:5)+NH4,750.4341,561.395,331.2268,305.2111
BMP(19:0_16:4)+NH4,774.528,585.4888,305.2111,355.3207
BMP(19:1_16:4)+NH4,772.5123,583.4732,305.2111,353.305
BMP(19:2_16:4)+NH4,770.4966,581.4575,305.2111,351.2894
BMP(20:0_16:4)+NH4,788.5436,599.5045,305.2111,369.3363
BMP(20:1_16:4)+NH4,786.528,597.4888,305.2111,367.3207
BMP(20:2_16:4)+NH4,784.5123,595.4732,305.2111,365.305
BMP(20:3_16:4)+NH4,782.4966,593.4575,305.2111,363.2894
BMP(16:4_20:4)+NH4,780.481,591.4419,361.2737,305.2111
BMP(16:4_20:5)+NH4,778.4653,589.4262,359.2581,305.2111
BMP(21:0_16:4)+NH4,802.5593,613.5201,305.2111,383.352
BMP(21:1_16:4)+NH4,800.5436,611.5045,305.2111,381.3363
BMP(21:2_16:4)+NH4,798.528,609.4888,305.2111,379.3207
BMP(22:0_16:4)+NH4,816.5749,627.5358,305.2111,397.3676
BMP(22:1_16:4)+NH4,814.5593,625.5201,305.2111,395.352
BMP(22:2_16:4)+NH4,812.5436,623.5045,305.2111,393.3363
BMP(22:3_16:4)+NH4,810.528,621.4888,305.2111,391.3207
BMP(16:4_22:4)+NH4,808.5123,619.4732,389.305,305.2111
BMP(16:4_22:5)+NH4,806.4966,617.4575,387.2894,305.2111
BMP(16:4_22:6)+NH4,804.481,615.4419,385.2737,305.2111
BMP(23:0_16:4)+NH4,830.5906,641.5515,305.2111,411.3833
BMP(24:0_16:4)+NH4,844.6062,655.5671,305.2111,425.3989
BMP(24:1_16:4)+NH4,842.5906,653.5515,305.2111,423.3833
BMP(24:2_16:4)+NH4,840.5749,651.5358,305.2111,421.3676
BMP(16:4_24:4)+NH4,836.5436,647.5045,417.3363,305.2111
BMP(25:0_16:4)+NH4,858.6219,669.5827,305.2111,439.4146
BMP(26:0_16:4)+NH4,872.6375,683.5984,305.2111,453.4302
BMP(26:1_16:4)+NH4,870.6219,681.5827,305.2111,451.4146
BMP(26:2_16:4)+NH4,868.6062,679.5671,305.2111,449.3989
BMP(16:4_26:4)+NH4,864.5749,675.5358,445.3676,305.2111
BMP(27:0_16:4)+NH4,886.6531,697.614,305.2111,467.4459
BMP(17:0_17:0)+NH4,768.5749,579.5358,327.2894,327.2894
BMP(17:0_17:1)+NH4,766.5593,577.5201,325.2737,327.2894
BMP(17:0_17:2)+NH4,764.5436,575.5045,323.2581,327.2894
BMP(17:0_18:0)+NH4,782.5906,593.5515,341.305,327.2894
BMP(17:0_18:1)+NH4,780.5749,591.5358,339.2894,327.2894
BMP(17:0_18:2)+NH4,778.5593,589.5201,337.2737,327.2894
BMP(17:0_18:3)+NH4,776.5436,587.5045,335.2581,327.2894
BMP(17:0_18:4)+NH4,774.528,585.4888,333.2424,327.2894
BMP(17:0_18:5)+NH4,772.5123,583.4732,331.2268,327.2894
BMP(17:0_19:0)+NH4,796.6062,607.5671,355.3207,327.2894
BMP(17:0_19:1)+NH4,794.5906,605.5515,353.305,327.2894
BMP(17:0_19:2)+NH4,792.5749,603.5358,351.2894,327.2894
BMP(17:0_20:0)+NH4,810.6219,621.5827,369.3363,327.2894
BMP(17:0_20:1)+NH4,808.6062,619.5671,367.3207,327.2894
BMP(17:0_20:2)+NH4,806.5906,617.5515,365.305,327.2894
BMP(17:0_20:3)+NH4,804.5749,615.5358,363.2894,327.2894
BMP(17:0_20:4)+NH4,802.5593,613.5201,361.2737,327.2894
BMP(17:0_20:5)+NH4,800.5436,611.5045,359.2581,327.2894
BMP(17:0_21:0)+NH4,824.6375,635.5984,383.352,327.2894
BMP(17:0_21:1)+NH4,822.6219,633.5827,381.3363,327.2894
BMP(17:0_21:2)+NH4,820.6062,631.5671,379.3207,327.2894
BMP(17:0_22:0)+NH4,838.6531,649.614,397.3676,327.2894
BMP(17:0_22:1)+NH4,836.6375,647.5984,395.352,327.2894
