BMP,[M+NH4]+,[M-C3H8O6P]+,[SN2+C3H5O]+,[SN1+C3H5O]+
BMP(5:0_18:0)+NH4,614.4028,425.3636,341.305,159.1016
BMP(5:0_18:1)+NH4,612.3871,423.348,339.2894,159.1016
BMP(5:0_18:2)+NH4,610.3715,421.3323,337.2737,159.1016
BMP(5:0_18:3)+NH4,608.3558,419.3167,335.2581,159.1016
BMP(5:0_18:4)+NH4,606.3401,417.301,333.2424,159.1016
BMP(5:0_18:5)+NH4,604.3245,415.2854,331.2268,159.1016
BMP(5:0_19:0)+NH4,628.4184,439.3793,355.3207,159.1016
BMP(5:0_19:1)+NH4,626.4028,437.3636,353.305,159.1016
BMP(5:0_19:2)+NH4,624.3871,435.348,351.2894,159.1016
BMP(5:0_20:0)+NH4,642.4341,453.3949,369.3363,159.1016
BMP(5:0_20:1)+NH4,640.4184,451.3793,367.3207,159.1016
BMP(5:0_20:2)+NH4,638.4028,449.3636,365.305,159.1016
BMP(5:0_20:3)+NH4,636.3871,447.348,363.2894,159.1016
BMP(5:0_20:4)+NH4,634.3715,445.3323,361.2737,159.1016
BMP(5:0_20:5)+NH4,632.3558,443.3167,359.2581,159.1016
BMP(5:0_21:0)+NH4,656.4497,467.4106,383.352,159.1016
BMP(5:0_21:1)+NH4,654.4341,465.3949,381.3363,159.1016
BMP(5:0_21:2)+NH4,652.4184,463.3793,379.3207,159.1016
BMP(5:0_22:0)+NH4,670.4653,481.4262,397.3676,159.1016
BMP(5:0_22:1)+NH4,668.4497,479.4106,395.352,159.1016
BMP(5:0_22:2)+NH4,666.4341,477.3949,393.3363,159.1016
BMP(5:0_22:3)+NH4,664.4184,475.3793,391.3207,159.1016
BMP(5:0_22:4)+NH4,662.4028,473.3636,389.305,159.1016
BMP(5:0_22:5)+NH4,660.3871,471.348,387.2894,159.1016
BMP(5:0_22:6)+NH4,658.3715,469.3323,385.2737,159.1016
BMP(5:0_23:0)+NH4,684.481,495.4419,411.3833,159.1016
BMP(5:0_24:0)+NH4,698.4966,509.4575,425.3989,159.1016
BMP(5:0_24:1)+NH4,696.481,507.4419,423.3833,159.1016
BMP(5:0_24:2)+NH4,694.4653,505.4262,421.3676,159.1016
BMP(5:0_24:4)+NH4,690.4341,501.3949,417.3363,159.1016
BMP(5:0_25:0)+NH4,712.5123,523.4732,439.4146,159.1016
BMP(5:0_26:0)+NH4,726.528,537.4888,453.4302,159.1016
BMP(5:0_26:1)+NH4,724.5123,535.4732,451.4146,159.1016
BMP(5:0_26:2)+NH4,722.4966,533.4575,449.3989,159.1016
BMP(5:0_26:4)+NH4,718.4653,529.4262,445.3676,159.1016
BMP(5:0_27:0)+NH4,740.5436,551.5045,467.4459,159.1016
BMP(6:0_6:0)+NH4,460.2306,271.1915,173.1172,173.1172
BMP(6:0_7:0)+NH4,474.2462,285.2071,187.1329,173.1172
BMP(6:0_8:0)+NH4,488.2619,299.2228,201.1485,173.1172
BMP(6:0_9:0)+NH4,502.2776,313.2384,215.1642,173.1172
BMP(6:0_10:0)+NH4,516.2932,327.2541,229.1798,173.1172
BMP(6:0_11:0)+NH4,530.3088,341.2697,243.1955,173.1172
BMP(6:0_12:0)+NH4,544.3245,355.2854,257.2111,173.1172
BMP(6:0_13:0)+NH4,558.3401,369.301,271.2268,173.1172
BMP(6:0_13:1)+NH4,556.3245,367.2854,269.2111,173.1172
BMP(6:0_14:0)+NH4,572.3558,383.3167,285.2424,173.1172
BMP(6:0_14:1)+NH4,570.3401,381.301,283.2268,173.1172
BMP(6:0_15:0)+NH4,586.3715,397.3323,299.2581,173.1172
BMP(6:0_15:1)+NH4,584.3558,395.3167,297.2424,173.1172
BMP(6:0_16:0)+NH4,600.3871,411.348,313.2737,173.1172
BMP(6:0_16:1)+NH4,598.3715,409.3323,311.2581,173.1172
BMP(6:0_16:2)+NH4,596.3558,407.3167,309.2424,173.1172
BMP(6:0_16:3)+NH4,594.3401,405.301,307.2268,173.1172
BMP(6:0_16:4)+NH4,592.3245,403.2854,305.2111,173.1172
BMP(6:0_17:0)+NH4,614.4028,425.3636,327.2894,173.1172
BMP(6:0_17:1)+NH4,612.3871,423.348,325.2737,173.1172
BMP(6:0_17:2)+NH4,610.3715,421.3323,323.2581,173.1172
BMP(6:0_18:0)+NH4,628.4184,439.3793,341.305,173.1172
BMP(6:0_18:1)+NH4,626.4028,437.3636,339.2894,173.1172
BMP(6:0_18:2)+NH4,624.3871,435.348,337.2737,173.1172
BMP(6:0_18:3)+NH4,622.3715,433.3323,335.2581,173.1172
BMP(6:0_18:4)+NH4,620.3558,431.3167,333.2424,173.1172
BMP(6:0_18:5)+NH4,618.3401,429.301,331.2268,173.1172
BMP(6:0_19:0)+NH4,642.4341,453.3949,355.3207,173.1172
BMP(6:0_19:1)+NH4,640.4184,451.3793,353.305,173.1172
BMP(6:0_19:2)+NH4,638.4028,449.3636,351.2894,173.1172
BMP(6:0_20:0)+NH4,656.4497,467.4106,369.3363,173.1172
BMP(6:0_20:1)+NH4,654.4341,465.3949,367.3207,173.1172
BMP(6:0_20:2)+NH4,652.4184,463.3793,365.305,173.1172
BMP(6:0_20:3)+NH4,650.4028,461.3636,363.2894,173.1172
BMP(6:0_20:4)+NH4,648.3871,459.348,361.2737,173.1172
BMP(6:0_20:5)+NH4,646.3715,457.3323,359.2581,173.1172
BMP(6:0_21:0)+NH4,670.4653,481.4262,383.352,173.1172
BMP(6:0_21:1)+NH4,668.4497,479.4106,381.3363,173.1172
