CL,[M-H]-,SN1+SN2+C6H10O5P,SN3+SN4+C6H10O5P,SN1+SN2+C3H6PO4,SN3+SN4+C3H6PO4,SN1+SN2+C6H11P2O8,SN3+SN4+C6H11P2O8,SN1+C3H6PO4,SN2+C3H6PO4,SN3+C3H6PO4,SN4+C3H6PO4,SN1_FA,SN2_FA,SN3_FA,SN4_FA
CL(14:0_14:0_18:2_20:3)-H,1369.91795,647.42909,777.50729,591.40288,721.48108,727.39543,857.47363,363.19408,363.19408,415.22536,441.241,227.20153,227.20153,279.23281,305.24845
CL(14:0_14:0_18:2_20:4)-H,1367.90231,647.42909,775.49165,591.40288,719.46544,727.39543,855.45799,363.19408,363.19408,415.22536,439.22536,227.20153,227.20153,279.23281,303.23281
CL(14:0_14:0_18:2_22:0)-H,1403.99615,647.42909,811.58549,591.40288,755.55928,727.39543,891.55183,363.19408,363.19408,415.22536,475.3192,227.20153,227.20153,279.23281,339.32665
CL(14:0_14:0_18:2_22:5)-H,1393.91795,647.42909,801.50729,591.40288,745.48108,727.39543,881.47363,363.19408,363.19408,415.22536,465.241,227.20153,227.20153,279.23281,329.24845
CL(14:0_14:0_18:2_22:6)-H,1391.90231,647.42909,799.49165,591.40288,743.46544,727.39543,879.45799,363.19408,363.19408,415.22536,463.22536,227.20153,227.20153,279.23281,327.23281
CL(14:0_14:0_18:3_18:3)-H,1339.87103,647.42909,747.46037,591.40288,691.43416,727.39543,827.42671,363.19408,363.19408,413.20972,413.20972,227.20153,227.20153,277.21717,277.21717
CL(14:0_14:0_18:3_20:0)-H,1373.94923,647.42909,781.53857,591.40288,725.51236,727.39543,861.50491,363.19408,363.19408,413.20972,447.28792,227.20153,227.20153,277.21717,311.29537
CL(14:0_14:0_18:3_20:1)-H,1371.93359,647.42909,779.52293,591.40288,723.49672,727.39543,859.48927,363.19408,363.19408,413.20972,445.27228,227.20153,227.20153,277.21717,309.27973
CL(14:0_14:0_18:3_20:2)-H,1369.91795,647.42909,777.50729,591.40288,721.48108,727.39543,857.47363,363.19408,363.19408,413.20972,443.25664,227.20153,227.20153,277.21717,307.26409
CL(14:0_14:0_18:3_20:3)-H,1367.90231,647.42909,775.49165,591.40288,719.46544,727.39543,855.45799,363.19408,363.19408,413.20972,441.241,227.20153,227.20153,277.21717,305.24845
CL(14:0_14:0_18:3_20:4)-H,1365.88667,647.42909,773.47601,591.40288,717.4498,727.39543,853.44235,363.19408,363.19408,413.20972,439.22536,227.20153,227.20153,277.21717,303.23281
CL(14:0_14:0_18:3_22:0)-H,1401.98051,647.42909,809.56985,591.40288,753.54364,727.39543,889.53619,363.19408,363.19408,413.20972,475.3192,227.20153,227.20153,277.21717,339.32665
CL(14:0_14:0_18:3_22:5)-H,1391.90231,647.42909,799.49165,591.40288,743.46544,727.39543,879.45799,363.19408,363.19408,413.20972,465.241,227.20153,227.20153,277.21717,329.24845
CL(14:0_14:0_18:3_22:6)-H,1389.88667,647.42909,797.47601,591.40288,741.4498,727.39543,877.44235,363.19408,363.19408,413.20972,463.22536,227.20153,227.20153,277.21717,327.23281
CL(14:0_14:0_20:0_20:0)-H,1408.02743,647.42909,815.61677,591.40288,759.59056,727.39543,895.58311,363.19408,363.19408,447.28792,447.28792,227.20153,227.20153,311.29537,311.29537
CL(14:0_14:0_20:0_20:1)-H,1406.01179,647.42909,813.60113,591.40288,757.57492,727.39543,893.56747,363.19408,363.19408,447.28792,445.27228,227.20153,227.20153,311.29537,309.27973
CL(14:0_14:0_20:0_20:2)-H,1403.99615,647.42909,811.58549,591.40288,755.55928,727.39543,891.55183,363.19408,363.19408,447.28792,443.25664,227.20153,227.20153,311.29537,307.26409
CL(14:0_14:0_20:0_20:3)-H,1401.98051,647.42909,809.56985,591.40288,753.54364,727.39543,889.53619,363.19408,363.19408,447.28792,441.241,227.20153,227.20153,311.29537,305.24845
CL(14:0_14:0_20:0_20:4)-H,1399.96487,647.42909,807.55421,591.40288,751.528,727.39543,887.52055,363.19408,363.19408,447.28792,439.22536,227.20153,227.20153,311.29537,303.23281
CL(14:0_14:0_20:0_22:0)-H,1436.05871,647.42909,843.64805,591.40288,787.62184,727.39543,923.61439,363.19408,363.19408,447.28792,475.3192,227.20153,227.20153,311.29537,339.32665
CL(14:0_14:0_20:0_22:5)-H,1425.98051,647.42909,833.56985,591.40288,777.54364,727.39543,913.53619,363.19408,363.19408,447.28792,465.241,227.20153,227.20153,311.29537,329.24845
CL(14:0_14:0_20:0_22:6)-H,1423.96487,647.42909,831.55421,591.40288,775.528,727.39543,911.52055,363.19408,363.19408,447.28792,463.22536,227.20153,227.20153,311.29537,327.23281
CL(14:0_14:0_20:1_20:1)-H,1403.99615,647.42909,811.58549,591.40288,755.55928,727.39543,891.55183,363.19408,363.19408,445.27228,445.27228,227.20153,227.20153,309.27973,309.27973
CL(14:0_14:0_20:1_20:2)-H,1401.98051,647.42909,809.56985,591.40288,753.54364,727.39543,889.53619,363.19408,363.19408,445.27228,443.25664,227.20153,227.20153,309.27973,307.26409
CL(14:0_14:0_20:1_20:3)-H,1399.96487,647.42909,807.55421,591.40288,751.528,727.39543,887.52055,363.19408,363.19408,445.27228,441.241,227.20153,227.20153,309.27973,305.24845
CL(14:0_14:0_20:1_20:4)-H,1397.94923,647.42909,805.53857,591.40288,749.51236,727.39543,885.50491,363.19408,363.19408,445.27228,439.22536,227.20153,227.20153,309.27973,303.23281
CL(14:0_14:0_20:1_22:0)-H,1434.04307,647.42909,841.63241,591.40288,785.6062,727.39543,921.59875,363.19408,363.19408,445.27228,475.3192,227.20153,227.20153,309.27973,339.32665
CL(14:0_14:0_20:1_22:5)-H,1423.96487,647.42909,831.55421,591.40288,775.528,727.39543,911.52055,363.19408,363.19408,445.27228,465.241,227.20153,227.20153,309.27973,329.24845
CL(14:0_14:0_20:1_22:6)-H,1421.94923,647.42909,829.53857,591.40288,773.51236,727.39543,909.50491,363.19408,363.19408,445.27228,463.22536,227.20153,227.20153,309.27973,327.23281
CL(14:0_14:0_20:2_20:2)-H,1399.96487,647.42909,807.55421,591.40288,751.528,727.39543,887.52055,363.19408,363.19408,443.25664,443.25664,227.20153,227.20153,307.26409,307.26409
CL(14:0_14:0_20:2_20:3)-H,1397.94923,647.42909,805.53857,591.40288,749.51236,727.39543,885.50491,363.19408,363.19408,443.25664,441.241,227.20153,227.20153,307.26409,305.24845
CL(14:0_14:0_20:2_20:4)-H,1395.93359,647.42909,803.52293,591.40288,747.49672,727.39543,883.48927,363.19408,363.19408,443.25664,439.22536,227.20153,227.20153,307.26409,303.23281
CL(14:0_14:0_20:2_22:0)-H,1432.02743,647.42909,839.61677,591.40288,783.59056,727.39543,919.58311,363.19408,363.19408,443.25664,475.3192,227.20153,227.20153,307.26409,339.32665
CL(14:0_14:0_20:2_22:5)-H,1421.94923,647.42909,829.53857,591.40288,773.51236,727.39543,909.50491,363.19408,363.19408,443.25664,465.241,227.20153,227.20153,307.26409,329.24845
CL(14:0_14:0_20:2_22:6)-H,1419.93359,647.42909,827.52293,591.40288,771.49672,727.39543,907.48927,363.19408,363.19408,443.25664,463.22536,227.20153,227.20153,307.26409,327.23281
CL(14:0_14:0_20:3_20:3)-H,1395.93359,647.42909,803.52293,591.40288,747.49672,727.39543,883.48927,363.19408,363.19408,441.241,441.241,227.20153,227.20153,305.24845,305.24845
CL(14:0_14:0_20:3_20:4)-H,1393.91795,647.42909,801.50729,591.40288,745.48108,727.39543,881.47363,363.19408,363.19408,441.241,439.22536,227.20153,227.20153,305.24845,303.23281
CL(14:0_14:0_20:3_22:0)-H,1430.01179,647.42909,837.60113,591.40288,781.57492,727.39543,917.56747,363.19408,363.19408,441.241,475.3192,227.20153,227.20153,305.24845,339.32665
CL(14:0_14:0_20:3_22:5)-H,1419.93359,647.42909,827.52293,591.40288,771.49672,727.39543,907.48927,363.19408,363.19408,441.241,465.241,227.20153,227.20153,305.24845,329.24845
CL(14:0_14:0_20:3_22:6)-H,1417.91795,647.42909,825.50729,591.40288,769.48108,727.39543,905.47363,363.19408,363.19408,441.241,463.22536,227.20153,227.20153,305.24845,327.23281
CL(14:0_14:0_20:4_20:4)-H,1391.90231,647.42909,799.49165,591.40288,743.46544,727.39543,879.45799,363.19408,363.19408,439.22536,439.22536,227.20153,227.20153,303.23281,303.23281
CL(14:0_14:0_20:4_22:0)-H,1427.99615,647.42909,835.58549,591.40288,779.55928,727.39543,915.55183,363.19408,363.19408,439.22536,475.3192,227.20153,227.20153,303.23281,339.32665
CL(14:0_14:0_20:4_22:5)-H,1417.91795,647.42909,825.50729,591.40288,769.48108,727.39543,905.47363,363.19408,363.19408,439.22536,465.241,227.20153,227.20153,303.23281,329.24845
CL(14:0_14:0_20:4_22:6)-H,1415.90231,647.42909,823.49165,591.40288,767.46544,727.39543,903.45799,363.19408,363.19408,439.22536,463.22536,227.20153,227.20153,303.23281,327.23281
CL(14:0_14:0_22:0_22:0)-H,1464.08999,647.42909,871.67933,591.40288,815.65312,727.39543,951.64567,363.19408,363.19408,475.3192,475.3192,227.20153,227.20153,339.32665,339.32665
CL(14:0_14:0_22:0_22:5)-H,1454.01179,647.42909,861.60113,591.40288,805.57492,727.39543,941.56747,363.19408,363.19408,475.3192,465.241,227.20153,227.20153,339.32665,329.24845
CL(14:0_14:0_22:0_22:6)-H,1451.99615,647.42909,859.58549,591.40288,803.55928,727.39543,939.55183,363.19408,363.19408,475.3192,463.22536,227.20153,227.20153,339.32665,327.23281
CL(14:0_14:0_22:5_22:5)-H,1443.93359,647.42909,851.52293,591.40288,795.49672,727.39543,931.48927,363.19408,363.19408,465.241,465.241,227.20153,227.20153,329.24845,329.24845
CL(14:0_14:0_22:5_22:6)-H,1441.91795,647.42909,849.50729,591.40288,793.48108,727.39543,929.47363,363.19408,363.19408,465.241,463.22536,227.20153,227.20153,329.24845,327.23281
CL(14:0_14:0_22:6_22:6)-H,1439.90231,647.42909,847.49165,591.40288,791.46544,727.39543,927.45799,363.19408,363.19408,463.22536,463.22536,227.20153,227.20153,327.23281,327.23281
CL(14:0_16:0_16:0_16:0)-H,1323.93359,675.46037,703.49165,619.43416,647.46544,755.42671,783.45799,363.19408,391.22536,391.22536,391.22536,227.20153,255.23281,255.23281,255.23281
CL(14:0_16:0_16:0_16:1)-H,1321.91795,675.46037,701.47601,619.43416,645.4498,755.42671,781.44235,363.19408,391.22536,391.22536,389.20972,227.20153,255.23281,255.23281,253.21717
CL(14:0_16:0_16:0_18:0)-H,1351.96487,675.46037,731.52293,619.43416,675.49672,755.42671,811.48927,363.19408,391.22536,391.22536,419.25664,227.20153,255.23281,255.23281,283.26409
CL(14:0_16:0_16:0_18:1)-H,1349.94923,675.46037,729.50729,619.43416,673.48108,755.42671,809.47363,363.19408,391.22536,391.22536,417.241,227.20153,255.23281,255.23281,281.24845
CL(14:0_16:0_16:0_18:2)-H,1347.93359,675.46037,727.49165,619.43416,671.46544,755.42671,807.45799,363.19408,391.22536,391.22536,415.22536,227.20153,255.23281,255.23281,279.23281
CL(14:0_16:0_16:0_18:3)-H,1345.91795,675.46037,725.47601,619.43416,669.4498,755.42671,805.44235,363.19408,391.22536,391.22536,413.20972,227.20153,255.23281,255.23281,277.21717
CL(14:0_16:0_16:0_20:0)-H,1379.99615,675.46037,759.55421,619.43416,703.528,755.42671,839.52055,363.19408,391.22536,391.22536,447.28792,227.20153,255.23281,255.23281,311.29537
CL(14:0_16:0_16:0_20:1)-H,1377.98051,675.46037,757.53857,619.43416,701.51236,755.42671,837.50491,363.19408,391.22536,391.22536,445.27228,227.20153,255.23281,255.23281,309.27973
CL(14:0_16:0_16:0_20:2)-H,1375.96487,675.46037,755.52293,619.43416,699.49672,755.42671,835.48927,363.19408,391.22536,391.22536,443.25664,227.20153,255.23281,255.23281,307.26409
CL(14:0_16:0_16:0_20:3)-H,1373.94923,675.46037,753.50729,619.43416,697.48108,755.42671,833.47363,363.19408,391.22536,391.22536,441.241,227.20153,255.23281,255.23281,305.24845
CL(14:0_16:0_16:0_20:4)-H,1371.93359,675.46037,751.49165,619.43416,695.46544,755.42671,831.45799,363.19408,391.22536,391.22536,439.22536,227.20153,255.23281,255.23281,303.23281
CL(14:0_16:0_16:0_22:0)-H,1408.02743,675.46037,787.58549,619.43416,731.55928,755.42671,867.55183,363.19408,391.22536,391.22536,475.3192,227.20153,255.23281,255.23281,339.32665
CL(14:0_16:0_16:0_22:5)-H,1397.94923,675.46037,777.50729,619.43416,721.48108,755.42671,857.47363,363.19408,391.22536,391.22536,465.241,227.20153,255.23281,255.23281,329.24845
CL(14:0_16:0_16:0_22:6)-H,1395.93359,675.46037,775.49165,619.43416,719.46544,755.42671,855.45799,363.19408,391.22536,391.22536,463.22536,227.20153,255.23281,255.23281,327.23281
CL(14:0_16:0_16:1_16:1)-H,1319.90231,675.46037,699.46037,619.43416,643.43416,755.42671,779.42671,363.19408,391.22536,389.20972,389.20972,227.20153,255.23281,253.21717,253.21717
CL(14:0_16:0_16:1_18:0)-H,1349.94923,675.46037,729.50729,619.43416,673.48108,755.42671,809.47363,363.19408,391.22536,389.20972,419.25664,227.20153,255.23281,253.21717,283.26409
CL(14:0_16:0_16:1_18:1)-H,1347.93359,675.46037,727.49165,619.43416,671.46544,755.42671,807.45799,363.19408,391.22536,389.20972,417.241,227.20153,255.23281,253.21717,281.24845
