Sulfatide,[M-H]-,M-H-H2O-,prec-_sn2,prec-_sn2-H20,Ion_C6H9O8S-,ion_SO4H-
Sulfatide(d17:0_16:0)-H,766.514463,748.503903,528.284943,510.274383,241.00236,96.96011
Sulfatide(d17:0_18:0)-H,794.5457631,776.5352031,528.2849631,510.2744031,241.00236,96.96011
Sulfatide(d17:0_18:1)-H,792.5301131,774.5195531,528.2849531,510.2743931,241.00236,96.96011
Sulfatide(d17:0_20:0)-H,822.5770633,804.5665033,528.2849833,510.2744233,241.00236,96.96011
Sulfatide(d17:0_22:0)-H,850.6083634,832.5978034,528.2850034,510.2744434,241.00236,96.96011
Sulfatide(d17:0_24:0)-H,878.6396635,860.6291035,528.2850235,510.2744635,241.00236,96.96011
Sulfatide(d17:0_24:1)-H,876.6240134,858.6134534,528.2850134,510.2744534,241.00236,96.96011
Sulfatide(d17:0_24:4)-H,870.5770633,852.5665033,528.2849833,510.2744233,241.00236,96.96011
Sulfatide(d17:0_26:0)-H,906.6709636,888.6604036,528.2850436,510.2744836,241.00236,96.96011
Sulfatide(d17:0_26:1)-H,904.6553136,886.6447536,528.2850336,510.2744736,241.00236,96.96011
Sulfatide(d17:1_2:0)-H,568.279712,550.269152,526.269152,508.258592,241.00236,96.96011
Sulfatide(d17:1_10:0)-H,680.4049126,662.3943526,526.2692326,508.2586726,241.00236,96.96011
Sulfatide(d17:1_12:0)-H,708.4362127,690.4256527,526.2692527,508.2586927,241.00236,96.96011
Sulfatide(d17:1_14:0)-H,736.4675128,718.4569528,526.2692728,508.2587128,241.00236,96.96011
Sulfatide(d17:1_16:0)-H,764.4988129,746.4882529,526.2692929,508.2587329,241.00236,96.96011
Sulfatide(d17:1_18:0)-H,792.5301131,774.5195531,526.2693131,508.2587531,241.00236,96.96011
Sulfatide(d17:1_18:1)-H,790.514463,772.503903,526.269303,508.258743,241.00236,96.96011
Sulfatide(d17:1_20:0)-H,820.5614132,802.5508532,526.2693332,508.2587732,241.00236,96.96011
Sulfatide(d17:1_22:0)-H,848.5927133,830.5821533,526.2693533,508.2587933,241.00236,96.96011
Sulfatide(d17:1_24:0)-H,876.6240134,858.6134534,526.2693734,508.2588134,241.00236,96.96011
Sulfatide(d17:1_24:1)-H,874.6083634,856.5978034,526.2693634,508.2588034,241.00236,96.96011
Sulfatide(d17:1_24:4)-H,868.5614132,850.5508532,526.2693332,508.2587732,241.00236,96.96011
Sulfatide(d17:1_26:0)-H,904.6553136,886.6447536,526.2693936,508.2588336,241.00236,96.96011
