DGTS,[M+H]+,C10H21NO5H,C7H14NO2
DGTS(48:3)+H,930.812,236.1492,144.1019
DGTS(48:5)+H,926.7807,236.1492,144.1019
DGTS(49:1)+H,948.859,236.1492,144.1019
DGTS(48:6)+H,924.7651,236.1492,144.1019
DGTS(49:2)+H,946.8433,236.1492,144.1019
DGTS(48:7)+H,922.7495,236.1492,144.1019
DGTS(49:3)+H,944.8277,236.1492,144.1019
DGTS(44:10)+H,860.6399,236.1492,144.1019
DGTS(48:8)+H,920.7338,236.1492,144.1019
DGTS(49:4)+H,942.812,236.1492,144.1019
DGTS(44:11)+H,858.6242,236.1492,144.1019
DGTS(48:9)+H,918.7181,236.1492,144.1019
DGTS(49:5)+H,940.7964,236.1492,144.1019
DGTS(44:12)+H,856.6086,236.1492,144.1019
DGTS(46:10)+H,888.6712,236.1492,144.1019
DGTS(48:10)+H,916.7025,236.1492,144.1019
DGTS(49:6)+H,938.7807,236.1492,144.1019
DGTS(50:0)+H,964.8903,236.1492,144.1019
DGTS(50:1)+H,962.8746,236.1492,144.1019
DGTS(50:2)+H,960.859,236.1492,144.1019
DGTS(50:4)+H,956.8277,236.1492,144.1019
DGTS(51:0)+H,978.9059,236.1492,144.1019
DGTS(50:3)+H,958.8433,236.1492,144.1019
DGTS(50:5)+H,954.812,236.1492,144.1019
DGTS(51:1)+H,976.8903,236.1492,144.1019
DGTS(50:6)+H,952.7964,236.1492,144.1019
DGTS(51:2)+H,974.8746,236.1492,144.1019
DGTS(50:8)+H,948.7651,236.1492,144.1019
DGTS(51:4)+H,970.8433,236.1492,144.1019
DGTS(52:0)+H,992.9216,236.1492,144.1019
DGTS(52:1)+H,990.9059,236.1492,144.1019
DGTS(52:2)+H,988.8903,236.1492,144.1019
DGTS(52:4)+H,984.859,236.1492,144.1019
DGTS(53:0)+H,1006.937,236.1492,144.1019
DGTS(52:3)+H,986.8746,236.1492,144.1019
DGTS(52:5)+H,982.8433,236.1492,144.1019
DGTS(53:1)+H,1004.922,236.1492,144.1019
DGTS(52:6)+H,980.8277,236.1492,144.1019
DGTS(53:2)+H,1002.906,236.1492,144.1019
DGTS(52:8)+H,976.7964,236.1492,144.1019
DGTS(53:4)+H,998.8746,236.1492,144.1019
DGTS(54:0)+H,1020.953,236.1492,144.1019
