OxPE,[M+H]+,NL_head,NL_T1RCO,NL_T2RCO,T1_RCO+,T2_RCO+,T1RCOO+58,T2RCOO+58,head
OxPE(8:0_8:1(COOH))+H,496.23066,355.21155,229.10708,201.14854,127.11177,155.07031,201.14855,229.10709,142.02639
OxPE(8:0_9:1(COOH))+H,510.24631,369.2272,243.12273,201.14854,127.11177,169.08596,201.14855,243.12274,142.02639
OxPE(8:0_9:2(COOH))+H,508.23066,367.21155,241.10708,201.14854,127.11177,167.07031,201.14855,241.10709,142.02639
OxPE(8:0_10:1(COOH))+H,524.26196,383.24285,257.13838,201.14854,127.11177,183.10161,201.14855,257.13839,142.02639
OxPE(8:0_10:2(COOH))+H,522.24631,381.2272,255.12273,201.14854,127.11177,181.08596,201.14855,255.12274,142.02639
OxPE(8:0_11:1(COOH))+H,538.27761,397.2585,271.15403,201.14854,127.11177,197.11726,201.14855,271.15404,142.02639
OxPE(8:0_11:2(COOH))+H,536.26196,395.24285,269.13838,201.14854,127.11177,195.10161,201.14855,269.13839,142.02639
OxPE(8:0_12:1(COOH))+H,552.29326,411.27415,285.16968,201.14854,127.11177,211.13291,201.14855,285.16969,142.02639
OxPE(8:0_12:2(COOH))+H,550.27761,409.2585,283.15403,201.14854,127.11177,209.11726,201.14855,283.15404,142.02639
OxPE(8:0_12:3(COOH))+H,548.26196,407.24285,281.13838,201.14854,127.11177,207.10161,201.14855,281.13839,142.02639
OxPE(8:0_13:1(COOH))+H,566.30891,425.2898,299.18533,201.14854,127.11177,225.14856,201.14855,299.18534,142.02639
OxPE(8:0_13:2(COOH))+H,564.29326,423.27415,297.16968,201.14854,127.11177,223.13291,201.14855,297.16969,142.02639
OxPE(8:0_13:3(COOH))+H,562.27761,421.2585,295.15403,201.14854,127.11177,221.11726,201.14855,295.15404,142.02639
OxPE(8:0_14:1(COOH))+H,580.32456,439.30545,313.20098,201.14854,127.11177,239.16421,201.14855,313.20099,142.02639
OxPE(8:0_14:2(COOH))+H,578.30891,437.2898,311.18533,201.14854,127.11177,237.14856,201.14855,311.18534,142.02639
OxPE(8:0_14:3(COOH))+H,576.29326,435.27415,309.16968,201.14854,127.11177,235.13291,201.14855,309.16969,142.02639
OxPE(8:0_15:1(COOH))+H,594.34021,453.3211,327.21663,201.14854,127.11177,253.17986,201.14855,327.21664,142.02639
OxPE(8:0_15:2(COOH))+H,592.32456,451.30545,325.20098,201.14854,127.11177,251.16421,201.14855,325.20099,142.02639
OxPE(8:0_15:3(COOH))+H,590.30891,449.2898,323.18533,201.14854,127.11177,249.14856,201.14855,323.18534,142.02639
OxPE(8:0_15:4(COOH))+H,588.29326,447.27415,321.16968,201.14854,127.11177,247.13291,201.14855,321.16969,142.02639
OxPE(8:0_16:1(COOH))+H,608.35586,467.33675,341.23228,201.14854,127.11177,267.19551,201.14855,341.23229,142.02639
OxPE(8:0_16:2(COOH))+H,606.34021,465.3211,339.21663,201.14854,127.11177,265.17986,201.14855,339.21664,142.02639
OxPE(8:0_16:3(COOH))+H,604.32456,463.30545,337.20098,201.14854,127.11177,263.16421,201.14855,337.20099,142.02639
OxPE(8:0_16:4(COOH))+H,602.30891,461.2898,335.18533,201.14854,127.11177,261.14856,201.14855,335.18534,142.02639
OxPE(8:0_17:4(COOH))+H,616.32456,475.30545,349.20098,201.14854,127.11177,275.16421,201.14855,349.20099,142.02639
OxPE(8:0_18:4(COOH))+H,630.34021,489.3211,363.21663,201.14854,127.11177,289.17986,201.14855,363.21664,142.02639
OxPE(8:0_18:5(COOH))+H,628.32456,487.30545,361.20098,201.14854,127.11177,287.16421,201.14855,361.20099,142.02639
OxPE(8:0_19:4(COOH))+H,644.35586,503.33675,377.23228,201.14854,127.11177,303.19551,201.14855,377.23229,142.02639
OxPE(8:0_19:5(COOH))+H,642.34021,501.3211,375.21663,201.14854,127.11177,301.17986,201.14855,375.21664,142.02639
OxPE(8:0_3:0(CHO))+H,412.17313,271.15402,145.04955,201.14854,127.11177,71.01278,201.14855,145.04956,142.02639
OxPE(8:0_4:0(CHO))+H,426.18878,285.16967,159.0652,201.14854,127.11177,85.02843,201.14855,159.06521,142.02639
OxPE(10:0_5:0(CHO))+H,468.23573,327.21662,173.08085,229.17984,155.14307,99.04408,229.17985,173.08086,142.02639
OxPE(10:0_6:0(CHO))+H,482.25138,341.23227,187.0965,229.17984,155.14307,113.05973,229.17985,187.09651,142.02639
OxPE(10:0_7:0(CHO))+H,496.26703,355.24792,201.11215,229.17984,155.14307,127.07538,229.17985,201.11216,142.02639
OxPE(10:0_8:0(CHO))+H,510.28268,369.26357,215.1278,229.17984,155.14307,141.09103,229.17985,215.12781,142.02639
OxPE(10:0_9:0(CHO))+H,524.29833,383.27922,229.14345,229.17984,155.14307,155.10668,229.17985,229.14346,142.02639
OxPE(10:0_10:0(CHO))+H,538.31398,397.29487,243.1591,229.17984,155.14307,169.12233,229.17985,243.15911,142.02639
OxPE(10:0_11:0(CHO))+H,552.32963,411.31052,257.17475,229.17984,155.14307,183.13798,229.17985,257.17476,142.02639
OxPE(10:0_12:0(CHO))+H,566.34528,425.32617,271.1904,229.17984,155.14307,197.15363,229.17985,271.19041,142.02639
OxPE(10:0_13:0(CHO))+H,580.36093,439.34182,285.20605,229.17984,155.14307,211.16928,229.17985,285.20606,142.02639
OxPE(10:0_14:0(CHO))+H,594.37658,453.35747,299.2217,229.17984,155.14307,225.18493,229.17985,299.22171,142.02639
OxPE(10:0_15:0(CHO))+H,608.39223,467.37312,313.23735,229.17984,155.14307,239.20058,229.17985,313.23736,142.02639
OxPE(10:0_6:1(CHO))+H,480.23574,339.21663,185.08086,229.17984,155.14307,111.04409,229.17985,185.08087,142.02639
OxPE(10:0_7:1(CHO))+H,494.25139,353.23228,199.09651,229.17984,155.14307,125.05974,229.17985,199.09652,142.02639
OxPE(10:0_8:1(CHO))+H,508.26704,367.24793,213.11216,229.17984,155.14307,139.07539,229.17985,213.11217,142.02639
OxPE(10:0_9:1(CHO))+H,522.28269,381.26358,227.12781,229.17984,155.14307,153.09104,229.17985,227.12782,142.02639
OxPE(10:0_9:2(CHO))+H,520.26704,379.24793,225.11216,229.17984,155.14307,151.07539,229.17985,225.11217,142.02639
OxPE(10:0_10:1(CHO))+H,536.29834,395.27923,241.14346,229.17984,155.14307,167.10669,229.17985,241.14347,142.02639
OxPE(10:0_10:2(CHO))+H,534.28269,393.26358,239.12781,229.17984,155.14307,165.09104,229.17985,239.12782,142.02639
OxPE(10:0_11:1(CHO))+H,550.31399,409.29488,255.15911,229.17984,155.14307,181.12234,229.17985,255.15912,142.02639
OxPE(10:0_11:2(CHO))+H,548.29834,407.27923,253.14346,229.17984,155.14307,179.10669,229.17985,253.14347,142.02639
OxPE(10:0_12:1(CHO))+H,564.32964,423.31053,269.17476,229.17984,155.14307,195.13799,229.17985,269.17477,142.02639
OxPE(10:0_12:2(CHO))+H,562.31399,421.29488,267.15911,229.17984,155.14307,193.12234,229.17985,267.15912,142.02639
OxPE(10:0_12:3(CHO))+H,560.29834,419.27923,265.14346,229.17984,155.14307,191.10669,229.17985,265.14347,142.02639
OxPE(10:0_13:1(CHO))+H,578.34529,437.32618,283.19041,229.17984,155.14307,209.15364,229.17985,283.19042,142.02639
OxPE(10:0_13:2(CHO))+H,576.32964,435.31053,281.17476,229.17984,155.14307,207.13799,229.17985,281.17477,142.02639
OxPE(10:0_13:3(CHO))+H,574.31399,433.29488,279.15911,229.17984,155.14307,205.12234,229.17985,279.15912,142.02639
OxPE(10:0_14:1(CHO))+H,592.36094,451.34183,297.20606,229.17984,155.14307,223.16929,229.17985,297.20607,142.02639
OxPE(10:0_14:2(CHO))+H,590.34529,449.32618,295.19041,229.17984,155.14307,221.15364,229.17985,295.19042,142.02639
OxPE(10:0_14:3(CHO))+H,588.32964,447.31053,293.17476,229.17984,155.14307,219.13799,229.17985,293.17477,142.02639
OxPE(10:0_15:1(CHO))+H,606.37659,465.35748,311.22171,229.17984,155.14307,237.18494,229.17985,311.22172,142.02639
OxPE(10:0_15:2(CHO))+H,604.36094,463.34183,309.20606,229.17984,155.14307,235.16929,229.17985,309.20607,142.02639
OxPE(10:0_15:3(CHO))+H,602.34529,461.32618,307.19041,229.17984,155.14307,233.15364,229.17985,307.19042,142.02639
OxPE(10:0_15:4(CHO))+H,600.32964,459.31053,305.17476,229.17984,155.14307,231.13799,229.17985,305.17477,142.02639
OxPE(10:0_16:1(CHO))+H,620.39224,479.37313,325.23736,229.17984,155.14307,251.20059,229.17985,325.23737,142.02639
OxPE(10:0_16:2(CHO))+H,618.37659,477.35748,323.22171,229.17984,155.14307,249.18494,229.17985,323.22172,142.02639
OxPE(10:0_16:3(CHO))+H,616.36094,475.34183,321.20606,229.17984,155.14307,247.16929,229.17985,321.20607,142.02639
OxPE(10:0_16:4(CHO))+H,614.34529,473.32618,319.19041,229.17984,155.14307,245.15364,229.17985,319.19042,142.02639
OxPE(10:0_17:4(CHO))+H,628.36094,487.34183,333.20606,229.17984,155.14307,259.16929,229.17985,333.20607,142.02639
OxPE(10:0_18:4(CHO))+H,642.37659,501.35748,347.22171,229.17984,155.14307,273.18494,229.17985,347.22172,142.02639
OxPE(10:0_18:5(CHO))+H,640.36094,499.34183,345.20606,229.17984,155.14307,271.16929,229.17985,345.20607,142.02639
OxPE(10:0_19:4(CHO))+H,656.39224,515.37313,361.23736,229.17984,155.14307,287.20059,229.17985,361.23737,142.02639
