OxPE,[M+H]+,NL_head,head
OxPE(19:2(KeKeO))+H,550.24122,409.22211,142.02639
OxPE(19:2(KeOKeO))+H,566.23614,425.21703,142.02639
OxPE(19:3(KeKe))+H,532.23065,391.21154,142.02639
OxPE(19:3(KeKeO))+H,548.22557,407.20646,142.02639
OxPE(19:3(KeOKeO))+H,564.22049,423.20138,142.02639
OxPE(19:4(KeKe))+H,530.21501,389.1959,142.02639
OxPE(19:4(KeOKe))+H,546.20992,405.19081,142.02639
OxPE(19:4(KeOKeO))+H,562.20484,421.18573,142.02639
OxPE(20:0(Ke))+H,538.31398,397.29487,142.02639
OxPE(20:0(KeKe))+H,552.29324,411.27413,142.02639
OxPE(20:0(KeO))+H,554.3089,413.28979,142.02639
OxPE(20:0(KeKeO))+H,568.28816,427.26905,142.02639
OxPE(20:0(KeOKeO))+H,584.28308,443.26397,142.02639
OxPE(20:1(Ke))+H,536.29834,395.27923,142.02639
OxPE(20:1(KeKe))+H,550.27762,409.25851,142.02639
OxPE(20:1(KeO))+H,552.29326,411.27415,142.02639
OxPE(20:1(KeKeO))+H,566.27254,425.25343,142.02639
OxPE(20:1(OKeO))+H,568.2882,427.26909,142.02639
OxPE(20:1(KeOKeO))+H,582.26746,441.24835,142.02639
OxPE(20:1(OOKeO))+H,584.28312,443.26401,142.02639
OxPE(20:1(OOOKeO))+H,600.27804,459.25893,142.02639
OxPE(20:1(OOOOKeO))+H,616.27296,475.25385,142.02639
OxPE(20:2(Ke))+H,534.28269,393.26358,142.02639
OxPE(20:2(KeKe))+H,548.26198,407.24287,142.02639
OxPE(20:2(KeO))+H,550.27761,409.2585,142.02639
OxPE(20:2(KeKeO))+H,564.2569,423.23779,142.02639
OxPE(20:2(OKeO))+H,566.27256,425.25345,142.02639
OxPE(20:2(KeOKeO))+H,580.25182,439.23271,142.02639
OxPE(20:2(OOKeO))+H,582.26748,441.24837,142.02639
OxPE(20:2(OOOKeO))+H,598.2624,457.24329,142.02639
OxPE(20:2(OOOOKeO))+H,614.25732,473.23821,142.02639
OxPE(20:3(Ke))+H,532.26704,391.24793,142.02639
OxPE(20:3(KeKe))+H,546.2463,405.22719,142.02639
OxPE(20:3(KeO))+H,548.26196,407.24285,142.02639
OxPE(20:3(KeKeO))+H,562.24122,421.22211,142.02639
OxPE(20:3(KeOKeO))+H,578.23614,437.21703,142.02639
OxPE(20:4(KeKe))+H,544.23065,403.21154,142.02639
OxPE(20:4(KeKeO))+H,560.22557,419.20646,142.02639
OxPE(20:4(KeOKeO))+H,576.22049,435.20138,142.02639
OxPE(21:0(Ke))+H,552.32963,411.31052,142.02639
OxPE(21:0(KeKe))+H,566.30889,425.28978,142.02639
OxPE(21:0(KeO))+H,568.32455,427.30544,142.02639
OxPE(21:0(KeKeO))+H,582.30381,441.2847,142.02639
OxPE(21:0(KeOKeO))+H,598.29873,457.27962,142.02639
OxPE(21:1(Ke))+H,550.31399,409.29488,142.02639
OxPE(21:1(KeKe))+H,564.29327,423.27416,142.02639
OxPE(21:1(KeO))+H,566.30891,425.2898,142.02639
OxPE(21:1(KeKeO))+H,580.28819,439.26908,142.02639
OxPE(21:1(OKeO))+H,582.30385,441.28474,142.02639
OxPE(21:1(KeOKeO))+H,596.28311,455.264,142.02639
OxPE(21:1(OOKeO))+H,598.29877,457.27966,142.02639
OxPE(21:1(OOOKeO))+H,614.29369,473.27458,142.02639
OxPE(21:1(OOOOKeO))+H,630.28861,489.2695,142.02639
OxPE(21:2(Ke))+H,548.29834,407.27923,142.02639
OxPE(21:2(KeKe))+H,562.27763,421.25852,142.02639
OxPE(21:2(OKe))+H,564.29325,423.27414,142.02639
OxPE(21:2(KeKeO))+H,578.27255,437.25344,142.02639
OxPE(21:2(OKeO))+H,580.28817,439.26906,142.02639
OxPE(21:2(KeOKeO))+H,594.26747,453.24836,142.02639
OxPE(21:2(OOKeO))+H,596.28309,455.26398,142.02639
OxPE(21:2(OOOKeO))+H,612.27805,471.25894,142.02639
OxPE(21:2(OOOOKeO))+H,628.27297,487.25386,142.02639
OxPE(21:3(Ke))+H,546.28269,405.26358,142.02639
OxPE(21:3(KeKe))+H,560.26197,419.24286,142.02639
OxPE(21:3(KeO))+H,562.27761,421.2585,142.02639
OxPE(21:3(KeKeO))+H,576.25689,435.23778,142.02639
OxPE(21:3(OKeO))+H,578.27255,437.25344,142.02639
OxPE(21:3(KeOKeO))+H,592.25181,451.2327,142.02639
OxPE(21:3(OOKeO))+H,594.26747,453.24836,142.02639
OxPE(21:3(OOOKeO))+H,610.26239,469.24328,142.02639
OxPE(21:3(OOOOKeO))+H,626.25731,485.2382,142.02639
OxPE(21:4(Ke))+H,544.26703,403.24792,142.02639
OxPE(21:4(KeKe))+H,558.24627,417.22716,142.02639
OxPE(21:4(OKe))+H,560.26193,419.24282,142.02639
OxPE(21:4(KeOKe))+H,574.24119,433.22208,142.02639
OxPE(21:4(OKeO))+H,576.25685,435.23774,142.02639
OxPE(21:4(KeOKeO))+H,590.23611,449.217,142.02639
OxPE(21:4(OOKeO))+H,592.25177,451.23266,142.02639
OxPE(21:4(OOOKeO))+H,608.24669,467.22758,142.02639
OxPE(21:4(OOOOKeO))+H,624.24161,483.2225,142.02639
OxPE(21:5(KeKe))+H,556.23066,415.21155,142.02639
OxPE(21:5(KeOKe))+H,572.22557,431.20646,142.02639
OxPE(21:5(KeOKeO))+H,588.22049,447.20138,142.02639
OxPE(22:0(Ke))+H,566.34528,425.32617,142.02639
OxPE(22:0(KeKe))+H,580.32454,439.30543,142.02639
OxPE(22:0(KeO))+H,582.3402,441.32109,142.02639
OxPE(22:0(KeKeO))+H,596.31946,455.30035,142.02639
OxPE(22:0(KeOKeO))+H,612.31438,471.29527,142.02639
OxPE(22:1(Ke))+H,564.32964,423.31053,142.02639
OxPE(22:1(O))+H,566.34532,425.32621,142.02639
OxPE(22:1(KeKe))+H,578.30892,437.28981,142.02639
OxPE(22:1(KeO))+H,580.32456,439.30545,142.02639
OxPE(22:1(OO))+H,582.34024,441.32113,142.02639
OxPE(22:1(KeKeO))+H,594.30384,453.28473,142.02639
OxPE(22:1(OKeO))+H,596.3195,455.30039,142.02639
OxPE(22:1(OOO))+H,598.33516,457.31605,142.02639
OxPE(22:1(KeOKeO))+H,610.29876,469.27965,142.02639
OxPE(22:1(OOKeO))+H,612.31442,471.29531,142.02639
OxPE(22:1(OOOO))+H,614.33008,473.31097,142.02639
OxPE(22:1(OOOKeO))+H,628.30934,487.29023,142.02639
OxPE(22:1(OOOOKeO))+H,644.30426,503.28515,142.02639
OxPE(22:2(Ke))+H,562.31399,421.29488,142.02639
OxPE(22:2(KeKe))+H,576.29328,435.27417,142.02639
OxPE(22:2(OKe))+H,578.3089,437.28979,142.02639
OxPE(22:2(KeKeO))+H,592.2882,451.26909,142.02639
OxPE(22:2(OKeO))+H,594.30382,453.28471,142.02639
OxPE(22:2(KeOKeO))+H,608.28312,467.26401,142.02639
OxPE(22:2(OOKeO))+H,610.29874,469.27963,142.02639
OxPE(22:2(OOOKeO))+H,626.2937,485.27459,142.02639
OxPE(22:2(OOOOKeO))+H,642.28862,501.26951,142.02639
OxPE(22:3(Ke))+H,560.29834,419.27923,142.02639
OxPE(22:3(KeKe))+H,574.27762,433.25851,142.02639
OxPE(22:3(KeO))+H,576.29326,435.27415,142.02639
OxPE(22:3(KeKeO))+H,590.27254,449.25343,142.02639
OxPE(22:3(OKeO))+H,592.2882,451.26909,142.02639
OxPE(22:3(KeOKeO))+H,606.26746,465.24835,142.02639
OxPE(22:3(OOKeO))+H,608.28312,467.26401,142.02639
OxPE(22:3(OOOKeO))+H,624.27804,483.25893,142.02639
OxPE(22:3(OOOOKeO))+H,640.27296,499.25385,142.02639
OxPE(22:4(Ke))+H,558.28268,417.26357,142.02639
OxPE(22:4(KeKe))+H,572.26192,431.24281,142.02639
OxPE(22:4(OKe))+H,574.27758,433.25847,142.02639
OxPE(22:4(KeKeO))+H,588.25684,447.23773,142.02639
OxPE(22:4(OKeO))+H,590.2725,449.25339,142.02639
OxPE(22:4(KeOKeO))+H,604.25176,463.23265,142.02639
OxPE(22:4(OOKeO))+H,606.26742,465.24831,142.02639
OxPE(22:4(OOOKeO))+H,622.26234,481.24323,142.02639
OxPE(22:4(OOOOKeO))+H,638.25726,497.23815,142.02639
OxPE(22:5(KeKe))+H,570.24631,429.2272,142.02639
OxPE(22:5(KeOKe))+H,586.24122,445.22211,142.02639
OxPE(22:5(KeOKeO))+H,602.23614,461.21703,142.02639
OxPE(23:0(Ke))+H,580.36093,439.34182,142.02639
OxPE(23:0(KeKe))+H,594.34019,453.32108,142.02639
OxPE(23:0(KeO))+H,596.35585,455.33674,142.02639
OxPE(23:0(KeKeO))+H,610.33511,469.316,142.02639
OxPE(23:0(KeOKeO))+H,626.33003,485.31092,142.02639
OxPE(23:1(Ke))+H,578.34529,437.32618,142.02639
OxPE(23:1(O))+H,580.36092,439.34181,142.02639
OxPE(23:1(KeKe))+H,592.32457,451.30546,142.02639
OxPE(23:1(KeO))+H,594.34021,453.3211,142.02639
OxPE(23:1(OO))+H,596.35584,455.33673,142.02639
OxPE(23:1(KeKeO))+H,608.31949,467.30038,142.02639
OxPE(23:1(OKeO))+H,610.33515,469.31604,142.02639
OxPE(23:1(OOO))+H,612.35076,471.33165,142.02639
OxPE(23:1(KeOKeO))+H,624.31441,483.2953,142.02639
OxPE(23:1(OOKeO))+H,626.33007,485.31096,142.02639
OxPE(23:1(OOOO))+H,628.34568,487.32657,142.02639
OxPE(23:1(OOOKeO))+H,642.32499,501.30588,142.02639
OxPE(23:1(OOOOKeO))+H,658.31991,517.3008,142.02639
OxPE(23:2(Ke))+H,576.32964,435.31053,142.02639
OxPE(23:2(KeKe))+H,590.30893,449.28982,142.02639
OxPE(23:2(OKe))+H,592.32455,451.30544,142.02639
OxPE(23:2(KeKeO))+H,606.30385,465.28474,142.02639
OxPE(23:2(OKeO))+H,608.31947,467.30036,142.02639
OxPE(23:2(KeOKeO))+H,622.29877,481.27966,142.02639
OxPE(23:2(OOKeO))+H,624.31439,483.29528,142.02639
OxPE(23:2(OOOKeO))+H,640.30935,499.29024,142.02639
OxPE(23:2(OOOOKeO))+H,656.30427,515.28516,142.02639
OxPE(23:3(Ke))+H,574.31399,433.29488,142.02639
OxPE(23:3(KeKe))+H,588.29328,447.27417,142.02639
OxPE(23:3(KeO))+H,590.30891,449.2898,142.02639
OxPE(23:3(KeKeO))+H,604.2882,463.26909,142.02639
OxPE(23:3(OKeO))+H,606.30386,465.28475,142.02639
OxPE(23:3(KeOKeO))+H,620.28312,479.26401,142.02639
OxPE(23:3(OOKeO))+H,622.29878,481.27967,142.02639
OxPE(23:3(OOOKeO))+H,638.2937,497.27459,142.02639
OxPE(23:3(OOOOKeO))+H,654.28862,513.26951,142.02639
OxPE(23:4(Ke))+H,572.29834,431.27923,142.02639
OxPE(23:4(KeKe))+H,586.27759,445.25848,142.02639
OxPE(23:4(OKe))+H,588.29325,447.27414,142.02639
OxPE(23:4(KeOKe))+H,602.27249,461.25338,142.02639
OxPE(23:4(OKeO))+H,604.28817,463.26906,142.02639
OxPE(23:4(KeOKeO))+H,618.26741,477.2483,142.02639
OxPE(23:4(OOOKe))+H,620.28307,479.26396,142.02639
OxPE(23:4(OOOKeO))+H,636.27799,495.25888,142.02639
OxPE(23:4(OOOOKeO))+H,652.27291,511.2538,142.02639
OxPE(23:5(Ke))+H,570.28268,429.26357,142.02639
OxPE(23:5(KeKe))+H,584.26197,443.24286,142.02639
OxPE(23:5(KeO))+H,586.2776,445.25849,142.02639
OxPE(23:5(KeKeO))+H,600.25689,459.23778,142.02639
OxPE(23:5(OKeO))+H,602.27255,461.25344,142.02639
OxPE(23:5(KeOKeO))+H,616.25181,475.2327,142.02639
OxPE(23:5(OOKeO))+H,618.26747,477.24836,142.02639
OxPE(23:5(OOOKeO))+H,634.26239,493.24328,142.02639
OxPE(23:5(OOOOKeO))+H,650.25731,509.2382,142.02639
OxPE(24:0(Ke))+H,594.37658,453.35747,142.02639
OxPE(24:0(KeKe))+H,608.35584,467.33673,142.02639
OxPE(24:0(KeO))+H,610.3715,469.35239,142.02639
OxPE(24:0(KeKeO))+H,624.35076,483.33165,142.02639
OxPE(24:0(KeOKeO))+H,640.34568,499.32657,142.02639
OxPE(24:1(Ke))+H,592.36094,451.34183,142.02639
OxPE(24:1(O))+H,594.37662,453.35751,142.02639
OxPE(24:1(KeKe))+H,606.34022,465.32111,142.02639
OxPE(24:1(KeO))+H,608.35586,467.33675,142.02639
OxPE(24:1(OO))+H,610.37154,469.35243,142.02639
OxPE(24:1(KeKeO))+H,622.33514,481.31603,142.02639
OxPE(24:1(OKeO))+H,624.3508,483.33169,142.02639
OxPE(24:1(OOO))+H,626.36646,485.34735,142.02639
OxPE(24:1(KeOKeO))+H,638.33006,497.31095,142.02639
OxPE(24:1(OOKeO))+H,640.34572,499.32661,142.02639
OxPE(24:1(OOOO))+H,642.36138,501.34227,142.02639
OxPE(24:1(OOOKeO))+H,656.34064,515.32153,142.02639
OxPE(24:1(OOOOKeO))+H,672.33556,531.31645,142.02639
OxPE(24:2(Ke))+H,590.34529,449.32618,142.02639
OxPE(24:2(KeKe))+H,604.32458,463.30547,142.02639
