PC,[M+HCO2]-,NL_CH3&HCO2,NL_Choline&HCO2,NL_T1Ketene&CH3&HCO2,NL_T2Ketene&CH3&HCO3,NL_T1RCOOH&CH3&HCO2,NL_T2RCOOH&CH3&HCO3,GlyceroPC_NLCH3&H2O,T1_RCOO-,T2_RCOO-,PC_NLCH3, Glycerol-3-phosphate_NLH2O,H2PO4-,PO3-
PC(10:0_17:0)+HCO2,708.48218,648.46104,577.38754,494.32527,396.21567,476.31471,378.20511,224.06881,171.13905,269.24865,168.04314,152.99586,96.96964,78.95852
PC(10:0_17:1)+HCO2,706.46648,646.44534,575.37184,492.30957,396.21567,474.29901,378.20511,224.06881,171.13905,267.23295,168.04314,152.99586,96.96964,78.95852
PC(10:0_17:2)+HCO2,704.45088,644.42974,573.35624,490.29397,396.21567,472.28341,378.20511,224.06881,171.13905,265.21735,168.04314,152.99586,96.96964,78.95852
PC(10:0_18:0)+HCO2,722.49778,662.47664,591.40314,508.34087,396.21567,490.33031,378.20511,224.06881,171.13905,283.26425,168.04314,152.99586,96.96964,78.95852
PC(10:0_18:1)+HCO2,720.48218,660.46104,589.38754,506.32527,396.21567,488.31471,378.20511,224.06881,171.13905,281.24865,168.04314,152.99586,96.96964,78.95852
PC(10:0_18:2)+HCO2,718.46648,658.44534,587.37184,504.30957,396.21567,486.29901,378.20511,224.06881,171.13905,279.23295,168.04314,152.99586,96.96964,78.95852
PC(10:0_18:3)+HCO2,716.45088,656.42974,585.35624,502.29397,396.21567,484.28341,378.20511,224.06881,171.13905,277.21735,168.04314,152.99586,96.96964,78.95852
PC(10:0_18:4)+HCO2,714.43518,654.41404,583.34054,500.27827,396.21567,482.26771,378.20511,224.06881,171.13905,275.20165,168.04314,152.99586,96.96964,78.95852
PC(10:0_19:0)+HCO2,736.51348,676.49234,605.41884,522.35657,396.21567,504.34601,378.20511,224.06881,171.13905,297.27995,168.04314,152.99586,96.96964,78.95852
PC(10:0_20:0)+HCO2,750.52908,690.50794,619.43444,536.37217,396.21567,518.36161,378.20511,224.06881,171.13905,311.29555,168.04314,152.99586,96.96964,78.95852
PC(10:0_20:1)+HCO2,748.51348,688.49234,617.41884,534.35657,396.21567,516.34601,378.20511,224.06881,171.13905,309.27995,168.04314,152.99586,96.96964,78.95852
PC(10:0_20:2)+HCO2,746.49778,686.47664,615.40314,532.34087,396.21567,514.33031,378.20511,224.06881,171.13905,307.26425,168.04314,152.99586,96.96964,78.95852
PC(10:0_20:3)+HCO2,744.48218,684.46104,613.38754,530.32527,396.21567,512.31471,378.20511,224.06881,171.13905,305.24865,168.04314,152.99586,96.96964,78.95852
PC(10:0_20:4)+HCO2,742.46648,682.44534,611.37184,528.30957,396.21567,510.29901,378.20511,224.06881,171.13905,303.23295,168.04314,152.99586,96.96964,78.95852
PC(10:0_20:5)+HCO2,740.45088,680.42974,609.35624,526.29397,396.21567,508.28341,378.20511,224.06881,171.13905,301.21735,168.04314,152.99586,96.96964,78.95852
PC(10:0_21:0)+HCO2,764.54478,704.52364,633.45014,550.38787,396.21567,532.37731,378.20511,224.06881,171.13905,325.31125,168.04314,152.99586,96.96964,78.95852
PC(10:0_22:0)+HCO2,778.56038,718.53924,647.46574,564.40347,396.21567,546.39291,378.20511,224.06881,171.13905,339.32685,168.04314,152.99586,96.96964,78.95852
PC(10:0_22:1)+HCO2,776.54478,716.52364,645.45014,562.38787,396.21567,544.37731,378.20511,224.06881,171.13905,337.31125,168.04314,152.99586,96.96964,78.95852
PC(10:0_22:2)+HCO2,774.52908,714.50794,643.43444,560.37217,396.21567,542.36161,378.20511,224.06881,171.13905,335.29555,168.04314,152.99586,96.96964,78.95852
PC(10:0_22:3)+HCO2,772.51348,712.49234,641.41884,558.35657,396.21567,540.34601,378.20511,224.06881,171.13905,333.27995,168.04314,152.99586,96.96964,78.95852
PC(10:0_22:4)+HCO2,770.49778,710.47664,639.40314,556.34087,396.21567,538.33031,378.20511,224.06881,171.13905,331.26425,168.04314,152.99586,96.96964,78.95852
PC(10:0_22:5)+HCO2,768.48218,708.46104,637.38754,554.32527,396.21567,536.31471,378.20511,224.06881,171.13905,329.24865,168.04314,152.99586,96.96964,78.95852
PC(10:0_22:6)+HCO2,766.46648,706.44534,635.37184,552.30957,396.21567,534.29901,378.20511,224.06881,171.13905,327.23295,168.04314,152.99586,96.96964,78.95852
PC(10:0_23:0)+HCO2,792.57608,732.55494,661.48144,578.41917,396.21567,560.40861,378.20511,224.06881,171.13905,353.34255,168.04314,152.99586,96.96964,78.95852
PC(10:0_24:0)+HCO2,806.59168,746.57054,675.49704,592.43477,396.21567,574.42421,378.20511,224.06881,171.13905,367.35815,168.04314,152.99586,96.96964,78.95852
PC(10:0_24:1)+HCO2,804.57608,744.55494,673.48144,590.41917,396.21567,572.40861,378.20511,224.06881,171.13905,365.34255,168.04314,152.99586,96.96964,78.95852
PC(10:0_25:0)+HCO2,820.60738,760.58624,689.51274,606.45047,396.21567,588.43991,378.20511,224.06881,171.13905,381.37385,168.04314,152.99586,96.96964,78.95852
PC(10:0_26:0)+HCO2,834.62298,774.60184,703.52834,620.46607,396.21567,602.45551,378.20511,224.06881,171.13905,395.38945,168.04314,152.99586,96.96964,78.95852
PC(12:0_12:0)+HCO2,666.43518,606.41404,535.34054,424.24697,424.24697,406.23641,406.23641,224.06881,199.17035,199.17035,168.04314,152.99586,96.96964,78.95852
PC(12:0_13:0)+HCO2,680.45088,620.42974,549.35624,438.26267,424.24697,420.25211,406.23641,224.06881,199.17035,213.18605,168.04314,152.99586,96.96964,78.95852
PC(12:0_14:0)+HCO2,694.46648,634.44534,563.37184,452.27827,424.24697,434.26771,406.23641,224.06881,199.17035,227.20165,168.04314,152.99586,96.96964,78.95852
PC(12:0_14:1)+HCO2,692.45088,632.42974,561.35624,450.26267,424.24697,432.25211,406.23641,224.06881,199.17035,225.18605,168.04314,152.99586,96.96964,78.95852
PC(12:0_15:0)+HCO2,708.48218,648.46104,577.38754,466.29397,424.24697,448.28341,406.23641,224.06881,199.17035,241.21735,168.04314,152.99586,96.96964,78.95852
