GlcADG,[M+NH4]+,[M-C6H9O6-NH4+H+H]+,[DAG-H20],sn1 loss,sn2 loss
GlcADG(12:0_22:5)+NH4,780.52619,587.46755,569.45699,387.29002,257.21182
GlcADG(12:0_22:6)+NH4,778.51054,585.4519,567.44134,385.27437,257.21181
GlcADG(12:0_23:0)+NH4,804.62009,611.56145,593.55089,411.38392,257.21188
GlcADG(12:0_24:0)+NH4,818.63574,625.5771,607.56654,425.39957,257.21189
GlcADG(12:0_24:1)+NH4,816.62009,623.56145,605.55089,423.38392,257.21188
GlcADG(12:0_24:4)+NH4,810.57314,617.5145,599.50394,417.33697,257.21185
GlcADG(12:0_25:0)+NH4,832.65139,639.59275,621.58219,439.41522,257.2119
GlcADG(12:0_26:0)+NH4,846.66704,653.6084,635.59784,453.43087,257.21191
GlcADG(12:0_26:1)+NH4,844.65139,651.59275,633.58219,451.41522,257.2119
GlcADG(12:0_26:2)+NH4,842.63574,649.5771,631.56654,449.39957,257.21189
GlcADG(12:0_3:0)+NH4,524.30708,331.24844,313.23788,131.07092,257.21168
GlcADG(12:0_4:0)+NH4,538.32273,345.26409,327.25353,145.08657,257.21169
GlcADG(12:0_5:0)+NH4,552.33838,359.27974,341.26918,159.10222,257.2117
GlcADG(12:0_6:0)+NH4,566.35403,373.29539,355.28483,173.11787,257.21171
GlcADG(12:0_7:0)+NH4,580.36968,387.31104,369.30048,187.13352,257.21172
GlcADG(12:0_8:0)+NH4,594.38533,401.32669,383.31613,201.14917,257.21173
GlcADG(12:0_9:0)+NH4,608.40098,415.34234,397.33178,215.16482,257.21174
GlcADG(13:0_13:0)+NH4,678.47924,485.4206,467.41004,271.22743,271.22743
GlcADG(13:0_14:0)+NH4,692.49489,499.43625,481.42569,285.24308,271.22744
GlcADG(13:0_14:1)+NH4,690.47924,497.4206,479.41004,283.22743,271.22743
GlcADG(13:0_15:0)+NH4,706.51054,513.4519,495.44134,299.25873,271.22745
GlcADG(13:0_15:1)+NH4,704.49489,511.43625,493.42569,297.24308,271.22744
GlcADG(13:0_16:0)+NH4,720.52619,527.46755,509.45699,313.27438,271.22746
GlcADG(13:0_16:1)+NH4,718.51054,525.4519,507.44134,311.25873,271.22745
GlcADG(13:0_17:0)+NH4,734.54184,541.4832,523.47264,327.29003,271.22747
GlcADG(13:0_17:1)+NH4,732.52619,539.46755,521.45699,325.27438,271.22746
GlcADG(13:0_17:2)+NH4,730.51054,537.4519,519.44134,323.25873,271.22745
GlcADG(13:0_18:0)+NH4,748.55749,555.49885,537.48829,341.30568,271.22748
GlcADG(13:0_18:1)+NH4,746.54184,553.4832,535.47264,339.29003,271.22747
GlcADG(13:0_18:2)+NH4,744.52619,551.46755,533.45699,337.27438,271.22746
GlcADG(13:0_18:3)+NH4,742.51054,549.4519,531.44134,335.25873,271.22745
GlcADG(13:0_18:4)+NH4,740.49489,547.43625,529.42569,333.24308,271.22744
GlcADG(13:0_19:0)+NH4,762.57314,569.5145,551.50394,355.32133,271.22749
GlcADG(13:0_2:0)+NH4,524.30708,331.24844,313.23788,117.05528,271.22732
GlcADG(13:0_20:0)+NH4,776.58879,583.53015,565.51959,369.33698,271.2275
GlcADG(13:0_20:1)+NH4,774.57314,581.5145,563.50394,367.32133,271.22749
GlcADG(13:0_20:2)+NH4,772.55749,579.49885,561.48829,365.30568,271.22748
GlcADG(13:0_20:3)+NH4,770.54184,577.4832,559.47264,363.29003,271.22747
GlcADG(13:0_20:4)+NH4,768.52619,575.46755,557.45699,361.27438,271.22746
GlcADG(13:0_20:5)+NH4,766.51054,573.4519,555.44134,359.25873,271.22745
GlcADG(13:0_21:0)+NH4,790.60444,597.5458,579.53524,383.35263,271.22751
GlcADG(13:0_22:0)+NH4,804.62009,611.56145,593.55089,397.36828,271.22752
GlcADG(13:0_22:1)+NH4,802.60444,609.5458,591.53524,395.35263,271.22751
GlcADG(13:0_22:2)+NH4,800.58879,607.53015,589.51959,393.33698,271.2275
GlcADG(13:0_22:4)+NH4,796.55749,603.49885,585.48829,389.30568,271.22748
GlcADG(13:0_22:5)+NH4,794.54184,601.4832,583.47264,387.29003,271.22747
GlcADG(13:0_22:6)+NH4,792.52619,599.46755,581.45699,385.27438,271.22746
GlcADG(13:0_23:0)+NH4,818.63574,625.5771,607.56654,411.38393,271.22753
GlcADG(13:0_24:0)+NH4,832.65139,639.59275,621.58219,425.39958,271.22754
GlcADG(13:0_24:1)+NH4,830.63574,637.5771,619.56654,423.38393,271.22753
