"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+Na]+","Mna-PC","Mna-TrimethylAmine","Mna-NaPC","Mna-tail1&TrimethylAmine","PC Head","RT_min","RT_max","Comment"
"","OxLPC(18:4(OH))+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","3617","","OxLPC(18:4(OH))+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","3617","","OxLPC(18:4(OH))+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","3617","","OxLPC(18:4(OH))+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","3617","","OxLPC(18:4(OH))+Na",0,0,0,0,0,0,"0.541672222222222","0.841672222222222","3617","","OxLPC(18:4(OH))+Na","554.2848","371.2188","495.2113","349.2368","76.866585","184.07332","0.541672222222222","0.841672222222222","3617"
"","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPC(17:2(OO))+Na","560.29542","377.22942","501.22192","355.24742","76.866585","184.07332","7.49951805555555","7.79951805555555","1330"
"","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPC(17:2(OO))+Na","560.29542","377.22942","501.22192","355.24742","76.866585","184.07332","6.41087777777778","6.71087777777778","2398"
"","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(17:2(OO))+Na","560.29542","377.22942","501.22192","355.24742","76.866585","184.07332","8.55429444444444","8.85429444444444","6910"
"","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(17:2(OO))+Na","560.29542","377.22942","501.22192","355.24742","76.866585","184.07332","7.66776944444444","7.96776944444444","14866"
"","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(17:2(OO))+Na",0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(17:2(OO))+Na","560.29542","377.22942","501.22192","355.24742","76.866585","184.07332","6.39903055555556","6.69903055555556","17177"
"","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na",0,0,0,0,0,0,"1.025275","1.325275","4678","","OxLPC(20:3(OO))+Na","600.32672","417.26072","541.25322","395.27872","76.866585","184.07332","1.025275","1.325275","4678"
"","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.55190416666667","1.85190416666667","3698","","OxLPC(22:3(OO))+Na","628.35802","445.29202","569.28452","423.31002","76.866585","184.07332","1.55190416666667","1.85190416666667","3698"
"","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na",0,0,0,0,0,0,"1.80304166666667","2.10304166666667","4860","","OxLPC(22:3(OO))+Na","628.35802","445.29202","569.28452","423.31002","76.866585","184.07332","1.80304166666667","2.10304166666667","4860"
"","OxLPC(24:1(OO))+Na",0,0,0,0,0,0,"1.09573611111111","1.39573611111111","5842","","OxLPC(24:1(OO))+Na",0,0,0,0,0,0,"1.09573611111111","1.39573611111111","5842","","OxLPC(24:1(OO))+Na",0,0,0,0,0,0,"1.09573611111111","1.39573611111111","5842","","OxLPC(24:1(OO))+Na",0,0,0,0,0,0,"1.09573611111111","1.39573611111111","5842","","OxLPC(24:1(OO))+Na",0,0,0,0,0,0,"1.09573611111111","1.39573611111111","5842","","OxLPC(24:1(OO))+Na","660.42062","477.35462","601.34712","455.37262","76.866585","184.07332","1.09573611111111","1.39573611111111","5842"
