"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","RT at Max Intensity","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Number of Scans","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Max Intensity","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Average m/z","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPE","[M+H]+","NL_head","NL_R1CO","R1CO+","R1COO+58","head","RT_min","RT_max","Comment"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.09110694444444","5.39110694444444","13414","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.09110694444444","5.39110694444444","13414","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.09110694444444","5.39110694444444","13414","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.09110694444444","5.39110694444444","13414","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.09110694444444","5.39110694444444","13414","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","5.09110694444444","5.39110694444444","13414"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"10.0657097222222","10.3657097222222","13463","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","10.0657097222222","10.3657097222222","13463"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"13.6884847222222","13.9884847222222","13471","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"13.6884847222222","13.9884847222222","13471","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"13.6884847222222","13.9884847222222","13471","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"13.6884847222222","13.9884847222222","13471","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"13.6884847222222","13.9884847222222","13471","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","13.6884847222222","13.9884847222222","13471"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57621666666667","9.87621666666667","13477","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57621666666667","9.87621666666667","13477","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57621666666667","9.87621666666667","13477","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57621666666667","9.87621666666667","13477","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.57621666666667","9.87621666666667","13477","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","9.57621666666667","9.87621666666667","13477"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"7.9732","8.2732","13562","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","7.9732","8.2732","13562"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"3.86621363636364","4.16621363636364","13879","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"3.86621363636364","4.16621363636364","13879","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"3.86621363636364","4.16621363636364","13879","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"3.86621363636364","4.16621363636364","13879","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"3.86621363636364","4.16621363636364","13879","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","3.86621363636364","4.16621363636364","13879"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.38486111111111","5.68486111111111","17001","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.38486111111111","5.68486111111111","17001","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.38486111111111","5.68486111111111","17001","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.38486111111111","5.68486111111111","17001","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"5.38486111111111","5.68486111111111","17001","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","5.38486111111111","5.68486111111111","17001"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.48616527777778","9.78616527777778","17456","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.48616527777778","9.78616527777778","17456","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.48616527777778","9.78616527777778","17456","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.48616527777778","9.78616527777778","17456","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"9.48616527777778","9.78616527777778","17456","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","9.48616527777778","9.78616527777778","17456"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"11.6227787878788","11.9227787878788","17482","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"11.6227787878788","11.9227787878788","17482","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"11.6227787878788","11.9227787878788","17482","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"11.6227787878788","11.9227787878788","17482","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"11.6227787878788","11.9227787878788","17482","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","11.6227787878788","11.9227787878788","17482"
"","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPE(12:3(COOH))+H",0,0,0,0,0,0,"6.92652272727273","7.22652272727273","17560","","OxLPE(12:3(COOH))+H","422.15749","281.13838","75.04407","207.10161","281.13839","142.02639","6.92652272727273","7.22652272727273","17560"
