"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","RT at Max Intensity","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Number of Scans","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Max Intensity","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Average m/z","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPE","[M+Na]+","PreCursor -43","PreCursor -141","M+Na-43-SN1-H acyl loss","phosphoethanolamine+Na","RT_min","RT_max","Comment"
"","OxLPE(22:4(OO))+Na",0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxLPE(22:4(OO))+Na",0,0,0,0,0,"6.06621666666667","6.36621666666667","3840","","OxLPE(22:4(OO))+Na","584.29481","541.25261","443.2757157","176.99139","164.00888","6.06621666666667","6.36621666666667","3840"
"","OxLPE(20:2(OOOO))+Na",0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPE(20:2(OOOO))+Na",0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPE(20:2(OOOO))+Na",0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPE(20:2(OOOO))+Na",0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPE(20:2(OOOO))+Na",0,0,0,0,0,"10.0146444444444","10.3146444444444","11311","","OxLPE(20:2(OOOO))+Na","592.28465","549.24245","451.2655557","176.99139","164.00888","10.0146444444444","10.3146444444444","11311"
"","OxLPE(22:2(OOOO))+Na",0,0,0,0,0,"0.369839393939394","0.669839393939394","6429","","OxLPE(22:2(OOOO))+Na",0,0,0,0,0,"0.369839393939394","0.669839393939394","6429","","OxLPE(22:2(OOOO))+Na",0,0,0,0,0,"0.369839393939394","0.669839393939394","6429","","OxLPE(22:2(OOOO))+Na",0,0,0,0,0,"0.369839393939394","0.669839393939394","6429","","OxLPE(22:2(OOOO))+Na",0,0,0,0,0,"0.369839393939394","0.669839393939394","6429","","OxLPE(22:2(OOOO))+Na","620.31595","577.27375","479.2968557","176.99139","164.00888","0.369839393939394","0.669839393939394","6429"
"","OxLPE(20:1(Ke))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:1(Ke))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:1(Ke))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:1(Ke))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:1(Ke))+Na",0,0,0,0,0,"1.89569166666667","2.19569166666667","6040","","OxLPE(20:1(Ke))+Na","544.29993","501.25773","403.2808357","176.99139","164.00888","1.89569166666667","2.19569166666667","6040"
"","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"6.43124861111111","6.73124861111111","4247","","OxLPE(20:2(Ke))+Na","542.28423","499.24203","401.2651357","176.99139","164.00888","6.43124861111111","6.73124861111111","4247"
"","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:2(Ke))+Na",0,0,0,0,0,"7.49432361111111","7.79432361111111","15166","","OxLPE(20:2(Ke))+Na","542.28423","499.24203","401.2651357","176.99139","164.00888","7.49432361111111","7.79432361111111","15166"
"","OxLPE(22:1(Ke))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:1(Ke))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:1(Ke))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:1(Ke))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:1(Ke))+Na",0,0,0,0,0,"0.547627777777778","0.847627777777778","622","","OxLPE(22:1(Ke))+Na","572.33123","529.28903","431.3121357","176.99139","164.00888","0.547627777777778","0.847627777777778","622"
"","OxLPE(22:2(Ke))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:2(Ke))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:2(Ke))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:2(Ke))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:2(Ke))+Na",0,0,0,0,0,"0.405259090909091","0.705259090909091","11793","","OxLPE(22:2(Ke))+Na","570.31553","527.27333","429.2964357","176.99139","164.00888","0.405259090909091","0.705259090909091","11793"
"","OxLPE(22:4(Ke))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:4(Ke))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:4(Ke))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:4(Ke))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:4(Ke))+Na",0,0,0,0,0,"6.04504583333333","6.34504583333333","7263","","OxLPE(22:4(Ke))+Na","566.28423","523.24203","425.2651357","176.99139","164.00888","6.04504583333333","6.34504583333333","7263"
"","OxLPE(24:1(Ke))+Na",0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","OxLPE(24:1(Ke))+Na",0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","OxLPE(24:1(Ke))+Na",0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","OxLPE(24:1(Ke))+Na",0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","OxLPE(24:1(Ke))+Na",0,0,0,0,0,"0.832229166666666","1.13222916666667","4388","","OxLPE(24:1(Ke))+Na","600.36253","557.32033","459.3434357","176.99139","164.00888","0.832229166666666","1.13222916666667","4388"
"","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.49951805555555","7.79951805555555","1330","","OxLPE(20:1(Ke,OH))+Na","560.29485","517.25265","419.2757557","176.99139","164.00888","7.49951805555555","7.79951805555555","1330"
"","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.41087777777778","6.71087777777778","2398","","OxLPE(20:1(Ke,OH))+Na","560.29485","517.25265","419.2757557","176.99139","164.00888","6.41087777777778","6.71087777777778","2398"
"","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPE(20:1(Ke,OH))+Na","560.29485","517.25265","419.2757557","176.99139","164.00888","8.55429444444444","8.85429444444444","6910"
"","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPE(20:1(Ke,OH))+Na","560.29485","517.25265","419.2757557","176.99139","164.00888","7.66776944444444","7.96776944444444","14866"
"","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:1(Ke,OH))+Na",0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPE(20:1(Ke,OH))+Na","560.29485","517.25265","419.2757557","176.99139","164.00888","6.39903055555556","6.69903055555556","17177"
"","OxLPE(20:2(Ke,OH))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:2(Ke,OH))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:2(Ke,OH))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:2(Ke,OH))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:2(Ke,OH))+Na",0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPE(20:2(Ke,OH))+Na","558.27915","515.23695","417.2600557","176.99139","164.00888","5.61840833333333","5.91840833333333","8166"
