"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","RT at Max Intensity","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Number of Scans","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Max Intensity","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Average m/z","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","OxLPC","[M+H]+","MH-PC","MH-Tail1+H2O","PC Head","exp1","exp2","exp3","RT_min","RT_max","Comment"
"","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"8.55429444444444","8.85429444444444","6910","","OxLPC(19:4(COOH))+H","560.29836","377.23236","258.11015","184.07332","124.9994","104.1069","86.0963","8.55429444444444","8.85429444444444","6910"
"","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"7.66776944444444","7.96776944444444","14866","","OxLPC(19:4(COOH))+H","560.29836","377.23236","258.11015","184.07332","124.9994","104.1069","86.0963","7.66776944444444","7.96776944444444","14866"
"","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(19:4(COOH))+H",0,0,0,0,0,0,0,"6.39903055555556","6.69903055555556","17177","","OxLPC(19:4(COOH))+H","560.29836","377.23236","258.11015","184.07332","124.9994","104.1069","86.0963","6.39903055555556","6.69903055555556","17177"
"","OxLPC(19:5(COOH))+H",0,0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPC(19:5(COOH))+H",0,0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPC(19:5(COOH))+H",0,0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPC(19:5(COOH))+H",0,0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPC(19:5(COOH))+H",0,0,0,0,0,0,0,"5.61840833333333","5.91840833333333","8166","","OxLPC(19:5(COOH))+H","558.28271","375.21671","258.11015","184.07332","124.9994","104.1069","86.0963","5.61840833333333","5.91840833333333","8166"
"","OxLPC(16:1(OH))+H",0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","OxLPC(16:1(OH))+H",0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","OxLPC(16:1(OH))+H",0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","OxLPC(16:1(OH))+H",0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","OxLPC(16:1(OH))+H",0,0,0,0,0,0,0,"0.400345454545455","0.700345454545455","13556","","OxLPC(16:1(OH))+H","510.31912","327.25312","258.11015","184.07332","124.9994","104.1069","86.0963","0.400345454545455","0.700345454545455","13556"
"","OxLPC(18:3(OH))+H",0,0,0,0,0,0,0,"0.477716666666667","0.777716666666667","12320","","OxLPC(18:3(OH))+H",0,0,0,0,0,0,0,"0.477716666666667","0.777716666666667","12320","","OxLPC(18:3(OH))+H",0,0,0,0,0,0,0,"0.477716666666667","0.777716666666667","12320","","OxLPC(18:3(OH))+H",0,0,0,0,0,0,0,"0.477716666666667","0.777716666666667","12320","","OxLPC(18:3(OH))+H",0,0,0,0,0,0,0,"0.477716666666667","0.777716666666667","12320","","OxLPC(18:3(OH))+H","534.31912","351.25312","258.11015","184.07332","124.9994","104.1069","86.0963","0.477716666666667","0.777716666666667","12320"
"","OxLPC(22:3(OH))+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","OxLPC(22:3(OH))+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","OxLPC(22:3(OH))+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","OxLPC(22:3(OH))+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","OxLPC(22:3(OH))+H",0,0,0,0,0,0,0,"0.93341944444444","1.23341944444444","14595","","OxLPC(22:3(OH))+H","590.38172","407.31572","258.11015","184.07332","124.9994","104.1069","86.0963","0.93341944444444","1.23341944444444","14595"
"","OxLPC(15:1(OO))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:1(OO))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:1(OO))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:1(OO))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:1(OO))+H",0,0,0,0,0,0,0,"0.761893055555555","1.06189305555556","3800","","OxLPC(15:1(OO))+H","512.29834","329.23234","258.11015","184.07332","124.9994","104.1069","86.0963","0.761893055555555","1.06189305555556","3800"
"","OxLPC(17:1(OO))+H",0,0,0,0,0,0,0,"1.21600972222222","1.51600972222222","2974","","OxLPC(17:1(OO))+H",0,0,0,0,0,0,0,"1.21600972222222","1.51600972222222","2974","","OxLPC(17:1(OO))+H",0,0,0,0,0,0,0,"1.21600972222222","1.51600972222222","2974","","OxLPC(17:1(OO))+H",0,0,0,0,0,0,0,"1.21600972222222","1.51600972222222","2974","","OxLPC(17:1(OO))+H",0,0,0,0,0,0,0,"1.21600972222222","1.51600972222222","2974","","OxLPC(17:1(OO))+H","540.32964","357.26364","258.11015","184.07332","124.9994","104.1069","86.0963","1.21600972222222","1.51600972222222","2974"
"","OxLPC(17:2(OO))+H",0,0,0,0,0,0,0,"0.824581944444444","1.12458194444444","3582","","OxLPC(17:2(OO))+H",0,0,0,0,0,0,0,"0.824581944444444","1.12458194444444","3582","","OxLPC(17:2(OO))+H",0,0,0,0,0,0,0,"0.824581944444444","1.12458194444444","3582","","OxLPC(17:2(OO))+H",0,0,0,0,0,0,0,"0.824581944444444","1.12458194444444","3582","","OxLPC(17:2(OO))+H",0,0,0,0,0,0,0,"0.824581944444444","1.12458194444444","3582","","OxLPC(17:2(OO))+H","538.31404","355.24804","258.11015","184.07332","124.9994","104.1069","86.0963","0.824581944444444","1.12458194444444","3582"
