"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","RT at Max Intensity","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Number of Scans","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Max Intensity","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Average m/z","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcCer_NS","[M+H]+","[M-C6H10O5+H]+","[M-Hex-H2O+H]+","[M-Hex-2H2O+H]+","[Sph-H2O+H]+","[Sph-2H2O+H]+","[FAA+H]+","[Sph-CH4O2+H]+","RT_min","RT_max","Comment"
"","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NS(d16:1/18:1)+H",0,0,0,0,0,0,0,0,"5.19360416666667","5.49360416666667","13084","","GlcCer_NS(d16:1/18:1)+H","698.55706","536.50426","518.49366","500.48316","254.2478","236.2373","282.27918","224.2373","5.19360416666667","5.49360416666667","13084"
"","GlcCer_NS(d16:1/18:3)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NS(d16:1/18:3)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NS(d16:1/18:3)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NS(d16:1/18:3)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NS(d16:1/18:3)+H",0,0,0,0,0,0,0,0,"5.01845277777778","5.31845277777778","2815","","GlcCer_NS(d16:1/18:3)+H","694.52574","532.47294","514.46234","496.45184","254.2478","236.2373","278.24786","224.2373","5.01845277777778","5.31845277777778","2815"
"","GlcCer_NS(d16:1/19:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NS(d16:1/19:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NS(d16:1/19:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NS(d16:1/19:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NS(d16:1/19:0)+H",0,0,0,0,0,0,0,0,"8.68942916666667","8.98942916666667","8501","","GlcCer_NS(d16:1/19:0)+H","714.58838","552.53558","534.52498","516.51448","254.2478","236.2373","298.3105","224.2373","8.68942916666667","8.98942916666667","8501"
"","GlcCer_NS(d16:1/20:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NS(d16:1/20:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NS(d16:1/20:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NS(d16:1/20:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NS(d16:1/20:0)+H",0,0,0,0,0,0,0,0,"7.61792777777778","7.91792777777778","2666","","GlcCer_NS(d16:1/20:0)+H","728.60404","566.55124","548.54064","530.53014","254.2478","236.2373","312.32616","224.2373","7.61792777777778","7.91792777777778","2666"
"","GlcCer_NS(d16:1/20:3)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NS(d16:1/20:3)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NS(d16:1/20:3)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NS(d16:1/20:3)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NS(d16:1/20:3)+H",0,0,0,0,0,0,0,0,"6.823525","7.123525","15453","","GlcCer_NS(d16:1/20:3)+H","722.55706","560.50426","542.49366","524.48316","254.2478","236.2373","306.27918","224.2373","6.823525","7.123525","15453"
"","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"5.17251818181818","5.47251818181818","13340","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"5.17251818181818","5.47251818181818","13340","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"5.17251818181818","5.47251818181818","13340","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"5.17251818181818","5.47251818181818","13340","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"5.17251818181818","5.47251818181818","13340","","GlcCer_NS(d16:1/20:4)+H","720.5414","558.4886","540.478","522.4675","254.2478","236.2373","304.26352","224.2373","5.17251818181818","5.47251818181818","13340"
"","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"10.6055439393939","10.9055439393939","16900","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"10.6055439393939","10.9055439393939","16900","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"10.6055439393939","10.9055439393939","16900","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"10.6055439393939","10.9055439393939","16900","","GlcCer_NS(d16:1/20:4)+H",0,0,0,0,0,0,0,0,"10.6055439393939","10.9055439393939","16900","","GlcCer_NS(d16:1/20:4)+H","720.5414","558.4886","540.478","522.4675","254.2478","236.2373","304.26352","224.2373","10.6055439393939","10.9055439393939","16900"
"","GlcCer_NS(d16:1/21:0)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NS(d16:1/21:0)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NS(d16:1/21:0)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NS(d16:1/21:0)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NS(d16:1/21:0)+H",0,0,0,0,0,0,0,0,"8.8761375","9.1761375","10938","","GlcCer_NS(d16:1/21:0)+H","742.6197","580.5669","562.5563","544.5458","254.2478","236.2373","326.34182","224.2373","8.8761375","9.1761375","10938"
"","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"8.22855","8.52855","16313","","GlcCer_NS(d16:1/21:1)+H","740.60404","578.55124","560.54064","542.53014","254.2478","236.2373","324.32616","224.2373","8.22855","8.52855","16313"
"","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NS(d16:1/21:1)+H",0,0,0,0,0,0,0,0,"0.251683333333333","0.551683333333333","17170","","GlcCer_NS(d16:1/21:1)+H","740.60404","578.55124","560.54064","542.53014","254.2478","236.2373","324.32616","224.2373","0.251683333333333","0.551683333333333","17170"
"","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"4.87309393939394","5.17309393939394","9902","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"4.87309393939394","5.17309393939394","9902","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"4.87309393939394","5.17309393939394","9902","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"4.87309393939394","5.17309393939394","9902","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"4.87309393939394","5.17309393939394","9902","","GlcCer_NS(d16:1/21:4)+H","734.55706","572.50426","554.49366","536.48316","254.2478","236.2373","318.27918","224.2373","4.87309393939394","5.17309393939394","9902"
"","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"6.51891944444444","6.81891944444444","17226","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"6.51891944444444","6.81891944444444","17226","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"6.51891944444444","6.81891944444444","17226","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"6.51891944444444","6.81891944444444","17226","","GlcCer_NS(d16:1/21:4)+H",0,0,0,0,0,0,0,0,"6.51891944444444","6.81891944444444","17226","","GlcCer_NS(d16:1/21:4)+H","734.55706","572.50426","554.49366","536.48316","254.2478","236.2373","318.27918","224.2373","6.51891944444444","6.81891944444444","17226"
"","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"8.72719305555555","9.02719305555555","2137","","GlcCer_NS(d16:1/22:0)+H","756.63536","594.58256","576.57196","558.56146","254.2478","236.2373","340.35748","224.2373","8.72719305555555","9.02719305555555","2137"
"","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20191944444444","9.50191944444444","6842","","GlcCer_NS(d16:1/22:0)+H","756.63536","594.58256","576.57196","558.56146","254.2478","236.2373","340.35748","224.2373","9.20191944444444","9.50191944444444","6842"
"","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NS(d16:1/22:0)+H",0,0,0,0,0,0,0,0,"9.20142222222222","9.50142222222222","13508","","GlcCer_NS(d16:1/22:0)+H","756.63536","594.58256","576.57196","558.56146","254.2478","236.2373","340.35748","224.2373","9.20142222222222","9.50142222222222","13508"
"","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"7.74322222222222","8.04322222222222","9868","","GlcCer_NS(d16:1/22:1)+H","754.6197","592.5669","574.5563","556.5458","254.2478","236.2373","338.34182","224.2373","7.74322222222222","8.04322222222222","9868"
"","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.96971944444444","7.26971944444444","11887","","GlcCer_NS(d16:1/22:1)+H","754.6197","592.5669","574.5563","556.5458","254.2478","236.2373","338.34182","224.2373","6.96971944444444","7.26971944444444","11887"
"","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NS(d16:1/22:1)+H",0,0,0,0,0,0,0,0,"6.79748055555556","7.09748055555556","16139","","GlcCer_NS(d16:1/22:1)+H","754.6197","592.5669","574.5563","556.5458","254.2478","236.2373","338.34182","224.2373","6.79748055555556","7.09748055555556","16139"
"","GlcCer_NS(d16:1/23:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NS(d16:1/23:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NS(d16:1/23:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NS(d16:1/23:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NS(d16:1/23:0)+H",0,0,0,0,0,0,0,0,"9.25202638888889","9.55202638888889","3834","","GlcCer_NS(d16:1/23:0)+H","770.65102","608.59822","590.58762","572.57712","254.2478","236.2373","354.37314","224.2373","9.25202638888889","9.55202638888889","3834"
"","GlcCer_NS(d16:1/23:2)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NS(d16:1/23:2)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NS(d16:1/23:2)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NS(d16:1/23:2)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NS(d16:1/23:2)+H",0,0,0,0,0,0,0,0,"8.579645","8.879645","7884","","GlcCer_NS(d16:1/23:2)+H","766.6197","604.5669","586.5563","568.5458","254.2478","236.2373","350.34182","224.2373","8.579645","8.879645","7884"
"","GlcCer_NS(d16:1/23:4)+H",0,0,0,0,0,0,0,0,"12.235","12.535","15843","","GlcCer_NS(d16:1/23:4)+H",0,0,0,0,0,0,0,0,"12.235","12.535","15843","","GlcCer_NS(d16:1/23:4)+H",0,0,0,0,0,0,0,0,"12.235","12.535","15843","","GlcCer_NS(d16:1/23:4)+H",0,0,0,0,0,0,0,0,"12.235","12.535","15843","","GlcCer_NS(d16:1/23:4)+H",0,0,0,0,0,0,0,0,"12.235","12.535","15843","","GlcCer_NS(d16:1/23:4)+H","762.58838","600.53558","582.52498","564.51448","254.2478","236.2373","346.3105","224.2373","12.235","12.535","15843"
"","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"9.75355416666667","10.0535541666667","782","","GlcCer_NS(d16:1/24:0)+H","784.66668","622.61388","604.60328","586.59278","254.2478","236.2373","368.3888","224.2373","9.75355416666667","10.0535541666667","782"
"","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NS(d16:1/24:0)+H",0,0,0,0,0,0,0,0,"10.1036152777778","10.4036152777778","5567","","GlcCer_NS(d16:1/24:0)+H","784.66668","622.61388","604.60328","586.59278","254.2478","236.2373","368.3888","224.2373","10.1036152777778","10.4036152777778","5567"
