"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","RT at Max Intensity","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Number of Scans","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Max Intensity","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Average m/z","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","Plasmenyl-PS","[M+H]+","NL_head","NL_T2_RCOOH","T2_RCO+","RT_min","RT_max","Comment"
"","Plasmenyl-PS(P-16:0/20:0)+H",1,0,0,0,"3.8481","4.1481","7330","","Plasmenyl-PS(P-16:0/20:0)+H",4.055396,0,0,0,"3.8481","4.1481","7330","","Plasmenyl-PS(P-16:0/20:0)+H",1,0,0,0,"3.8481","4.1481","7330","","Plasmenyl-PS(P-16:0/20:0)+H",1151.403,0,0,0,"3.8481","4.1481","7330","","Plasmenyl-PS(P-16:0/20:0)+H",776.5801,0,0,0,"3.8481","4.1481","7330","","Plasmenyl-PS(P-16:0/20:0)+H","776.58003","591.57108","297.27883","295.29955","3.8481","4.1481","7330"
"","Plasmenyl-PS(P-16:0/20:0)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(P-16:0/20:0)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(P-16:0/20:0)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(P-16:0/20:0)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(P-16:0/20:0)+H",0,0,0,0,"4.86781666666667","5.16781666666667","13186","","Plasmenyl-PS(P-16:0/20:0)+H","776.58003","591.57108","297.27883","295.29955","4.86781666666667","5.16781666666667","13186"
"","Plasmenyl-PS(P-16:0/20:1)+H",1,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(P-16:0/20:1)+H",5.172553,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(P-16:0/20:1)+H",2,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(P-16:0/20:1)+H",494380.4,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(P-16:0/20:1)+H",774.5666,0,0,0,"5.07425277777778","5.37425277777778","330","","Plasmenyl-PS(P-16:0/20:1)+H","774.56443","589.55548","297.27883","293.28395","5.07425277777778","5.37425277777778","330"
"","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"3.15768333333333","3.45768333333333","3664","","Plasmenyl-PS(P-16:0/20:1)+H","774.56443","589.55548","297.27883","293.28395","3.15768333333333","3.45768333333333","3664"
"","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"2.97523055555556","3.27523055555556","11461","","Plasmenyl-PS(P-16:0/20:1)+H","774.56443","589.55548","297.27883","293.28395","2.97523055555556","3.27523055555556","11461"
"","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmenyl-PS(P-16:0/20:1)+H",0,0,0,0,"5.33678333333333","5.63678333333333","17206","","Plasmenyl-PS(P-16:0/20:1)+H","774.56443","589.55548","297.27883","293.28395","5.33678333333333","5.63678333333333","17206"
"","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.90192222222222","5.20192222222222","778","","Plasmenyl-PS(P-16:0/20:2)+H","772.54873","587.53978","297.27883","291.26825","4.90192222222222","5.20192222222222","778"
"","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.55881212121212","4.85881212121212","5700","","Plasmenyl-PS(P-16:0/20:2)+H","772.54873","587.53978","297.27883","291.26825","4.55881212121212","4.85881212121212","5700"
"","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"4.11522916666667","4.41522916666667","8914","","Plasmenyl-PS(P-16:0/20:2)+H","772.54873","587.53978","297.27883","291.26825","4.11522916666667","4.41522916666667","8914"
"","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmenyl-PS(P-16:0/20:2)+H",0,0,0,0,"2.99686363636364","3.29686363636364","11064","","Plasmenyl-PS(P-16:0/20:2)+H","772.54873","587.53978","297.27883","291.26825","2.99686363636364","3.29686363636364","11064"
