"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Number of Scans","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Max Intensity","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Average m/z","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+NH4]+","NL_head&H2O","NL_T1_RCOOH","NL_T2_RCOOH","T1_RCO+","T2_RCO+","T1RCOO+58","T2RCOO+58","RT_min","RT_max","Comment"
"","PG(8:0_22:3)+NH4",0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(8:0_22:3)+NH4",0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(8:0_22:3)+NH4",0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(8:0_22:3)+NH4",0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(8:0_22:3)+NH4",0,0,0,0,0,0,0,0,"1.34317916666667","1.64317916666667","6183","","PG(8:0_22:3)+NH4","706.46546","517.425227","545.323886","355.151686","127.11175","317.28395","201.14853","391.32073","1.34317916666667","1.64317916666667","6183"
"","PG(8:0_22:4)+NH4",0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(8:0_22:4)+NH4",0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(8:0_22:4)+NH4",0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(8:0_22:4)+NH4",0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(8:0_22:4)+NH4",0,0,0,0,0,0,0,0,"1.05886111111111","1.35886111111111","7726","","PG(8:0_22:4)+NH4","704.44976","515.409527","543.308186","355.151686","127.11175","315.26825","201.14853","389.30503","1.05886111111111","1.35886111111111","7726"
"","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85204848484848","4.15204848484848","2390","","PG(8:0_22:5)+NH4","702.43416","513.393927","541.292586","355.151686","127.11175","313.25265","201.14853","387.28943","3.85204848484848","4.15204848484848","2390"
"","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PG(8:0_22:5)+NH4",0,0,0,0,0,0,0,0,"3.85645138888889","4.15645138888889","12785","","PG(8:0_22:5)+NH4","702.43416","513.393927","541.292586","355.151686","127.11175","313.25265","201.14853","387.28943","3.85645138888889","4.15645138888889","12785"
"","PG(8:0_23:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(8:0_23:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(8:0_23:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(8:0_23:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(8:0_23:0)+NH4",0,0,0,0,0,0,0,0,"3.20013888888889","3.50013888888889","7940","","PG(8:0_23:0)+NH4","726.52806","537.487827","565.386486","355.151686","127.11175","337.34655","201.14853","411.38333","3.20013888888889","3.50013888888889","7940"
"","PG(8:0_24:0)+NH4",0,0,0,0,0,0,0,0,"4.47600555555556","4.77600555555556","5796","","PG(8:0_24:0)+NH4",0,0,0,0,0,0,0,0,"4.47600555555556","4.77600555555556","5796","","PG(8:0_24:0)+NH4",0,0,0,0,0,0,0,0,"4.47600555555556","4.77600555555556","5796","","PG(8:0_24:0)+NH4",0,0,0,0,0,0,0,0,"4.47600555555556","4.77600555555556","5796","","PG(8:0_24:0)+NH4",0,0,0,0,0,0,0,0,"4.47600555555556","4.77600555555556","5796","","PG(8:0_24:0)+NH4","740.54366","551.503427","579.402086","355.151686","127.11175","351.36215","201.14853","425.39893","4.47600555555556","4.77600555555556","5796"
"","PG(8:0_25:0)+NH4",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(8:0_25:0)+NH4",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(8:0_25:0)+NH4",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(8:0_25:0)+NH4",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(8:0_25:0)+NH4",0,0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","3023","","PG(8:0_25:0)+NH4","754.55936","565.519127","593.417786","355.151686","127.11175","365.37785","201.14853","439.41463","4.10132083333333","4.40132083333333","3023"
"","PG(8:0_26:0)+NH4",0,1,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","117","","PG(8:0_26:0)+NH4",0,8.022025,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","117","","PG(8:0_26:0)+NH4",0,1,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","117","","PG(8:0_26:0)+NH4",0,11731470,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","117","","PG(8:0_26:0)+NH4",0,579.535,0,0,0,0,0,0,"7.82195138888889","8.12195138888889","117","","PG(8:0_26:0)+NH4","768.57496","579.534727","607.433386","355.151686","127.11175","379.39345","201.14853","453.43023","7.82195138888889","8.12195138888889","117"
"","PG(10:0_12:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(10:0_12:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(10:0_12:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(10:0_12:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(10:0_12:0)+NH4",0,0,0,0,0,0,0,0,"2.62962916666667","2.92962916666667","12217","","PG(10:0_12:0)+NH4","600.38716","411.346927","411.214286","383.182986","155.14305","183.17435","229.17983","257.21113","2.62962916666667","2.92962916666667","12217"
"","PG(10:0_13:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(10:0_13:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(10:0_13:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(10:0_13:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(10:0_13:0)+NH4",0,0,0,0,0,0,0,0,"2.96007083333333","3.26007083333333","8820","","PG(10:0_13:0)+NH4","614.40286","425.362627","425.229986","383.182986","155.14305","197.19005","229.17983","271.22683","2.96007083333333","3.26007083333333","8820"
