"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","RT at Max Intensity","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Number of Scans","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Max Intensity","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Average m/z","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","MG","[M+NH4]+","M-18+H","M-18","M-18+H-sn1","M-18-sn1","RT_min","RT_max","Comment"
"","MG(15:1)+NH4",0,0,0,0,0,"1.00292083333333","1.30292083333333","9936","","MG(15:1)+NH4",0,0,0,0,0,"1.00292083333333","1.30292083333333","9936","","MG(15:1)+NH4",0,0,0,0,0,"1.00292083333333","1.30292083333333","9936","","MG(15:1)+NH4",0,0,0,0,0,"1.00292083333333","1.30292083333333","9936","","MG(15:1)+NH4",0,0,0,0,0,"1.00292083333333","1.30292083333333","9936","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","1.00292083333333","1.30292083333333","9936"
"","MG(15:1)+NH4",0,0,0,0,0,"13.0465444444444","13.3465444444444","10556","","MG(15:1)+NH4",0,0,0,0,0,"13.0465444444444","13.3465444444444","10556","","MG(15:1)+NH4",0,0,0,0,0,"13.0465444444444","13.3465444444444","10556","","MG(15:1)+NH4",0,0,0,0,0,"13.0465444444444","13.3465444444444","10556","","MG(15:1)+NH4",0,0,0,0,0,"13.0465444444444","13.3465444444444","10556","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","13.0465444444444","13.3465444444444","10556"
"","MG(15:1)+NH4",0,0,0,0,0,"12.6453194444444","12.9453194444444","10991","","MG(15:1)+NH4",0,0,0,0,0,"12.6453194444444","12.9453194444444","10991","","MG(15:1)+NH4",0,0,0,0,0,"12.6453194444444","12.9453194444444","10991","","MG(15:1)+NH4",0,0,0,0,0,"12.6453194444444","12.9453194444444","10991","","MG(15:1)+NH4",0,0,0,0,0,"12.6453194444444","12.9453194444444","10991","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","12.6453194444444","12.9453194444444","10991"
"","MG(15:1)+NH4",0,0,0,0,0,"4.56990606060606","4.86990606060606","12242","","MG(15:1)+NH4",0,0,0,0,0,"4.56990606060606","4.86990606060606","12242","","MG(15:1)+NH4",0,0,0,0,0,"4.56990606060606","4.86990606060606","12242","","MG(15:1)+NH4",0,0,0,0,0,"4.56990606060606","4.86990606060606","12242","","MG(15:1)+NH4",0,0,0,0,0,"4.56990606060606","4.86990606060606","12242","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","4.56990606060606","4.86990606060606","12242"
"","MG(15:1)+NH4",0,0,0,0,0,"5.142775","5.442775","12253","","MG(15:1)+NH4",0,0,0,0,0,"5.142775","5.442775","12253","","MG(15:1)+NH4",0,0,0,0,0,"5.142775","5.442775","12253","","MG(15:1)+NH4",0,0,0,0,0,"5.142775","5.442775","12253","","MG(15:1)+NH4",0,0,0,0,0,"5.142775","5.442775","12253","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","5.142775","5.442775","12253"
"","MG(15:1)+NH4",0,0,0,0,0,"9.2257625","9.5257625","12529","","MG(15:1)+NH4",0,0,0,0,0,"9.2257625","9.5257625","12529","","MG(15:1)+NH4",0,0,0,0,0,"9.2257625","9.5257625","12529","","MG(15:1)+NH4",0,0,0,0,0,"9.2257625","9.5257625","12529","","MG(15:1)+NH4",0,0,0,0,0,"9.2257625","9.5257625","12529","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","9.2257625","9.5257625","12529"
"","MG(15:1)+NH4",0,0,0,0,0,"0.623368055555556","0.923368055555556","14562","","MG(15:1)+NH4",0,0,0,0,0,"0.623368055555556","0.923368055555556","14562","","MG(15:1)+NH4",0,0,0,0,0,"0.623368055555556","0.923368055555556","14562","","MG(15:1)+NH4",0,0,0,0,0,"0.623368055555556","0.923368055555556","14562","","MG(15:1)+NH4",0,0,0,0,0,"0.623368055555556","0.923368055555556","14562","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","0.623368055555556","0.923368055555556","14562"
"","MG(15:1)+NH4",0,0,0,0,0,"1.82308888888889","2.12308888888889","16415","","MG(15:1)+NH4",0,0,0,0,0,"1.82308888888889","2.12308888888889","16415","","MG(15:1)+NH4",0,0,0,0,0,"1.82308888888889","2.12308888888889","16415","","MG(15:1)+NH4",0,0,0,0,0,"1.82308888888889","2.12308888888889","16415","","MG(15:1)+NH4",0,0,0,0,0,"1.82308888888889","2.12308888888889","16415","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","1.82308888888889","2.12308888888889","16415"
"","MG(15:1)+NH4",0,0,0,0,0,"9.00240833333333","9.30240833333333","16496","","MG(15:1)+NH4",0,0,0,0,0,"9.00240833333333","9.30240833333333","16496","","MG(15:1)+NH4",0,0,0,0,0,"9.00240833333333","9.30240833333333","16496","","MG(15:1)+NH4",0,0,0,0,0,"9.00240833333333","9.30240833333333","16496","","MG(15:1)+NH4",0,0,0,0,0,"9.00240833333333","9.30240833333333","16496","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","9.00240833333333","9.30240833333333","16496"
"","MG(15:1)+NH4",0,0,0,0,0,"13.0435611111111","13.3435611111111","16864","","MG(15:1)+NH4",0,0,0,0,0,"13.0435611111111","13.3435611111111","16864","","MG(15:1)+NH4",0,0,0,0,0,"13.0435611111111","13.3435611111111","16864","","MG(15:1)+NH4",0,0,0,0,0,"13.0435611111111","13.3435611111111","16864","","MG(15:1)+NH4",0,0,0,0,0,"13.0435611111111","13.3435611111111","16864","","MG(15:1)+NH4","332.2795296","315.2767896","297.2662296","241.23988","223.22932","13.0435611111111","13.3435611111111","16864"
