"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","RT at Max Intensity","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Number of Scans","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Max Intensity","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Average m/z","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","CE","[M+NH4]+","Cholesterol","Exper_CholFrag1","CholFrag2","CholFrag3","CholFrag4","CholFrag5","HiInt_CholFrag6","CholFrag7","RT_min","RT_max","Comment"
"","CE(18:0)+NH4",0,0,0,0,0,0,0,0,0,"14.8006222222222","15.1006222222222","1613","","CE(18:0)+NH4",0,0,0,0,0,0,0,0,0,"14.8006222222222","15.1006222222222","1613","","CE(18:0)+NH4",0,0,0,0,0,0,0,0,0,"14.8006222222222","15.1006222222222","1613","","CE(18:0)+NH4",0,0,0,0,0,0,0,0,0,"14.8006222222222","15.1006222222222","1613","","CE(18:0)+NH4",0,0,0,0,0,0,0,0,0,"14.8006222222222","15.1006222222222","1613","","CE(18:0)+NH4","670.649605","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","14.8006222222222","15.1006222222222","1613"
"","CE(18:1)+NH4",0,1,1,1,1,1,1,1,1,"14.1971833333333","14.4971833333333","111","","CE(18:1)+NH4",0,14.31727,14.31727,14.31727,14.31727,14.31727,14.31727,14.31727,14.31727,"14.1971833333333","14.4971833333333","111","","CE(18:1)+NH4",0,2,2,2,2,2,2,2,2,"14.1971833333333","14.4971833333333","111","","CE(18:1)+NH4",0,10798820,58022.95,269011,495646,469063.3,984197.8,847331.8,726985.3,"14.1971833333333","14.4971833333333","111","","CE(18:1)+NH4",0,369.3518,313.28915,287.2734,243.21085,175.14825,161.13255,147.11695,135.11695,"14.1971833333333","14.4971833333333","111","","CE(18:1)+NH4","668.633955","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","14.1971833333333","14.4971833333333","111"
"","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"14.7681166666667","15.0681166666667","11404","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"14.7681166666667","15.0681166666667","11404","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"14.7681166666667","15.0681166666667","11404","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"14.7681166666667","15.0681166666667","11404","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"14.7681166666667","15.0681166666667","11404","","CE(18:1)+NH4","668.633955","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","14.7681166666667","15.0681166666667","11404"
"","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"15.5394","15.8394","11981","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"15.5394","15.8394","11981","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"15.5394","15.8394","11981","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"15.5394","15.8394","11981","","CE(18:1)+NH4",0,0,0,0,0,0,0,0,0,"15.5394","15.8394","11981","","CE(18:1)+NH4","668.633955","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","15.5394","15.8394","11981"
"","CE(18:2)+NH4",0,1,1,1,1,1,1,1,1,"13.5932125","13.8932125","24","","CE(18:2)+NH4",0,13.75294,13.75294,13.75294,13.75294,13.75294,13.75294,13.75294,13.75294,"13.5932125","13.8932125","24","","CE(18:2)+NH4",0,2,2,2,2,2,2,2,2,"13.5932125","13.8932125","24","","CE(18:2)+NH4",0,73362180,369828.3,1725383,3407020,3260682,6357606,5638315,5002198,"13.5932125","13.8932125","24","","CE(18:2)+NH4",0,369.35165,313.28905,287.27335,243.21075,175.14825,161.13255,147.1169,135.1169,"13.5932125","13.8932125","24","","CE(18:2)+NH4","666.618305","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","13.5932125","13.8932125","24"
"","CE(18:3)+NH4",0,1,1,1,1,1,1,1,1,"13.0169736111111","13.3169736111111","218","","CE(18:3)+NH4",0,13.18423,13.18423,13.18423,13.18423,13.18423,13.18423,13.18423,13.18423,"13.0169736111111","13.3169736111111","218","","CE(18:3)+NH4",0,1,1,1,1,1,1,1,1,"13.0169736111111","13.3169736111111","218","","CE(18:3)+NH4",0,5225953,25298.85,113869.4,232248.1,223258,421469.5,368789.2,313177.8,"13.0169736111111","13.3169736111111","218","","CE(18:3)+NH4",0,369.3518,313.289,287.2734,243.2109,175.1483,161.1326,147.1169,135.1169,"13.0169736111111","13.3169736111111","218","","CE(18:3)+NH4","664.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","13.0169736111111","13.3169736111111","218"
"","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.7409111111111","11.0409111111111","3736","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.7409111111111","11.0409111111111","3736","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.7409111111111","11.0409111111111","3736","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.7409111111111","11.0409111111111","3736","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.7409111111111","11.0409111111111","3736","","CE(18:3)+NH4","664.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","10.7409111111111","11.0409111111111","3736"
"","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.4683416666667","10.7683416666667","6525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.4683416666667","10.7683416666667","6525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.4683416666667","10.7683416666667","6525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.4683416666667","10.7683416666667","6525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.4683416666667","10.7683416666667","6525","","CE(18:3)+NH4","664.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","10.4683416666667","10.7683416666667","6525"
"","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.6914152777778","10.9914152777778","17525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.6914152777778","10.9914152777778","17525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.6914152777778","10.9914152777778","17525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.6914152777778","10.9914152777778","17525","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"10.6914152777778","10.9914152777778","17525","","CE(18:3)+NH4","664.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","10.6914152777778","10.9914152777778","17525"
"","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"13.5005208333333","13.8005208333333","18780","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"13.5005208333333","13.8005208333333","18780","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"13.5005208333333","13.8005208333333","18780","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"13.5005208333333","13.8005208333333","18780","","CE(18:3)+NH4",0,0,0,0,0,0,0,0,0,"13.5005208333333","13.8005208333333","18780","","CE(18:3)+NH4","664.602655","369.3511","313.2885","287.2728","243.2103","175.1479","161.1322","147.1166","135.1166","13.5005208333333","13.8005208333333","18780"
