"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","RT at Max Intensity","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Number of Scans","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Max Intensity","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Average m/z","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","PG","[M+H]+","FA1_NL_OH","FA2_NL_OH","exp_1","exp_2","exp_3","RT_min","RT_max","Comment"
"","PG(12:0_22:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H",0,0,0,0,0,0,"6.12882638888889","6.42882638888889","17858","","PG(12:0_22:1)+H","749.53281","257.2111","395.352","71.0856","95.0855","123.1168","6.12882638888889","6.42882638888889","17858"
"","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.769355","6.069355","15222","","PG(12:0_23:0)+H","765.56411","257.2111","411.3833","71.0856","95.0855","123.1168","5.769355","6.069355","15222"
"","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.30083181818182","5.60083181818182","18052","","PG(12:0_23:0)+H","765.56411","257.2111","411.3833","71.0856","95.0855","123.1168","5.30083181818182","5.60083181818182","18052"
"","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H",0,0,0,0,0,0,"5.0812375","5.3812375","18081","","PG(12:0_23:0)+H","765.56411","257.2111","411.3833","71.0856","95.0855","123.1168","5.0812375","5.3812375","18081"
"","PG(12:0_24:0)+H",0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H",0,0,0,0,0,0,"8.55994305555556","8.85994305555556","17853","","PG(12:0_24:0)+H","779.57971","257.2111","425.3989","71.0856","95.0855","123.1168","8.55994305555556","8.85994305555556","17853"
"","PG(12:0_24:0)+H",0,0,0,0,0,0,"5.92046388888889","6.22046388888889","17956","","PG(12:0_24:0)+H",0,0,0,0,0,0,"5.92046388888889","6.22046388888889","17956","","PG(12:0_24:0)+H",0,0,0,0,0,0,"5.92046388888889","6.22046388888889","17956","","PG(12:0_24:0)+H",0,0,0,0,0,0,"5.92046388888889","6.22046388888889","17956","","PG(12:0_24:0)+H",0,0,0,0,0,0,"5.92046388888889","6.22046388888889","17956","","PG(12:0_24:0)+H","779.57971","257.2111","425.3989","71.0856","95.0855","123.1168","5.92046388888889","6.22046388888889","17956"
"","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.70189027777778","6.00189027777778","11085","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.70189027777778","6.00189027777778","11085","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.70189027777778","6.00189027777778","11085","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.70189027777778","6.00189027777778","11085","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.70189027777778","6.00189027777778","11085","","PG(12:0_24:1)+H","777.56411","257.2111","423.3833","71.0856","95.0855","123.1168","5.70189027777778","6.00189027777778","11085"
"","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H",0,0,0,0,0,0,"5.3728196969697","5.6728196969697","18005","","PG(12:0_24:1)+H","777.56411","257.2111","423.3833","71.0856","95.0855","123.1168","5.3728196969697","5.6728196969697","18005"
"","PG(12:0_25:0)+H",0,0,0,0,0,0,"7.11634583333333","7.41634583333333","14246","","PG(12:0_25:0)+H",0,0,0,0,0,0,"7.11634583333333","7.41634583333333","14246","","PG(12:0_25:0)+H",0,0,0,0,0,0,"7.11634583333333","7.41634583333333","14246","","PG(12:0_25:0)+H",0,0,0,0,0,0,"7.11634583333333","7.41634583333333","14246","","PG(12:0_25:0)+H",0,0,0,0,0,0,"7.11634583333333","7.41634583333333","14246","","PG(12:0_25:0)+H","793.59541","257.2111","439.4146","71.0856","95.0855","123.1168","7.11634583333333","7.41634583333333","14246"
"","PG(13:0_15:0)+H",0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,4.263561,4.263561,4.263561,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,1,1,1,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,46431.48,57082.63,25302.74,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H",0,0,0,71.08571,95.08569,123.117,"4.09877222222222","4.39877222222222","816","","PG(13:0_15:0)+H","667.45461","271.2268","299.2581","71.0856","95.0855","123.1168","4.09877222222222","4.39877222222222","816"
