"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","RT at Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Number of Scans","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Max Intensity","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Average m/z","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","DGDG","[M+NH4]+","DG [M+H]+","DG [M+H-H2O]+","sn1_NL","sn2_NL","sn1_acylChain([RC=O]+)","sn2_acylChain([RC=O]+)","RT_min","RT_max","Comment"
"","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(11:0_18:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(11:0_18:1)+NH4","866.58392","525.45142","507.44085","339.28954","243.1957","169.15874","265.25258","7.67033888888889","7.97033888888889","15208"
"","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4",0,0,0,0,0,0,0,"5.67039583333333","5.97039583333333","18918","","DGDG(11:0_18:3)+NH4","862.55262","521.42012","503.40955","335.25824","243.19568","169.15874","261.2213","5.67039583333333","5.97039583333333","18918"
"","DGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(11:0_19:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(11:0_19:0)+NH4","882.61522","541.48272","523.47215","355.32084","243.19572","169.15874","281.28386","1.17231944444444","1.47231944444444","16662"
"","DGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(11:0_20:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(11:0_20:0)+NH4","896.63082","555.49832","537.48775","369.33644","243.19568","169.15874","295.2995","5.16965","5.46965","15016"
"","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4",0,0,0,0,0,0,0,"5.49449090909091","5.79449090909091","7043","","DGDG(11:0_20:5)+NH4","886.55262","545.42012","527.40955","359.25824","243.19568","169.15874","285.2213","5.49449090909091","5.79449090909091","7043"
"","DGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(11:0_25:0)+NH4",0,0,0,0,0,0,0,"12.4749909090909","12.7749909090909","11579","","DGDG(11:0_25:0)+NH4","966.70912","625.57662","607.56605","439.41474","243.19578","169.15874","365.3777","12.4749909090909","12.7749909090909","11579"
"","DGDG(12:0_13:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(12:0_13:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(12:0_13:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(12:0_13:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(12:0_13:0)+NH4",0,0,0,0,0,0,0,"1.86782083333333","2.16782083333333","11159","","DGDG(12:0_13:0)+NH4","812.53697","471.40447","453.3939","271.22695","257.21131","183.17438","197.19002","1.86782083333333","2.16782083333333","11159"
"","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4",0,0,0,0,0,0,0,"1.55908055555556","1.85908055555556","18812","","DGDG(12:0_14:0)+NH4","826.55262","485.42012","467.40955","285.2426","257.21132","183.17438","211.20566","1.55908055555556","1.85908055555556","18812"
"","DGDG(12:0_15:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(12:0_15:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(12:0_15:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(12:0_15:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(12:0_15:0)+NH4",0,0,0,0,0,0,0,"4.10132083333333","4.40132083333333","8692","","DGDG(12:0_15:0)+NH4","840.56828","499.43578","481.42521","299.25826","257.21134","183.17438","225.2213","4.10132083333333","4.40132083333333","8692"
"","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4",0,0,0,0,0,0,0,"0.539469444444444","0.839469444444444","4759","","DGDG(12:0_16:0)+NH4","854.58392","513.45142","495.44085","313.2739","257.21134","183.17438","239.23694","0.539469444444444","0.839469444444444","4759"
"","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"4.93215277777778","5.23215277777778","5542","","DGDG(12:0_17:1)+NH4","866.58392","525.45142","507.44085","325.2739","257.21134","183.17438","251.23694","4.93215277777778","5.23215277777778","5542"
"","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(12:0_17:1)+NH4",0,0,0,0,0,0,0,"7.67033888888889","7.97033888888889","15208","","DGDG(12:0_17:1)+NH4","866.58392","525.45142","507.44085","325.2739","257.21134","183.17438","251.23694","7.67033888888889","7.97033888888889","15208"
"","DGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(12:0_18:0)+NH4",0,0,0,0,0,0,0,"1.17231944444444","1.47231944444444","16662","","DGDG(12:0_18:0)+NH4","882.61522","541.48272","523.47215","341.3052","257.21136","183.17438","267.26822","1.17231944444444","1.47231944444444","16662"
"","DGDG(12:0_18:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(12:0_18:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(12:0_18:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(12:0_18:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(12:0_18:2)+NH4",0,0,0,0,0,0,0,"8.52266666666667","8.82266666666667","16911","","DGDG(12:0_18:2)+NH4","878.58392","537.45142","519.44085","337.2739","257.21134","183.17438","263.23694","8.52266666666667","8.82266666666667","16911"
"","DGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(12:0_19:0)+NH4",0,0,0,0,0,0,0,"5.16965","5.46965","15016","","DGDG(12:0_19:0)+NH4","896.63082","555.49832","537.48775","355.3208","257.21132","183.17438","281.28386","5.16965","5.46965","15016"
