"Confirmed fragments if intensity is above 1000 and number of scans is greater than or equal to 1","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","RT at Max Intensity","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Number of Scans","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Max Intensity","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Average m/z","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment","Theoretical, Library Parent Hits","GlcADG","[M+NH4]+","[M-C6H9O6-NH4+H+H]+","[DAG-H20]","sn1 loss","sn2 loss","RT_min","RT_max","Comment"
"","GlcADG(11:0_26:1)+NH4",0,0,0,0,0,"7.71712916666667","8.01712916666667","4031","","GlcADG(11:0_26:1)+NH4",0,0,0,0,0,"7.71712916666667","8.01712916666667","4031","","GlcADG(11:0_26:1)+NH4",0,0,0,0,0,"7.71712916666667","8.01712916666667","4031","","GlcADG(11:0_26:1)+NH4",0,0,0,0,0,"7.71712916666667","8.01712916666667","4031","","GlcADG(11:0_26:1)+NH4",0,0,0,0,0,"7.71712916666667","8.01712916666667","4031","","GlcADG(11:0_26:1)+NH4","830.63574","637.5771","619.56654","451.41521","243.19625","7.71712916666667","8.01712916666667","4031"
"","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.69359305555556","6.99359305555556","3729","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.69359305555556","6.99359305555556","3729","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.69359305555556","6.99359305555556","3729","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.69359305555556","6.99359305555556","3729","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.69359305555556","6.99359305555556","3729","","GlcADG(11:0_26:2)+NH4","828.62009","635.56145","617.55089","449.39956","243.19624","6.69359305555556","6.99359305555556","3729"
"","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.75024444444444","7.05024444444444","17245","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.75024444444444","7.05024444444444","17245","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.75024444444444","7.05024444444444","17245","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.75024444444444","7.05024444444444","17245","","GlcADG(11:0_26:2)+NH4",0,0,0,0,0,"6.75024444444444","7.05024444444444","17245","","GlcADG(11:0_26:2)+NH4","828.62009","635.56145","617.55089","449.39956","243.19624","6.75024444444444","7.05024444444444","17245"
"","GlcADG(12:0_13:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(12:0_13:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(12:0_13:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(12:0_13:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(12:0_13:0)+NH4",0,0,0,0,0,"0.46787","0.76787","15579","","GlcADG(12:0_13:0)+NH4","664.46359","471.40495","453.39439","271.22742","257.21178","0.46787","0.76787","15579"
"","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"0.578043055555556","0.878043055555556","1483","","GlcADG(12:0_14:0)+NH4","678.47924","485.4206","467.41004","285.24307","257.21179","0.578043055555556","0.878043055555556","1483"
"","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1180833333333","15.4180833333333","8759","","GlcADG(12:0_14:0)+NH4","678.47924","485.4206","467.41004","285.24307","257.21179","15.1180833333333","15.4180833333333","8759"
"","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"8.17720416666667","8.47720416666667","13856","","GlcADG(12:0_14:0)+NH4","678.47924","485.4206","467.41004","285.24307","257.21179","8.17720416666667","8.47720416666667","13856"
"","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.1499930555556","15.4499930555556","15841","","GlcADG(12:0_14:0)+NH4","678.47924","485.4206","467.41004","285.24307","257.21179","15.1499930555556","15.4499930555556","15841"
"","GlcADG(12:0_14:0)+NH4",0,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(12:0_14:0)+NH4",15.7922,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(12:0_14:0)+NH4",1,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(12:0_14:0)+NH4",956.5961,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(12:0_14:0)+NH4",678.4808,0,0,0,0,"15.5379930555556","15.8379930555556","15850","","GlcADG(12:0_14:0)+NH4","678.47924","485.4206","467.41004","285.24307","257.21179","15.5379930555556","15.8379930555556","15850"
"","GlcADG(12:0_20:1)+NH4",0,0,0,0,0,"5.70677916666667","6.00677916666667","5601","","GlcADG(12:0_20:1)+NH4",0,0,0,0,0,"5.70677916666667","6.00677916666667","5601","","GlcADG(12:0_20:1)+NH4",0,0,0,0,0,"5.70677916666667","6.00677916666667","5601","","GlcADG(12:0_20:1)+NH4",0,0,0,0,0,"5.70677916666667","6.00677916666667","5601","","GlcADG(12:0_20:1)+NH4",0,0,0,0,0,"5.70677916666667","6.00677916666667","5601","","GlcADG(12:0_20:1)+NH4","760.55749","567.49885","549.48829","367.32132","257.21184","5.70677916666667","6.00677916666667","5601"
